open,high,low,close,volume,tradingDate
15523.0,15523.0,15523.0,15523.0,600,2017-01-13
17844.0,23532.0,17844.0,20944.0,174732,2017-01-16
20534.0,20739.0,20534.0,20534.0,46855,2017-01-23
20554.0,20842.0,19712.0,20534.0,13591,2017-02-02
19610.0,20472.0,18480.0,19610.0,65953,2017-02-06
19610.0,20328.0,19507.0,20226.0,96983,2017-02-13
20575.0,21068.0,19918.0,20328.0,67476,2017-02-20
19938.0,20328.0,19507.0,20123.0,20733,2017-02-27
20123.0,20328.0,19712.0,19712.0,40416,2017-03-06
20123.0,20144.0,19733.0,19815.0,16297,2017-03-13
19918.0,20123.0,19712.0,19815.0,6674,2017-03-20
20020.0,22710.0,17597.0,19507.0,14488,2017-03-27
19491.0,19491.0,16427.0,19302.0,13410,2017-04-03
19096.0,19096.0,18480.0,19096.0,10267,2017-04-10
18480.0,18665.0,18480.0,18583.0,6727,2017-04-17
18275.0,18480.0,17454.0,17659.0,4000,2017-04-24
17638.0,17636.0,17454.0,17454.0,3923,2017-05-03
17248.0,18275.0,17043.0,18275.0,8109,2017-05-08
18170.0,18274.0,17817.0,18274.0,58700,2017-05-15
18274.0,18482.0,17880.0,18274.0,13528,2017-05-22
18170.0,18649.0,17843.0,17843.0,18810,2017-05-29
17703.0,17840.0,15990.0,16013.0,47581,2017-06-05
15990.0,16447.0,15761.0,16332.0,50069,2017-06-12
16058.0,17018.0,15076.0,16264.0,16693,2017-06-19
16904.0,16904.0,16561.0,16789.0,6915,2017-06-26
17246.0,18503.0,16698.0,18023.0,40865,2017-07-03
17817.0,18503.0,17772.0,17863.0,32830,2017-07-10
17589.0,17817.0,17246.0,17475.0,11719,2017-07-17
17246.0,18274.0,17178.0,17931.0,28837,2017-07-24
18046.0,18046.0,16447.0,17338.0,14482,2017-07-31
17246.0,17360.0,17132.0,17315.0,10000,2017-08-07
17315.0,17589.0,16904.0,17589.0,51210,2017-08-14
17132.0,17132.0,16675.0,16675.0,30121,2017-08-21
16675.0,17018.0,15990.0,16447.0,41690,2017-08-28
16081.0,16675.0,15990.0,16675.0,7250,2017-09-05
17018.0,17018.0,15990.0,16127.0,31086,2017-09-11
16447.0,16914.0,16218.0,16473.0,31873,2017-09-18
16914.0,16914.0,16450.0,16682.0,23173,2017-09-25
16682.0,17238.0,16219.0,16659.0,24141,2017-10-02
16682.0,16890.0,16566.0,16705.0,57518,2017-10-09
16682.0,17029.0,16682.0,16682.0,18779,2017-10-16
16450.0,16798.0,16358.0,16358.0,10130,2017-10-23
16358.0,16914.0,16219.0,16334.0,30671,2017-10-30
16334.0,16566.0,16219.0,16450.0,27822,2017-11-06
16450.0,16914.0,16242.0,16914.0,25354,2017-11-13
17029.0,19717.0,16914.0,18072.0,103752,2017-11-20
18535.0,18767.0,17864.0,17864.0,68423,2017-11-27
18304.0,18327.0,15778.0,18118.0,14739,2017-12-04
16242.0,18072.0,16242.0,16914.0,36253,2017-12-11
18072.0,18072.0,15778.0,17307.0,24877,2017-12-18
16914.0,17830.0,16520.0,17735.0,10620,2017-12-25
17616.0,18092.0,17378.0,17378.0,34141,2018-01-02
17782.0,17973.0,14807.0,17568.0,24089,2018-01-08
17568.0,18020.0,17163.0,17378.0,129682,2018-01-15
17259.0,19020.0,17140.0,17735.0,20612,2018-01-22
17616.0,18973.0,17259.0,17378.0,26691,2018-01-29
17140.0,17830.0,16425.0,17140.0,57896,2018-02-05
16711.0,17140.0,16711.0,17140.0,1500,2018-02-12
16997.0,18092.0,16782.0,16878.0,16326,2018-02-21
16949.0,17378.0,16735.0,17378.0,9420,2018-02-26
16901.0,17544.0,16830.0,17021.0,16061,2018-03-05
17021.0,17259.0,16854.0,17259.0,19802,2018-03-12
17378.0,18806.0,17187.0,18092.0,89014,2018-03-19
18211.0,20210.0,18092.0,18544.0,49335,2018-03-26
18568.0,21186.0,17854.0,19234.0,39596,2018-04-02
19092.0,21472.0,18687.0,21424.0,60143,2018-04-09
21662.0,22852.0,20234.0,20709.0,45108,2018-04-16
20352.0,20352.0,17853.0,19602.0,22800,2018-04-23
19638.0,19745.0,18745.0,19424.0,2200,2018-05-02
19424.0,20174.0,19424.0,19995.0,13200,2018-05-07
19995.0,19995.0,18960.0,18995.0,6600,2018-05-14
19281.0,19281.0,15782.0,18210.0,20600,2018-05-21
18103.0,18567.0,17067.0,17067.0,109348,2018-05-28
18531.0,21352.0,17853.0,19281.0,10299,2018-06-04
18924.0,19638.0,18031.0,18031.0,37686,2018-06-11
17853.0,18567.0,17853.0,18496.0,12150,2018-06-18
17853.0,19281.0,17853.0,18210.0,13954,2018-06-25
17317.0,18210.0,17139.0,17496.0,7862,2018-07-02
18031.0,18496.0,17817.0,18496.0,33481,2018-07-09
18888.0,19995.0,18210.0,18888.0,3378,2018-07-16
18567.0,19995.0,18210.0,18210.0,17625,2018-07-23
18210.0,19959.0,17853.0,18388.0,19910,2018-07-30
19602.0,19602.0,17853.0,17853.0,12081,2018-08-06
18317.0,18388.0,18031.0,18210.0,12679,2018-08-13
18210.0,18567.0,18031.0,18210.0,3845,2018-08-20
18031.0,18388.0,18031.0,18246.0,3823,2018-08-27
18210.0,18210.0,18067.0,18210.0,2028,2018-09-04
18210.0,18210.0,18067.0,18174.0,2922,2018-09-10
17960.0,18460.0,17960.0,18281.0,30205,2018-09-17
18210.0,18745.0,18210.0,18567.0,24830,2018-09-24
18567.0,19648.0,18567.0,18921.0,23210,2018-10-01
18921.0,18921.0,18448.0,18593.0,15984,2018-10-08
18593.0,19830.0,18593.0,18921.0,9160,2018-10-15
18921.0,19103.0,18193.0,19103.0,25920,2018-10-22
19066.0,19103.0,18193.0,18193.0,3400,2018-10-29
18193.0,18739.0,18193.0,18739.0,1300,2018-11-05
18739.0,18739.0,18557.0,18557.0,347,2018-11-12
18557.0,18739.0,18557.0,18739.0,652,2018-11-19
18739.0,18739.0,18193.0,18193.0,2120,2018-11-26
18193.0,18812.0,18193.0,18812.0,26231,2018-12-03
18229.0,18229.0,18193.0,18193.0,8035,2018-12-10
18193.0,18193.0,18193.0,18193.0,38225,2018-12-17
18193.0,18520.0,17684.0,18520.0,14450,2018-12-24
18520.0,18520.0,18375.0,18375.0,259,2019-01-02
18375.0,18375.0,17465.0,17829.0,11470,2019-01-07
17465.0,18011.0,17465.0,17502.0,17160,2019-01-14
17538.0,17829.0,17502.0,17720.0,6210,2019-01-21
17793.0,18739.0,17793.0,18739.0,1002,2019-01-28
18739.0,18739.0,18047.0,18193.0,23000,2019-02-11
18193.0,18921.0,18193.0,18557.0,8080,2019-02-18
18266.0,18921.0,18266.0,18921.0,25222,2019-02-25
18921.0,18921.0,17647.0,18375.0,1900,2019-03-04
18375.0,18375.0,18193.0,18193.0,947,2019-03-11
18193.0,18193.0,18011.0,18011.0,8810,2019-03-18
17829.0,18011.0,17465.0,17465.0,12065,2019-03-25
17465.0,17829.0,17138.0,17647.0,17880,2019-04-01
17684.0,17975.0,17538.0,17538.0,18738,2019-04-08
17647.0,17647.0,15500.0,17647.0,3557,2019-04-16
17465.0,17647.0,17465.0,17647.0,7300,2019-04-22
17465.0,17647.0,16374.0,17465.0,33162,2019-05-02
17283.0,19066.0,16556.0,17720.0,16310,2019-05-06
17611.0,17829.0,17101.0,17465.0,17310,2019-05-13
17283.0,17647.0,17101.0,17465.0,12250,2019-05-20
17465.0,18251.0,17090.0,17090.0,3921,2019-05-27
17290.0,17330.0,17290.0,17290.0,400,2019-06-03
17290.0,17330.0,17210.0,17211.0,2352,2019-06-10
17211.0,17211.0,16004.0,16245.0,8600,2019-06-17
16474.0,16801.0,16187.0,16187.0,2120,2019-06-24
16228.0,16392.0,16228.0,16392.0,12500,2019-07-01
16392.0,16597.0,16187.0,16351.0,17120,2019-07-08
16597.0,16801.0,15982.0,16023.0,13809,2019-07-15
16637.0,18850.0,16187.0,17211.0,12400,2019-07-22
16801.0,17211.0,15572.0,16392.0,9757,2019-07-29
16392.0,18441.0,16392.0,17949.0,63126,2019-08-05
18031.0,18809.0,17211.0,18031.0,29800,2019-08-12
18645.0,19670.0,18236.0,18727.0,51582,2019-08-19
18441.0,18645.0,18236.0,18236.0,15203,2019-08-26
18072.0,18850.0,18031.0,18850.0,4260,2019-09-03
18441.0,18727.0,17785.0,18645.0,8135,2019-09-09
18645.0,18850.0,18645.0,18850.0,6599,2019-09-16
18809.0,19260.0,18441.0,18441.0,79943,2019-09-23
18441.0,18850.0,18441.0,18850.0,22150,2019-09-30
18441.0,18441.0,18031.0,18031.0,2050,2019-10-07
18441.0,18850.0,18236.0,18441.0,5400,2019-10-14
18441.0,18441.0,18441.0,18441.0,11500,2019-10-21
18441.0,18441.0,18441.0,18441.0,8900,2019-10-28
18441.0,18850.0,18441.0,18850.0,28808,2019-11-04
18850.0,19465.0,18850.0,18850.0,2881,2019-11-11
18441.0,18441.0,18441.0,0.0,3180,2019-11-18
18441.0,18850.0,18441.0,18441.0,12175,2019-11-25
18441.0,18850.0,17211.0,18850.0,15714,2019-12-02
18850.0,19055.0,18850.0,19055.0,10055,2019-12-09
17785.0,17867.0,17621.0,17703.0,28026,2019-12-16
17703.0,18441.0,17703.0,18441.0,100,2019-12-23
17867.0,18482.0,17826.0,18482.0,3210,2019-12-30
17908.0,18453.0,17908.0,18453.0,500,2020-01-02
18453.0,18453.0,17615.0,17615.0,2910,2020-01-06
17615.0,17615.0,17615.0,17615.0,1,2020-01-13
17615.0,18453.0,17027.0,17027.0,2020,2020-01-20
17027.0,18873.0,16440.0,18873.0,33391,2020-01-30
15937.0,17824.0,15937.0,17824.0,51657,2020-02-03
17573.0,18873.0,17195.0,18537.0,76304,2020-02-10
19376.0,22018.0,18957.0,19879.0,112931,2020-02-17
