open,high,low,close,volume,tradingDate
11527.0,12708.0,11527.0,12708.0,629540,2006-12-13
13342.0,14697.0,13285.0,13285.0,873330,2006-12-18
12622.0,13832.0,12017.0,13256.0,950120,2006-12-25
12968.0,14265.0,12680.0,14265.0,682140,2007-01-02
14697.0,15129.0,14120.0,15129.0,1454620,2007-01-08
15417.0,17262.0,15071.0,16656.0,1137640,2007-01-15
17463.0,17463.0,16426.0,16714.0,1133700,2007-01-22
16858.0,18645.0,16858.0,18155.0,1030440,2007-01-29
17867.0,18299.0,16541.0,16541.0,720710,2007-02-05
17348.0,18213.0,17348.0,17579.0,360620,2007-02-12
18443.0,19365.0,17579.0,18587.0,852820,2007-02-26
18587.0,18587.0,16858.0,17290.0,511470,2007-03-05
17579.0,17636.0,15878.0,16656.0,424070,2007-03-12
17290.0,17290.0,15388.0,15994.0,579460,2007-03-19
15561.0,15850.0,14063.0,15590.0,504610,2007-03-26
14812.0,15129.0,14380.0,14697.0,235570,2007-04-02
14697.0,16138.0,14697.0,14985.0,406120,2007-04-09
15360.0,15360.0,13832.0,13832.0,406660,2007-04-16
13256.0,13256.0,11902.0,12247.0,326580,2007-04-23
12420.0,13371.0,12420.0,13371.0,385640,2007-05-02
14034.0,15878.0,14034.0,15878.0,689480,2007-05-07
16656.0,16656.0,15129.0,15590.0,692350,2007-05-14
16339.0,16339.0,15345.0,15475.0,1175580,2007-05-21
15388.0,15432.0,14697.0,14913.0,825700,2007-05-28
14697.0,14740.0,13962.0,14265.0,795080,2007-06-04
13832.0,13832.0,13141.0,13400.0,1447110,2007-06-11
13616.0,13616.0,12752.0,12752.0,1230950,2007-06-18
13357.0,14481.0,13270.0,13270.0,1188940,2007-06-25
12968.0,13487.0,12968.0,13314.0,936910,2007-07-02
13184.0,13400.0,12925.0,12925.0,1333340,2007-07-09
12579.0,12579.0,12233.0,12233.0,1881830,2007-07-16
12060.0,12060.0,10830.0,10830.0,1800770,2007-07-23
10960.0,11134.0,9401.0,9401.0,1984990,2007-07-30
9401.0,10830.0,9401.0,10397.0,2127560,2007-08-06
10051.0,13256.0,9011.0,9531.0,1631840,2007-08-13
9531.0,10007.0,9531.0,9964.0,1286540,2007-08-20
9964.0,9964.0,9704.0,9747.0,1001280,2007-08-27
9747.0,9921.0,9704.0,9747.0,846710,2007-09-04
9704.0,9747.0,9574.0,9747.0,866060,2007-09-10
9661.0,9877.0,9617.0,9877.0,1010530,2007-09-17
10094.0,11827.0,10051.0,11827.0,2340900,2007-09-24
12390.0,13040.0,12173.0,12173.0,2907100,2007-10-01
12217.0,12610.0,11955.0,12348.0,1183750,2007-10-08
12348.0,12348.0,11824.0,11999.0,1052000,2007-10-15
11868.0,12304.0,11693.0,11999.0,1553680,2007-10-22
11824.0,11912.0,11519.0,11519.0,1105090,2007-10-29
11213.0,11257.0,10603.0,10952.0,1525800,2007-11-05
10995.0,10995.0,10472.0,10864.0,1035090,2007-11-12
10864.0,10864.0,10472.0,10777.0,946890,2007-11-19
10734.0,10777.0,10384.0,10384.0,754600,2007-11-26
10384.0,10472.0,9948.0,10123.0,1333790,2007-12-03
10035.0,10123.0,9643.0,9686.0,1455150,2007-12-10
9686.0,10035.0,9643.0,9817.0,1226180,2007-12-17
9817.0,9817.0,9686.0,9730.0,856480,2007-12-24
9643.0,9686.0,9206.0,9250.0,505460,2008-01-02
9163.0,9163.0,8377.0,8596.0,1195820,2008-01-07
8596.0,9032.0,8246.0,8814.0,1448190,2008-01-14
8377.0,8465.0,7417.0,7767.0,1519610,2008-01-21
7767.0,8726.0,7723.0,8639.0,1186700,2008-01-28
8639.0,8639.0,7897.0,8028.0,547290,2008-02-12
7679.0,7767.0,6632.0,6632.0,1292350,2008-02-18
6807.0,6938.0,6152.0,6152.0,1103810,2008-02-25
5847.0,5847.0,5323.0,5847.0,802460,2008-03-03
6108.0,6108.0,5803.0,5978.0,1842020,2008-03-10
5803.0,5803.0,4756.0,4756.0,1108960,2008-03-17
4538.0,4538.0,4123.0,4167.0,1556710,2008-03-24
4189.0,4276.0,4189.0,4276.0,391210,2008-03-31
4341.0,4407.0,4123.0,4123.0,1369750,2008-04-07
4058.0,4123.0,3992.0,4036.0,871570,2008-04-16
3992.0,4014.0,3705.0,3705.0,393440,2008-04-21
3639.0,3705.0,3573.0,3573.0,794600,2008-04-28
3507.0,3507.0,3242.0,3242.0,416050,2008-05-05
3198.0,3198.0,3021.0,3021.0,136720,2008-05-12
2977.0,2977.0,2801.0,2801.0,225020,2008-05-19
2757.0,2757.0,2713.0,2713.0,28930,2008-05-26
2669.0,2669.0,2492.0,2492.0,30340,2008-06-02
2448.0,2448.0,2272.0,2272.0,644920,2008-06-09
2228.0,2382.0,2183.0,2183.0,1694860,2008-06-16
2122.0,2294.0,2060.0,2205.0,1275510,2008-06-23
2139.0,2470.0,2139.0,2470.0,999100,2008-06-30
2536.0,2669.0,2338.0,2669.0,1777360,2008-07-07
2735.0,2999.0,2735.0,2999.0,1632620,2008-07-14
2911.0,2955.0,2647.0,2735.0,2413400,2008-07-21
2802.0,3093.0,2802.0,3093.0,1597760,2008-07-28
3026.0,3138.0,2914.0,3138.0,1842760,2008-08-04
3228.0,3587.0,3228.0,3587.0,443990,2008-08-11
3766.0,4528.0,3766.0,4528.0,1715590,2008-08-18
4752.0,5649.0,4752.0,5425.0,2944670,2008-08-25
5694.0,6142.0,5694.0,5694.0,1734320,2008-09-03
5425.0,5514.0,4483.0,4483.0,1112690,2008-09-08
4259.0,4707.0,3699.0,3878.0,2157220,2008-09-15
4057.0,4461.0,3900.0,4461.0,2912440,2008-09-22
4281.0,4483.0,3968.0,4102.0,1148670,2008-09-29
3923.0,3945.0,3228.0,3228.0,1735080,2008-10-06
3228.0,3564.0,3071.0,3497.0,1942180,2008-10-13
3497.0,3497.0,3116.0,3116.0,1603540,2008-10-20
2981.0,3340.0,2847.0,3340.0,1773840,2008-10-27
3497.0,4177.0,3340.0,4177.0,3794760,2008-11-03
4383.0,4383.0,3801.0,4109.0,2681810,2008-11-10
4040.0,4109.0,3417.0,3458.0,1843210,2008-11-17
3629.0,3766.0,3321.0,3458.0,2450970,2008-11-24
3629.0,3629.0,3308.0,3349.0,1614160,2008-12-01
3219.0,3458.0,3184.0,3458.0,1545730,2008-12-08
3629.0,3664.0,3424.0,3595.0,1996390,2008-12-15
3629.0,3664.0,3287.0,3335.0,1061720,2008-12-22
3321.0,3561.0,3321.0,3424.0,1085940,2008-12-29
3424.0,3424.0,3410.0,3424.0,47170,2009-01-02
3424.0,3698.0,3362.0,3458.0,1800680,2009-01-05
3458.0,3527.0,3403.0,3458.0,1103540,2009-01-12
3458.0,3492.0,3390.0,3458.0,765190,2009-01-19
3321.0,3424.0,3171.0,3253.0,1139940,2009-02-02
3253.0,3376.0,3184.0,3191.0,969870,2009-02-09
3191.0,3191.0,2808.0,2849.0,1701100,2009-02-16
2739.0,2938.0,2582.0,2938.0,1580340,2009-02-23
2842.0,3006.0,2808.0,2958.0,1129910,2009-03-02
2965.0,3143.0,2945.0,2972.0,1844890,2009-03-09
3006.0,3328.0,2972.0,3116.0,2494470,2009-03-16
3129.0,3458.0,2999.0,3287.0,3163680,2009-03-23
3164.0,3527.0,3020.0,3527.0,4179400,2009-03-30
3527.0,3869.0,3492.0,3732.0,4365350,2009-04-07
3903.0,4143.0,3801.0,3801.0,5967900,2009-04-13
3629.0,3835.0,3458.0,3698.0,4604270,2009-04-20
3801.0,3835.0,3698.0,3801.0,1812940,2009-04-27
3972.0,4554.0,3972.0,4383.0,5453000,2009-05-04
4485.0,4657.0,4246.0,4554.0,6272130,2009-05-11
4520.0,4657.0,4314.0,4348.0,4509110,2009-05-18
4383.0,4691.0,4383.0,4520.0,3295720,2009-05-25
4554.0,5141.0,4554.0,5141.0,3926130,2009-06-01
5384.0,5419.0,4898.0,4898.0,4446590,2009-06-08
