open,high,low,close,volume,tradingDate
41391.0,44288.0,38631.0,44288.0,3468940,2018-04-26
46358.0,46358.0,40563.0,41115.0,976140,2018-05-02
42715.0,43184.0,38687.0,42246.0,336770,2018-05-07
42246.0,44150.0,41529.0,44012.0,311790,2018-05-14
44123.0,46349.0,42633.0,43910.0,767070,2018-05-21
43910.0,43910.0,40814.0,42362.0,236750,2018-05-28
42362.0,42690.0,41517.0,42174.0,244440,2018-06-04
42221.0,42690.0,40814.0,40861.0,187500,2018-06-11
40720.0,40861.0,34950.0,37061.0,199590,2018-06-18
36592.0,38937.0,35184.0,37999.0,331410,2018-06-25
38234.0,38234.0,32839.0,33777.0,58520,2018-07-02
31478.0,36592.0,31478.0,36592.0,143440,2018-07-09
36639.0,36967.0,32886.0,34715.0,43560,2018-07-16
34715.0,36592.0,32839.0,34668.0,59540,2018-07-23
34668.0,36592.0,32886.0,33214.0,50040,2018-07-30
32979.0,34621.0,31009.0,33777.0,84700,2018-08-06
33777.0,36076.0,32933.0,34715.0,47560,2018-08-13
33402.0,36123.0,33308.0,34715.0,77400,2018-08-20
35184.0,37530.0,34715.0,35841.0,124720,2018-08-27
35653.0,35841.0,34950.0,35607.0,51540,2018-09-04
35184.0,35419.0,34246.0,35184.0,56620,2018-09-10
35184.0,35419.0,33824.0,35184.0,50650,2018-09-17
35184.0,35794.0,34950.0,35700.0,60760,2018-09-24
36545.0,36545.0,34715.0,34715.0,72690,2018-10-01
35747.0,35747.0,33167.0,34715.0,31390,2018-10-08
33777.0,35653.0,33542.0,34246.0,57320,2018-10-15
34246.0,35090.0,33214.0,34199.0,30920,2018-10-22
34246.0,34528.0,30728.0,33308.0,80530,2018-10-29
33308.0,34152.0,31994.0,33308.0,51540,2018-11-05
33683.0,33824.0,31478.0,33777.0,67260,2018-11-12
32839.0,33308.0,31854.0,32276.0,38600,2018-11-19
32839.0,34246.0,32276.0,34246.0,183650,2018-11-26
35653.0,35653.0,34246.0,35419.0,139060,2018-12-03
35419.0,35419.0,32979.0,35184.0,118550,2018-12-10
35184.0,35184.0,32510.0,34621.0,189950,2018-12-17
34621.0,35419.0,33308.0,33730.0,318490,2018-12-24
35184.0,35184.0,31900.0,33308.0,6990,2019-01-02
32370.0,35184.0,30962.0,32839.0,76980,2019-01-07
34387.0,34387.0,30962.0,32370.0,8750,2019-01-14
33730.0,33777.0,30962.0,32370.0,8130,2019-01-21
32276.0,33308.0,30118.0,31009.0,10260,2019-01-28
31009.0,31384.0,29133.0,30024.0,50830,2019-02-11
30212.0,30352.0,28194.0,28194.0,42830,2019-02-18
28241.0,29930.0,28241.0,28851.0,54640,2019-02-25
28147.0,28851.0,27209.0,27209.0,45170,2019-03-04
27209.0,27819.0,26036.0,26036.0,64730,2019-03-11
26130.0,26271.0,23503.0,23925.0,88870,2019-03-18
23925.0,23925.0,22049.0,23315.0,163580,2019-03-25
23339.0,26881.0,22987.0,25661.0,364620,2019-04-01
26271.0,26271.0,23972.0,25755.0,162170,2019-04-08
25755.0,25755.0,24394.0,24817.0,20720,2019-04-16
24441.0,25333.0,23362.0,24019.0,72010,2019-04-22
24394.0,24817.0,24394.0,24441.0,4250,2019-05-02
24113.0,24394.0,22799.0,22799.0,72990,2019-05-06
22799.0,23738.0,22330.0,23128.0,42720,2019-05-13
23128.0,24582.0,23128.0,23925.0,105630,2019-05-20
24441.0,24629.0,23269.0,23785.0,288160,2019-05-27
23503.0,24160.0,22987.0,23503.0,149260,2019-06-03
23503.0,26001.0,23269.0,25476.0,833110,2019-06-10
25476.0,28200.0,24663.0,27770.0,521400,2019-06-17
27818.0,30590.0,27196.0,30590.0,641530,2019-06-24
30590.0,30590.0,27005.0,27865.0,256070,2019-07-01
28630.0,28630.0,25906.0,26623.0,205990,2019-07-08
26766.0,26766.0,25476.0,26288.0,109820,2019-07-15
26718.0,27244.0,26288.0,26288.0,213340,2019-07-22
26766.0,27922.0,25833.0,27482.0,251670,2019-07-29
27372.0,28966.0,27317.0,28581.0,430460,2019-08-05
28581.0,28581.0,26438.0,27262.0,338870,2019-08-12
27262.0,27757.0,26273.0,26383.0,171370,2019-08-19
25998.0,25998.0,23882.0,24184.0,269720,2019-08-26
24184.0,25119.0,21986.0,22645.0,265040,2019-09-03
22865.0,25283.0,22728.0,25283.0,513820,2019-09-09
25833.0,26438.0,25283.0,26053.0,373910,2019-09-16
26053.0,26383.0,24899.0,25228.0,201360,2019-09-23
25531.0,25558.0,24047.0,24184.0,188090,2019-09-30
24239.0,24349.0,23580.0,23607.0,149460,2019-10-07
23634.0,24459.0,23360.0,24184.0,198560,2019-10-14
24184.0,24789.0,23415.0,23689.0,133540,2019-10-21
23744.0,23854.0,21161.0,22205.0,316350,2019-10-28
21546.0,23030.0,21546.0,22096.0,340370,2019-11-04
22096.0,22755.0,20337.0,20337.0,284980,2019-11-11
20337.0,20337.0,16929.0,16929.0,476610,2019-11-18
16929.0,16929.0,14703.0,14785.0,916940,2019-11-25
14840.0,15335.0,14620.0,15060.0,313660,2019-12-02
15280.0,15857.0,14868.0,14868.0,426230,2019-12-09
14868.0,15115.0,14565.0,14620.0,333730,2019-12-16
14620.0,14620.0,12367.0,12422.0,475300,2019-12-23
12422.0,12642.0,11570.0,11570.0,226750,2019-12-30
11570.0,12779.0,11570.0,12477.0,71400,2020-01-02
12477.0,12477.0,10718.0,10828.0,593460,2020-01-06
10883.0,11075.0,9784.0,10113.0,930080,2020-01-13
10251.0,10333.0,9976.0,10058.0,708510,2020-01-20
9894.0,9894.0,9371.0,9426.0,950940,2020-01-30
9399.0,10800.0,8904.0,10388.0,1820430,2020-02-03
9894.0,11158.0,9674.0,10636.0,1565650,2020-02-10
10581.0,11762.0,10278.0,11762.0,1993500,2020-02-17
11762.0,12834.0,11323.0,11570.0,3199110,2020-02-24
11158.0,11625.0,10443.0,11597.0,2807160,2020-03-02
10938.0,11158.0,8437.0,8574.0,2417860,2020-03-09
8684.0,8684.0,7750.0,7805.0,1163640,2020-03-16
7338.0,7695.0,6128.0,6128.0,1608780,2020-03-23
5881.0,6980.0,5716.0,6980.0,1009950,2020-03-30
7448.0,8739.0,7448.0,8245.0,3016430,2020-04-06
8245.0,9701.0,7805.0,9701.0,2451310,2020-04-13
10361.0,12697.0,9646.0,12697.0,6122480,2020-04-20
13576.0,13576.0,10883.0,11680.0,3501870,2020-04-27
11103.0,11652.0,10443.0,11268.0,3373050,2020-05-04
11240.0,12779.0,11020.0,11872.0,5975450,2020-05-11
11817.0,14291.0,11433.0,13741.0,7510820,2020-05-18
13576.0,15527.0,13136.0,14401.0,7971190,2020-05-25
14675.0,15088.0,13741.0,15088.0,7213650,2020-06-01
15445.0,15912.0,13219.0,14126.0,7665810,2020-06-08
14126.0,14456.0,12367.0,13741.0,4558230,2020-06-15
14016.0,14181.0,12697.0,13026.0,2818830,2020-06-22
12917.0,13301.0,11597.0,12889.0,3014430,2020-06-29
13026.0,13631.0,12752.0,13301.0,2922710,2020-07-06
13301.0,14483.0,13191.0,14126.0,4029680,2020-07-13
14016.0,14098.0,12642.0,12642.0,3784370,2020-07-20
11762.0,12422.0,11130.0,11213.0,3523230,2020-07-27
11213.0,12037.0,11048.0,11872.0,2321210,2020-08-03
11927.0,12889.0,11872.0,12587.0,2778070,2020-08-10
12642.0,12807.0,12092.0,12724.0,1953590,2020-08-17
12752.0,14042.0,12752.0,13813.0,4239010,2020-08-24
13813.0,14042.0,13182.0,13411.0,2422560,2020-08-31
13411.0,14099.0,13039.0,13813.0,3593640,2020-09-07
13813.0,14500.0,13813.0,14271.0,4050490,2020-09-14
14357.0,14902.0,13899.0,13985.0,4526700,2020-09-21
14157.0,14185.0,13526.0,13813.0,2746830,2020-09-28
13985.0,14615.0,13727.0,14013.0,3492210,2020-10-05
14042.0,14185.0,13239.0,13526.0,3018720,2020-10-12
13526.0,13526.0,13125.0,13411.0,1758850,2020-10-19
13469.0,13469.0,11835.0,11950.0,2377440,2020-10-26
11921.0,12896.0,11921.0,12752.0,1260550,2020-11-02
12752.0,13411.0,12752.0,13154.0,1459950,2020-11-09
13154.0,13297.0,12237.0,13010.0,2588340,2020-11-16
12982.0,13125.0,12695.0,12724.0,3116940,2020-11-23
12838.0,15417.0,12838.0,14701.0,13999560,2020-11-30
14758.0,15188.0,14128.0,14586.0,9747400,2020-12-07
14787.0,16908.0,14644.0,16621.0,18692250,2020-12-14
16736.0,17968.0,15761.0,17968.0,16171300,2020-12-21
18627.0,19086.0,17968.0,18340.0,10451040,2020-12-28
18455.0,19773.0,18283.0,19458.0,12204400,2021-01-04
19458.0,20203.0,19200.0,19429.0,8815100,2021-01-11
19487.0,20346.0,17051.0,18742.0,10518400,2021-01-18
18742.0,19286.0,14099.0,15016.0,8329600,2021-01-25
14930.0,15761.0,13039.0,15475.0,8332400,2021-02-01
15532.0,15561.0,14271.0,15074.0,3051200,2021-02-08
15131.0,17080.0,15131.0,16707.0,4250400,2021-02-17
17080.0,17165.0,15503.0,16048.0,7027200,2021-02-22
16334.0,16908.0,15417.0,15876.0,7460100,2021-03-01
16334.0,16850.0,15618.0,16564.0,7702400,2021-03-08
16621.0,18054.0,16048.0,17423.0,12397000,2021-03-15
17309.0,18627.0,16621.0,17194.0,15488200,2021-03-22
17194.0,18054.0,17051.0,17710.0,8900400,2021-03-29
17825.0,18799.0,17481.0,18512.0,9682100,2021-04-05
18340.0,18512.0,16048.0,16420.0,9620500,2021-04-12
16506.0,17022.0,15475.0,16220.0,4892400,2021-04-19
16248.0,16306.0,15188.0,15475.0,3718400,2021-04-26
15188.0,16392.0,14902.0,15532.0,3551000,2021-05-04
14988.0,15819.0,14959.0,15446.0,4123800,2021-05-10
15417.0,15446.0,13784.0,14787.0,5888100,2021-05-17
14787.0,15188.0,14214.0,14386.0,4704900,2021-05-24
14386.0,15188.0,13755.0,14902.0,4976100,2021-05-31
14902.0,15331.0,14558.0,15016.0,5366000,2021-06-07
15102.0,16621.0,15102.0,16392.0,8474300,2021-06-14
16420.0,16420.0,15217.0,15417.0,4948600,2021-06-21
15360.0,16019.0,15131.0,15761.0,4517400,2021-06-28
15933.0,17481.0,15532.0,16678.0,14679900,2021-07-05
16850.0,17939.0,16506.0,17423.0,14291100,2021-07-12
16965.0,19974.0,16965.0,19372.0,18531500,2021-07-19
19544.0,22066.0,19372.0,21464.0,22690800,2021-07-26
21206.0,22868.0,20948.0,22295.0,17290200,2021-08-02
22295.0,24416.0,22094.0,24072.0,17487200,2021-08-09
24072.0,25103.0,22811.0,22897.0,13406700,2021-08-16
22639.0,23441.0,21493.0,23441.0,10954400,2021-08-23
23957.0,24358.0,23212.0,24244.0,7615300,2021-08-30
24874.0,24932.0,22639.0,23413.0,9279600,2021-09-06
23499.0,27167.0,23441.0,26937.0,16068700,2021-09-13
27109.0,27453.0,25218.0,25218.0,10135300,2021-09-20
25218.0,28084.0,25189.0,27253.0,9288300,2021-09-27
27052.0,27855.0,26651.0,27511.0,7272800,2021-10-04
27482.0,27855.0,26823.0,27339.0,7683200,2021-10-11
27396.0,27683.0,25963.0,27339.0,6539100,2021-10-18
27511.0,30262.0,26422.0,29860.0,8746700,2021-10-25
30376.0,32726.0,30090.0,31809.0,10458900,2021-11-01
31809.0,33414.0,30778.0,33414.0,7081900,2021-11-08
34388.0,35191.0,32554.0,33815.0,6859500,2021-11-15
33185.0,34560.0,31809.0,33357.0,5941600,2021-11-22
32669.0,36795.0,32497.0,35535.0,7029700,2021-11-29
35248.0,41151.0,33529.0,41151.0,7538700,2021-12-06
41209.0,46711.0,41209.0,46711.0,7301800,2021-12-13
48086.0,53932.0,46997.0,53932.0,6148400,2021-12-20
56110.0,61612.0,54677.0,57428.0,6100200,2021-12-27
56511.0,56741.0,47399.0,50895.0,9655700,2022-01-04
52385.0,52385.0,42584.0,50436.0,8343300,2022-01-10
49806.0,50092.0,41896.0,47570.0,4438000,2022-01-17
46997.0,50493.0,43673.0,50264.0,3521100,2022-01-24
53760.0,58345.0,52156.0,56741.0,5956600,2022-02-07
55594.0,58747.0,53130.0,58747.0,6460500,2022-02-14
62816.0,75597.0,59606.0,71642.0,9527300,2022-02-21
71642.0,77030.0,66656.0,74508.0,5981100,2022-02-28
74680.0,77030.0,66197.0,73763.0,6144400,2022-03-07
72387.0,83564.0,69522.0,82990.0,5639500,2022-03-14
82532.0,89983.0,80239.0,89123.0,5072800,2022-03-21
86658.0,91416.0,83965.0,87232.0,4661500,2022-03-28
87977.0,91702.0,81386.0,84653.0,3535200,2022-04-04
81959.0,97376.0,79609.0,94281.0,4061700,2022-04-12
91759.0,100299.0,88493.0,88493.0,7653000,2022-04-18
85971.0,90556.0,76571.0,89696.0,4351800,2022-04-25
88836.0,91416.0,81328.0,81328.0,2566900,2022-05-04
78233.0,79609.0,62587.0,62587.0,6220500,2022-05-09
63045.0,65338.0,54162.0,62185.0,6770100,2022-05-16
63332.0,76342.0,61784.0,76113.0,5274400,2022-05-23
76227.0,79494.0,69923.0,78061.0,5083700,2022-05-30
77660.0,89569.0,77431.0,85427.0,8184200,2022-06-06
81803.0,88016.0,74296.0,88016.0,9024700,2022-06-13
88879.0,89655.0,69636.0,78265.0,9175900,2022-06-20
78006.0,81889.0,73260.0,76626.0,6929600,2022-06-27
77057.0,77834.0,63855.0,68255.0,5977600,2022-07-04
67134.0,67997.0,61180.0,63251.0,4974700,2022-07-11
63251.0,69550.0,60403.0,66012.0,7353300,2022-07-18
65839.0,68514.0,62129.0,62129.0,7354800,2022-07-25
60403.0,65149.0,58332.0,64718.0,8555200,2022-08-01
65149.0,73001.0,64890.0,73001.0,12185300,2022-08-08
73864.0,76108.0,73001.0,74296.0,7829400,2022-08-15
74209.0,79301.0,74209.0,76798.0,9802400,2022-08-22
75245.0,79214.0,72311.0,78524.0,6916300,2022-08-29
79387.0,80077.0,72570.0,76108.0,9872600,2022-09-05
76798.0,80681.0,75504.0,76194.0,9377012,2022-09-12
76021.0,76367.0,70499.0,73692.0,6990200,2022-09-19
71362.0,72484.0,57210.0,63251.0,11935277,2022-09-26
62560.0,62905.0,54190.0,54794.0,7105294,2022-10-03
52723.0,67306.0,52723.0,67306.0,10222063,2022-10-10
67392.0,70326.0,63251.0,63251.0,11079554,2022-10-17
63855.0,72484.0,62129.0,70758.0,9050916,2022-10-24
70758.0,72915.0,62129.0,62733.0,9605886,2022-10-31
62992.0,65494.0,59195.0,59540.0,6454373,2022-11-07
57814.0,58677.0,48064.0,56261.0,8015447,2022-11-14
56606.0,56606.0,48840.0,50911.0,6486884,2022-11-21
52637.0,62992.0,51774.0,60403.0,6993600,2022-11-28
60834.0,63509.0,58505.0,63509.0,6735652,2022-12-05
63423.0,65149.0,61611.0,64459.0,3987571,2022-12-12
64113.0,65580.0,58850.0,61266.0,3722897,2022-12-19
60834.0,60834.0,57555.0,59540.0,1786450,2022-12-26
59540.0,61180.0,58850.0,59540.0,1949413,2023-01-03
60403.0,60403.0,56520.0,56520.0,2548093,2023-01-09
56520.0,59972.0,55226.0,59972.0,2591830,2023-01-16
60230.0,63337.0,60230.0,62992.0,1678132,2023-01-27
63855.0,65063.0,60317.0,61611.0,5230290,2023-01-30
61611.0,67047.0,60921.0,61870.0,7670814,2023-02-06
61870.0,65322.0,60489.0,63855.0,3254947,2023-02-13
63941.0,67738.0,62733.0,62733.0,6724107,2023-02-20
61266.0,62560.0,58677.0,59972.0,2910170,2023-02-27
60317.0,63337.0,60058.0,62129.0,2322683,2023-03-06
61266.0,62129.0,59454.0,59454.0,2947313,2023-03-13
59540.0,59972.0,55139.0,56089.0,5394341,2023-03-20
