open,high,low,close,volume,tradingDate
4518.0,4731.0,4192.0,4192.0,333940,2009-11-17
3991.0,3991.0,3275.0,3275.0,263510,2009-11-23
3275.0,3326.0,3112.0,3263.0,129390,2009-11-30
3137.0,3250.0,2799.0,2799.0,62740,2009-12-07
2660.0,2999.0,2660.0,2911.0,150210,2009-12-14
3037.0,3456.0,2913.0,3456.0,140030,2009-12-21
3628.0,3708.0,3469.0,3469.0,192920,2009-12-28
3469.0,3549.0,3178.0,3443.0,335860,2010-01-04
3350.0,3536.0,3205.0,3244.0,73920,2010-01-11
3178.0,3178.0,2807.0,3019.0,47750,2010-01-18
3152.0,3152.0,2900.0,3085.0,45360,2010-01-25
3099.0,3125.0,2847.0,2979.0,21740,2010-02-01
2860.0,3046.0,2781.0,2926.0,30300,2010-02-08
3046.0,3152.0,2900.0,3046.0,13960,2010-02-22
3032.0,3152.0,2913.0,3059.0,39110,2010-03-01
3072.0,3085.0,2940.0,2940.0,129640,2010-03-08
3046.0,3337.0,2979.0,3138.0,570460,2010-03-15
3138.0,3165.0,2913.0,3046.0,192910,2010-03-22
2900.0,3006.0,2754.0,2887.0,183590,2010-03-29
2821.0,2926.0,2754.0,2887.0,94710,2010-04-05
3019.0,3403.0,2979.0,3403.0,809040,2010-04-12
3562.0,3708.0,3231.0,3231.0,796190,2010-04-19
3178.0,3390.0,3125.0,3178.0,335500,2010-04-26
3244.0,3390.0,3072.0,3390.0,818330,2010-05-04
3509.0,3642.0,3059.0,3099.0,584750,2010-05-10
3165.0,3165.0,2715.0,2768.0,327880,2010-05-17
2887.0,3059.0,2768.0,3019.0,165060,2010-05-24
2913.0,3046.0,2874.0,2874.0,103030,2010-05-31
2781.0,2900.0,2754.0,2860.0,127340,2010-06-07
2913.0,3006.0,2900.0,2913.0,171530,2010-06-14
2913.0,3046.0,2834.0,2834.0,259360,2010-06-21
2913.0,3059.0,2860.0,2913.0,273410,2010-06-28
2926.0,3032.0,2860.0,2860.0,121110,2010-07-05
2874.0,3006.0,2834.0,2900.0,89970,2010-07-12
2900.0,2913.0,2807.0,2834.0,73030,2010-07-19
2807.0,2834.0,2701.0,2728.0,85330,2010-07-26
2675.0,2768.0,2609.0,2622.0,86680,2010-08-02
2609.0,2609.0,2437.0,2516.0,151850,2010-08-09
2556.0,2701.0,2503.0,2516.0,67310,2010-08-16
2516.0,2516.0,2264.0,2384.0,104370,2010-08-23
2450.0,2582.0,2397.0,2516.0,95590,2010-08-30
2529.0,2635.0,2397.0,2450.0,104410,2010-09-06
2344.0,2542.0,2344.0,2516.0,8810,2010-09-13
2437.0,2582.0,2423.0,2450.0,21830,2010-09-20
2423.0,2516.0,2423.0,2503.0,20770,2010-09-27
2503.0,2516.0,2489.0,2489.0,39140,2010-10-04
2450.0,2529.0,2450.0,2516.0,50210,2010-10-11
2516.0,2529.0,2450.0,2503.0,63840,2010-10-18
2516.0,2582.0,2516.0,2569.0,36430,2010-10-25
2503.0,2582.0,2423.0,2542.0,5880,2010-11-01
2569.0,2582.0,2423.0,2489.0,37040,2010-11-08
2370.0,2529.0,2357.0,2529.0,37540,2010-11-15
2516.0,2694.0,2503.0,2694.0,33130,2010-11-22
2610.0,2680.0,2526.0,2652.0,37230,2010-11-29
2638.0,2694.0,2624.0,2694.0,74070,2010-12-06
2708.0,2778.0,2582.0,2652.0,46550,2010-12-13
2652.0,2708.0,2596.0,2652.0,38580,2010-12-20
2680.0,2792.0,2680.0,2792.0,83510,2010-12-27
2820.0,2861.0,2694.0,2708.0,1800,2011-01-04
2652.0,2750.0,2582.0,2596.0,4950,2011-01-10
2624.0,2708.0,2540.0,2708.0,5050,2011-01-17
2708.0,2708.0,2582.0,2708.0,940,2011-01-24
2708.0,2750.0,2624.0,2652.0,4050,2011-02-08
2652.0,2666.0,2443.0,2652.0,2880,2011-02-14
2526.0,2652.0,2485.0,2596.0,2910,2011-02-21
2540.0,2554.0,2415.0,2415.0,2590,2011-02-28
2303.0,2471.0,2233.0,2471.0,6750,2011-03-07
2498.0,2540.0,2373.0,2540.0,1670,2011-03-14
2540.0,2582.0,2401.0,2457.0,2520,2011-03-21
2554.0,2610.0,2387.0,2582.0,7500,2011-03-28
2582.0,2582.0,2457.0,2457.0,1220,2011-04-04
2345.0,2373.0,2345.0,2373.0,1110,2011-04-13
2317.0,2345.0,2191.0,2289.0,5440,2011-04-18
2317.0,2373.0,2191.0,2191.0,1760,2011-04-25
2094.0,2198.0,2094.0,2169.0,130,2011-05-04
2064.0,2273.0,2064.0,2243.0,6090,2011-05-09
2243.0,2243.0,2109.0,2109.0,2440,2011-05-16
2004.0,2094.0,1825.0,2079.0,15290,2011-05-23
2109.0,2109.0,1914.0,2064.0,20280,2011-05-30
1974.0,2079.0,1974.0,2079.0,12330,2011-06-06
2049.0,2109.0,1929.0,1974.0,19670,2011-06-13
1944.0,2034.0,1944.0,1974.0,4420,2011-06-20
2064.0,2259.0,2019.0,2259.0,2600,2011-06-27
2178.0,2194.0,2017.0,2049.0,6420,2011-07-04
2065.0,2178.0,2065.0,2162.0,440,2011-07-11
2130.0,2323.0,2130.0,2178.0,2300,2011-07-18
2097.0,2226.0,2097.0,2113.0,1730,2011-07-25
2210.0,2243.0,2146.0,2194.0,5640,2011-08-01
2097.0,2097.0,1984.0,2097.0,5780,2011-08-08
2162.0,2162.0,2033.0,2113.0,2610,2011-08-15
2178.0,2178.0,2130.0,2162.0,2000,2011-08-22
2178.0,2243.0,2130.0,2178.0,7340,2011-08-29
2210.0,2243.0,2113.0,2226.0,11110,2011-09-05
2243.0,2259.0,2162.0,2226.0,9650,2011-09-12
2130.0,2533.0,2130.0,2533.0,7240,2011-09-19
2420.0,2727.0,2420.0,2710.0,3390,2011-09-26
2581.0,2791.0,2533.0,2533.0,4480,2011-10-03
2565.0,2614.0,2501.0,2549.0,270,2011-10-10
2549.0,2549.0,2533.0,2533.0,1540,2011-10-17
2533.0,2581.0,2436.0,2549.0,12540,2011-10-24
2468.0,2581.0,2436.0,2517.0,110,2011-10-31
2501.0,2501.0,2275.0,2485.0,13920,2011-11-07
2485.0,2581.0,2452.0,2565.0,25120,2011-11-14
2565.0,2581.0,2452.0,2485.0,15060,2011-11-21
2485.0,2597.0,2307.0,2581.0,14330,2011-11-28
2549.0,2581.0,2468.0,2533.0,2580,2011-12-05
2533.0,2533.0,2210.0,2420.0,2360,2011-12-12
2420.0,2533.0,2307.0,2501.0,17820,2011-12-19
2388.0,2775.0,2388.0,2775.0,23560,2011-12-26
2646.0,2646.0,2485.0,2485.0,1020,2012-01-03
2597.0,2727.0,2581.0,2727.0,14150,2012-01-09
2727.0,2807.0,2549.0,2807.0,13910,2012-01-16
2888.0,2936.0,2662.0,2662.0,28090,2012-01-30
2662.0,2936.0,2662.0,2791.0,16800,2012-02-06
2839.0,2839.0,2646.0,2727.0,330,2012-02-13
2743.0,2761.0,2641.0,2761.0,5790,2012-02-20
2829.0,3001.0,2624.0,3001.0,38680,2012-02-27
3104.0,3241.0,2950.0,3018.0,13350,2012-03-05
2915.0,2915.0,2641.0,2641.0,2070,2012-03-12
2641.0,2829.0,2641.0,2829.0,5100,2012-03-19
2881.0,2881.0,2675.0,2744.0,7170,2012-03-26
2778.0,2847.0,2744.0,2744.0,11530,2012-04-03
2881.0,3052.0,2778.0,2950.0,23260,2012-04-09
3052.0,3172.0,3001.0,3001.0,8860,2012-04-16
3121.0,3121.0,3018.0,3087.0,8190,2012-04-23
3070.0,3155.0,3070.0,3104.0,21050,2012-05-02
3104.0,3172.0,3087.0,3172.0,14770,2012-05-07
3087.0,3155.0,3001.0,3001.0,6570,2012-05-14
3121.0,3121.0,2967.0,3121.0,5080,2012-05-21
2967.0,3087.0,2967.0,3087.0,2150,2012-05-28
3087.0,3207.0,2932.0,3207.0,11210,2012-06-04
3207.0,3279.0,3207.0,3279.0,610,2012-06-11
3279.0,3442.0,3134.0,3152.0,4580,2012-06-18
3152.0,3424.0,3152.0,3424.0,160,2012-06-25
3424.0,3424.0,2953.0,2953.0,470,2012-07-02
2826.0,2826.0,2319.0,2319.0,431700,2012-07-09
2428.0,2627.0,2265.0,2500.0,166110,2012-07-16
2500.0,2591.0,2410.0,2573.0,103780,2012-07-23
2536.0,2573.0,2446.0,2518.0,20360,2012-07-30
2428.0,2681.0,2410.0,2555.0,19730,2012-08-06
2645.0,2681.0,2555.0,2681.0,5160,2012-08-13
2681.0,2863.0,2645.0,2663.0,43210,2012-08-20
2591.0,2700.0,2500.0,2500.0,17180,2012-08-27
2609.0,2718.0,2609.0,2718.0,34010,2012-09-04
2591.0,2718.0,2591.0,2718.0,3470,2012-09-10
2681.0,2754.0,2609.0,2609.0,26090,2012-09-17
2609.0,2718.0,2609.0,2609.0,10440,2012-09-24
2609.0,2627.0,2609.0,2627.0,4730,2012-10-01
2609.0,2700.0,2482.0,2500.0,5600,2012-10-08
