open,high,low,close,volume,tradingDate
1244.0,1266.0,1244.0,1266.0,17900,2002-01-02
1289.0,1338.0,1289.0,1338.0,41700,2002-01-07
1338.0,1338.0,1286.0,1286.0,2400,2002-01-14
1286.0,1286.0,1286.0,1286.0,39000,2002-01-21
1309.0,1309.0,1283.0,1283.0,23100,2002-01-28
1283.0,1283.0,1260.0,1283.0,5700,2002-02-04
1283.0,1283.0,1237.0,1237.0,5600,2002-02-18
1237.0,1266.0,1237.0,1266.0,19700,2002-02-25
1289.0,1289.0,1276.0,1276.0,34400,2002-03-04
1283.0,1380.0,1283.0,1380.0,66700,2002-03-11
1380.0,1380.0,1380.0,1380.0,16000,2002-03-18
1354.0,1427.0,1348.0,1427.0,26600,2002-03-25
1400.0,1400.0,1299.0,1299.0,6600,2002-04-01
1299.0,1299.0,1286.0,1286.0,12800,2002-04-08
1292.0,1302.0,1276.0,1302.0,18000,2002-04-15
1302.0,1367.0,1302.0,1367.0,36100,2002-04-22
1393.0,1420.0,1393.0,1420.0,27600,2002-05-02
1443.0,1443.0,1390.0,1443.0,43200,2002-05-06
1443.0,1453.0,1443.0,1453.0,20300,2002-05-13
1453.0,1453.0,1437.0,1440.0,11800,2002-05-20
1453.0,1466.0,1443.0,1466.0,22700,2002-05-27
1466.0,1466.0,1450.0,1456.0,7100,2002-06-03
1479.0,1479.0,1443.0,1443.0,6500,2002-06-10
1440.0,1440.0,1387.0,1414.0,5200,2002-06-17
1440.0,1466.0,1440.0,1443.0,48300,2002-06-24
1443.0,1443.0,1433.0,1433.0,300,2002-07-01
1434.0,1434.0,1387.0,1387.0,6400,2002-07-08
1387.0,1393.0,1367.0,1367.0,10000,2002-07-15
1380.0,1414.0,1380.0,1407.0,15600,2002-07-22
1407.0,1430.0,1374.0,1374.0,35200,2002-07-29
1414.0,1430.0,1414.0,1430.0,22000,2002-08-05
1424.0,1440.0,1424.0,1440.0,28200,2002-08-12
1482.0,1531.0,1482.0,1531.0,32400,2002-08-19
1531.0,1554.0,1531.0,1554.0,27000,2002-08-26
1557.0,1557.0,1538.0,1538.0,12100,2002-09-03
1531.0,1531.0,1505.0,1505.0,18300,2002-09-09
1538.0,1538.0,1521.0,1521.0,11600,2002-09-16
1521.0,1521.0,1505.0,1505.0,13300,2002-09-23
1505.0,1505.0,1492.0,1502.0,10600,2002-09-30
1518.0,1518.0,1476.0,1476.0,4800,2002-10-07
1476.0,1492.0,1476.0,1489.0,6900,2002-10-14
1489.0,1525.0,1489.0,1505.0,3800,2002-10-21
1482.0,1505.0,1479.0,1479.0,6100,2002-10-28
1479.0,1479.0,1437.0,1440.0,6600,2002-11-04
1446.0,1457.0,1446.0,1457.0,2000,2002-11-11
1443.0,1463.0,1443.0,1463.0,9100,2002-11-18
1463.0,1473.0,1463.0,1473.0,5800,2002-11-25
