open,high,low,close,volume,tradingDate
8175.0,10219.0,7591.0,8876.0,7105590,2016-07-04
8292.0,8408.0,6598.0,6598.0,9107450,2016-07-11
6190.0,6306.0,5489.0,5547.0,6842270,2016-07-18
5547.0,5547.0,4905.0,5314.0,2159710,2016-07-25
5314.0,5372.0,4788.0,4905.0,840380,2016-08-01
4847.0,5430.0,4671.0,4963.0,3499860,2016-08-08
4963.0,5138.0,4671.0,4847.0,1936330,2016-08-15
4788.0,5255.0,4788.0,5080.0,2548340,2016-08-22
5080.0,5255.0,4788.0,4788.0,1373340,2016-08-29
4788.0,4905.0,4788.0,4847.0,978340,2016-09-05
4847.0,4905.0,4741.0,4771.0,1068860,2016-09-12
4771.0,4847.0,4671.0,4759.0,1182090,2016-09-19
4730.0,4730.0,4642.0,4683.0,1580510,2016-09-26
4683.0,4730.0,4671.0,4724.0,1090460,2016-10-03
4701.0,4718.0,4619.0,4630.0,1169130,2016-10-10
4636.0,4642.0,4525.0,4642.0,1497660,2016-10-17
4625.0,4847.0,4438.0,4776.0,1140290,2016-10-24
4730.0,4776.0,4590.0,4607.0,632840,2016-10-31
4595.0,4619.0,4555.0,4619.0,679990,2016-11-07
4619.0,4864.0,4584.0,4730.0,1857570,2016-11-14
4788.0,4852.0,4671.0,4759.0,919530,2016-11-21
4747.0,5314.0,4741.0,5314.0,1016310,2016-11-28
5290.0,5290.0,5022.0,5051.0,690380,2016-12-05
5051.0,5156.0,5016.0,5051.0,773630,2016-12-12
5051.0,5477.0,5022.0,5477.0,965410,2016-12-19
5489.0,5839.0,5092.0,5185.0,1398480,2016-12-26
5174.0,5547.0,5133.0,5314.0,1783290,2017-01-03
5547.0,5606.0,5144.0,5588.0,2135690,2017-01-09
5576.0,5740.0,5547.0,5687.0,1371840,2017-01-16
5664.0,5816.0,5647.0,5804.0,643720,2017-01-23
5798.0,6102.0,5792.0,6073.0,513080,2017-02-02
6190.0,6365.0,5839.0,5985.0,2034770,2017-02-06
5956.0,6744.0,5898.0,6598.0,4315580,2017-02-13
6627.0,6978.0,6423.0,6978.0,5950580,2017-02-20
6949.0,7562.0,5594.0,5606.0,9978860,2017-02-27
5606.0,5787.0,4677.0,4718.0,6227000,2017-03-06
4759.0,5015.0,4671.0,4852.0,2233620,2017-03-13
4846.0,4890.0,4669.0,4770.0,2709640,2017-03-20
4839.0,5475.0,4770.0,5160.0,5585000,2017-03-27
5129.0,5223.0,4720.0,4814.0,1570720,2017-04-03
4783.0,4946.0,4751.0,4820.0,2212170,2017-04-10
4795.0,4846.0,4663.0,4720.0,1563760,2017-04-17
4707.0,4883.0,4688.0,4883.0,1576480,2017-04-24
4896.0,5255.0,4852.0,5053.0,2069160,2017-05-03
5053.0,5192.0,4908.0,4971.0,1363130,2017-05-08
5034.0,5034.0,4890.0,4908.0,1213230,2017-05-15
4984.0,5141.0,4921.0,5085.0,1271020,2017-05-22
5129.0,5865.0,5097.0,5632.0,4878950,2017-05-29
5607.0,5664.0,5135.0,5160.0,2172840,2017-06-05
5129.0,5198.0,5110.0,5129.0,1097760,2017-06-12
5160.0,5412.0,5104.0,5229.0,1474420,2017-06-19
5280.0,5280.0,5160.0,5160.0,913910,2017-06-26
5135.0,5727.0,5135.0,5211.0,1281530,2017-07-03
5223.0,5462.0,5066.0,5418.0,1295440,2017-07-10
5393.0,5928.0,5393.0,5777.0,2413840,2017-07-17
5727.0,6022.0,5607.0,5947.0,2238250,2017-07-24
5978.0,6733.0,5852.0,6041.0,7408450,2017-07-31
5890.0,6154.0,5034.0,5129.0,3902680,2017-08-07
5129.0,5280.0,5072.0,5192.0,1310920,2017-08-14
5223.0,5443.0,5160.0,5406.0,2057800,2017-08-21
5443.0,5563.0,5154.0,5229.0,2426630,2017-08-28
5223.0,5519.0,5223.0,5292.0,3587860,2017-09-05
5292.0,5318.0,5204.0,5217.0,1587280,2017-09-11
5223.0,5343.0,5160.0,5255.0,1105320,2017-09-18
5255.0,5330.0,5192.0,5248.0,880780,2017-09-25
5286.0,5506.0,5223.0,5475.0,2075780,2017-10-02
5475.0,5563.0,5255.0,5349.0,2002760,2017-10-09
5380.0,5380.0,5267.0,5305.0,1187060,2017-10-16
5305.0,5380.0,5160.0,5336.0,1488900,2017-10-23
5343.0,5727.0,5318.0,5380.0,3066900,2017-10-30
5349.0,5632.0,5318.0,5324.0,2844410,2017-11-06
5324.0,5349.0,5229.0,5286.0,937600,2017-11-13
5286.0,5362.0,5192.0,5349.0,1103060,2017-11-20
5349.0,5531.0,5343.0,5475.0,1563730,2017-11-27
5462.0,5500.0,5192.0,5261.0,1323860,2017-12-04
5255.0,5273.0,5129.0,5248.0,1047160,2017-12-11
5255.0,5299.0,5192.0,5223.0,1365990,2017-12-18
5223.0,5286.0,5198.0,5211.0,1032340,2017-12-25
5311.0,5311.0,5173.0,5211.0,798290,2018-01-02
5223.0,5519.0,5192.0,5443.0,820080,2018-01-08
5355.0,5475.0,5318.0,5437.0,775130,2018-01-15
5437.0,5538.0,5286.0,5362.0,1619890,2018-01-22
5362.0,5362.0,5198.0,5305.0,1369090,2018-01-29
5305.0,5305.0,4858.0,5192.0,1066080,2018-02-05
5273.0,5318.0,5160.0,5318.0,761440,2018-02-12
5318.0,5469.0,5211.0,5469.0,628550,2018-02-21
5469.0,5670.0,5255.0,5362.0,2846340,2018-02-26
5349.0,5362.0,5053.0,5223.0,536560,2018-03-05
5160.0,5267.0,5135.0,5204.0,659160,2018-03-12
5192.0,5198.0,4921.0,5097.0,858870,2018-03-19
5097.0,5217.0,5041.0,5154.0,1350060,2018-03-26
5160.0,5160.0,5041.0,5066.0,420180,2018-04-02
5078.0,5223.0,5034.0,5104.0,1366910,2018-04-09
5104.0,5273.0,5041.0,5255.0,1063620,2018-04-16
5255.0,5255.0,4978.0,5248.0,332550,2018-04-23
5248.0,5248.0,4669.0,4669.0,339040,2018-05-02
4965.0,5211.0,4720.0,5211.0,1565380,2018-05-07
5211.0,5424.0,5192.0,5318.0,2960710,2018-05-14
5380.0,6085.0,5380.0,6041.0,3971150,2018-05-21
6041.0,6293.0,6041.0,6199.0,2026770,2018-05-28
6199.0,6796.0,6154.0,6670.0,3380230,2018-06-04
6796.0,6891.0,6670.0,6828.0,2034320,2018-06-11
6859.0,7331.0,6765.0,6922.0,3215300,2018-06-18
7048.0,9565.0,6954.0,9565.0,6732430,2018-06-25
9628.0,9974.0,7992.0,8244.0,4073830,2018-07-02
8307.0,8734.0,8118.0,8437.0,1877670,2018-07-09
8470.0,8668.0,8305.0,8437.0,1933670,2018-07-16
8437.0,8635.0,8371.0,8503.0,1146670,2018-07-23
8536.0,9788.0,8470.0,9788.0,5087660,2018-07-30
9854.0,10415.0,7218.0,7844.0,5277880,2018-08-06
7910.0,8009.0,6526.0,6624.0,1876340,2018-08-13
6756.0,6921.0,6624.0,6789.0,1246140,2018-08-20
6723.0,7613.0,6592.0,7415.0,2440310,2018-08-27
7350.0,7415.0,6559.0,6855.0,1125400,2018-09-04
6888.0,7251.0,6624.0,6933.0,1552360,2018-09-10
6878.0,7384.0,6878.0,7349.0,1560570,2018-09-17
7384.0,7419.0,7141.0,7315.0,2115450,2018-09-24
7349.0,7349.0,7176.0,7280.0,1994390,2018-10-01
7280.0,8840.0,7245.0,7384.0,5152240,2018-10-08
6933.0,7280.0,5533.0,6136.0,5129570,2018-10-15
5755.0,6081.0,4902.0,5158.0,5126520,2018-10-22
4798.0,4853.0,4229.0,4333.0,3746650,2018-10-29
4313.0,4562.0,4229.0,4368.0,2521120,2018-11-05
4403.0,4708.0,4160.0,4340.0,4487470,2018-11-12
4299.0,4368.0,3633.0,3640.0,4044690,2018-11-19
3640.0,3765.0,3418.0,3467.0,2780070,2018-11-26
3467.0,3564.0,3342.0,3474.0,2090350,2018-12-03
3522.0,3522.0,3432.0,3460.0,1260770,2018-12-10
3460.0,3481.0,3397.0,3453.0,1525480,2018-12-17
3453.0,3487.0,3370.0,3418.0,2111950,2018-12-24
3418.0,3467.0,3155.0,3390.0,934680,2019-01-02
3390.0,3695.0,3377.0,3474.0,867370,2019-01-07
3474.0,3529.0,3467.0,3467.0,568560,2019-01-14
3474.0,3571.0,3467.0,3536.0,419880,2019-01-21
3571.0,3834.0,3550.0,3793.0,908700,2019-01-28
3848.0,4077.0,3793.0,3952.0,1038150,2019-02-11
3924.0,4215.0,3917.0,3945.0,1455710,2019-02-18
3883.0,3890.0,3467.0,3487.0,733570,2019-02-25
3515.0,3591.0,3481.0,3501.0,1003480,2019-03-04
3474.0,3550.0,3467.0,3529.0,1023160,2019-03-11
3529.0,3779.0,3314.0,3328.0,4667120,2019-03-18
3259.0,3266.0,3134.0,3182.0,1030480,2019-03-25
3155.0,3252.0,3141.0,3169.0,1380790,2019-04-01
3169.0,3196.0,3058.0,3127.0,544150,2019-04-08
3127.0,3141.0,3051.0,3085.0,483930,2019-04-16
3085.0,3460.0,3058.0,3259.0,2430370,2019-04-22
3231.0,3259.0,3085.0,3085.0,357450,2019-05-02
3071.0,3071.0,2905.0,2947.0,851000,2019-05-06
2947.0,3002.0,2919.0,2947.0,951540,2019-05-13
2947.0,3169.0,2905.0,2947.0,1842630,2019-05-20
2919.0,2981.0,2676.0,2704.0,650580,2019-05-27
2642.0,2746.0,2635.0,2649.0,283080,2019-06-03
2649.0,2739.0,2628.0,2732.0,446950,2019-06-10
2649.0,2676.0,2607.0,2662.0,405350,2019-06-17
2635.0,2635.0,2468.0,2468.0,1431880,2019-06-24
2621.0,2635.0,2503.0,2531.0,707080,2019-07-01
2531.0,2704.0,2517.0,2635.0,256350,2019-07-08
2635.0,2683.0,2579.0,2593.0,853490,2019-07-15
2572.0,2669.0,2572.0,2649.0,241770,2019-07-22
2822.0,2857.0,2503.0,2593.0,794450,2019-07-29
2635.0,2739.0,2496.0,2565.0,313940,2019-08-05
2565.0,2600.0,2503.0,2517.0,413510,2019-08-12
2517.0,2565.0,2482.0,2517.0,849610,2019-08-19
2489.0,2510.0,2371.0,2496.0,354910,2019-08-26
2503.0,2503.0,2323.0,2392.0,556440,2019-09-03
2385.0,2427.0,2330.0,2427.0,504600,2019-09-09
2427.0,2510.0,2295.0,2427.0,545840,2019-09-16
2427.0,2489.0,2330.0,2385.0,186090,2019-09-23
2475.0,2475.0,2343.0,2378.0,262490,2019-09-30
2378.0,2413.0,2343.0,2357.0,628390,2019-10-07
2392.0,2503.0,2330.0,2503.0,1307540,2019-10-14
2503.0,2503.0,2330.0,2350.0,334390,2019-10-21
2295.0,2343.0,2295.0,2343.0,96170,2019-10-28
2288.0,2406.0,2184.0,2406.0,1427480,2019-11-04
2531.0,2981.0,2510.0,2912.0,4748800,2019-11-11
2829.0,2912.0,2309.0,2309.0,2602840,2019-11-18
2288.0,2565.0,2239.0,2461.0,1693030,2019-11-25
2461.0,2461.0,1955.0,1976.0,6227110,2019-12-02
2011.0,2226.0,1941.0,2018.0,3823750,2019-12-09
2011.0,2101.0,1969.0,1997.0,1216720,2019-12-16
2031.0,2378.0,1983.0,2025.0,6973410,2019-12-23
2025.0,2059.0,1941.0,1969.0,561590,2019-12-30
1983.0,2045.0,1934.0,1976.0,702400,2020-01-02
1976.0,2045.0,1775.0,1803.0,1353830,2020-01-06
1803.0,1823.0,1664.0,1719.0,891370,2020-01-13
1719.0,1733.0,1629.0,1706.0,282310,2020-01-20
1671.0,1692.0,1546.0,1553.0,389920,2020-01-30
1553.0,1615.0,1401.0,1595.0,712590,2020-02-03
1609.0,1907.0,1525.0,1768.0,1674650,2020-02-10
1733.0,1934.0,1636.0,1865.0,3943020,2020-02-17
1747.0,1803.0,1567.0,1595.0,989400,2020-02-24
1636.0,1775.0,1595.0,1775.0,3120470,2020-03-02
1733.0,1761.0,1491.0,1581.0,1175140,2020-03-09
1581.0,1678.0,1532.0,1588.0,394120,2020-03-16
1546.0,1615.0,1359.0,1505.0,901080,2020-03-23
1505.0,1602.0,1380.0,1574.0,788940,2020-03-30
1622.0,2184.0,1595.0,1976.0,2844280,2020-04-06
1844.0,2371.0,1844.0,2094.0,4813330,2020-04-13
2094.0,2558.0,2094.0,2343.0,4559930,2020-04-20
2357.0,2662.0,2337.0,2482.0,4432260,2020-04-27
2454.0,2808.0,2357.0,2371.0,9369280,2020-05-04
2226.0,2531.0,2226.0,2357.0,2904350,2020-05-11
2357.0,2357.0,2066.0,2087.0,1861460,2020-05-18
2094.0,2343.0,1997.0,1997.0,6163730,2020-05-25
2011.0,2267.0,2004.0,2267.0,5254870,2020-06-01
2357.0,2565.0,2205.0,2239.0,9610650,2020-06-08
2253.0,2406.0,2233.0,2330.0,2052190,2020-06-15
