open,high,low,close,volume,tradingDate
1747.0,2016.0,1747.0,2016.0,570,2009-05-19 07:00:00+00:00
2113.0,2555.0,2113.0,2555.0,63810,2009-05-25 07:00:00+00:00
2679.0,3207.0,2679.0,3207.0,280660,2009-06-01 07:00:00+00:00
3342.0,4016.0,3342.0,4016.0,1480680,2009-06-08 07:00:00+00:00
4204.0,4205.0,3504.0,3585.0,2396100,2009-06-15 07:00:00+00:00
3423.0,3531.0,3126.0,3234.0,1887960,2009-06-22 07:00:00+00:00
3288.0,3396.0,2911.0,2965.0,1486670,2009-06-29 07:00:00+00:00
3100.0,3396.0,3019.0,3234.0,1481300,2009-07-06 07:00:00+00:00
3234.0,3261.0,2965.0,3100.0,863640,2009-07-13 07:00:00+00:00
3019.0,3207.0,2857.0,3207.0,480770,2009-07-20 07:00:00+00:00
3342.0,3585.0,3342.0,3558.0,1976860,2009-07-27 07:00:00+00:00
3558.0,3693.0,3450.0,3504.0,1170120,2009-08-03 07:00:00+00:00
3612.0,3666.0,3504.0,3585.0,781020,2009-08-10 07:00:00+00:00
3585.0,3693.0,3396.0,3693.0,1354060,2009-08-17 07:00:00+00:00
3692.0,3800.0,3558.0,3612.0,952790,2009-08-24 07:00:00+00:00
3719.0,4151.0,3693.0,3854.0,2300220,2009-08-31 07:00:00+00:00
3773.0,4124.0,3666.0,4124.0,2119690,2009-09-07 07:00:00+00:00
4124.0,4447.0,4097.0,4205.0,2755070,2009-09-14 07:00:00+00:00
4232.0,4609.0,4205.0,4420.0,2549440,2009-09-21 07:00:00+00:00
4636.0,4636.0,3962.0,4043.0,2862210,2009-09-28 07:00:00+00:00
4097.0,4582.0,3935.0,4582.0,2132040,2009-10-05 07:00:00+00:00
4743.0,5256.0,4663.0,5013.0,3573180,2009-10-12 07:00:00+00:00
4959.0,5714.0,4905.0,5283.0,3266400,2009-10-19 07:00:00+00:00
5336.0,5444.0,4825.0,4959.0,2651740,2009-10-26 07:00:00+00:00
4717.0,4744.0,4366.0,4420.0,1859570,2009-11-02 07:00:00+00:00
4339.0,4582.0,4205.0,4474.0,1233110,2009-11-09 07:00:00+00:00
4528.0,4744.0,4366.0,4582.0,1603490,2009-11-16 07:00:00+00:00
4528.0,4582.0,3719.0,3773.0,1560240,2009-11-23 07:00:00+00:00
3881.0,4205.0,3827.0,4097.0,1144790,2009-11-30 07:00:00+00:00
4124.0,4124.0,3558.0,3558.0,1022330,2009-12-07 07:00:00+00:00
3611.0,3773.0,3315.0,3504.0,1023610,2009-12-14 07:00:00+00:00
3665.0,4178.0,3612.0,4178.0,1615030,2009-12-21 07:00:00+00:00
