open,high,low,close,volume,tradingDate
3568.0,3594.0,3515.0,3594.0,15520,2015-06-30
3489.0,3647.0,3489.0,3647.0,26070,2015-07-01
3515.0,3568.0,3515.0,3568.0,1200,2015-07-02
3568.0,3568.0,3568.0,3568.0,300,2015-07-03
3515.0,3568.0,3515.0,3568.0,1520,2015-07-06
3542.0,3568.0,3489.0,3568.0,3500,2015-07-07
3542.0,3594.0,3542.0,3594.0,4500,2015-07-08
3542.0,3568.0,3515.0,3568.0,1910,2015-07-09
3515.0,3594.0,3515.0,3594.0,960,2015-07-10
3621.0,3621.0,3515.0,3515.0,650,2015-07-13
3700.0,3700.0,3515.0,3542.0,7130,2015-07-14
3515.0,3515.0,3515.0,3515.0,5500,2015-07-15
3515.0,3515.0,3515.0,3515.0,10,2015-07-16
3515.0,3700.0,3515.0,3700.0,20,2015-07-17
3727.0,3727.0,3727.0,3727.0,10,2015-07-20
3568.0,3568.0,3568.0,3568.0,40,2015-07-21
3409.0,3806.0,3409.0,3806.0,7750,2015-07-22
3674.0,3806.0,3674.0,3806.0,550,2015-07-23
3700.0,3700.0,3700.0,3700.0,30,2015-07-24
3700.0,3727.0,3700.0,3727.0,70,2015-07-27
3542.0,3542.0,3542.0,3542.0,3000,2015-07-28
3542.0,3542.0,3515.0,3542.0,4050,2015-07-29
3542.0,3542.0,3542.0,3542.0,3440,2015-07-30
3542.0,3621.0,3542.0,3621.0,5010,2015-07-31
3647.0,3647.0,3647.0,3647.0,10,2015-08-03
3700.0,3700.0,3700.0,3700.0,10,2015-08-04
3753.0,3753.0,3674.0,3674.0,7690,2015-08-05
3674.0,3674.0,3621.0,3674.0,6010,2015-08-06
3647.0,3647.0,3542.0,3594.0,11010,2015-08-07
3594.0,3594.0,3515.0,3594.0,8010,2015-08-10
3753.0,3753.0,3568.0,3647.0,6020,2015-08-11
3647.0,3647.0,3647.0,3647.0,40,2015-08-12
3647.0,3647.0,3489.0,3489.0,7730,2015-08-13
3515.0,3647.0,3515.0,3542.0,6130,2015-08-14
3542.0,3542.0,3515.0,3515.0,6500,2015-08-17
3700.0,3700.0,3489.0,3542.0,5030,2015-08-18
3542.0,3542.0,3542.0,3542.0,0,2015-08-19
3489.0,3542.0,3489.0,3542.0,2660,2015-08-20
3489.0,3489.0,3409.0,3409.0,18430,2015-08-21
3357.0,3357.0,3277.0,3277.0,18210,2015-08-24
3224.0,3304.0,3224.0,3304.0,12730,2015-08-25
3251.0,3515.0,3224.0,3515.0,8510,2015-08-26
3277.0,3515.0,3277.0,3515.0,160,2015-08-27
3515.0,3515.0,3515.0,3515.0,0,2015-08-28
3304.0,3515.0,3277.0,3515.0,2280,2015-08-31
3304.0,3515.0,3304.0,3515.0,1250,2015-09-01
3330.0,3436.0,3330.0,3436.0,20,2015-09-03
3277.0,3277.0,3277.0,3277.0,4990,2015-09-04
3436.0,3436.0,3436.0,3436.0,100,2015-09-07
3436.0,3436.0,3436.0,3436.0,100,2015-09-08
3436.0,3489.0,3436.0,3489.0,4580,2015-09-09
3489.0,3489.0,3489.0,3489.0,0,2015-09-10
3436.0,3436.0,3436.0,3436.0,1000,2015-09-11
3277.0,3436.0,3277.0,3436.0,350,2015-09-14
3383.0,3436.0,3277.0,3436.0,350,2015-09-15
3436.0,3436.0,3436.0,3436.0,1500,2015-09-16
3436.0,3436.0,3436.0,3436.0,0,2015-09-17
3436.0,3436.0,3436.0,3436.0,1400,2015-09-18
3383.0,3462.0,3383.0,3436.0,44300,2015-09-21
3409.0,3462.0,3409.0,3409.0,41940,2015-09-22
3409.0,3462.0,3330.0,3436.0,53140,2015-09-23
3409.0,3409.0,3409.0,3409.0,1550,2015-09-24
3383.0,3383.0,3383.0,3383.0,1000,2015-09-25
3436.0,3436.0,3436.0,3436.0,200,2015-09-28
3436.0,3436.0,3436.0,3436.0,500,2015-09-29
3436.0,3436.0,3436.0,3436.0,0,2015-09-30
3436.0,3436.0,3436.0,3436.0,0,2015-10-01
3674.0,3674.0,3436.0,3436.0,200,2015-10-02
3436.0,3462.0,3436.0,3462.0,11340,2015-10-05
3436.0,3462.0,3436.0,3462.0,14800,2015-10-06
3436.0,3462.0,3436.0,3462.0,8000,2015-10-07
3462.0,3462.0,3436.0,3436.0,1140,2015-10-08
3436.0,3436.0,3436.0,3436.0,3160,2015-10-09
3436.0,3462.0,3436.0,3436.0,52100,2015-10-12
3409.0,3462.0,3409.0,3436.0,50780,2015-10-13
3436.0,3436.0,3409.0,3409.0,52990,2015-10-14
3436.0,3568.0,3436.0,3568.0,57950,2015-10-15
3568.0,3700.0,3515.0,3674.0,84410,2015-10-16
