open,high,low,close,volume,tradingDate
3989.0,7124.0,3989.0,6079.0,2568510,2007-10-08
6079.0,6173.0,4749.0,5224.0,1218820,2007-11-01
5271.0,5509.0,4844.0,5082.0,842080,2007-12-03
5081.0,5129.0,3942.0,4393.0,474150,2008-01-02
4416.0,4535.0,3063.0,3063.0,320530,2008-02-01
2921.0,3391.0,2317.0,2376.0,498820,2008-03-03
2395.0,2586.0,2112.0,2229.0,139250,2008-04-01
2273.0,2342.0,1825.0,1825.0,78120,2008-05-05
1790.0,1888.0,1629.0,1751.0,213650,2008-06-02
1771.0,1849.0,1332.0,1342.0,760800,2008-07-01
1381.0,2561.0,1381.0,2205.0,892160,2008-08-01
2312.0,2312.0,1571.0,1629.0,619000,2008-09-03
1605.0,1610.0,1044.0,1156.0,1017700,2008-10-01
1112.0,1278.0,1068.0,1151.0,445750,2008-11-03
1195.0,1195.0,1033.0,1144.0,187260,2008-12-01
1139.0,1165.0,1038.0,1160.0,85070,2009-01-02
1149.0,1181.0,937.0,1027.0,115620,2009-02-02
1027.0,1234.0,980.0,1171.0,238050,2009-03-02
1176.0,1404.0,1171.0,1271.0,699620,2009-04-01
1335.0,1933.0,1292.0,1679.0,1175140,2009-05-04
1758.0,2887.0,1753.0,2172.0,1703670,2009-06-01
2066.0,2315.0,1970.0,2203.0,593030,2009-07-01
2219.0,3151.0,2203.0,3072.0,2430220,2009-08-03
3072.0,4078.0,2860.0,3866.0,2944210,2009-09-01
3734.0,5402.0,3549.0,4396.0,2194490,2009-10-01
4184.0,5132.0,3833.0,4266.0,2125780,2009-11-02
4432.0,4466.0,3146.0,4033.0,1063830,2009-12-01
4233.0,4666.0,3699.0,3933.0,653480,2010-01-04
4066.0,4233.0,3833.0,4033.0,464400,2010-02-01
4066.0,4832.0,4066.0,4199.0,2482720,2010-03-01
4199.0,6001.0,4166.0,6001.0,4010470,2010-04-01
6195.0,6195.0,4743.0,5082.0,3653140,2010-05-04
5179.0,5227.0,4840.0,4985.0,1258890,2010-06-01
4937.0,5179.0,4821.0,4985.0,1706200,2010-07-01
4937.0,4937.0,4056.0,4608.0,1605020,2010-08-02
4608.0,4856.0,4371.0,4430.0,621620,2010-09-01
4549.0,4608.0,4212.0,4381.0,537430,2010-10-01
4321.0,4331.0,3627.0,4053.0,790600,2010-11-01
4063.0,4539.0,3895.0,4113.0,638720,2010-12-01
4162.0,4311.0,3875.0,3905.0,305550,2011-01-04
3915.0,3954.0,3072.0,3271.0,553750,2011-02-08
3231.0,3300.0,2676.0,2894.0,324110,2011-03-01
2924.0,2924.0,2626.0,2815.0,107780,2011-04-01
2815.0,2815.0,2188.0,2260.0,267710,2011-05-04
2307.0,2652.0,2307.0,2474.0,189800,2011-06-01
2486.0,2486.0,2117.0,2117.0,125880,2011-07-01
2022.0,2426.0,1903.0,2426.0,230310,2011-08-01
2379.0,2581.0,2236.0,2272.0,184420,2011-09-01
2272.0,2343.0,2069.0,2141.0,415690,2011-10-03
2141.0,2141.0,1855.0,1974.0,403830,2011-11-01
1986.0,2069.0,1820.0,2069.0,293070,2011-12-01
2022.0,2165.0,1843.0,2141.0,46570,2012-01-03
2081.0,2188.0,1939.0,2176.0,88740,2012-02-01
2141.0,2402.0,2125.0,2226.0,228720,2012-03-01
2138.0,2465.0,2113.0,2276.0,221810,2012-04-03
2201.0,2830.0,2201.0,2440.0,762400,2012-05-02
2440.0,2574.0,2242.0,2372.0,91620,2012-06-01
2386.0,2459.0,2155.0,2242.0,86150,2012-07-02
2314.0,2531.0,2155.0,2271.0,174430,2012-08-01
2169.0,2372.0,2083.0,2213.0,42800,2012-09-04
2169.0,2314.0,1967.0,2126.0,66450,2012-10-01
2097.0,2097.0,1793.0,1952.0,34500,2012-11-01
1952.0,2068.0,1880.0,2068.0,90060,2012-12-03
2068.0,2473.0,1923.0,2444.0,254520,2013-01-02
2314.0,2531.0,2314.0,2444.0,79160,2013-02-01
2444.0,2444.0,2097.0,2140.0,20100,2013-03-01
2198.0,2285.0,2025.0,2097.0,172570,2013-04-01
2097.0,2140.0,2025.0,2126.0,166780,2013-05-02
2126.0,2271.0,2025.0,2111.0,179640,2013-06-03
2054.0,2140.0,2025.0,2054.0,183790,2013-07-01
2039.0,2140.0,1866.0,2025.0,209710,2013-08-01
1923.0,2025.0,1707.0,1822.0,138880,2013-09-03
1822.0,2068.0,1692.0,2054.0,239590,2013-10-01
1967.0,2155.0,1909.0,2155.0,194120,2013-11-01
2054.0,2748.0,2025.0,2719.0,159150,2013-12-02
2603.0,2719.0,2357.0,2574.0,54010,2014-01-02
2574.0,3187.0,2544.0,2988.0,102500,2014-02-06
3019.0,4015.0,2835.0,3984.0,410000,2014-03-03
4076.0,4245.0,3708.0,3969.0,174630,2014-04-01
3923.0,3923.0,3218.0,3233.0,71450,2014-05-05
3034.0,3601.0,2911.0,3432.0,4460,2014-06-02
3249.0,3754.0,2865.0,3126.0,44030,2014-07-01
2927.0,3279.0,2850.0,3065.0,29550,2014-08-01
3065.0,3662.0,2988.0,3448.0,784780,2014-09-03
3448.0,3509.0,3141.0,3218.0,246120,2014-10-01
3080.0,3831.0,3019.0,3662.0,170690,2014-11-03
3815.0,3861.0,3371.0,3379.0,151410,2014-12-01
3448.0,3631.0,3126.0,3218.0,63420,2015-01-05
3333.0,3425.0,2988.0,3218.0,41860,2015-02-02
3034.0,3448.0,3034.0,3310.0,174260,2015-03-02
3471.0,3471.0,3126.0,3218.0,99530,2015-04-01
3126.0,3218.0,2942.0,3218.0,93190,2015-05-04
3218.0,3218.0,3011.0,3126.0,102090,2015-06-01
3034.0,3310.0,2965.0,3149.0,77220,2015-07-01
3172.0,3264.0,2804.0,3057.0,127170,2015-08-03
2873.0,3057.0,2850.0,2988.0,158270,2015-09-01
2988.0,3218.0,2758.0,3057.0,2281800,2015-10-01
3057.0,3614.0,2850.0,3447.0,5318380,2015-11-02
3447.0,3495.0,3210.0,3305.0,3525140,2015-12-01
3305.0,3495.0,3091.0,3257.0,3483510,2016-01-04
3257.0,3305.0,3115.0,3186.0,2037450,2016-02-01
3186.0,3257.0,3067.0,3138.0,2586630,2016-03-01
3138.0,3233.0,2996.0,3091.0,1063150,2016-04-01
3091.0,3447.0,2948.0,3329.0,510160,2016-05-04
3329.0,3447.0,2972.0,3257.0,114700,2016-06-01
3067.0,3329.0,2996.0,3329.0,511780,2016-07-01
3329.0,3329.0,3067.0,3329.0,257260,2016-08-01
3281.0,3531.0,3067.0,3162.0,8723040,2016-09-01
3115.0,3138.0,2782.0,2853.0,2889700,2016-10-03
2841.0,3008.0,2698.0,2972.0,2238960,2016-11-01
2981.0,2981.0,2733.0,2824.0,931090,2016-12-01
2838.0,2864.0,2668.0,2851.0,996520,2017-01-03
2851.0,2877.0,2694.0,2851.0,542090,2017-02-02
2851.0,3034.0,2668.0,2864.0,1696980,2017-03-01
2864.0,2929.0,2694.0,2811.0,1763140,2017-04-03
2798.0,3609.0,2785.0,3426.0,4230920,2017-05-03
3374.0,4408.0,3348.0,4268.0,9223800,2017-06-01
4268.0,4633.0,3804.0,4478.0,10618670,2017-07-03
4436.0,5082.0,4211.0,4871.0,12311740,2017-08-01
4997.0,5306.0,4422.0,5054.0,11200620,2017-09-01
5054.0,5250.0,4647.0,4927.0,9492790,2017-10-02
4941.0,5026.0,4548.0,4689.0,8278690,2017-11-01
4717.0,4801.0,4380.0,4618.0,5347580,2017-12-01
4618.0,4618.0,4015.0,4253.0,4577720,2018-01-02
4253.0,4268.0,3622.0,3903.0,3494750,2018-02-01
3818.0,4352.0,3594.0,4352.0,6562580,2018-03-01
4492.0,5222.0,4380.0,4885.0,11498180,2018-04-02
4913.0,4969.0,4183.0,4604.0,5507140,2018-05-02
4492.0,4885.0,4239.0,4496.0,4525030,2018-06-01
4418.0,4496.0,3679.0,4465.0,3637120,2018-07-02
4402.0,4496.0,3993.0,4088.0,2355300,2018-08-01
4056.0,4638.0,4040.0,4481.0,2680840,2018-09-04
4465.0,4496.0,3930.0,4056.0,2566980,2018-10-01
4040.0,4465.0,4009.0,4371.0,1222190,2018-11-01
4371.0,4717.0,4339.0,4402.0,1777330,2018-12-03
4418.0,4717.0,4339.0,4418.0,2169170,2019-01-02
4465.0,4591.0,4355.0,4434.0,1327840,2019-02-01
4434.0,5345.0,4402.0,4968.0,7253080,2019-03-01
4968.0,5660.0,4717.0,4717.0,11340810,2019-04-01
4717.0,5377.0,4402.0,5125.0,6264520,2019-05-02
5031.0,5677.0,4937.0,5388.0,4929680,2019-06-03
5388.0,6038.0,5351.0,5767.0,8403810,2019-07-01
5713.0,8407.0,5713.0,7394.0,21661840,2019-08-01
7232.0,8136.0,6960.0,7629.0,11089800,2019-09-03
7629.0,8859.0,7611.0,7955.0,15922370,2019-10-01
7955.0,8642.0,7883.0,8118.0,8295510,2019-11-01
8099.0,9112.0,7593.0,8606.0,9266760,2019-12-02
8570.0,9148.0,7521.0,7593.0,8087630,2020-01-02
7087.0,8172.0,6942.0,7177.0,6767400,2020-02-03
7196.0,7521.0,4990.0,5478.0,16918930,2020-03-02
5496.0,6472.0,5496.0,6111.0,10020640,2020-04-01
6038.0,7069.0,5966.0,6653.0,18900610,2020-05-04
6653.0,7235.0,6195.0,6320.0,17754380,2020-06-01
6362.0,6965.0,6112.0,6320.0,14282180,2020-07-01
6320.0,7880.0,6299.0,7401.0,25414570,2020-08-03
7443.0,9460.0,7318.0,9376.0,27720050,2020-09-01
9501.0,10104.0,8773.0,9418.0,21625970,2020-10-01
9522.0,11185.0,9127.0,10811.0,16831010,2020-11-02
10582.0,16154.0,10582.0,15364.0,23542880,2020-12-01
15302.0,17422.0,13763.0,14782.0,23771200,2021-01-04
14553.0,18711.0,14137.0,17131.0,15352100,2021-02-01
17131.0,19543.0,17048.0,17921.0,24425500,2021-03-01
18046.0,19127.0,15884.0,16424.0,10867300,2021-04-01
16300.0,21871.0,15717.0,21788.0,20570300,2021-05-04
21955.0,28587.0,20998.0,26975.0,22452600,2021-06-01
27339.0,32173.0,24481.0,30977.0,21254600,2021-07-01
30666.0,35032.0,30666.0,34252.0,21060100,2021-08-02
34564.0,38982.0,33368.0,38254.0,14479900,2021-09-01
38722.0,56913.0,38306.0,55406.0,14877900,2021-10-01
56134.0,61799.0,44959.0,47298.0,18113400,2021-11-01
47298.0,56653.0,47298.0,49377.0,14747200,2021-12-01
49897.0,55146.0,38462.0,41061.0,13363400,2022-01-04
42100.0,48285.0,36383.0,45687.0,9994500,2022-02-07
45219.0,57121.0,44751.0,53535.0,18571400,2022-03-01
53587.0,55614.0,31445.0,38358.0,18167900,2022-04-01
37994.0,38306.0,25884.0,31705.0,25186500,2022-05-04
31705.0,32485.0,18971.0,24039.0,28276400,2022-06-01
23844.0,31380.0,22090.0,30211.0,30567600,2022-07-01
30406.0,36578.0,29886.0,35408.0,42935300,2022-08-01
35408.0,36903.0,23389.0,26280.0,40047719,2022-09-05
26020.0,28911.0,16860.0,18321.0,58628006,2022-10-03
18516.0,24688.0,17217.0,24039.0,62548907,2022-11-01
24688.0,25338.0,18062.0,18776.0,25404975,2022-12-01
19166.0,22414.0,18841.0,22220.0,13156025,2023-01-03
22414.0,22414.0,17737.0,19556.0,17345573,2023-02-01
19458.0,21083.0,19101.0,20823.0,18877558,2023-03-01
21440.0,23227.0,20400.0,22707.0,28933783,2023-04-03
22382.0,24169.0,21765.0,23779.0,21769464,2023-05-04
23779.0,24891.0,22699.0,22739.0,21378565,2023-06-01
22983.0,33581.0,22496.0,30008.0,61043310,2023-07-03
30373.0,31470.0,25176.0,29480.0,135014235,2023-08-01
29967.0,31267.0,23714.0,25013.0,75219335,2023-09-05
25013.0,26272.0,22455.0,24120.0,56607087,2023-10-02
24364.0,29805.0,23876.0,26434.0,95555821,2023-11-01
26678.0,28627.0,25663.0,26516.0,44730157,2023-12-01
26759.0,27368.0,24445.0,25094.0,36959386,2024-01-02
25094.0,26150.0,24526.0,25094.0,30044154,2024-02-01
25176.0,28871.0,23145.0,28384.0,100486781,2024-03-01
28384.0,28911.0,23592.0,24784.0,64860619,2024-04-01
24784.0,29479.0,24088.0,27566.0,56055304,2024-05-02
28175.0,29088.0,24262.0,25088.0,53569797,2024-06-03
25131.0,26914.0,23523.0,24697.0,32196754,2024-07-01
24740.0,25784.0,21783.0,24740.0,27756607,2024-08-01
24349.0,27350.0,23610.0,26950.0,26786071,2024-09-04
27000.0,27900.0,24850.0,26050.0,69562459,2024-10-01
25800.0,26500.0,24000.0,25500.0,43381658,2024-11-01
25600.0,27350.0,25000.0,25050.0,64049325,2024-12-02
25100.0,25600.0,23200.0,24150.0,23571816,2025-01-02
24000.0,25250.0,23900.0,24700.0,30055721,2025-02-03
24950.0,25850.0,24750.0,24950.0,9952295,2025-03-03
