open,high,low,close,volume,tradingDate
3721.0,4262.0,3721.0,4262.0,297100,2010-02-02
4154.0,4226.0,3793.0,4082.0,395110,2010-02-08
4190.0,4226.0,3973.0,4082.0,169270,2010-02-22
4082.0,4443.0,4082.0,4443.0,350980,2010-03-01
4515.0,5165.0,4443.0,5165.0,456110,2010-03-08
5274.0,5527.0,5202.0,5346.0,463380,2010-03-15
5274.0,5274.0,4876.0,5202.0,641320,2010-03-22
5202.0,5418.0,5021.0,5418.0,524930,2010-03-29
5599.0,5888.0,5382.0,5888.0,894650,2010-04-05
6160.0,6433.0,5942.0,6269.0,770950,2010-04-12
6106.0,6269.0,5888.0,6051.0,253790,2010-04-19
6051.0,6324.0,5942.0,6269.0,361230,2010-04-26
6433.0,6433.0,5942.0,5942.0,454500,2010-05-04
5942.0,5942.0,5724.0,5724.0,497740,2010-05-10
5615.0,5670.0,5261.0,5343.0,519510,2010-05-17
5370.0,5615.0,5233.0,5615.0,235560,2010-05-24
5370.0,5506.0,5343.0,5343.0,91710,2010-05-31
5343.0,5397.0,5206.0,5370.0,81480,2010-06-07
5315.0,5452.0,5315.0,5370.0,142410,2010-06-14
5370.0,5561.0,5261.0,5370.0,274170,2010-06-21
5397.0,5397.0,5288.0,5343.0,180930,2010-06-28
5343.0,5370.0,5288.0,5370.0,125360,2010-07-05
5343.0,5452.0,5315.0,5370.0,85350,2010-07-12
5370.0,5424.0,5288.0,5343.0,107480,2010-07-19
5343.0,5343.0,5261.0,5288.0,195220,2010-07-26
5288.0,5506.0,5288.0,5315.0,108500,2010-08-02
5233.0,5261.0,4688.0,4743.0,252120,2010-08-09
4906.0,4961.0,4634.0,4634.0,84370,2010-08-16
4797.0,4797.0,4307.0,4307.0,246970,2010-08-23
4498.0,4797.0,4361.0,4797.0,67590,2010-08-30
4716.0,4961.0,4552.0,4552.0,75880,2010-09-06
4361.0,4797.0,4334.0,4797.0,86840,2010-09-13
4797.0,4906.0,4525.0,4607.0,81910,2010-09-20
4579.0,4688.0,4579.0,4688.0,195210,2010-09-27
4688.0,4797.0,4443.0,4579.0,131860,2010-10-04
4634.0,4634.0,4498.0,4552.0,76180,2010-10-11
4634.0,4634.0,4361.0,4525.0,36490,2010-10-18
4525.0,4579.0,4443.0,4525.0,10830,2010-10-25
4525.0,4525.0,4143.0,4416.0,31430,2010-11-01
4416.0,4416.0,4143.0,4279.0,38740,2010-11-08
4143.0,4143.0,3734.0,3925.0,92170,2010-11-15
3925.0,3980.0,3653.0,3871.0,40720,2010-11-22
3871.0,4116.0,3871.0,3980.0,53950,2010-11-29
3925.0,4089.0,3816.0,4061.0,80080,2010-12-06
4225.0,4416.0,4116.0,4252.0,175290,2010-12-13
4252.0,4334.0,3980.0,4007.0,164180,2010-12-20
4007.0,4279.0,4007.0,4089.0,147470,2010-12-27
3980.0,4225.0,3980.0,4089.0,42780,2011-01-04
4089.0,4256.0,3980.0,4256.0,28540,2011-01-10
4256.0,4560.0,4145.0,4422.0,30170,2011-01-17
4643.0,4753.0,4422.0,4671.0,36580,2011-01-24
4477.0,4753.0,4477.0,4505.0,32770,2011-02-08
4505.0,4588.0,4422.0,4560.0,17420,2011-02-14
4339.0,4339.0,3897.0,3924.0,29230,2011-02-21
4118.0,4118.0,3869.0,3897.0,11600,2011-02-28
3897.0,4145.0,3841.0,4145.0,26330,2011-03-07
4090.0,4145.0,3869.0,3897.0,16230,2011-03-14
3952.0,4035.0,3841.0,3924.0,30510,2011-03-21
3924.0,3952.0,3786.0,3897.0,10780,2011-03-28
3869.0,3897.0,3814.0,3814.0,2760,2011-04-04
3786.0,3869.0,3676.0,3676.0,5270,2011-04-13
3814.0,3980.0,3759.0,3786.0,11730,2011-04-18
3814.0,3888.0,3609.0,3709.0,12000,2011-04-25
3843.0,3843.0,3431.0,3431.0,29600,2011-05-04
3509.0,3843.0,3453.0,3843.0,12050,2011-05-09
3654.0,3709.0,3364.0,3565.0,24110,2011-05-16
3698.0,3832.0,3175.0,3331.0,40200,2011-05-23
3475.0,3620.0,3331.0,3509.0,27210,2011-05-30
3509.0,3565.0,3242.0,3342.0,35140,2011-06-06
3453.0,3453.0,3108.0,3308.0,29940,2011-06-13
3331.0,3386.0,2874.0,3063.0,87700,2011-06-20
3208.0,3219.0,2852.0,2918.0,12640,2011-06-27
2996.0,2996.0,2618.0,2618.0,21020,2011-07-04
2495.0,2495.0,2261.0,2317.0,42070,2011-07-11
2228.0,2272.0,2116.0,2116.0,79380,2011-07-18
2116.0,2116.0,1827.0,1905.0,121240,2011-07-25
1916.0,1916.0,1793.0,1805.0,158560,2011-08-01
1871.0,1871.0,1593.0,1649.0,246640,2011-08-08
1649.0,1894.0,1649.0,1849.0,256940,2011-08-15
1849.0,2094.0,1849.0,1927.0,99300,2011-08-22
1949.0,2172.0,1949.0,2072.0,186790,2011-08-29
2072.0,2105.0,1905.0,1994.0,182240,2011-09-05
2005.0,2395.0,1994.0,2395.0,945630,2011-09-12
2284.0,2484.0,2116.0,2116.0,558310,2011-09-19
2116.0,2116.0,1938.0,2027.0,553170,2011-09-26
2050.0,2050.0,1860.0,1871.0,579440,2011-10-03
1905.0,1916.0,1749.0,1782.0,368140,2011-10-10
1760.0,1782.0,1682.0,1771.0,340410,2011-10-17
1771.0,1827.0,1715.0,1827.0,360470,2011-10-24
1849.0,1849.0,1682.0,1715.0,216680,2011-10-31
1738.0,1738.0,1515.0,1515.0,277700,2011-11-07
1504.0,1504.0,1359.0,1370.0,684630,2011-11-14
1370.0,1470.0,1370.0,1437.0,169530,2011-11-21
1482.0,1504.0,1426.0,1482.0,86510,2011-11-28
1548.0,1615.0,1459.0,1459.0,261330,2011-12-05
1448.0,1504.0,1381.0,1470.0,160290,2011-12-12
1470.0,1526.0,1415.0,1484.0,110540,2011-12-19
1424.0,1424.0,1171.0,1255.0,1049930,2011-12-26
1315.0,1315.0,1207.0,1231.0,49650,2012-01-03
1219.0,1339.0,1195.0,1327.0,91770,2012-01-09
1327.0,1496.0,1327.0,1484.0,114990,2012-01-16
1545.0,1545.0,1412.0,1508.0,289250,2012-01-30
1448.0,1617.0,1448.0,1472.0,651050,2012-02-06
1448.0,1520.0,1400.0,1520.0,591190,2012-02-13
