open,high,low,close,volume,tradingDate
1891.0,2488.0,1837.0,2297.0,205700,2013-03-26
2144.0,2350.0,1707.0,1899.0,384700,2013-04-01
1975.0,2802.0,1914.0,2748.0,1753700,2013-05-02
2718.0,2833.0,2263.0,2387.0,781100,2013-06-03
2362.0,2568.0,2230.0,2271.0,353700,2013-07-01
2254.0,2743.0,2244.0,2543.0,393300,2013-08-01
2560.0,2756.0,2301.0,2345.0,280800,2013-09-03
2329.0,2668.0,2148.0,2378.0,446200,2013-10-01
2362.0,2868.0,2334.0,2638.0,2244500,2013-11-01
2673.0,3288.0,2552.0,3020.0,3285700,2013-12-02
3020.0,3448.0,3132.0,3332.0,4922300,2014-01-02
3332.0,4040.0,3249.0,3957.0,5480040,2014-02-06
3905.0,4160.0,3599.0,3749.0,5687040,2014-03-03
3749.0,3831.0,3021.0,3124.0,1912930,2014-04-01
3176.0,3118.0,2477.0,2898.0,1770740,2014-05-05
2933.0,3081.0,2782.0,2968.0,813470,2014-06-02
2985.0,3178.0,2830.0,2916.0,1067500,2014-07-01
2881.0,3587.0,2651.0,3384.0,1555810,2014-08-01
3436.0,3424.0,3020.0,3199.0,1390700,2014-09-03
3217.0,3700.0,2928.0,3072.0,1680880,2014-10-01
3109.0,3257.0,2866.0,3109.0,574200,2014-11-03
3072.0,3513.0,2932.0,3163.0,2342980,2014-12-01
3091.0,4319.0,3020.0,4030.0,3580720,2015-01-05
4030.0,4493.0,3621.0,4410.0,2970900,2015-02-02
4428.0,4623.0,3937.0,4030.0,3997200,2015-03-02
3976.0,4240.0,3729.0,3759.0,1238400,2015-04-01
3759.0,4074.0,3180.0,3755.0,2048210,2015-05-04
3716.0,4248.0,3608.0,3931.0,2624510,2015-06-01
3931.0,4147.0,3530.0,3618.0,1237000,2015-07-01
3598.0,3642.0,2718.0,3070.0,737610,2015-08-03
3109.0,3273.0,2999.0,3148.0,517500,2015-09-01
3129.0,3568.0,3060.0,3383.0,941600,2015-10-01
3364.0,3409.0,3177.0,3246.0,675200,2015-11-02
3246.0,3479.0,3185.0,3383.0,332800,2015-12-01
3324.0,3622.0,2723.0,2796.0,1199600,2016-01-04
2796.0,2904.0,2708.0,2836.0,599100,2016-02-01
2894.0,2987.0,2678.0,2816.0,924800,2016-03-01
2836.0,3101.0,2613.0,2679.0,690300,2016-04-01
2660.0,2758.0,2630.0,2679.0,335500,2016-05-04
2679.0,2906.0,2641.0,2777.0,839000,2016-06-01
2757.0,3083.0,2664.0,2796.0,1447600,2016-07-01
2738.0,2939.0,2541.0,2687.0,682600,2016-08-01
2687.0,2698.0,2352.0,2469.0,300100,2016-09-01
2469.0,3104.0,2358.0,2840.0,825900,2016-10-03
2796.0,3247.0,2551.0,2600.0,925200,2016-11-01
2600.0,2862.0,2495.0,2578.0,289700,2016-12-01
2578.0,2809.0,2578.0,2687.0,230500,2017-01-03
2600.0,2860.0,2644.0,2731.0,351400,2017-02-02
2709.0,2958.0,2685.0,2731.0,730300,2017-03-01
2731.0,2751.0,2496.0,2578.0,361700,2017-04-03
2556.0,2940.0,2558.0,2644.0,690300,2017-05-03
2644.0,2764.0,2575.0,2622.0,676400,2017-06-01
2622.0,2704.0,2461.0,2578.0,305100,2017-07-03
2578.0,2707.0,2458.0,2556.0,166900,2017-08-01
2534.0,2732.0,2556.0,2687.0,297700,2017-09-01
2709.0,2919.0,2518.0,2610.0,653500,2017-10-02
2610.0,2982.0,2530.0,2809.0,603800,2017-11-01
2809.0,3637.0,2622.0,3405.0,852790,2017-12-01
3405.0,3886.0,3013.0,3480.0,1074520,2018-01-02
3480.0,3734.0,3276.0,3579.0,410500,2018-02-01
3604.0,5492.0,3602.0,4847.0,2629110,2018-03-01
4872.0,5266.0,4600.0,4684.0,1322270,2018-04-02
4850.0,5541.0,4417.0,4850.0,1035510,2018-05-02
4850.0,5388.0,4594.0,4950.0,649320,2018-06-01
4950.0,5150.0,4403.0,4916.0,156680,2018-07-02
4817.0,5053.0,4752.0,4883.0,172950,2018-08-01
4983.0,5671.0,4656.0,5348.0,452210,2018-09-04
5481.0,5938.0,4823.0,4931.0,2448447,2018-10-01
5051.0,5623.0,4857.0,5091.0,661720,2018-11-01
5051.0,5142.0,4413.0,4530.0,745600,2018-12-03
4570.0,5658.0,4506.0,5252.0,581933,2019-01-02
5292.0,5642.0,5230.0,5412.0,397107,2019-02-01
5412.0,5932.0,5412.0,5813.0,837567,2019-03-01
5813.0,6360.0,5894.0,6214.0,884430,2019-04-01
6254.0,6285.0,5700.0,5933.0,646692,2019-05-02
5933.0,6277.0,5649.0,5933.0,173548,2019-06-03
5933.0,6244.0,5537.0,5973.0,223118,2019-07-01
5973.0,6484.0,5883.0,6094.0,285406,2019-08-01
6054.0,6932.0,6042.0,6495.0,511553,2019-09-03
6535.0,7207.0,5880.0,6762.0,2325860,2019-10-01
6713.0,6860.0,6566.0,6664.0,574317,2019-11-01
6664.0,9555.0,6566.0,8085.0,1698382,2019-12-02
8085.0,8820.0,7742.0,8330.0,387689,2020-01-02
7840.0,9310.0,7840.0,8232.0,267172,2020-02-03
8330.0,9065.0,7840.0,8673.0,363609,2020-03-02
8330.0,8918.0,8085.0,8428.0,89700,2020-04-01
8575.0,10633.0,8428.0,9898.0,640263,2020-05-04
9849.0,10535.0,9555.0,9996.0,845750,2020-06-01
9947.0,10633.0,8820.0,9310.0,1593686,2020-07-01
9261.0,12348.0,9261.0,12201.0,3283717,2020-08-03
12201.0,14455.0,12005.0,14112.0,3587223,2020-09-01
14210.0,14994.0,13034.0,13377.0,2067790,2020-10-01
13279.0,18619.0,13181.0,16463.0,4528400,2020-11-02
16463.0,16689.0,13238.0,14370.0,4553428,2020-12-01
14709.0,15897.0,11767.0,13804.0,3424116,2021-01-04
13861.0,15954.0,12842.0,15218.0,2805410,2021-02-01
15218.0,20084.0,14596.0,17538.0,7294543,2021-03-01
17368.0,18104.0,15614.0,17538.0,3367639,2021-04-01
16972.0,19235.0,16519.0,18386.0,2174860,2021-05-04
18160.0,21385.0,17821.0,19235.0,3144383,2021-06-01
19292.0,19461.0,17821.0,18726.0,701000,2021-07-01
18726.0,21951.0,18669.0,21045.0,777249,2021-08-02
20989.0,22064.0,20366.0,20641.0,633873,2021-09-01
20641.0,35393.0,20276.0,33268.0,2685681,2021-10-01
32782.0,34603.0,23069.0,23676.0,3806137,2021-11-01
23676.0,27561.0,22158.0,23858.0,2172310,2021-12-01
23858.0,29140.0,23372.0,24101.0,2024133,2022-01-04
24587.0,28836.0,24283.0,26104.0,1749175,2022-02-07
25801.0,31447.0,24890.0,29443.0,2930871,2022-03-01
29383.0,32782.0,22462.0,26165.0,2171866,2022-04-01
26165.0,26165.0,18698.0,23069.0,676600,2022-05-04
23008.0,23069.0,13781.0,16391.0,593817,2022-06-01
15845.0,17484.0,15480.0,17180.0,197017,2022-07-01
16998.0,25922.0,16937.0,25922.0,811977,2022-08-01
25862.0,31265.0,23190.0,24526.0,1133929,2022-09-05
22098.0,25497.0,13963.0,15723.0,712227,2022-10-03
16391.0,20216.0,10563.0,19123.0,653167,2022-11-01
19730.0,20216.0,14995.0,18101.0,309471,2022-12-01
18101.0,18924.0,17088.0,17531.0,231503,2023-01-03
18291.0,18291.0,15696.0,16329.0,226901,2023-02-01
15823.0,17405.0,14936.0,17215.0,140330,2023-03-01
17341.0,23417.0,16772.0,22531.0,496224,2023-04-03
22658.0,23734.0,22215.0,23101.0,307238,2023-05-04
22911.0,25316.0,18671.0,18987.0,339320,2023-06-01
18987.0,21392.0,18671.0,20633.0,620471,2023-07-03
20633.0,20886.0,18987.0,19303.0,589525,2023-08-01
19303.0,20253.0,16519.0,17531.0,708804,2023-09-05
18038.0,18038.0,15190.0,15379.0,280231,2023-10-02
