open,high,low,close,volume,tradingDate
6700.0,9004.0,6432.0,6432.0,78800,2016-10-05
6432.0,6592.0,5681.0,5681.0,19700,2016-10-06
6432.0,6753.0,5199.0,5253.0,500,2016-10-07
5253.0,5253.0,5145.0,5145.0,16200,2016-10-10
4449.0,4449.0,4449.0,4449.0,5100,2016-10-11
5092.0,5092.0,5092.0,5092.0,2900,2016-10-12
5842.0,5842.0,5788.0,5788.0,9940,2016-10-13
5896.0,5896.0,5896.0,5896.0,108,2016-10-14
5628.0,5628.0,5038.0,5038.0,22400,2016-10-17
5467.0,5788.0,5467.0,5788.0,7640,2016-10-18
5360.0,6432.0,5092.0,6432.0,30200,2016-10-19
5360.0,6592.0,5360.0,6592.0,13000,2016-10-20
5628.0,6753.0,5628.0,6753.0,10100,2016-10-21
6968.0,6968.0,6378.0,6378.0,3000,2016-10-24
6432.0,6860.0,6432.0,6432.0,3000,2016-10-25
6646.0,6807.0,5735.0,6164.0,4700,2016-10-26
6432.0,6968.0,5949.0,6485.0,42900,2016-10-27
6863.0,6863.0,6863.0,6863.0,0,2016-10-28
6378.0,7236.0,6271.0,7236.0,42608,2016-10-31
6164.0,6324.0,6164.0,6324.0,6800,2016-11-01
6432.0,6432.0,5896.0,5896.0,1800,2016-11-02
5896.0,5896.0,5896.0,5896.0,2000,2016-11-03
5896.0,5896.0,5360.0,5628.0,5400,2016-11-04
5521.0,5628.0,5521.0,5628.0,3900,2016-11-07
5574.0,5574.0,5360.0,5360.0,2200,2016-11-08
4663.0,4663.0,4663.0,4663.0,100,2016-11-09
5360.0,5360.0,5145.0,5145.0,1200,2016-11-10
4556.0,5628.0,4556.0,5628.0,200,2016-11-11
5092.0,5092.0,5092.0,5092.0,0,2016-11-14
5199.0,5199.0,5199.0,5199.0,100,2016-11-15
5681.0,5681.0,5681.0,5681.0,100,2016-11-16
5735.0,5735.0,5735.0,5735.0,2100,2016-11-17
5735.0,5735.0,5735.0,5735.0,0,2016-11-18
5628.0,5628.0,5628.0,5628.0,500,2016-11-21
5360.0,5360.0,5360.0,5360.0,1200,2016-11-22
5360.0,5360.0,5360.0,5360.0,6400,2016-11-23
5360.0,5360.0,5360.0,5360.0,0,2016-11-24
5360.0,5360.0,5092.0,5092.0,2200,2016-11-25
5949.0,5949.0,5360.0,5360.0,4700,2016-11-28
6432.0,6432.0,4877.0,5145.0,8000,2016-11-29
5628.0,6700.0,5628.0,6700.0,43700,2016-11-30
5467.0,6217.0,5467.0,5788.0,6100,2016-12-01
5788.0,5896.0,5788.0,5896.0,3500,2016-12-02
5735.0,5735.0,5735.0,5735.0,300,2016-12-05
5735.0,5735.0,5735.0,5735.0,1000,2016-12-06
5788.0,5788.0,5788.0,5788.0,900,2016-12-07
5306.0,5360.0,5092.0,5360.0,30300,2016-12-08
5360.0,5360.0,5360.0,5360.0,300,2016-12-09
5360.0,5360.0,5360.0,5360.0,0,2016-12-12
5360.0,5360.0,4931.0,4931.0,2800,2016-12-13
5681.0,5681.0,5360.0,5360.0,5700,2016-12-14
5642.0,5642.0,5642.0,5642.0,0,2016-12-15
5360.0,5360.0,5145.0,5360.0,3200,2016-12-16
5313.0,5313.0,5313.0,5313.0,0,2016-12-19
5313.0,5313.0,5313.0,5313.0,0,2016-12-20
5628.0,5628.0,5628.0,5628.0,100,2016-12-21
5628.0,5628.0,5628.0,5628.0,0,2016-12-22
5628.0,5628.0,5628.0,5628.0,0,2016-12-23
6056.0,6164.0,6056.0,6164.0,5000,2016-12-26
6142.0,6142.0,6142.0,6142.0,0,2016-12-27
6142.0,6142.0,6142.0,6142.0,0,2016-12-28
5782.0,6709.0,5727.0,5727.0,26600,2016-12-29
5346.0,6273.0,5346.0,6273.0,26700,2016-12-30
5455.0,5455.0,5455.0,5455.0,5000,2017-01-03
5727.0,5727.0,5727.0,5727.0,100,2017-01-04
5727.0,5727.0,5727.0,5727.0,0,2017-01-05
5727.0,5727.0,5727.0,5727.0,0,2017-01-06
5727.0,5727.0,5727.0,5727.0,0,2017-01-09
5182.0,5182.0,5182.0,5182.0,1100,2017-01-10
