open,high,low,close,volume,tradingDate
6460.0,6505.0,6341.0,6460.0,165500,2015-07-16
6534.0,6579.0,6475.0,6505.0,220250,2015-07-17
6460.0,6460.0,6355.0,6370.0,160700,2015-07-20
6341.0,6430.0,6341.0,6370.0,84790,2015-07-21
6341.0,6490.0,6341.0,6490.0,153200,2015-07-22
6475.0,6490.0,6385.0,6400.0,126170,2015-07-23
6475.0,6848.0,6415.0,6848.0,808730,2015-07-24
6997.0,7280.0,6937.0,7101.0,687480,2015-07-27
7101.0,7146.0,6848.0,6848.0,351340,2015-07-28
6714.0,6728.0,6370.0,6400.0,914220,2015-07-29
6341.0,6415.0,6266.0,6281.0,720620,2015-07-30
6281.0,6415.0,6281.0,6326.0,111590,2015-07-31
6251.0,6266.0,5968.0,6162.0,721690,2015-08-03
6176.0,6221.0,6147.0,6206.0,271540,2015-08-04
6251.0,6296.0,6206.0,6221.0,376670,2015-08-05
6221.0,6326.0,6221.0,6266.0,347130,2015-08-06
6266.0,6341.0,6236.0,6341.0,239550,2015-08-07
6370.0,6549.0,6370.0,6490.0,372820,2015-08-10
6490.0,6579.0,6460.0,6520.0,443850,2015-08-11
6490.0,6520.0,6355.0,6385.0,307730,2015-08-12
6370.0,6385.0,6251.0,6281.0,202210,2015-08-13
6341.0,6415.0,6266.0,6400.0,140970,2015-08-14
6341.0,6400.0,6266.0,6341.0,162990,2015-08-17
6341.0,6490.0,6296.0,6490.0,291930,2015-08-18
6460.0,6475.0,6326.0,6475.0,187030,2015-08-19
6475.0,6475.0,6355.0,6415.0,139050,2015-08-20
6415.0,6415.0,6266.0,6341.0,384240,2015-08-21
6072.0,6191.0,5908.0,5908.0,359430,2015-08-24
5908.0,6102.0,5505.0,5774.0,320250,2015-08-25
5923.0,6176.0,5908.0,6176.0,188230,2015-08-26
6176.0,6400.0,6117.0,6400.0,290540,2015-08-27
6415.0,6430.0,6281.0,6355.0,162280,2015-08-28
6355.0,6355.0,6191.0,6191.0,63640,2015-08-31
6266.0,6266.0,6162.0,6162.0,147090,2015-09-01
6162.0,6162.0,6012.0,6042.0,157270,2015-09-03
6072.0,6072.0,5953.0,5982.0,154240,2015-09-04
5997.0,5997.0,5893.0,5923.0,74340,2015-09-07
5923.0,6072.0,5923.0,6072.0,238350,2015-09-08
6072.0,6102.0,6042.0,6072.0,50820,2015-09-09
6012.0,6147.0,5968.0,6117.0,70250,2015-09-10
6117.0,6132.0,6012.0,6117.0,69980,2015-09-11
6117.0,6117.0,5968.0,5968.0,87190,2015-09-14
5968.0,6012.0,5968.0,5968.0,37480,2015-09-15
6027.0,6027.0,5968.0,5997.0,19220,2015-09-16
6027.0,6132.0,6012.0,6132.0,92350,2015-09-17
6147.0,6191.0,6117.0,6191.0,259070,2015-09-18
6191.0,6236.0,6117.0,6191.0,414830,2015-09-21
6191.0,6326.0,6191.0,6266.0,359880,2015-09-22
6266.0,6266.0,6206.0,6236.0,213230,2015-09-23
6221.0,6221.0,6147.0,6147.0,244760,2015-09-24
6147.0,6147.0,6012.0,6102.0,390740,2015-09-25
6042.0,6087.0,6012.0,6057.0,155380,2015-09-28
6027.0,6072.0,5997.0,6072.0,206310,2015-09-29
6042.0,6102.0,6027.0,6087.0,65540,2015-09-30
6087.0,6102.0,6072.0,6102.0,178460,2015-10-01
6117.0,6236.0,6087.0,6221.0,234670,2015-10-02
6311.0,6326.0,6132.0,6266.0,219360,2015-10-05
6341.0,6400.0,6281.0,6370.0,380430,2015-10-06
6415.0,6415.0,6296.0,6311.0,183080,2015-10-07
6311.0,6460.0,6281.0,6415.0,320520,2015-10-08
6415.0,6460.0,6385.0,6415.0,387670,2015-10-09
6430.0,6609.0,6430.0,6520.0,583260,2015-10-12
6490.0,6520.0,6445.0,6475.0,259940,2015-10-13
6475.0,6549.0,6475.0,6490.0,264550,2015-10-14
6445.0,6579.0,6445.0,6534.0,219160,2015-10-15
6534.0,6609.0,6534.0,6609.0,383230,2015-10-16
6684.0,6714.0,6609.0,6609.0,892590,2015-10-19
