open,high,low,close,volume,tradingDate
2395.0,2395.0,2395.0,2395.0,10110,2008-12-05
2395.0,2395.0,1864.0,1864.0,7560,2008-12-08
1774.0,1774.0,1534.0,1572.0,1489040,2008-12-15
1572.0,1609.0,1392.0,1474.0,1134390,2008-12-22
1437.0,1459.0,1400.0,1415.0,620750,2008-12-29
1392.0,1400.0,1370.0,1392.0,278840,2009-01-02
1399.0,1587.0,1385.0,1422.0,2219300,2009-01-05
1407.0,1459.0,1370.0,1459.0,1204060,2009-01-12
1444.0,1459.0,1392.0,1407.0,497490,2009-01-19
1340.0,1340.0,1108.0,1108.0,332630,2009-02-02
1122.0,1123.0,921.0,928.0,872780,2009-02-09
943.0,973.0,801.0,801.0,1069480,2009-02-16
763.0,763.0,696.0,696.0,986580,2009-02-23
688.0,704.0,659.0,689.0,1068350,2009-03-02
703.0,846.0,696.0,831.0,2883030,2009-03-09
831.0,913.0,816.0,868.0,2221730,2009-03-16
861.0,958.0,831.0,898.0,2724090,2009-03-23
853.0,950.0,823.0,950.0,1595060,2009-03-30
965.0,1040.0,936.0,1033.0,2217570,2009-04-07
1078.0,1295.0,1078.0,1295.0,2978780,2009-04-13
1235.0,1310.0,1175.0,1175.0,2602860,2009-04-20
1175.0,1205.0,1093.0,1205.0,1086230,2009-04-27
1265.0,1429.0,1265.0,1429.0,2466030,2009-05-04
1497.0,1676.0,1474.0,1676.0,3150670,2009-05-11
1759.0,2118.0,1684.0,2111.0,2358180,2009-05-18
2193.0,2193.0,1908.0,1998.0,3487620,2009-05-25
2096.0,2373.0,2096.0,2373.0,2207490,2009-06-01
2485.0,2724.0,2485.0,2717.0,3304320,2009-06-08
2582.0,2769.0,2335.0,2582.0,3292780,2009-06-15
2462.0,2582.0,2245.0,2253.0,2651590,2009-06-22
2320.0,2350.0,2021.0,2185.0,1218770,2009-06-29
2252.0,2537.0,2215.0,2425.0,1733100,2009-07-06
2425.0,2432.0,2253.0,2373.0,1263480,2009-07-13
2282.0,2492.0,2208.0,2492.0,1306320,2009-07-20
2589.0,2619.0,2432.0,2545.0,2041510,2009-07-27
2544.0,3039.0,2522.0,3024.0,3806190,2009-08-03
3068.0,3203.0,2971.0,2979.0,3912630,2009-08-10
2986.0,3563.0,2881.0,3420.0,3572410,2009-08-17
3382.0,3720.0,3353.0,3720.0,3894490,2009-08-24
3904.0,4324.0,3789.0,4018.0,4224270,2009-08-31
4056.0,4899.0,3904.0,4745.0,5486380,2009-09-07
4784.0,4822.0,4516.0,4707.0,5109450,2009-09-14
4707.0,4899.0,4592.0,4822.0,5690880,2009-09-21
4898.0,5052.0,4363.0,4439.0,5093640,2009-09-28
4630.0,4707.0,4401.0,4516.0,4153230,2009-10-05
4554.0,4860.0,4516.0,4554.0,4793120,2009-10-12
4554.0,5052.0,4516.0,4822.0,6488110,2009-10-19
4821.0,4822.0,4286.0,4363.0,3629180,2009-10-26
4171.0,4363.0,3865.0,3904.0,2735000,2009-11-02
3826.0,4057.0,3490.0,4057.0,3045890,2009-11-09
4133.0,4171.0,3980.0,4057.0,1860480,2009-11-16
3980.0,4057.0,3352.0,3590.0,2356100,2009-11-23
3750.0,3865.0,3452.0,3597.0,1333500,2009-11-30
3628.0,3628.0,3000.0,3000.0,1013850,2009-12-07
2931.0,3192.0,2840.0,2886.0,1716280,2009-12-14
3008.0,3414.0,2962.0,3414.0,1929390,2009-12-21
3367.0,3812.0,3307.0,3812.0,2729050,2009-12-28
3903.0,4401.0,3865.0,4018.0,5562680,2010-01-04
4094.0,4095.0,3605.0,3827.0,3978440,2010-01-11
3758.0,3766.0,3345.0,3460.0,2189030,2010-01-18
3459.0,3819.0,3452.0,3559.0,1631340,2010-01-25
3528.0,3819.0,3513.0,3628.0,1768990,2010-02-01
3673.0,3827.0,3597.0,3804.0,1046150,2010-02-08
3750.0,3865.0,3651.0,3827.0,1558500,2010-02-22
3796.0,4133.0,3789.0,4018.0,2503300,2010-03-01
4094.0,4363.0,4018.0,4210.0,3978190,2010-03-08
4209.0,4286.0,3942.0,4018.0,2378040,2010-03-15
3980.0,4057.0,3865.0,3904.0,2083610,2010-03-22
4005.0,4097.0,3775.0,4014.0,1759110,2010-03-29
4142.0,4354.0,4133.0,4244.0,3316920,2010-04-05
4244.0,4317.0,4188.0,4198.0,1548790,2010-04-12
4161.0,4299.0,4124.0,4216.0,1366520,2010-04-19
4179.0,4289.0,4115.0,4207.0,1333190,2010-04-26
4225.0,4262.0,4087.0,4133.0,1768430,2010-05-04
4060.0,4133.0,4041.0,4124.0,1464410,2010-05-10
4051.0,4051.0,3738.0,3738.0,1813980,2010-05-17
3738.0,3968.0,3720.0,3950.0,1272750,2010-05-24
3950.0,3950.0,3775.0,3793.0,1218300,2010-05-31
3674.0,3748.0,3536.0,3555.0,1223610,2010-06-07
3619.0,3821.0,3545.0,3821.0,1679720,2010-06-14
3784.0,3812.0,3545.0,3564.0,1207280,2010-06-21
3538.0,3582.0,3230.0,3252.0,1682150,2010-06-28
3318.0,3318.0,3163.0,3163.0,805280,2010-07-05
3163.0,3494.0,3152.0,3329.0,884860,2010-07-12
3307.0,3307.0,3219.0,3230.0,643220,2010-07-19
3252.0,3318.0,3175.0,3208.0,982060,2010-07-26
3208.0,3208.0,2899.0,2899.0,601920,2010-08-02
2855.0,2866.0,2458.0,2601.0,1535870,2010-08-09
2656.0,2723.0,2480.0,2557.0,1660790,2010-08-16
2513.0,2557.0,2205.0,2370.0,1057590,2010-08-23
2469.0,2723.0,2469.0,2690.0,1041960,2010-08-30
2800.0,2888.0,2656.0,2678.0,2707910,2010-09-06
2590.0,2712.0,2546.0,2712.0,1487430,2010-09-13
2778.0,2778.0,2502.0,2601.0,1806450,2010-09-20
2601.0,2601.0,2414.0,2480.0,867240,2010-09-27
2480.0,2480.0,2271.0,2315.0,1814060,2010-10-04
2359.0,2381.0,2282.0,2315.0,988380,2010-10-11
2293.0,2315.0,2039.0,2094.0,1106510,2010-10-18
2028.0,2182.0,1995.0,2072.0,891210,2010-10-25
2083.0,2083.0,1962.0,2039.0,705860,2010-11-01
2039.0,2050.0,1742.0,1742.0,2240440,2010-11-08
1686.0,1753.0,1576.0,1675.0,1886790,2010-11-15
1598.0,1940.0,1598.0,1885.0,2587670,2010-11-22
1874.0,2160.0,1808.0,2138.0,3005170,2010-11-29
2149.0,2238.0,1929.0,2193.0,4148840,2010-12-06
2293.0,2293.0,2149.0,2238.0,5421250,2010-12-13
2260.0,2348.0,2094.0,2116.0,2230530,2010-12-20
2116.0,2227.0,2105.0,2160.0,1472040,2010-12-27
2193.0,2216.0,2094.0,2127.0,1063950,2011-01-04
2138.0,2138.0,1907.0,2072.0,1921410,2011-01-10
2017.0,2116.0,1962.0,2006.0,1156770,2011-01-17
1995.0,2072.0,1929.0,1962.0,944670,2011-01-24
1962.0,2061.0,1951.0,1984.0,471420,2011-02-08
1984.0,2072.0,1852.0,1852.0,1252910,2011-02-14
1775.0,1775.0,1675.0,1731.0,1486340,2011-02-21
1742.0,1764.0,1576.0,1587.0,1428810,2011-02-28
1631.0,1709.0,1543.0,1709.0,1317150,2011-03-07
1631.0,1753.0,1565.0,1664.0,1348430,2011-03-14
1708.0,1708.0,1598.0,1598.0,498650,2011-03-21
1598.0,1631.0,1543.0,1620.0,856010,2011-03-28
1677.0,1677.0,1597.0,1643.0,703910,2011-04-04
1620.0,1643.0,1575.0,1597.0,317960,2011-04-13
1575.0,1597.0,1540.0,1575.0,475150,2011-04-18
1563.0,1597.0,1529.0,1586.0,1006210,2011-04-25
1586.0,1586.0,1529.0,1563.0,192860,2011-05-04
1575.0,1575.0,1529.0,1529.0,252940,2011-05-09
1518.0,1540.0,1358.0,1358.0,388960,2011-05-16
1301.0,1301.0,1130.0,1244.0,532860,2011-05-23
1255.0,1438.0,1187.0,1335.0,746870,2011-05-30
1335.0,1381.0,1289.0,1358.0,462110,2011-06-06
1381.0,1392.0,1244.0,1255.0,1181660,2011-06-13
1289.0,1335.0,1198.0,1232.0,559390,2011-06-20
1232.0,1244.0,1141.0,1141.0,293850,2011-06-27
1141.0,1198.0,1107.0,1107.0,501860,2011-07-04
1107.0,1107.0,1027.0,1061.0,436080,2011-07-11
1050.0,1073.0,1016.0,1027.0,620450,2011-07-18
1016.0,1061.0,993.0,1027.0,393390,2011-07-25
1027.0,1038.0,993.0,1016.0,373790,2011-08-01
1016.0,1016.0,936.0,958.0,294090,2011-08-08
958.0,1073.0,958.0,1004.0,304540,2011-08-15
1004.0,1061.0,993.0,1038.0,750980,2011-08-22
1061.0,1232.0,1061.0,1232.0,634510,2011-08-29
1289.0,1483.0,1255.0,1472.0,3272660,2011-09-05
1415.0,1483.0,1244.0,1244.0,6456770,2011-09-12
1210.0,1358.0,1198.0,1255.0,2971910,2011-09-19
1255.0,1278.0,1164.0,1164.0,1458040,2011-09-26
1175.0,1175.0,1061.0,1141.0,1590610,2011-10-03
1141.0,1175.0,1038.0,1084.0,1144450,2011-10-10
1084.0,1107.0,1027.0,1095.0,925960,2011-10-17
1118.0,1118.0,1050.0,1107.0,937080,2011-10-24
1152.0,1187.0,1084.0,1095.0,2020010,2011-10-31
1073.0,1118.0,1038.0,1061.0,948980,2011-11-07
1050.0,1073.0,981.0,1016.0,1680230,2011-11-14
1004.0,1050.0,970.0,1004.0,691460,2011-11-21
1016.0,1038.0,993.0,1027.0,592470,2011-11-28
1038.0,1107.0,1016.0,1027.0,1526540,2011-12-05
1027.0,1027.0,913.0,993.0,1149130,2011-12-12
993.0,993.0,913.0,947.0,742170,2011-12-19
924.0,958.0,867.0,947.0,631070,2011-12-26
958.0,970.0,890.0,901.0,592720,2012-01-03
913.0,958.0,890.0,958.0,594490,2012-01-09
970.0,1130.0,958.0,1118.0,1126170,2012-01-16
1141.0,1187.0,1084.0,1084.0,1459940,2012-01-30
1061.0,1141.0,1050.0,1084.0,1046040,2012-02-06
1050.0,1130.0,1050.0,1130.0,908220,2012-02-13
1152.0,1369.0,1152.0,1301.0,3858440,2012-02-20
1301.0,1392.0,1255.0,1392.0,3772990,2012-02-27
1415.0,1529.0,1346.0,1369.0,4391100,2012-03-05
1358.0,1461.0,1289.0,1426.0,3883590,2012-03-12
1392.0,1483.0,1369.0,1449.0,2690880,2012-03-19
1472.0,1472.0,1346.0,1358.0,2471590,2012-03-26
1392.0,1483.0,1358.0,1483.0,2113430,2012-04-03
1506.0,1848.0,1506.0,1824.0,5491950,2012-04-09
1895.0,2192.0,1872.0,1919.0,5776910,2012-04-16
2014.0,2405.0,2002.0,2405.0,3345020,2012-04-23
2417.0,2429.0,2180.0,2334.0,3574580,2012-05-02
2369.0,2464.0,2203.0,2440.0,5126810,2012-05-07
2369.0,2393.0,1919.0,1931.0,4432480,2012-05-14
2014.0,2215.0,2002.0,2144.0,3792590,2012-05-21
2251.0,2452.0,2168.0,2275.0,4714310,2012-05-28
2275.0,2440.0,2168.0,2381.0,6096620,2012-06-04
2381.0,2606.0,2286.0,2369.0,5964070,2012-06-11
2417.0,2476.0,2310.0,2310.0,3215360,2012-06-18
2310.0,2334.0,2047.0,2169.0,4111450,2012-06-25
2205.0,2205.0,1913.0,2132.0,2912640,2012-07-02
2132.0,2254.0,1998.0,2254.0,2493640,2012-07-09
2278.0,2412.0,2193.0,2303.0,4148800,2012-07-16
2278.0,2327.0,2156.0,2229.0,3514830,2012-07-23
2217.0,2254.0,2181.0,2205.0,1367400,2012-07-30
2217.0,2327.0,2217.0,2229.0,2210510,2012-08-06
