open,high,low,close,volume,tradingDate
7134.0,7934.0,7134.0,7400.0,300,2011-04-20
7400.0,7400.0,7267.0,7334.0,2000,2011-04-21
7067.0,7067.0,7067.0,7067.0,1000,2011-04-22
7534.0,7534.0,6667.0,6867.0,1400,2011-04-25
7000.0,7000.0,6867.0,6934.0,5500,2011-04-26
7334.0,7334.0,6867.0,6934.0,600,2011-04-27
6934.0,6934.0,6934.0,6934.0,5900,2011-04-28
6934.0,6934.0,6934.0,6934.0,0,2011-04-29
6734.0,6734.0,6734.0,6734.0,1000,2011-05-04
6734.0,6734.0,6667.0,6734.0,4500,2011-05-05
6734.0,6734.0,6734.0,6734.0,0,2011-05-06
6734.0,6734.0,6734.0,6734.0,2000,2011-05-09
6667.0,6734.0,6667.0,6667.0,6000,2011-05-10
6667.0,6667.0,6534.0,6600.0,11400,2011-05-11
6467.0,6467.0,6334.0,6334.0,6500,2011-05-12
6334.0,6734.0,6334.0,6400.0,23700,2011-05-13
6800.0,6800.0,6800.0,6800.0,700,2011-05-16
6867.0,6867.0,6800.0,6800.0,3400,2011-05-17
6800.0,6800.0,6800.0,6800.0,1000,2011-05-18
6667.0,6800.0,6667.0,6800.0,11500,2011-05-19
6800.0,6867.0,6800.0,6867.0,4900,2011-05-20
6934.0,6934.0,6867.0,6867.0,34100,2011-05-23
6867.0,6867.0,6867.0,6867.0,3000,2011-05-24
6867.0,6867.0,6800.0,6867.0,8600,2011-05-25
6867.0,6867.0,6867.0,6867.0,3300,2011-05-26
7000.0,7000.0,7000.0,7000.0,1000,2011-05-27
6934.0,6934.0,6867.0,6934.0,6000,2011-05-30
6934.0,6934.0,6934.0,6934.0,3800,2011-05-31
6934.0,6934.0,6934.0,6934.0,0,2011-06-01
7000.0,7067.0,7000.0,7000.0,5900,2011-06-02
7000.0,7000.0,7000.0,7000.0,3500,2011-06-03
7000.0,7000.0,7000.0,7000.0,0,2011-06-06
7134.0,7134.0,7134.0,7134.0,1700,2011-06-07
7134.0,7134.0,7134.0,7134.0,4000,2011-06-08
7134.0,7200.0,7134.0,7134.0,3800,2011-06-09
6667.0,6667.0,6667.0,6667.0,100,2011-06-10
6734.0,7134.0,6734.0,7067.0,1700,2011-06-13
7534.0,7534.0,7534.0,7534.0,4600,2011-06-14
7067.0,7067.0,7067.0,7067.0,2000,2011-06-15
7067.0,7067.0,7067.0,7067.0,0,2011-06-16
7067.0,7067.0,7067.0,7067.0,0,2011-06-17
7067.0,7067.0,7067.0,7067.0,0,2011-06-20
7067.0,7067.0,7067.0,7067.0,0,2011-06-21
7067.0,7067.0,7067.0,7067.0,0,2011-06-22
7067.0,7067.0,7067.0,7067.0,0,2011-06-23
6667.0,6667.0,6667.0,6667.0,100,2011-06-24
7134.0,7134.0,6867.0,6867.0,5100,2011-06-27
7334.0,7334.0,7334.0,7334.0,100,2011-06-28
7667.0,7667.0,7667.0,7667.0,100,2011-06-29
7667.0,7667.0,7667.0,7667.0,0,2011-06-30
7267.0,7334.0,7134.0,7200.0,5200,2011-07-01
7200.0,7200.0,7200.0,7200.0,0,2011-07-04
7200.0,7200.0,7200.0,7200.0,0,2011-07-05
7200.0,7200.0,7200.0,7200.0,0,2011-07-06
7200.0,7200.0,7200.0,7200.0,0,2011-07-07
7134.0,7134.0,7134.0,7134.0,3500,2011-07-08
7134.0,7134.0,7134.0,7134.0,0,2011-07-11
7134.0,7134.0,7134.0,7134.0,0,2011-07-12
7134.0,7134.0,7134.0,7134.0,0,2011-07-13
7000.0,7000.0,7000.0,7000.0,1200,2011-07-14
7000.0,7000.0,7000.0,7000.0,0,2011-07-15
7000.0,7000.0,7000.0,7000.0,0,2011-07-18
7000.0,7000.0,7000.0,7000.0,100,2011-07-19
7000.0,7000.0,7000.0,7000.0,0,2011-07-20
7000.0,7000.0,7000.0,7000.0,0,2011-07-21
7000.0,7000.0,7000.0,7000.0,500,2011-07-22
7267.0,7267.0,7267.0,7267.0,400,2011-07-25
7000.0,7000.0,7000.0,7000.0,900,2011-07-26
7000.0,7000.0,7000.0,7000.0,500,2011-07-27
6667.0,6667.0,6534.0,6534.0,22400,2011-07-28
6667.0,6667.0,6667.0,6667.0,2000,2011-07-29
7000.0,7067.0,7000.0,7067.0,1200,2011-08-01
6600.0,6600.0,6600.0,6600.0,100,2011-08-02
6667.0,6667.0,6600.0,6667.0,300,2011-08-03
6667.0,6667.0,6667.0,6667.0,0,2011-08-04
6667.0,6667.0,6667.0,6667.0,3100,2011-08-05
6667.0,6667.0,6667.0,6667.0,500,2011-08-08
6400.0,6400.0,6400.0,6400.0,1000,2011-08-09
6734.0,6734.0,6734.0,6734.0,200,2011-08-10
6667.0,6667.0,6667.0,6667.0,100,2011-08-11
6667.0,6667.0,6667.0,6667.0,0,2011-08-12
6667.0,6667.0,6667.0,6667.0,2000,2011-08-15
6734.0,6734.0,6734.0,6734.0,1000,2011-08-16
7000.0,7067.0,7000.0,7000.0,3500,2011-08-17
7000.0,7000.0,7000.0,7000.0,0,2011-08-18
6534.0,6534.0,6534.0,6534.0,200,2011-08-19
6734.0,6734.0,6734.0,6734.0,1000,2011-08-22
6934.0,6934.0,6934.0,6934.0,1000,2011-08-23
6934.0,6934.0,6934.0,6934.0,0,2011-08-24
6934.0,6934.0,6934.0,6934.0,100,2011-08-25
6934.0,6934.0,6934.0,6934.0,0,2011-08-26
6934.0,6934.0,6934.0,6934.0,0,2011-08-29
6934.0,6934.0,6934.0,6934.0,0,2011-08-30
6934.0,6934.0,6934.0,6934.0,0,2011-08-31
6734.0,7267.0,6734.0,7200.0,1200,2011-09-01
7067.0,7067.0,7067.0,7067.0,300,2011-09-05
7000.0,7000.0,7000.0,7000.0,13700,2011-09-06
7000.0,7000.0,7000.0,7000.0,0,2011-09-07
7000.0,7000.0,7000.0,7000.0,0,2011-09-08
6934.0,6934.0,6934.0,6934.0,500,2011-09-09
6934.0,6934.0,6934.0,6934.0,0,2011-09-12
6934.0,6934.0,6934.0,6934.0,1000,2011-09-13
6934.0,6934.0,6934.0,6934.0,500,2011-09-14
6934.0,6934.0,6934.0,6934.0,0,2011-09-15
6934.0,6934.0,6934.0,6934.0,0,2011-09-16
6934.0,6934.0,6934.0,6934.0,0,2011-09-19
7334.0,7400.0,7134.0,7267.0,2200,2011-09-20
7267.0,7267.0,7267.0,7267.0,0,2011-09-21
7267.0,7267.0,7267.0,7267.0,0,2011-09-22
6800.0,6800.0,6800.0,6800.0,1000,2011-09-23
