open,high,low,close,volume,tradingDate
16035.0,16035.0,13870.0,15875.0,389980,2006-12-04
16516.0,17157.0,15715.0,15875.0,395840,2006-12-11
15874.0,15874.0,14511.0,14511.0,207870,2006-12-18
14111.0,16035.0,14111.0,16035.0,296730,2006-12-25
16035.0,17638.0,15715.0,17318.0,235430,2007-01-02
18119.0,19882.0,17639.0,19882.0,512690,2007-01-08
20204.0,20204.0,17799.0,19563.0,249790,2007-01-15
19241.0,19562.0,18600.0,19241.0,308560,2007-01-22
20204.0,22609.0,20204.0,21647.0,370570,2007-01-29
21646.0,22449.0,20525.0,21326.0,282240,2007-02-05
21647.0,22769.0,21647.0,22769.0,148590,2007-02-12
23250.0,24374.0,22929.0,22929.0,218000,2007-02-26
23251.0,23410.0,22929.0,22929.0,144850,2007-03-05
23089.0,24373.0,22609.0,23731.0,156020,2007-03-12
23731.0,23732.0,20845.0,20845.0,97780,2007-03-19
20040.0,21167.0,18119.0,21167.0,152180,2007-03-26
21167.0,21167.0,19563.0,20365.0,63010,2007-04-02
20365.0,21167.0,19724.0,20525.0,74420,2007-04-09
20361.0,20805.0,19026.0,20450.0,73750,2007-04-16
19559.0,19559.0,17782.0,18138.0,38970,2007-04-23
18848.0,18849.0,17426.0,17782.0,23950,2007-05-02
18670.0,19915.0,17604.0,19205.0,99110,2007-05-07
19559.0,19561.0,18670.0,19026.0,74390,2007-05-14
19205.0,20805.0,19027.0,19559.0,102410,2007-05-21
19559.0,19560.0,18849.0,19026.0,65430,2007-05-28
18670.0,19026.0,18493.0,18670.0,87840,2007-06-04
18670.0,20627.0,18670.0,20627.0,256920,2007-06-11
21515.0,23650.0,20982.0,21871.0,388070,2007-06-18
21871.0,22583.0,21159.0,22050.0,297810,2007-06-25
23115.0,24717.0,23115.0,24539.0,810440,2007-07-02
25606.0,28095.0,24895.0,27028.0,399090,2007-07-09
26316.0,26495.0,24183.0,24183.0,184730,2007-07-16
25250.0,26496.0,24718.0,24718.0,237730,2007-07-23
24183.0,25250.0,24183.0,24539.0,108740,2007-07-30
24539.0,26317.0,24184.0,25783.0,159700,2007-08-06
25072.0,26851.0,24005.0,25606.0,141860,2007-08-13
25605.0,27028.0,25427.0,26851.0,157720,2007-08-20
27206.0,29340.0,26673.0,28628.0,232940,2007-08-27
30051.0,30584.0,28806.0,29874.0,124680,2007-09-04
30228.0,30229.0,28450.0,28451.0,120690,2007-09-10
28807.0,29163.0,27385.0,28628.0,137300,2007-09-17
28627.0,29873.0,27562.0,28272.0,152210,2007-09-24
