open,high,low,close,volume,tradingDate
6989.0,6989.0,6989.0,6989.0,,2009-12-09
6212.0,6212.0,6212.0,6212.0,,2009-12-15
3357.0,3507.0,3357.0,3357.0,,2009-12-23
4434.0,4434.0,4409.0,4409.0,,2010-01-05
4241.0,5124.0,3507.0,3507.0,,2010-01-11
4133.0,4534.0,4133.0,4534.0,,2010-01-26
3758.0,3758.0,3758.0,3758.0,,2010-02-05
3630.0,3969.0,3407.0,3969.0,,2010-03-01
3682.0,4086.0,3555.0,4086.0,,2010-03-08
3943.0,4284.0,3479.0,4258.0,,2010-03-15
4008.0,4133.0,3270.0,4133.0,,2010-03-22
4133.0,4258.0,4133.0,4258.0,,2010-03-29
4258.0,4484.0,4258.0,4258.0,,2010-04-05
4509.0,4509.0,4258.0,4258.0,,2010-04-12
4083.0,4284.0,3733.0,4133.0,,2010-04-19
4133.0,4309.0,4108.0,4108.0,,2010-04-26
4258.0,5111.0,4185.0,5111.0,,2010-05-04
4826.0,6683.0,4826.0,6682.0,,2010-05-10
5135.0,5636.0,4465.0,4465.0,,2010-05-17
4785.0,4910.0,4735.0,4785.0,,2010-05-25
4885.0,5711.0,4618.0,5711.0,,2010-05-31
5711.0,5711.0,5135.0,5135.0,,2010-06-07
5461.0,6645.0,4885.0,4885.0,,2010-06-14
4959.0,6539.0,4959.0,5088.0,,2010-06-21
4934.0,7422.0,4934.0,5863.0,,2010-06-28
6246.0,6757.0,5463.0,6524.0,,2010-07-05
5740.0,5981.0,5377.0,5824.0,,2010-07-12
5486.0,5912.0,5411.0,5761.0,,2010-07-19
5661.0,5811.0,5463.0,0.0,,2010-07-26
5610.0,5659.0,5103.0,5613.0,0.0,2010-08-02
5736.0,5761.0,4514.0,4885.0,0.0,2010-08-09
5360.0,6079.0,5010.0,6079.0,0.0,2010-08-16
4960.0,4960.0,4108.0,4484.0,0.0,2010-08-23
4885.0,4910.0,4634.0,4634.0,0.0,2010-08-30
4509.0,4509.0,4183.0,4183.0,0.0,2010-09-06
3624.0,4509.0,3577.0,4509.0,0.0,2010-09-13
4258.0,4759.0,4058.0,4534.0,0.0,2010-09-20
4083.0,4509.0,4033.0,4309.0,0.0,2010-09-27
4309.0,4359.0,4133.0,4359.0,0.0,2010-10-04
4559.0,4935.0,4258.0,4684.0,0.0,2010-10-11
4149.0,4533.0,3970.0,4098.0,0.0,2010-10-18
4277.0,4764.0,4149.0,4328.0,0.0,2010-10-25
3970.0,4226.0,3790.0,4123.0,0.0,2010-11-01
4175.0,4175.0,3560.0,3560.0,0.0,2010-11-08
3842.0,3842.0,3253.0,3329.0,0.0,2010-11-15
3073.0,3637.0,3073.0,3585.0,0.0,2010-11-22
3406.0,3790.0,3073.0,3714.0,0.0,2010-11-29
3970.0,3970.0,3073.0,3586.0,0.0,2010-12-06
3611.0,3611.0,3278.0,3509.0,0.0,2010-12-13
3816.0,3842.0,3329.0,3329.0,0.0,2010-12-20
3329.0,4021.0,3329.0,4021.0,0.0,2010-12-27
4021.0,4021.0,3637.0,4021.0,0.0,2011-01-04
3329.0,3816.0,3329.0,3381.0,0.0,2011-01-10
