open,high,low,close,volume,tradingDate
28080.0,28080.0,25272.0,26208.0,2409150,2009-12-18 07:00:00+00:00
26442.0,29016.0,25506.0,29016.0,6280750,2009-12-21 07:00:00+00:00
29016.0,29484.0,27144.0,27144.0,4573330,2009-12-28 07:00:00+00:00
27846.0,33462.0,27612.0,31122.0,10865990,2010-01-04 07:00:00+00:00
31590.0,31590.0,27612.0,29016.0,8756960,2010-01-11 07:00:00+00:00
28314.0,28782.0,25974.0,26442.0,5927290,2010-01-18 07:00:00+00:00
26676.0,28314.0,26208.0,27144.0,4390470,2010-01-25 07:00:00+00:00
27144.0,27846.0,26676.0,26676.0,3952990,2010-02-01 07:00:00+00:00
26676.0,27378.0,26208.0,27378.0,2324630,2010-02-08 07:00:00+00:00
27144.0,27612.0,25974.0,26910.0,2810870,2010-02-22 07:00:00+00:00
26910.0,28782.0,26676.0,28314.0,5000180,2010-03-01 07:00:00+00:00
28782.0,29718.0,28548.0,29484.0,5482650,2010-03-08 07:00:00+00:00
29250.0,29952.0,27378.0,29952.0,8764340,2010-03-15 07:00:00+00:00
29484.0,29718.0,27144.0,27612.0,4464590,2010-03-22 07:00:00+00:00
27378.0,28080.0,27144.0,27846.0,3396080,2010-03-29 07:00:00+00:00
27846.0,28548.0,27378.0,28080.0,3516500,2010-04-05 07:00:00+00:00
28314.0,28314.0,27378.0,27612.0,2536290,2010-04-12 07:00:00+00:00
27612.0,28548.0,27144.0,28314.0,2995050,2010-04-19 07:00:00+00:00
27846.0,28548.0,27612.0,27846.0,2511520,2010-04-26 07:00:00+00:00
28080.0,28080.0,26442.0,26910.0,2731200,2010-05-04 07:00:00+00:00
26676.0,27144.0,25740.0,25974.0,3067830,2010-05-10 07:00:00+00:00
25740.0,25974.0,22932.0,23400.0,3752290,2010-05-17 07:00:00+00:00
23868.0,25974.0,23634.0,25740.0,3473390,2010-05-24 07:00:00+00:00
25740.0,25974.0,24804.0,25272.0,1449950,2010-05-31 07:00:00+00:00
24804.0,25974.0,24336.0,25974.0,2371100,2010-06-07 07:00:00+00:00
25974.0,27612.0,25740.0,27612.0,2898960,2010-06-14 07:00:00+00:00
27612.0,27612.0,25272.0,25272.0,2617370,2010-06-21 07:00:00+00:00
25341.0,26605.0,24709.0,24990.0,1383860,2010-06-28 07:00:00+00:00
25271.0,25973.0,24990.0,25271.0,716100,2010-07-05 07:00:00+00:00
25271.0,26534.0,25201.0,25622.0,649560,2010-07-12 07:00:00+00:00
25622.0,25622.0,25201.0,25271.0,678670,2010-07-19 07:00:00+00:00
25271.0,25271.0,24569.0,24920.0,644290,2010-07-26 07:00:00+00:00
24920.0,24990.0,23937.0,24569.0,611230,2010-08-02 07:00:00+00:00
24499.0,24499.0,20217.0,21059.0,950250,2010-08-09 07:00:00+00:00
21340.0,22112.0,20076.0,21831.0,958060,2010-08-16 07:00:00+00:00
21761.0,21761.0,19374.0,21550.0,2355080,2010-08-23 07:00:00+00:00
21901.0,23867.0,21901.0,23867.0,1352880,2010-08-30 07:00:00+00:00
23867.0,26183.0,23656.0,24639.0,1977350,2010-09-06 07:00:00+00:00
24780.0,24780.0,23446.0,24780.0,940800,2010-09-13 07:00:00+00:00
24569.0,24569.0,22674.0,22954.0,1434590,2010-09-20 07:00:00+00:00
22954.0,22954.0,22112.0,22252.0,910530,2010-09-27 07:00:00+00:00
21761.0,23797.0,21480.0,22674.0,1444530,2010-10-04 07:00:00+00:00
22463.0,23095.0,22393.0,22814.0,820300,2010-10-11 07:00:00+00:00
22814.0,22814.0,21129.0,21972.0,755290,2010-10-18 07:00:00+00:00
21480.0,22744.0,21480.0,22323.0,420880,2010-10-25 07:00:00+00:00
21831.0,22463.0,21480.0,22463.0,566060,2010-11-01 07:00:00+00:00
22463.0,22463.0,20076.0,20357.0,776360,2010-11-08 07:00:00+00:00
20708.0,20708.0,18883.0,19164.0,849760,2010-11-15 07:00:00+00:00
