open,high,low,close,volume,tradingDate
5903.0,5971.0,5707.0,5796.0,36500,2015-07-10
5903.0,6067.0,5850.0,5957.0,35500,2015-07-13
5903.0,5905.0,5475.0,5903.0,28100,2015-07-14
5850.0,5948.0,5894.0,5903.0,3000,2015-07-15
5903.0,5903.0,5903.0,5903.0,0,2015-07-16
5796.0,5367.0,4969.0,5367.0,10000,2015-07-17
5796.0,5944.0,5782.0,5850.0,82700,2015-07-20
5850.0,5989.0,5825.0,5903.0,12500,2015-07-21
5742.0,5828.0,5774.0,5796.0,8600,2015-07-22
5903.0,6271.0,5701.0,5742.0,5300,2015-07-23
5689.0,6009.0,5844.0,5850.0,2700,2015-07-24
5903.0,5884.0,5777.0,5850.0,39150,2015-07-27
5850.0,5941.0,5779.0,5850.0,66300,2015-07-28
5850.0,6057.0,5894.0,5957.0,58300,2015-07-29
5957.0,6411.0,5973.0,6225.0,147415,2015-07-30
6225.0,6220.0,6113.0,6172.0,53300,2015-07-31
6172.0,6290.0,6011.0,6172.0,78000,2015-08-03
6172.0,6608.0,6212.0,6452.0,150100,2015-08-04
6452.0,6544.0,6375.0,6452.0,91100,2015-08-05
6508.0,7107.0,6543.0,6901.0,212954,2015-08-06
6957.0,7151.0,6922.0,7013.0,153700,2015-08-07
7069.0,7394.0,7166.0,7294.0,207046,2015-08-10
7182.0,7417.0,7078.0,7182.0,204400,2015-08-11
7126.0,7191.0,6851.0,7013.0,112600,2015-08-12
6957.0,7363.0,6900.0,7069.0,125400,2015-08-13
7013.0,7173.0,6947.0,7069.0,143700,2015-08-14
7013.0,7256.0,6973.0,7069.0,94300,2015-08-17
7013.0,7084.0,6914.0,6957.0,50900,2015-08-18
6957.0,7010.0,6727.0,6901.0,161000,2015-08-19
6901.0,6974.0,6749.0,6845.0,114100,2015-08-20
6733.0,6967.0,6621.0,6789.0,110500,2015-08-21
6733.0,7157.0,6501.0,6677.0,49800,2015-08-24
6508.0,6700.0,6414.0,6565.0,33100,2015-08-25
6508.0,6557.0,6388.0,6452.0,17200,2015-08-26
6452.0,7093.0,6389.0,6733.0,251400,2015-08-27
6845.0,7012.0,6786.0,6901.0,291300,2015-08-28
6733.0,6737.0,6512.0,6621.0,92200,2015-08-31
6901.0,6860.0,6358.0,6565.0,54800,2015-09-01
6340.0,6829.0,6431.0,6621.0,156000,2015-09-03
6565.0,6767.0,6541.0,6621.0,89200,2015-09-04
6621.0,6450.0,6177.0,6340.0,186400,2015-09-07
6452.0,6630.0,6293.0,6452.0,64100,2015-09-08
6565.0,6681.0,6398.0,6508.0,105000,2015-09-09
6508.0,6830.0,6492.0,6677.0,311400,2015-09-10
6845.0,6936.0,6766.0,6789.0,173200,2015-09-11
6789.0,6782.0,6613.0,6677.0,28600,2015-09-14
6621.0,6720.0,6494.0,6565.0,219000,2015-09-15
6621.0,6648.0,6423.0,6508.0,53100,2015-09-16
6508.0,6564.0,6344.0,6452.0,135700,2015-09-17
6565.0,6543.0,6375.0,6452.0,60200,2015-09-18
6452.0,6681.0,6457.0,6565.0,193200,2015-09-21
6621.0,6750.0,6638.0,6677.0,263200,2015-09-22
6677.0,6767.0,6654.0,6677.0,72400,2015-09-23
6677.0,7109.0,6767.0,6957.0,445900,2015-09-24
7013.0,7027.0,6802.0,6845.0,227500,2015-09-25
6789.0,6885.0,6610.0,6733.0,374900,2015-09-28
6733.0,6763.0,6481.0,6621.0,342500,2015-09-29
6621.0,6738.0,6626.0,6677.0,325200,2015-09-30
6621.0,6658.0,6380.0,6452.0,122300,2015-10-01
6621.0,6622.0,6453.0,6508.0,149000,2015-10-02
6565.0,6731.0,6506.0,6621.0,224900,2015-10-05
6677.0,6608.0,6333.0,6452.0,373850,2015-10-06
6452.0,6495.0,6439.0,6452.0,163320,2015-10-07
6452.0,6631.0,6517.0,6565.0,197800,2015-10-08
6565.0,6579.0,6466.0,6508.0,201000,2015-10-09
6508.0,6584.0,6470.0,6508.0,121300,2015-10-12
6508.0,6496.0,6384.0,6396.0,69020,2015-10-13
6452.0,6519.0,6405.0,6452.0,66900,2015-10-14
6452.0,6476.0,6363.0,6396.0,67130,2015-10-15
6396.0,6323.0,6157.0,6228.0,163700,2015-10-16
6284.0,6593.0,6309.0,6452.0,229500,2015-10-19
6452.0,6479.0,6257.0,6340.0,107000,2015-10-20
6340.0,6355.0,6134.0,6228.0,181500,2015-10-21
6284.0,6446.0,6218.0,6340.0,131800,2015-10-22
6284.0,6355.0,6188.0,6284.0,82200,2015-10-23
6284.0,6335.0,6222.0,6284.0,171000,2015-10-26
6284.0,6330.0,5991.0,6172.0,96300,2015-10-27
6172.0,6531.0,6140.0,6340.0,369100,2015-10-28
6340.0,6349.0,6126.0,6228.0,216700,2015-10-29
6228.0,6513.0,6282.0,6340.0,99500,2015-10-30
6340.0,6231.0,6065.0,6172.0,178400,2015-11-02
6228.0,6398.0,6173.0,6284.0,227100,2015-11-03
6340.0,6374.0,6206.0,6284.0,164300,2015-11-04
6340.0,6472.0,6245.0,6284.0,60000,2015-11-05
6228.0,6264.0,6095.0,6172.0,48600,2015-11-06
6340.0,6313.0,6090.0,6172.0,173900,2015-11-09
6116.0,6108.0,5941.0,6003.0,56100,2015-11-10
6003.0,6119.0,5719.0,6003.0,132100,2015-11-11
5891.0,6283.0,6052.0,6116.0,39600,2015-11-12
6060.0,6678.0,6061.0,6396.0,553100,2015-11-13
6452.0,6631.0,6461.0,6508.0,153400,2015-11-16
6508.0,6626.0,6512.0,6565.0,263300,2015-11-17
6508.0,6525.0,6412.0,6452.0,115700,2015-11-18
6565.0,7031.0,6581.0,6789.0,828900,2015-11-19
6957.0,7057.0,6829.0,6957.0,359900,2015-11-20
6845.0,6792.0,6571.0,6677.0,249800,2015-11-23
6621.0,6868.0,6698.0,6789.0,584300,2015-11-24
6733.0,6776.0,6610.0,6677.0,465700,2015-11-25
6715.0,6962.0,6600.0,6863.0,730800,2015-11-26
6863.0,6891.0,6594.0,6789.0,320000,2015-11-27
6789.0,6678.0,6387.0,6494.0,226300,2015-11-30
6494.0,6721.0,6571.0,6642.0,137900,2015-12-01
6568.0,6769.0,6620.0,6715.0,235100,2015-12-02
6642.0,6643.0,6497.0,6568.0,115200,2015-12-03
6568.0,6524.0,6306.0,6420.0,118000,2015-12-04
6420.0,6584.0,6436.0,6494.0,161100,2015-12-07
6494.0,6683.0,6533.0,6568.0,172600,2015-12-08
6494.0,6468.0,6323.0,6420.0,94000,2015-12-09
6420.0,6448.0,6375.0,6420.0,60400,2015-12-10
6494.0,6591.0,6443.0,6494.0,94300,2015-12-11
6420.0,6541.0,6467.0,6494.0,52100,2015-12-14
6494.0,6680.0,6530.0,6568.0,144600,2015-12-15
6494.0,6657.0,6509.0,6568.0,199000,2015-12-16
6494.0,6703.0,6412.0,6568.0,254200,2015-12-17
6568.0,6720.0,6571.0,6642.0,76000,2015-12-18
6642.0,6715.0,6566.0,6642.0,96100,2015-12-21
6642.0,6720.0,6572.0,6642.0,79900,2015-12-22
6642.0,6728.0,6506.0,6642.0,99200,2015-12-23
