open,high,low,close,volume,tradingDate
2214.0,2214.0,1741.0,1909.0,22962060,2011-11-01
1924.0,2005.0,1752.0,1820.0,17926050,2011-12-01
1820.0,2089.0,1786.0,2039.0,7924240,2012-01-03
2039.0,2644.0,1988.0,2572.0,62388810,2012-02-01
2590.0,3075.0,2554.0,2608.0,144417520,2012-03-01
2608.0,2914.0,2608.0,2752.0,67728680,2012-04-03
2770.0,2860.0,2570.0,2680.0,47359300,2012-05-02
2698.0,2734.0,2534.0,2552.0,21023730,2012-06-01
2552.0,2680.0,2370.0,2552.0,17071260,2012-07-02
2552.0,2734.0,2370.0,2497.0,56290870,2012-08-01
2534.0,2552.0,2352.0,2406.0,10299070,2012-09-04
2388.0,2443.0,2279.0,2315.0,14106470,2012-10-01
2333.0,2518.0,2333.0,2400.0,29998840,2012-11-01
2400.0,2521.0,2381.0,2482.0,17375460,2012-12-03
2501.0,2879.0,2501.0,2759.0,56232960,2013-01-02
2759.0,2859.0,2581.0,2660.0,18105340,2013-02-01
2660.0,2680.0,2541.0,2561.0,7430940,2013-03-01
2581.0,2660.0,2541.0,2561.0,10210450,2013-04-01
2561.0,2742.0,2541.0,2702.0,11659790,2013-05-02
2682.0,2742.0,2601.0,2662.0,14031940,2013-06-03
2621.0,2662.0,2621.0,2642.0,8454040,2013-07-01
2642.0,2682.0,2601.0,2642.0,7607320,2013-08-01
2642.0,2742.0,2601.0,2722.0,7045360,2013-09-03
2722.0,2835.0,2722.0,2749.0,14004390,2013-10-01
2749.0,2814.0,2705.0,2749.0,6997890,2013-11-01
2770.0,2792.0,2684.0,2749.0,8245370,2013-12-02
2727.0,3008.0,2705.0,2987.0,19945230,2014-01-02
2987.0,3463.0,2943.0,3355.0,56491090,2014-02-06
3355.0,3658.0,3160.0,3441.0,68868080,2014-03-03
3420.0,3441.0,2965.0,3030.0,31269180,2014-04-01
3030.0,3030.0,2727.0,2987.0,29862440,2014-05-05
2965.0,3095.0,2835.0,2987.0,19143170,2014-06-02
2987.0,3095.0,2900.0,2943.0,27953760,2014-07-01
2943.0,3095.0,2900.0,3030.0,22631940,2014-08-01
3095.0,3138.0,2987.0,3032.0,22509930,2014-09-03
3032.0,3169.0,3009.0,3122.0,25463270,2014-10-01
3122.0,3122.0,2958.0,3005.0,13857380,2014-11-03
2981.0,3169.0,2934.0,3075.0,18514730,2014-12-01
3075.0,3545.0,3052.0,3333.0,80011200,2015-01-05
3333.0,3404.0,3075.0,3310.0,26839090,2015-02-02
3286.0,3333.0,3193.0,3216.0,20920280,2015-03-02
3216.0,3263.0,3146.0,3239.0,12159250,2015-04-01
3216.0,3357.0,3028.0,3239.0,19013740,2015-05-04
3286.0,3779.0,3216.0,3545.0,90866360,2015-06-01
3545.0,3967.0,3474.0,3709.0,155334910,2015-07-01
3686.0,3826.0,3192.0,3434.0,81387290,2015-08-03
3458.0,3848.0,3409.0,3748.0,50800240,2015-09-01
3823.0,3898.0,3473.0,3598.0,48930600,2015-10-01
3623.0,3748.0,3523.0,3523.0,30014140,2015-11-02
3548.0,3648.0,3473.0,3648.0,14100880,2015-12-01
3598.0,3648.0,3273.0,3598.0,18411690,2016-01-04
3623.0,3923.0,3548.0,3648.0,58217870,2016-02-01
3623.0,3798.0,3573.0,3573.0,28706980,2016-03-01
3573.0,3773.0,3498.0,3773.0,16972420,2016-04-01
3773.0,3973.0,3723.0,3898.0,33655550,2016-05-04
3923.0,3973.0,3573.0,3723.0,20710010,2016-06-01
3723.0,3948.0,3698.0,3748.0,7803180,2016-07-01
3773.0,3773.0,3673.0,3698.0,3908480,2016-08-01
3698.0,3736.0,3661.0,3723.0,4658150,2016-09-01
3723.0,3831.0,3673.0,3752.0,7482970,2016-10-03
3752.0,3752.0,3437.0,3503.0,3648740,2016-11-01
3503.0,3673.0,3437.0,3673.0,4711200,2016-12-01
3568.0,3726.0,3542.0,3712.0,8530320,2017-01-03
3712.0,3912.0,3660.0,3830.0,10411340,2017-02-02
3858.0,4323.0,3748.0,4200.0,26647400,2017-03-01
4158.0,4336.0,4049.0,4323.0,15435260,2017-04-03
4323.0,5390.0,4323.0,5157.0,57127750,2017-05-03
5198.0,6224.0,5157.0,6101.0,51129740,2017-06-01
6156.0,6593.0,5472.0,6511.0,51366730,2017-07-03
6457.0,6566.0,5937.0,6498.0,76224280,2017-08-01
6539.0,6539.0,6128.0,6248.0,60764220,2017-09-01
6248.0,6794.0,6090.0,6492.0,86200900,2017-10-02
6506.0,7382.0,6377.0,7354.0,128513380,2017-11-01
7354.0,7454.0,6420.0,7296.0,102937460,2017-12-01
7325.0,9844.0,7282.0,9360.0,165997950,2018-01-02
