open,high,low,close,volume,tradingDate
9078.0,10964.0,8918.0,10676.0,1105800,2015-11-26
10749.0,11445.0,10643.0,10894.0,1418900,2015-11-30
10894.0,11394.0,10812.0,11184.0,1141800,2015-12-07
11184.0,11803.0,10851.0,11039.0,1466000,2015-12-14
11039.0,11399.0,11005.0,11257.0,1131700,2015-12-21
11257.0,11424.0,11060.0,11257.0,684400,2015-12-28
11257.0,11400.0,11112.0,11257.0,700700,2016-01-04
11257.0,13912.0,11173.0,11475.0,3513300,2016-01-11
11475.0,11768.0,11313.0,11620.0,1223200,2016-01-18
11620.0,11828.0,11425.0,11693.0,915000,2016-01-25
11693.0,11841.0,11509.0,11693.0,691400,2016-02-01
11620.0,11995.0,11417.0,11765.0,1263900,2016-02-15
11765.0,12027.0,11447.0,11693.0,1476000,2016-02-22
11693.0,12366.0,11637.0,12128.0,1743900,2016-02-29
12128.0,13582.0,12069.0,13363.0,2482800,2016-03-07
13363.0,13293.0,12821.0,13145.0,1165600,2016-03-14
13073.0,15298.0,12997.0,14670.0,2513400,2016-03-21
14598.0,14687.0,14252.0,14525.0,1159000,2016-03-28
14452.0,16395.0,14319.0,15251.0,2132300,2016-04-04
15179.0,15618.0,14964.0,15251.0,1004500,2016-04-11
15179.0,15678.0,14749.0,15469.0,1010000,2016-04-19
15397.0,15623.0,15028.0,15106.0,882700,2016-04-25
15106.0,15595.0,15154.0,15251.0,751600,2016-05-04
15179.0,15417.0,14989.0,15251.0,1002800,2016-05-09
15324.0,16015.0,14794.0,15033.0,2847500,2016-05-16
15106.0,15329.0,14483.0,15033.0,2193500,2016-05-23
15033.0,17360.0,15065.0,16922.0,3359200,2016-05-30
16922.0,17123.0,11715.0,11911.0,4016800,2016-06-06
10894.0,10892.0,7190.0,7190.0,3721800,2016-06-13
6536.0,6536.0,4428.0,4430.0,3026200,2016-06-20
4358.0,4991.0,3119.0,3123.0,1881500,2016-06-27
2905.0,3545.0,2921.0,3341.0,3177700,2016-07-04
3341.0,3472.0,2775.0,3268.0,2998100,2016-07-11
3050.0,3350.0,2720.0,3268.0,2412100,2016-07-18
3486.0,3586.0,2977.0,3341.0,3193000,2016-07-25
3413.0,3399.0,2667.0,2832.0,2148510,2016-08-01
2905.0,3065.0,2563.0,3050.0,1806210,2016-08-08
3196.0,3281.0,2790.0,2978.0,1185280,2016-08-15
2978.0,3017.0,2772.0,2832.0,578650,2016-08-22
2832.0,2957.0,2631.0,2760.0,423040,2016-08-29
2760.0,2834.0,2628.0,2760.0,349900,2016-09-05
2687.0,2714.0,2302.0,2397.0,671500,2016-09-12
2324.0,2514.0,2182.0,2397.0,275200,2016-09-19
2397.0,2559.0,2254.0,2397.0,182210,2016-09-26
2397.0,2397.0,2109.0,2179.0,295000,2016-10-03
2179.0,2410.0,2232.0,2324.0,432300,2016-10-10
2324.0,2497.0,2293.0,2397.0,508400,2016-10-17
2324.0,2323.0,2202.0,2251.0,458410,2016-10-24
2251.0,2314.0,2181.0,2251.0,336000,2016-10-31
2251.0,2363.0,1972.0,2179.0,316400,2016-11-07
2179.0,2254.0,2104.0,2179.0,388300,2016-11-14
2106.0,2254.0,2063.0,2179.0,200300,2016-11-21
2179.0,2266.0,2045.0,2251.0,256300,2016-11-28
2469.0,2782.0,2398.0,2687.0,1562280,2016-12-05
2760.0,2771.0,2174.0,2469.0,694100,2016-12-12
2542.0,2521.0,2287.0,2324.0,176700,2016-12-19
2397.0,2688.0,2350.0,2469.0,443410,2016-12-26
2542.0,2589.0,2314.0,2397.0,133100,2017-01-03
2469.0,2701.0,2378.0,2469.0,283100,2017-01-09
2469.0,2527.0,2257.0,2397.0,251100,2017-01-16
2469.0,2524.0,2245.0,2469.0,155300,2017-01-23
2397.0,2460.0,2297.0,2324.0,148100,2017-02-02
2397.0,2729.0,2318.0,2542.0,562500,2017-02-06
2542.0,3520.0,2561.0,3341.0,2270020,2017-02-13
