open,high,low,close,volume,tradingDate
41980.0,41980.0,29652.0,29985.0,163300,2017-01-05
30152.0,30152.0,28286.0,29985.0,53837,2017-01-06
28320.0,28819.0,27986.0,28653.0,22410,2017-01-09
28153.0,28153.0,26321.0,27120.0,56670,2017-01-10
26654.0,26987.0,25321.0,26654.0,49520,2017-01-11
26654.0,27986.0,26654.0,27953.0,15987,2017-01-12
27520.0,28286.0,27054.0,27054.0,12333,2017-01-13
26654.0,26954.0,25654.0,26654.0,5400,2017-01-16
26321.0,26654.0,25821.0,26354.0,15250,2017-01-17
26587.0,26587.0,26154.0,26487.0,11137,2017-01-18
26321.0,26620.0,25654.0,26620.0,26545,2017-01-19
26487.0,26654.0,25987.0,26654.0,11300,2017-01-20
26021.0,26654.0,25787.0,26654.0,39100,2017-01-23
25987.0,26487.0,25987.0,26487.0,4000,2017-01-24
26321.0,26654.0,25987.0,26654.0,9700,2017-01-25
26820.0,27720.0,26820.0,27320.0,5208,2017-02-02
27153.0,27220.0,26387.0,26620.0,12617,2017-02-03
26154.0,26654.0,25987.0,26087.0,3010,2017-02-06
26654.0,26654.0,25254.0,26387.0,68435,2017-02-07
25821.0,25987.0,25821.0,25987.0,400,2017-02-08
25654.0,26487.0,25654.0,25787.0,13900,2017-02-09
25654.0,25821.0,25321.0,25321.0,13920,2017-02-10
25021.0,25154.0,24821.0,24821.0,25000,2017-02-13
24488.0,24988.0,24488.0,24988.0,18191,2017-02-14
24821.0,24821.0,23988.0,24821.0,34609,2017-02-15
23988.0,24655.0,23988.0,24621.0,4830,2017-02-16
24388.0,24621.0,24022.0,24022.0,6958,2017-02-17
23988.0,23988.0,21656.0,23322.0,14495,2017-02-20
23955.0,23955.0,23189.0,23222.0,7960,2017-02-21
23322.0,23622.0,23155.0,23589.0,22730,2017-02-22
23555.0,24388.0,23322.0,24322.0,19200,2017-02-23
24255.0,24255.0,23555.0,24155.0,6900,2017-02-24
23489.0,24188.0,23489.0,23988.0,10346,2017-02-27
24155.0,24288.0,23289.0,23322.0,8627,2017-02-28
23988.0,24155.0,23189.0,23688.0,8740,2017-03-01
23788.0,23888.0,23255.0,23255.0,20921,2017-03-02
23322.0,23322.0,23155.0,23155.0,14742,2017-03-03
23622.0,23622.0,22656.0,22656.0,10240,2017-03-06
23222.0,23289.0,23222.0,23289.0,11100,2017-03-07
23289.0,23389.0,22989.0,23389.0,24130,2017-03-08
23389.0,23489.0,23022.0,23022.0,2158,2017-03-09
23222.0,23222.0,23222.0,23222.0,106,2017-03-10
23322.0,23322.0,22489.0,22489.0,13540,2017-03-13
23222.0,23655.0,22722.0,22722.0,12000,2017-03-14
22822.0,23255.0,22389.0,23255.0,15658,2017-03-15
23255.0,23255.0,22289.0,22789.0,23500,2017-03-16
22822.0,22989.0,22656.0,22656.0,5618,2017-03-17
23155.0,23155.0,22489.0,22489.0,30600,2017-03-20
22889.0,23522.0,22456.0,22489.0,44150,2017-03-21
23122.0,23122.0,22489.0,22489.0,25300,2017-03-22
22989.0,23022.0,22322.0,22356.0,6720,2017-03-23
22322.0,22822.0,22189.0,22489.0,13975,2017-03-24
22456.0,22456.0,21323.0,21323.0,34718,2017-03-27
21323.0,21956.0,20657.0,20657.0,60170,2017-03-28
20990.0,20990.0,20490.0,20490.0,14100,2017-03-29
21156.0,21656.0,20990.0,21656.0,82700,2017-03-30
21323.0,22189.0,21323.0,22189.0,25360,2017-03-31
22489.0,22656.0,22322.0,22656.0,47740,2017-04-03
22656.0,22656.0,22489.0,22522.0,20344,2017-04-04
22489.0,22656.0,21656.0,21656.0,11300,2017-04-05
22156.0,22156.0,21423.0,21423.0,608,2017-04-07
21090.0,21623.0,21090.0,21090.0,7444,2017-04-10
21656.0,21656.0,21323.0,21656.0,54854,2017-04-11
21956.0,21989.0,21323.0,21656.0,41900,2017-04-12
21656.0,21656.0,21523.0,21589.0,10200,2017-04-13
21356.0,21956.0,21323.0,21956.0,17000,2017-04-14
21656.0,21656.0,21390.0,21490.0,6000,2017-04-17
21456.0,21623.0,20990.0,21490.0,9620,2017-04-18
21056.0,21490.0,20990.0,20990.0,14420,2017-04-19
21156.0,21156.0,20990.0,20990.0,5420,2017-04-20
20990.0,21290.0,20823.0,21290.0,6900,2017-04-21
20823.0,20990.0,20823.0,20990.0,3740,2017-04-24
20690.0,21356.0,20690.0,21290.0,2110,2017-04-25
20823.0,21023.0,20823.0,20990.0,7720,2017-04-26
20956.0,21156.0,20956.0,20990.0,15200,2017-04-27
20990.0,20990.0,20690.0,20823.0,6030,2017-04-28
20657.0,20857.0,20523.0,20523.0,7600,2017-05-03
20390.0,20623.0,20323.0,20323.0,8700,2017-05-04
20357.0,20357.0,20323.0,20323.0,5250,2017-05-05
20490.0,20490.0,20024.0,20024.0,1550,2017-05-08
20157.0,20157.0,19857.0,19924.0,13800,2017-05-09
19990.0,20124.0,19824.0,19990.0,5127,2017-05-10
20024.0,20024.0,19790.0,19824.0,4380,2017-05-11
20323.0,20457.0,19824.0,20323.0,26721,2017-05-12
20490.0,20490.0,19990.0,19990.0,6420,2017-05-15
20190.0,20190.0,19724.0,19724.0,700,2017-05-16
19990.0,19990.0,19990.0,19990.0,1430,2017-05-17
19990.0,20290.0,19990.0,20024.0,20503,2017-05-18
23022.0,23022.0,20657.0,20990.0,34730,2017-05-19
20990.0,21156.0,20956.0,21156.0,28602,2017-05-22
21023.0,21290.0,21023.0,21156.0,27034,2017-05-23
21090.0,21556.0,21090.0,21356.0,33660,2017-05-24
21623.0,21989.0,21490.0,21956.0,33660,2017-05-25
21989.0,22822.0,21956.0,22656.0,79283,2017-05-26
22656.0,22722.0,22322.0,22322.0,88499,2017-05-29
22623.0,22730.0,22623.0,22659.0,59800,2017-05-30
22659.0,22659.0,22623.0,22659.0,39300,2017-05-31
22694.0,22837.0,22659.0,22659.0,20467,2017-06-01
22669.0,22705.0,22669.0,22669.0,39910,2017-06-02
22837.0,22837.0,22659.0,22694.0,29421,2017-06-05
22480.0,23015.0,22480.0,23015.0,75720,2017-06-06
22837.0,23194.0,22766.0,22837.0,27174,2017-06-07
23015.0,23015.0,22445.0,22445.0,7300,2017-06-08
22837.0,22837.0,22123.0,22302.0,15800,2017-06-09
22123.0,22123.0,21981.0,21981.0,19850,2017-06-12
21981.0,21981.0,21410.0,21481.0,14650,2017-06-13
21410.0,21767.0,21338.0,21338.0,17700,2017-06-14
21338.0,21338.0,21160.0,21160.0,10150,2017-06-15
21374.0,21374.0,21374.0,21374.0,3250,2017-06-16
21160.0,21160.0,21053.0,21053.0,3414,2017-06-19
21374.0,21410.0,21053.0,21053.0,3100,2017-06-20
21017.0,21017.0,20982.0,20982.0,1243,2017-06-21
20910.0,20982.0,20910.0,20982.0,2802,2017-06-22
20803.0,20803.0,20339.0,20339.0,12850,2017-06-23
20339.0,20339.0,19982.0,19982.0,4521,2017-06-26
19982.0,20161.0,19626.0,19911.0,16020,2017-06-27
20625.0,20625.0,20339.0,20339.0,8984,2017-06-28
20518.0,21053.0,20518.0,20696.0,7000,2017-06-29
21053.0,21410.0,20874.0,20874.0,13650,2017-06-30
20732.0,21517.0,20696.0,21517.0,14550,2017-07-03
21410.0,21588.0,20982.0,21267.0,9780,2017-07-04
20732.0,21410.0,20732.0,21410.0,650,2017-07-05
20874.0,21410.0,20874.0,21338.0,28800,2017-07-06
21160.0,21303.0,21160.0,21303.0,6050,2017-07-07
21160.0,21160.0,20732.0,20732.0,3650,2017-07-10
20982.0,20982.0,20696.0,20696.0,900,2017-07-11
20946.0,20946.0,20946.0,20946.0,0,2017-07-12
20946.0,20946.0,19982.0,19982.0,300,2017-07-13
20339.0,20339.0,20018.0,20018.0,5800,2017-07-14
20161.0,20161.0,19911.0,19911.0,8920,2017-07-17
20339.0,20339.0,19982.0,19982.0,3700,2017-07-18
19840.0,20518.0,19626.0,20518.0,32562,2017-07-19
20018.0,20018.0,19626.0,19804.0,15050,2017-07-20
