open,high,low,close,volume,tradingDate
3753.0,3995.0,3753.0,3995.0,1210,2012-11-19
3995.0,3995.0,3796.0,3995.0,1710,2012-11-20
3824.0,3981.0,3810.0,3981.0,2310,2012-11-21
4024.0,4024.0,4024.0,4024.0,10,2012-11-22
3981.0,4224.0,3981.0,4224.0,250,2012-11-23
4152.0,4395.0,4024.0,4224.0,820,2012-11-26
4238.0,4238.0,4238.0,4238.0,50,2012-11-27
4238.0,4238.0,4238.0,4238.0,0,2012-11-28
4052.0,4181.0,4052.0,4181.0,1030,2012-11-29
4252.0,4252.0,4252.0,4252.0,10,2012-11-30
4252.0,4252.0,4252.0,4252.0,0,2012-12-03
4252.0,4252.0,4252.0,4252.0,0,2012-12-04
4252.0,4252.0,4252.0,4252.0,0,2012-12-05
4067.0,4238.0,4052.0,4238.0,430,2012-12-06
4038.0,4038.0,4038.0,4038.0,2390,2012-12-07
4109.0,4109.0,4109.0,4109.0,10,2012-12-10
3938.0,3981.0,3938.0,3981.0,5420,2012-12-11
3895.0,3981.0,3895.0,3924.0,5130,2012-12-12
4081.0,4081.0,3910.0,4067.0,1080,2012-12-13
4067.0,4266.0,4067.0,4266.0,8070,2012-12-14
4466.0,4466.0,4466.0,4466.0,26660,2012-12-17
4680.0,4680.0,4595.0,4680.0,23870,2012-12-18
4823.0,4823.0,4580.0,4580.0,13710,2012-12-19
4495.0,4509.0,4423.0,4423.0,10510,2012-12-20
4252.0,4466.0,4252.0,4466.0,4790,2012-12-21
4509.0,4509.0,4366.0,4452.0,12630,2012-12-24
4359.0,4576.0,4359.0,4576.0,4450,2012-12-25
4560.0,4576.0,4560.0,4576.0,110,2012-12-26
4576.0,4777.0,4405.0,4405.0,4190,2012-12-27
4405.0,4622.0,4405.0,4622.0,28580,2012-12-28
4808.0,4840.0,4653.0,4840.0,2550,2013-01-02
4948.0,5041.0,4855.0,4871.0,6170,2013-01-03
4964.0,4964.0,4762.0,4762.0,9560,2013-01-04
4886.0,4886.0,4591.0,4591.0,3720,2013-01-07
4576.0,4576.0,4405.0,4560.0,3940,2013-01-08
4777.0,4777.0,4607.0,4607.0,480,2013-01-09
4777.0,4777.0,4421.0,4436.0,5320,2013-01-10
4436.0,4576.0,4436.0,4498.0,6490,2013-01-11
4622.0,4622.0,4405.0,4436.0,2010,2013-01-14
4266.0,4576.0,4188.0,4529.0,960,2013-01-15
4343.0,4498.0,4343.0,4467.0,8340,2013-01-16
4266.0,4452.0,4266.0,4343.0,1090,2013-01-17
4343.0,4498.0,4343.0,4421.0,2020,2013-01-18
4312.0,4343.0,4281.0,4281.0,3340,2013-01-21
4343.0,4343.0,4266.0,4281.0,1190,2013-01-22
4281.0,4328.0,4281.0,4328.0,1470,2013-01-23
4343.0,4343.0,4064.0,4064.0,4210,2013-01-24
4250.0,4266.0,4188.0,4266.0,4500,2013-01-25
4312.0,4312.0,4266.0,4312.0,11030,2013-01-28
4064.0,4250.0,4064.0,4188.0,4470,2013-01-29
4266.0,4312.0,4266.0,4266.0,19250,2013-01-30
4266.0,4266.0,4188.0,4188.0,1700,2013-01-31
4266.0,4266.0,4033.0,4188.0,19320,2013-02-01
4266.0,4266.0,4048.0,4188.0,6800,2013-02-04
4002.0,4188.0,4002.0,4064.0,800,2013-02-05
4343.0,4343.0,4204.0,4235.0,66700,2013-02-06
