open,high,low,close,volume,tradingDate
2749.0,3055.0,1665.0,1680.0,558300,2011-04-21
1680.0,1787.0,1543.0,1695.0,631800,2011-04-25
1726.0,1726.0,1527.0,1589.0,116900,2011-05-04
1604.0,1757.0,1527.0,1757.0,668000,2011-05-09
1787.0,1863.0,1619.0,1757.0,879400,2011-05-16
1772.0,1787.0,1451.0,1543.0,593500,2011-05-23
1604.0,1650.0,1405.0,1589.0,330000,2011-05-30
1589.0,1619.0,1466.0,1589.0,269300,2011-06-06
1634.0,1650.0,1375.0,1405.0,280100,2011-06-13
1405.0,1436.0,1253.0,1298.0,276000,2011-06-20
1329.0,1390.0,1253.0,1253.0,181400,2011-06-27
1268.0,1405.0,1268.0,1314.0,146200,2011-07-04
1314.0,1471.0,1298.0,1437.0,151600,2011-07-11
1471.0,1488.0,1369.0,1420.0,102200,2011-07-18
1369.0,1591.0,1369.0,1523.0,106000,2011-07-25
1454.0,1540.0,1420.0,1454.0,63200,2011-08-01
1488.0,1523.0,1352.0,1454.0,72200,2011-08-08
1471.0,1574.0,1386.0,1437.0,39800,2011-08-15
1437.0,1454.0,1403.0,1420.0,60600,2011-08-22
1437.0,1540.0,1437.0,1488.0,79800,2011-08-29
1540.0,1677.0,1454.0,1625.0,189500,2011-09-05
1625.0,1711.0,1523.0,1660.0,155400,2011-09-12
1642.0,1916.0,1642.0,1899.0,684600,2011-09-19
1933.0,2173.0,1916.0,1967.0,1038700,2011-09-26
2036.0,2036.0,1899.0,1967.0,548500,2011-10-03
1831.0,1916.0,1660.0,1779.0,512600,2011-10-10
1762.0,1779.0,1642.0,1711.0,414000,2011-10-17
1745.0,1865.0,1728.0,1831.0,637100,2011-10-24
1916.0,1933.0,1728.0,1796.0,453000,2011-10-31
1796.0,1814.0,1625.0,1677.0,385100,2011-11-07
1660.0,1711.0,1574.0,1608.0,547800,2011-11-14
1625.0,1677.0,1523.0,1625.0,490000,2011-11-21
1608.0,1694.0,1506.0,1523.0,319800,2011-11-28
1557.0,1574.0,1506.0,1523.0,200500,2011-12-05
1591.0,1625.0,1506.0,1557.0,136800,2011-12-12
1557.0,1591.0,1454.0,1540.0,51600,2011-12-19
1523.0,1523.0,1403.0,1523.0,94000,2011-12-26
1506.0,1506.0,1369.0,1386.0,59000,2012-01-03
1386.0,1471.0,1386.0,1471.0,49100,2012-01-09
1471.0,1608.0,1471.0,1574.0,115800,2012-01-16
1660.0,1796.0,1523.0,1762.0,113300,2012-01-30
1796.0,1796.0,1608.0,1677.0,147300,2012-02-06
1660.0,1660.0,1488.0,1557.0,76100,2012-02-13
1574.0,1711.0,1574.0,1694.0,132600,2012-02-20
1728.0,1779.0,1608.0,1660.0,133000,2012-02-27
1677.0,1899.0,1591.0,1694.0,142800,2012-03-05
1796.0,1796.0,1506.0,1608.0,125200,2012-03-12
1642.0,1642.0,1471.0,1574.0,116000,2012-03-19
1677.0,1831.0,1557.0,1557.0,663800,2012-03-26
1557.0,1642.0,1471.0,1574.0,133800,2012-04-03
1591.0,1831.0,1488.0,1694.0,631100,2012-04-09
1779.0,2019.0,1608.0,1814.0,1885800,2012-04-16
1933.0,1933.0,1625.0,1728.0,1545200,2012-04-23
1848.0,1967.0,1728.0,1865.0,916700,2012-05-02
1985.0,2036.0,1796.0,1848.0,1686100,2012-05-07
1882.0,1882.0,1506.0,1557.0,1117600,2012-05-14
1660.0,1762.0,1506.0,1642.0,944400,2012-05-21
1745.0,1745.0,1540.0,1574.0,570800,2012-05-28
1591.0,1831.0,1506.0,1779.0,1729000,2012-06-04
1899.0,1899.0,1540.0,1642.0,1064900,2012-06-11
1745.0,1745.0,1557.0,1574.0,551900,2012-06-18
1574.0,1574.0,1454.0,1523.0,905400,2012-06-25
1540.0,1557.0,1369.0,1471.0,678500,2012-07-02
1471.0,1574.0,1386.0,1557.0,355500,2012-07-09
1591.0,1608.0,1454.0,1574.0,692500,2012-07-16
1627.0,1667.0,1528.0,1588.0,356500,2012-07-23
1667.0,1667.0,1528.0,1568.0,180400,2012-07-30
1568.0,1647.0,1508.0,1508.0,234300,2012-08-06
1588.0,1588.0,1449.0,1488.0,153800,2012-08-13
1568.0,1588.0,1211.0,1349.0,473800,2012-08-20
1369.0,1409.0,1191.0,1369.0,172000,2012-08-27
1369.0,1429.0,1250.0,1290.0,110700,2012-09-04
1349.0,1349.0,1171.0,1270.0,186600,2012-09-10
1310.0,1330.0,1151.0,1230.0,255300,2012-09-17
1211.0,1290.0,1091.0,1111.0,294100,2012-09-24
1111.0,1131.0,992.0,1012.0,330700,2012-10-01
1072.0,1151.0,992.0,1151.0,1006700,2012-10-08
1230.0,1230.0,992.0,1012.0,753400,2012-10-15
1072.0,1072.0,913.0,913.0,476400,2012-10-22
933.0,953.0,853.0,853.0,584200,2012-10-29
