open,high,low,close,volume,tradingDate
6951.0,6951.0,6805.0,6902.0,211050,2015-07-20
6902.0,6999.0,6805.0,6805.0,147970,2015-07-21
6805.0,6951.0,6805.0,6902.0,112280,2015-07-22
6902.0,6902.0,6756.0,6805.0,244540,2015-07-23
6756.0,6902.0,6756.0,6805.0,141840,2015-07-24
6805.0,7097.0,6805.0,6999.0,401160,2015-07-27
6999.0,7097.0,6854.0,6999.0,452460,2015-07-28
6951.0,6999.0,6854.0,6951.0,348190,2015-07-29
6902.0,6999.0,6854.0,6951.0,298470,2015-07-30
6951.0,6999.0,6902.0,6902.0,320020,2015-07-31
6805.0,6854.0,6708.0,6854.0,200030,2015-08-03
6854.0,6951.0,6756.0,6902.0,405490,2015-08-04
6902.0,7145.0,6902.0,7097.0,694160,2015-08-05
7048.0,7388.0,7048.0,7242.0,1219090,2015-08-06
7242.0,7291.0,7097.0,7242.0,795190,2015-08-07
7242.0,7388.0,7194.0,7242.0,735550,2015-08-10
7388.0,7437.0,7194.0,7291.0,1011900,2015-08-11
7291.0,7437.0,7194.0,7242.0,1589590,2015-08-12
7194.0,7242.0,7048.0,7194.0,855850,2015-08-13
7145.0,7194.0,7048.0,7048.0,792660,2015-08-14
7048.0,7242.0,6951.0,7097.0,1201600,2015-08-17
7097.0,7145.0,6999.0,7048.0,649210,2015-08-18
7048.0,7097.0,6999.0,7097.0,459410,2015-08-19
7048.0,7194.0,6999.0,7097.0,404560,2015-08-20
7097.0,7097.0,6756.0,6951.0,727550,2015-08-21
6902.0,6902.0,6465.0,6465.0,929930,2015-08-24
6319.0,6513.0,6222.0,6319.0,508860,2015-08-25
6270.0,6659.0,6270.0,6659.0,1012720,2015-08-26
6659.0,6708.0,6611.0,6708.0,650860,2015-08-27
6708.0,6902.0,6611.0,6756.0,772460,2015-08-28
6756.0,6805.0,6611.0,6659.0,542790,2015-08-31
6659.0,6999.0,6659.0,6805.0,1184740,2015-09-01
6854.0,6854.0,6659.0,6756.0,718280,2015-09-03
6756.0,6854.0,6708.0,6708.0,607070,2015-09-04
6708.0,6756.0,6611.0,6659.0,667330,2015-09-07
6611.0,6756.0,6611.0,6708.0,512710,2015-09-08
6756.0,6854.0,6611.0,6611.0,674160,2015-09-09
6611.0,6708.0,6562.0,6708.0,808190,2015-09-10
6708.0,6805.0,6659.0,6708.0,889740,2015-09-11
6659.0,6756.0,6562.0,6659.0,622550,2015-09-14
6659.0,6659.0,6562.0,6562.0,679210,2015-09-15
6562.0,6659.0,6513.0,6611.0,674190,2015-09-16
6611.0,6708.0,6562.0,6659.0,653650,2015-09-17
6659.0,6854.0,6659.0,6756.0,1276310,2015-09-18
6805.0,6902.0,6805.0,6854.0,834770,2015-09-21
6854.0,6902.0,6756.0,6854.0,791750,2015-09-22
6805.0,6854.0,6708.0,6756.0,734460,2015-09-23
6756.0,7048.0,6756.0,6999.0,1464760,2015-09-24
6999.0,7048.0,6854.0,6902.0,1226360,2015-09-25
6902.0,6902.0,6756.0,6805.0,932200,2015-09-28
6708.0,6854.0,6708.0,6805.0,907180,2015-09-29
6805.0,6854.0,6756.0,6854.0,839100,2015-09-30
6805.0,6902.0,6805.0,6805.0,736050,2015-10-01
6805.0,6902.0,6756.0,6805.0,727480,2015-10-02
6902.0,7048.0,6854.0,7048.0,1118440,2015-10-05
7097.0,7145.0,7048.0,7145.0,1185820,2015-10-06
7145.0,7242.0,7048.0,7097.0,1267700,2015-10-07
7145.0,7340.0,7097.0,7242.0,1657860,2015-10-08
7340.0,7388.0,7194.0,7242.0,936120,2015-10-09
7194.0,7291.0,7097.0,7097.0,908770,2015-10-12
7097.0,7145.0,7048.0,7097.0,677670,2015-10-13
7097.0,7242.0,7097.0,7194.0,927720,2015-10-14
7194.0,7242.0,7145.0,7242.0,928900,2015-10-15
7194.0,7340.0,7194.0,7291.0,1194250,2015-10-16
7291.0,7340.0,7242.0,7340.0,1080440,2015-10-19
7340.0,7388.0,7097.0,7194.0,762370,2015-10-20
7145.0,7194.0,7048.0,7048.0,888430,2015-10-21
7048.0,7145.0,7048.0,7048.0,360160,2015-10-22
7048.0,7242.0,7048.0,7194.0,871320,2015-10-23
7242.0,7242.0,7097.0,7194.0,869460,2015-10-26
7145.0,7194.0,7048.0,7048.0,648820,2015-10-27
7048.0,7194.0,7048.0,7097.0,683670,2015-10-28
7097.0,7145.0,7048.0,7048.0,184580,2015-10-29
7048.0,7242.0,7048.0,7145.0,806350,2015-10-30
7194.0,7194.0,7048.0,7097.0,637280,2015-11-02
7145.0,7145.0,7048.0,7145.0,751110,2015-11-03
7145.0,7242.0,7048.0,7097.0,916420,2015-11-04
7097.0,7145.0,6999.0,7097.0,500770,2015-11-05
7097.0,7097.0,6951.0,6951.0,320290,2015-11-06
6951.0,6951.0,6805.0,6805.0,414090,2015-11-09
6805.0,6805.0,6611.0,6708.0,258370,2015-11-10
6805.0,7048.0,6756.0,7048.0,826220,2015-11-11
6999.0,7048.0,6902.0,7048.0,481300,2015-11-12
7048.0,7145.0,6902.0,6951.0,791610,2015-11-13
6951.0,7145.0,6902.0,7097.0,630220,2015-11-16
7048.0,7145.0,7048.0,7145.0,410430,2015-11-17
7145.0,7145.0,7048.0,7048.0,526490,2015-11-18
7048.0,7048.0,6951.0,7048.0,393900,2015-11-19
7048.0,7048.0,6999.0,7048.0,540230,2015-11-20
7048.0,7048.0,6951.0,6999.0,558910,2015-11-23
6999.0,7048.0,6854.0,6951.0,385670,2015-11-24
6951.0,7437.0,6854.0,7242.0,787570,2015-11-25
7242.0,7340.0,6999.0,7194.0,858320,2015-11-26
7145.0,7145.0,6951.0,6951.0,423770,2015-11-27
6951.0,7048.0,6854.0,6951.0,415030,2015-11-30
6854.0,6999.0,6805.0,6951.0,488440,2015-12-01
6951.0,7145.0,6951.0,7145.0,348590,2015-12-02
7145.0,7145.0,6951.0,6951.0,215840,2015-12-03
6951.0,6951.0,6756.0,6756.0,269000,2015-12-04
6756.0,7097.0,6756.0,7048.0,274740,2015-12-07
6951.0,7048.0,6805.0,6902.0,285230,2015-12-08
6951.0,6951.0,6805.0,6854.0,213740,2015-12-09
6853.0,6906.0,6801.0,6906.0,417170,2015-12-10
6906.0,6958.0,6801.0,6906.0,287040,2015-12-11
6853.0,6853.0,6749.0,6853.0,352750,2015-12-14
6853.0,6853.0,6749.0,6853.0,371700,2015-12-15
6853.0,7063.0,6801.0,6906.0,590800,2015-12-16
6906.0,6958.0,6801.0,6958.0,367450,2015-12-17
6958.0,6958.0,6801.0,6958.0,443500,2015-12-18
6958.0,6958.0,6749.0,6906.0,456180,2015-12-21
6853.0,6853.0,6749.0,6853.0,365830,2015-12-22
6853.0,6853.0,6749.0,6853.0,388600,2015-12-23
6853.0,6853.0,6696.0,6801.0,384730,2015-12-24
6749.0,6906.0,6383.0,6487.0,617230,2015-12-25
6487.0,6487.0,6330.0,6435.0,285220,2015-12-28
6435.0,6487.0,6278.0,6487.0,390160,2015-12-29
6487.0,6644.0,6435.0,6539.0,190500,2015-12-30
6539.0,6592.0,6487.0,6539.0,399350,2015-12-31
6539.0,6539.0,6383.0,6487.0,226870,2016-01-04
6435.0,6435.0,6383.0,6383.0,340240,2016-01-05
6383.0,6487.0,6330.0,6435.0,465980,2016-01-06
6435.0,6487.0,6226.0,6278.0,352710,2016-01-07
6278.0,6435.0,6226.0,6435.0,391370,2016-01-08
6435.0,6435.0,6330.0,6383.0,442310,2016-01-11
6383.0,6487.0,6330.0,6487.0,439220,2016-01-12
6487.0,6906.0,6435.0,6749.0,1053440,2016-01-13
6696.0,7010.0,6435.0,6958.0,581110,2016-01-14
6906.0,6906.0,6696.0,6696.0,340890,2016-01-15
6644.0,6644.0,6278.0,6278.0,297690,2016-01-18
