open,high,low,close,volume,tradingDate
11111.0,11341.0,9425.0,10115.0,4938300,2010-07-12
9962.0,10192.0,9502.0,9808.0,1927800,2010-07-19
9885.0,9885.0,9042.0,9272.0,1407400,2010-07-26
9272.0,9272.0,8659.0,8736.0,1129800,2010-08-02
8736.0,8736.0,7663.0,7969.0,1493500,2010-08-09
8199.0,8582.0,7893.0,8046.0,1432100,2010-08-16
8199.0,8429.0,7510.0,7663.0,1284900,2010-08-23
7969.0,8353.0,7969.0,8123.0,1086900,2010-08-30
8276.0,9195.0,7969.0,9119.0,4331400,2010-09-06
9119.0,9195.0,8199.0,8812.0,1988400,2010-09-13
9042.0,9119.0,8046.0,8276.0,1788300,2010-09-20
8199.0,8429.0,7969.0,8046.0,1321300,2010-09-27
7969.0,8199.0,7586.0,7739.0,1306300,2010-10-04
7816.0,7816.0,7586.0,7663.0,734900,2010-10-11
7663.0,7663.0,7126.0,7280.0,735600,2010-10-18
7126.0,7586.0,6897.0,7280.0,314500,2010-10-25
7280.0,7280.0,6820.0,7126.0,312200,2010-11-01
6897.0,7050.0,6284.0,6284.0,475100,2010-11-08
6437.0,6897.0,5824.0,6207.0,481600,2010-11-15
6130.0,6360.0,5747.0,6207.0,424300,2010-11-22
6207.0,7050.0,5900.0,7050.0,1257600,2010-11-29
7510.0,7586.0,6513.0,7280.0,1847800,2010-12-06
7663.0,8199.0,7050.0,7356.0,2279600,2010-12-13
7356.0,7510.0,6590.0,6820.0,622700,2010-12-20
7050.0,7126.0,6743.0,6820.0,322000,2010-12-27
6820.0,7050.0,6437.0,6590.0,293700,2011-01-04
6590.0,6590.0,5977.0,6207.0,483500,2011-01-10
6284.0,6513.0,6130.0,6284.0,339000,2011-01-17
6360.0,6437.0,6054.0,6284.0,227000,2011-01-24
6284.0,6437.0,6207.0,6284.0,241100,2011-02-08
6207.0,6284.0,5747.0,5900.0,356200,2011-02-14
5747.0,5747.0,4981.0,5364.0,628200,2011-02-21
5364.0,5517.0,4981.0,5057.0,728700,2011-02-28
5057.0,5287.0,4674.0,5287.0,414600,2011-03-07
5287.0,5287.0,4674.0,4981.0,408100,2011-03-14
