open,high,low,close,volume,tradingDate
3628.0,4199.0,3628.0,4199.0,176760,2006-12-12
4408.0,5079.0,4408.0,4480.0,314210,2006-12-18
4480.0,4580.0,4054.0,4535.0,207870,2006-12-25
4327.0,4535.0,4308.0,4535.0,319490,2007-01-02
4580.0,4581.0,4308.0,4399.0,335470,2007-01-08
4444.0,4444.0,4063.0,4263.0,237550,2007-01-15
4244.0,4327.0,4172.0,4172.0,154440,2007-01-22
4262.0,4716.0,4172.0,4671.0,268700,2007-01-29
4897.0,5352.0,4897.0,4897.0,333900,2007-02-05
4762.0,4891.0,4671.0,4891.0,102880,2007-02-12
4891.0,4983.0,4707.0,4799.0,135800,2007-02-26
4799.0,5675.0,4799.0,5629.0,415320,2007-03-05
5629.0,5629.0,4937.0,5167.0,191490,2007-03-12
5167.0,5214.0,4845.0,4891.0,153310,2007-03-19
4891.0,4891.0,4061.0,4613.0,136990,2007-03-26
4613.0,4706.0,4337.0,4429.0,61830,2007-04-02
4429.0,4429.0,4171.0,4171.0,43200,2007-04-09
3968.0,4208.0,3783.0,4005.0,76400,2007-04-16
4004.0,4015.0,3829.0,4015.0,27620,2007-04-23
4015.0,4015.0,3875.0,3968.0,34280,2007-05-02
3968.0,4153.0,3876.0,4015.0,59220,2007-05-07
4015.0,4051.0,3830.0,4023.0,64180,2007-05-14
4218.0,4614.0,4135.0,4208.0,145510,2007-05-21
4411.0,4568.0,4061.0,4061.0,165640,2007-05-28
4061.0,4061.0,3783.0,3875.0,100770,2007-06-04
3875.0,3875.0,3783.0,3783.0,43060,2007-06-11
3783.0,4153.0,3737.0,3875.0,172660,2007-06-18
3829.0,3875.0,3783.0,3829.0,89160,2007-06-25
3783.0,3922.0,3783.0,3839.0,137060,2007-07-02
3829.0,3968.0,3829.0,3875.0,154090,2007-07-09
3885.0,3968.0,3811.0,3968.0,85330,2007-07-16
3968.0,3968.0,3829.0,3950.0,106220,2007-07-23
4143.0,4346.0,3895.0,3922.0,147420,2007-07-30
3856.0,3921.0,3783.0,3829.0,95690,2007-08-06
3783.0,4060.0,3691.0,3737.0,99540,2007-08-13
3922.0,3968.0,3738.0,3829.0,85840,2007-08-20
3875.0,4015.0,3829.0,4015.0,127010,2007-08-27
4024.0,4245.0,4014.0,4180.0,207650,2007-09-04
4171.0,4171.0,3968.0,4023.0,72330,2007-09-10
4023.0,4337.0,3950.0,4218.0,174570,2007-09-17
4244.0,4429.0,4208.0,4328.0,189520,2007-09-24
4540.0,4753.0,4475.0,4475.0,311890,2007-10-01
4475.0,5306.0,4430.0,5306.0,641990,2007-10-08
5306.0,5353.0,4983.0,5260.0,548960,2007-10-15
5121.0,5812.0,5121.0,5583.0,544350,2007-10-22
5491.0,5722.0,5352.0,5675.0,636010,2007-10-29
5952.0,6506.0,5629.0,6045.0,1102740,2007-11-05
5998.0,6045.0,5767.0,5859.0,419580,2007-11-12
5767.0,5952.0,5721.0,5767.0,197890,2007-11-19
5813.0,6229.0,5767.0,6091.0,174240,2007-11-26
6182.0,6183.0,5813.0,5952.0,130350,2007-12-03
5952.0,5998.0,5629.0,5906.0,99280,2007-12-10
5906.0,6227.0,5767.0,6137.0,164750,2007-12-17
6275.0,6460.0,6137.0,6275.0,150710,2007-12-24
6275.0,6321.0,6183.0,6275.0,62540,2008-01-02
6136.0,6321.0,5859.0,5952.0,125450,2008-01-07
5721.0,6125.0,5445.0,6125.0,107050,2008-01-14
6178.0,6178.0,5968.0,6073.0,91820,2008-01-21
6283.0,7434.0,6073.0,7434.0,76210,2008-01-28
7800.0,7801.0,6806.0,7068.0,101580,2008-02-12
6754.0,6806.0,5864.0,6335.0,58570,2008-02-18
6334.0,6544.0,5707.0,5707.0,50280,2008-02-25
5497.0,5916.0,4921.0,5916.0,62030,2008-03-03
6177.0,6178.0,5654.0,5811.0,97360,2008-03-10
5550.0,5550.0,4733.0,4733.0,38310,2008-03-17
4869.0,4942.0,4398.0,4900.0,33650,2008-03-24
4942.0,5110.0,4942.0,5110.0,10410,2008-03-31
5204.0,5340.0,5089.0,5089.0,19790,2008-04-07
5088.0,5089.0,4900.0,4995.0,58530,2008-04-16
4995.0,5089.0,4921.0,5089.0,60780,2008-04-21
5089.0,5183.0,5026.0,5183.0,5530,2008-04-28
5089.0,5183.0,4785.0,4785.0,2680,2008-05-05
4691.0,4691.0,4356.0,4356.0,3530,2008-05-12
4272.0,4272.0,4031.0,4031.0,7040,2008-05-19
4031.0,4031.0,4031.0,4031.0,10,2008-05-26
3885.0,3885.0,3592.0,3592.0,5610,2008-06-02
3591.0,3592.0,3277.0,3277.0,12680,2008-06-09
3340.0,3403.0,3215.0,3235.0,164960,2008-06-16
3246.0,3550.0,3141.0,3550.0,211480,2008-06-23
3549.0,4094.0,3508.0,4094.0,290300,2008-06-30
4209.0,4722.0,3979.0,4722.0,267510,2008-07-07
4958.0,5402.0,4958.0,5246.0,330390,2008-07-14
5090.0,5246.0,4527.0,4527.0,20370,2008-07-21
4396.0,4935.0,4396.0,4935.0,321410,2008-07-28
4934.0,5078.0,4767.0,4767.0,259010,2008-08-04
4886.0,5006.0,4599.0,5006.0,353090,2008-08-11
5150.0,5485.0,4982.0,5378.0,399000,2008-08-18
5509.0,5917.0,4779.0,4779.0,390670,2008-08-25
5006.0,5270.0,4671.0,5270.0,189220,2008-09-03
5030.0,5497.0,4767.0,4767.0,232790,2008-09-08
4958.0,4970.0,4443.0,4659.0,162000,2008-09-15
4887.0,5390.0,4887.0,5378.0,237430,2008-09-22
5330.0,5330.0,4970.0,5150.0,113850,2008-09-29
5365.0,5366.0,4899.0,5090.0,262310,2008-10-06
5150.0,5378.0,4935.0,5186.0,248670,2008-10-13
5210.0,5258.0,4827.0,4827.0,125330,2008-10-20
4611.0,4970.0,4384.0,4791.0,85970,2008-10-27
4898.0,5114.0,4791.0,4970.0,176080,2008-11-03
4970.0,5030.0,4827.0,4851.0,137750,2008-11-10
4850.0,4899.0,4599.0,4671.0,46580,2008-11-17
4731.0,4791.0,4551.0,4563.0,150240,2008-11-24
4563.0,4611.0,4120.0,4120.0,28900,2008-12-01
4120.0,4300.0,3857.0,4300.0,75430,2008-12-08
4479.0,4479.0,3677.0,3677.0,222750,2008-12-15
3856.0,3857.0,3677.0,3833.0,82190,2008-12-22
3832.0,4072.0,3641.0,4060.0,52860,2008-12-29
4072.0,4084.0,4048.0,4072.0,8050,2009-01-02
4132.0,4180.0,3952.0,4012.0,31600,2009-01-05
4168.0,4168.0,3904.0,4000.0,92300,2009-01-12
3988.0,4072.0,3893.0,4072.0,82410,2009-01-19
4108.0,4132.0,3952.0,4012.0,50560,2009-02-02
4060.0,4072.0,3869.0,4060.0,20310,2009-02-09
4060.0,4060.0,3593.0,3593.0,90560,2009-02-16
3653.0,3653.0,3330.0,3593.0,111970,2009-02-23
3689.0,3869.0,3593.0,3833.0,51800,2009-03-02
3880.0,3893.0,3713.0,3773.0,168430,2009-03-09
3808.0,4252.0,3737.0,4252.0,138780,2009-03-16
4431.0,4431.0,4192.0,4192.0,168820,2009-03-23
4132.0,4360.0,4072.0,4348.0,77360,2009-03-30
4371.0,4455.0,4216.0,4372.0,85420,2009-04-07
4491.0,4719.0,4312.0,4719.0,116240,2009-04-13
4671.0,4671.0,4443.0,4551.0,107310,2009-04-20
4383.0,4695.0,4372.0,4695.0,88000,2009-04-27
4923.0,5701.0,4923.0,5665.0,234030,2009-05-04
5665.0,5737.0,5366.0,5725.0,233620,2009-05-11
5689.0,5857.0,5629.0,5749.0,112350,2009-05-18
5509.0,5965.0,5390.0,5390.0,269560,2009-05-25
5509.0,6408.0,5390.0,6408.0,324830,2009-06-01
6707.0,7066.0,6228.0,6228.0,305300,2009-06-08
5964.0,6348.0,5629.0,6348.0,125510,2009-06-15
6347.0,6408.0,5821.0,6348.0,178730,2009-06-22
6347.0,6348.0,5917.0,6228.0,56250,2009-06-29
6348.0,7066.0,6108.0,6887.0,267440,2009-07-06
6886.0,7306.0,6527.0,6947.0,140240,2009-07-13
7126.0,7665.0,6587.0,7665.0,207200,2009-07-20
7904.0,8144.0,7306.0,7905.0,191970,2009-07-27
7904.0,8144.0,7725.0,8144.0,201520,2009-08-03
8504.0,9821.0,8264.0,9821.0,406780,2009-08-10
9461.0,10480.0,9222.0,10121.0,213130,2009-08-17
10539.0,10540.0,9821.0,10420.0,139290,2009-08-24
10300.0,10420.0,9821.0,9821.0,56740,2009-08-31
9820.0,10779.0,9462.0,10719.0,101760,2009-09-07
10778.0,10779.0,10061.0,10180.0,190640,2009-09-14
10660.0,12097.0,10180.0,12097.0,778310,2009-09-21
12695.0,12935.0,11378.0,11378.0,492900,2009-09-28
11736.0,13294.0,11019.0,13294.0,357130,2009-10-05
13892.0,14971.0,13414.0,13654.0,487560,2009-10-12
13653.0,13893.0,13294.0,13294.0,358610,2009-10-19
13174.0,13534.0,11857.0,12097.0,630020,2009-10-26
11498.0,11857.0,11019.0,11378.0,471170,2009-11-02
11437.0,11618.0,10839.0,11618.0,386600,2009-11-09
