open,high,low,close,volume,tradingDate
16618.0,16618.0,16618.0,16618.0,29090,2015-06-17
16618.0,16618.0,16478.0,16618.0,17850,2015-06-18
16618.0,16618.0,16618.0,16618.0,0,2015-06-19
16618.0,16618.0,16618.0,16618.0,0,2015-06-22
16338.0,17038.0,16338.0,16385.0,1320,2015-06-23
16431.0,16571.0,16431.0,16571.0,250,2015-06-24
16571.0,16805.0,16571.0,16571.0,32700,2015-06-25
16338.0,16338.0,16338.0,16338.0,1000,2015-06-26
16338.0,16338.0,16338.0,16338.0,3230,2015-06-29
16245.0,16431.0,16245.0,16245.0,5770,2015-06-30
16338.0,16571.0,15684.0,15684.0,3680,2015-07-01
16338.0,16338.0,15638.0,16151.0,2340,2015-07-02
16338.0,16525.0,16151.0,16525.0,6770,2015-07-03
16338.0,16431.0,15871.0,16431.0,62780,2015-07-06
15918.0,16385.0,15918.0,16338.0,31300,2015-07-07
16385.0,16758.0,16338.0,16758.0,15470,2015-07-08
16758.0,16805.0,16338.0,16805.0,8030,2015-07-09
16571.0,16571.0,16338.0,16338.0,36270,2015-07-10
16431.0,16478.0,16338.0,16338.0,21490,2015-07-13
16385.0,16431.0,16385.0,16431.0,5580,2015-07-14
16338.0,16431.0,16338.0,16338.0,43550,2015-07-15
16338.0,16385.0,16338.0,16338.0,100400,2015-07-16
16431.0,16805.0,16431.0,16805.0,1440,2015-07-17
17272.0,17272.0,16105.0,16758.0,2420,2015-07-20
16338.0,16665.0,16338.0,16665.0,970,2015-07-21
16665.0,16665.0,16665.0,16665.0,290,2015-07-22
16385.0,16805.0,16338.0,16805.0,4010,2015-07-23
16805.0,16805.0,16245.0,16805.0,50900,2015-07-24
16338.0,16805.0,16338.0,16805.0,75300,2015-07-27
17272.0,17272.0,16338.0,16571.0,33550,2015-07-28
16478.0,16478.0,16431.0,16478.0,2100,2015-07-29
16478.0,16805.0,16478.0,16805.0,19840,2015-07-30
16805.0,16805.0,16805.0,16805.0,760,2015-07-31
16338.0,16338.0,16338.0,16338.0,1800,2015-08-03
16758.0,16758.0,16758.0,16758.0,10,2015-08-04
16571.0,16805.0,16571.0,16571.0,13210,2015-08-05
16571.0,16571.0,16571.0,16571.0,0,2015-08-06
16571.0,16571.0,16571.0,16571.0,0,2015-08-07
16338.0,16338.0,16151.0,16338.0,13720,2015-08-10
16338.0,16571.0,16338.0,16338.0,71040,2015-08-11
16478.0,16525.0,16198.0,16525.0,21860,2015-08-12
16151.0,16338.0,16105.0,16105.0,4080,2015-08-13
15918.0,16525.0,15918.0,16525.0,5860,2015-08-14
16525.0,16525.0,16525.0,16525.0,0,2015-08-17
16011.0,16338.0,16011.0,16245.0,23750,2015-08-18
16245.0,16245.0,16245.0,16245.0,0,2015-08-19
