open,high,low,close,volume,tradingDate
4713.0,5021.0,4713.0,4926.0,1368490,2010-12-15
4902.0,4926.0,4192.0,4263.0,455840,2010-12-20
4263.0,4429.0,4145.0,4239.0,271770,2010-12-27
4381.0,4547.0,4074.0,4547.0,534540,2011-01-04
4760.0,4760.0,4571.0,4713.0,1158400,2011-01-10
4642.0,4784.0,4642.0,4713.0,722550,2011-01-17
4666.0,4737.0,4595.0,4713.0,274760,2011-01-24
4713.0,4855.0,4618.0,4689.0,127930,2011-02-08
4642.0,4760.0,4429.0,4524.0,401720,2011-02-14
4500.0,4524.0,4145.0,4500.0,387830,2011-02-21
4405.0,4595.0,4074.0,4074.0,116340,2011-02-28
4145.0,4263.0,3979.0,4216.0,310140,2011-03-07
4050.0,4263.0,3946.0,4128.0,99170,2011-03-14
4024.0,4283.0,3972.0,4102.0,45510,2011-03-21
4102.0,4102.0,4076.0,4102.0,44020,2011-03-28
4024.0,4128.0,3972.0,4102.0,15850,2011-04-04
3972.0,3998.0,3842.0,3868.0,15340,2011-04-13
3764.0,3998.0,3427.0,3505.0,44830,2011-04-18
3531.0,3634.0,3453.0,3453.0,43890,2011-04-25
3608.0,3608.0,3375.0,3505.0,24400,2011-05-04
3401.0,3453.0,3193.0,3245.0,59370,2011-05-09
3167.0,3245.0,2985.0,2985.0,51220,2011-05-16
2882.0,2985.0,2622.0,2959.0,157790,2011-05-23
2856.0,2933.0,2622.0,2752.0,148530,2011-05-30
2752.0,3167.0,2648.0,3167.0,201760,2011-06-06
3323.0,3479.0,3167.0,3245.0,552580,2011-06-13
3245.0,3349.0,3089.0,3219.0,89540,2011-06-20
3245.0,3245.0,3011.0,3141.0,200700,2011-06-27
3141.0,3219.0,3063.0,3167.0,244680,2011-07-04
3089.0,3297.0,3063.0,3193.0,98080,2011-07-11
3193.0,3323.0,3115.0,3219.0,175020,2011-07-18
3219.0,3375.0,3115.0,3375.0,106330,2011-07-25
3245.0,3634.0,3245.0,3401.0,39000,2011-08-01
3271.0,3505.0,3245.0,3427.0,43080,2011-08-08
3427.0,3453.0,3271.0,3401.0,27860,2011-08-15
3453.0,3453.0,3271.0,3401.0,18380,2011-08-22
3271.0,3531.0,3271.0,3349.0,41700,2011-08-29
3349.0,3453.0,3271.0,3349.0,93230,2011-09-05
3349.0,3505.0,3271.0,3271.0,101330,2011-09-12
3245.0,3401.0,3245.0,3349.0,57800,2011-09-19
3271.0,3349.0,3141.0,3349.0,22910,2011-09-26
3323.0,3323.0,3063.0,3271.0,17920,2011-10-03
3141.0,3271.0,3115.0,3219.0,14250,2011-10-10
3141.0,3453.0,2985.0,3453.0,114340,2011-10-17
3453.0,3453.0,3297.0,3453.0,82130,2011-10-24
3401.0,3479.0,3245.0,3349.0,76930,2011-10-31
3349.0,3375.0,3323.0,3375.0,50630,2011-11-07
3297.0,3375.0,3167.0,3297.0,15370,2011-11-14
3271.0,3427.0,3167.0,3401.0,183510,2011-11-21
3401.0,3505.0,3297.0,3427.0,65400,2011-11-28
3349.0,3686.0,3323.0,3531.0,237570,2011-12-05
3375.0,3582.0,3375.0,3582.0,18050,2011-12-12
3427.0,3557.0,3375.0,3557.0,35020,2011-12-19
3401.0,3686.0,3401.0,3401.0,196310,2011-12-26
3401.0,3401.0,3245.0,3375.0,70440,2012-01-03
3219.0,3505.0,3219.0,3453.0,77230,2012-01-09
