open,high,low,close,volume,tradingDate
15247.0,14169.0,12116.0,12896.0,136900,2015-08-12
12682.0,12764.0,10961.0,11400.0,82100,2015-08-17
11400.0,12627.0,10807.0,11400.0,44100,2015-08-24
10972.0,11351.0,10559.0,10830.0,28300,2015-08-31
11329.0,12296.0,11049.0,11400.0,39600,2015-09-07
11329.0,11897.0,11228.0,11542.0,22600,2015-09-14
11400.0,14896.0,11258.0,14791.0,126000,2015-09-21
15951.0,17564.0,14051.0,15081.0,231700,2015-09-28
14936.0,15723.0,13507.0,14646.0,113600,2015-10-05
14646.0,15313.0,14501.0,15081.0,74300,2015-10-12
15226.0,17409.0,15023.0,15733.0,120100,2015-10-19
15588.0,18303.0,15620.0,17836.0,802800,2015-10-26
17401.0,17787.0,16420.0,16966.0,297900,2015-11-02
16676.0,17437.0,16118.0,17256.0,175500,2015-11-09
16748.0,16949.0,16372.0,16676.0,159300,2015-11-16
16386.0,17142.0,16185.0,16313.0,88100,2015-11-23
16096.0,16735.0,15870.0,16096.0,56500,2015-11-30
15878.0,16880.0,14788.0,15733.0,37100,2015-12-07
15951.0,16182.0,15376.0,15661.0,66100,2015-12-14
15516.0,16144.0,14847.0,15443.0,45200,2015-12-21
14863.0,16296.0,15107.0,15298.0,35200,2015-12-28
15008.0,15649.0,14647.0,15298.0,75100,2016-01-04
15008.0,15549.0,14912.0,15226.0,58200,2016-01-11
15008.0,15740.0,14928.0,15443.0,47500,2016-01-18
16603.0,17396.0,15637.0,16676.0,109100,2016-01-25
17038.0,17258.0,16173.0,16676.0,67100,2016-02-01
16386.0,17560.0,16474.0,17183.0,95000,2016-02-15
17256.0,17271.0,16338.0,16458.0,120000,2016-02-22
16313.0,17040.0,16092.0,16676.0,234400,2016-02-29
16603.0,17182.0,16259.0,16748.0,169200,2016-03-07
16821.0,16768.0,16384.0,16676.0,209900,2016-03-14
16676.0,17121.0,16506.0,16821.0,128700,2016-03-21
16676.0,18005.0,16301.0,16821.0,95500,2016-03-28
16821.0,16743.0,16456.0,16531.0,77600,2016-04-04
