open,high,low,close,volume,tradingDate
15283.0,15221.0,15036.0,15098.0,56110,2015-06-18 07:00:00+00:00
15237.0,15327.0,15048.0,15098.0,24300,2015-06-19 07:00:00+00:00
15144.0,15596.0,15223.0,15423.0,153034,2015-06-22 07:00:00+00:00
15516.0,15476.0,15245.0,15330.0,26700,2015-06-23 07:00:00+00:00
15516.0,15573.0,15153.0,15283.0,9604,2015-06-24 07:00:00+00:00
15330.0,15293.0,15015.0,15098.0,48190,2015-06-25 07:00:00+00:00
15098.0,15248.0,15062.0,15098.0,73700,2015-06-26 07:00:00+00:00
15098.0,15225.0,15132.0,15144.0,47900,2015-06-29 07:00:00+00:00
15144.0,15359.0,15173.0,15283.0,51540,2015-06-30 07:00:00+00:00
15283.0,15389.0,15202.0,15237.0,21648,2015-07-01 07:00:00+00:00
15330.0,15299.0,15252.0,15283.0,40104,2015-07-02 07:00:00+00:00
15562.0,15480.0,15018.0,15098.0,110758,2015-07-03 07:00:00+00:00
14020.0,15822.0,13516.0,15314.0,49336,2015-07-06 07:00:00+00:00
15314.0,15921.0,15380.0,15691.0,139308,2015-07-07 07:00:00+00:00
15799.0,15730.0,15462.0,15584.0,39800,2015-07-08 07:00:00+00:00
15530.0,15583.0,15475.0,15530.0,30800,2015-07-09 07:00:00+00:00
15638.0,15697.0,15427.0,15530.0,28981,2015-07-10 07:00:00+00:00
15422.0,15397.0,15343.0,15368.0,40734,2015-07-13 07:00:00+00:00
15368.0,15391.0,15230.0,15314.0,33200,2015-07-14 07:00:00+00:00
15368.0,15338.0,15230.0,15260.0,66380,2015-07-15 07:00:00+00:00
15260.0,15370.0,15262.0,15314.0,87087,2015-07-16 07:00:00+00:00
15314.0,15263.0,15209.0,15260.0,36841,2015-07-17 07:00:00+00:00
15260.0,15241.0,15187.0,15206.0,43882,2015-07-20 07:00:00+00:00
15206.0,15086.0,14926.0,15044.0,59538,2015-07-21 07:00:00+00:00
15044.0,15198.0,14983.0,15044.0,80310,2015-07-22 07:00:00+00:00
15098.0,15200.0,15092.0,15152.0,51328,2015-07-23 07:00:00+00:00
15098.0,15727.0,15290.0,15530.0,76200,2015-07-24 07:00:00+00:00
15638.0,15761.0,15435.0,15530.0,124250,2015-07-27 07:00:00+00:00
15638.0,17396.0,15965.0,17039.0,713326,2015-07-28 07:00:00+00:00
17579.0,17909.0,17119.0,17633.0,341130,2015-07-29 07:00:00+00:00
17309.0,17916.0,17478.0,17633.0,211499,2015-07-30 07:00:00+00:00
17471.0,17996.0,17350.0,17687.0,229932,2015-07-31 07:00:00+00:00
17363.0,17633.0,17311.0,17471.0,170054,2015-08-03 07:00:00+00:00
17471.0,18475.0,17706.0,18118.0,260420,2015-08-04 07:00:00+00:00
18118.0,18605.0,18120.0,18334.0,132900,2015-08-05 07:00:00+00:00
18334.0,18416.0,17931.0,18118.0,83239,2015-08-06 07:00:00+00:00
17956.0,18365.0,17830.0,18172.0,76200,2015-08-07 07:00:00+00:00
18064.0,18601.0,18167.0,18441.0,103400,2015-08-10 07:00:00+00:00
18603.0,18520.0,18198.0,18280.0,114025,2015-08-11 07:00:00+00:00
18226.0,18362.0,17766.0,18010.0,227250,2015-08-12 07:00:00+00:00
17794.0,18328.0,17725.0,18010.0,156800,2015-08-13 07:00:00+00:00
17794.0,17972.0,17756.0,17848.0,76950,2015-08-14 07:00:00+00:00
17848.0,17688.0,17315.0,17525.0,122000,2015-08-17 07:00:00+00:00
17740.0,18187.0,17803.0,17902.0,86542,2015-08-18 07:00:00+00:00
17902.0,17883.0,17559.0,17687.0,85908,2015-08-19 07:00:00+00:00
17687.0,18179.0,17538.0,17848.0,111902,2015-08-20 07:00:00+00:00
17848.0,18206.0,17715.0,17956.0,103029,2015-08-21 07:00:00+00:00
17848.0,17629.0,16298.0,17039.0,136169,2015-08-24 07:00:00+00:00
16716.0,17503.0,16744.0,17093.0,214805,2015-08-25 07:00:00+00:00
17147.0,18071.0,17309.0,17794.0,112708,2015-08-26 07:00:00+00:00
17525.0,17914.0,17589.0,17794.0,36022,2015-08-27 07:00:00+00:00
17740.0,17882.0,17558.0,17740.0,79000,2015-08-28 07:00:00+00:00
17740.0,17703.0,17272.0,17471.0,76400,2015-08-31 07:00:00+00:00
17471.0,17475.0,17151.0,17255.0,114300,2015-09-01 07:00:00+00:00
17093.0,17212.0,16624.0,17093.0,105540,2015-09-03 07:00:00+00:00
17255.0,17200.0,17039.0,17093.0,26600,2015-09-04 07:00:00+00:00
16986.0,17257.0,17040.0,17093.0,25300,2015-09-07 07:00:00+00:00
16986.0,17126.0,16964.0,17039.0,169479,2015-09-08 07:00:00+00:00
16824.0,17565.0,16806.0,17363.0,114060,2015-09-09 07:00:00+00:00
17093.0,17352.0,17082.0,17309.0,19600,2015-09-10 07:00:00+00:00
17309.0,17768.0,17282.0,17525.0,61935,2015-09-11 07:00:00+00:00
17309.0,17344.0,17075.0,17147.0,30700,2015-09-14 07:00:00+00:00
16716.0,17174.0,16690.0,17093.0,56784,2015-09-15 07:00:00+00:00
17147.0,17279.0,17171.0,17201.0,42950,2015-09-16 07:00:00+00:00
17201.0,17392.0,17284.0,17309.0,52920,2015-09-17 07:00:00+00:00
17525.0,17545.0,17384.0,17471.0,111363,2015-09-18 07:00:00+00:00
