open,high,low,close,volume,tradingDate
1274.0,1274.0,1274.0,1274.0,44620,2011-07-22
1211.0,1211.0,1099.0,1171.0,277520,2011-07-25
1163.0,1195.0,1059.0,1163.0,153370,2011-08-01
1115.0,1187.0,1075.0,1155.0,62530,2011-08-08
1155.0,1187.0,1123.0,1155.0,40380,2011-08-15
1203.0,1211.0,1131.0,1155.0,37130,2011-08-22
1171.0,1171.0,1067.0,1075.0,9390,2011-08-29
1115.0,1171.0,1059.0,1171.0,42380,2011-09-05
1179.0,1274.0,1147.0,1147.0,61750,2011-09-12
1195.0,1203.0,1123.0,1187.0,20320,2011-09-19
1155.0,1195.0,1131.0,1155.0,34310,2011-09-26
1155.0,1187.0,1131.0,1155.0,26360,2011-10-03
1139.0,1179.0,1139.0,1155.0,84030,2011-10-10
1155.0,1163.0,1147.0,1155.0,86190,2011-10-17
1155.0,1163.0,1043.0,1131.0,32790,2011-10-24
1147.0,1147.0,1115.0,1115.0,23530,2011-10-31
1115.0,1115.0,1083.0,1107.0,3190,2011-11-07
1107.0,1107.0,1075.0,1099.0,5750,2011-11-14
1067.0,1083.0,1067.0,1083.0,32400,2011-11-21
1083.0,1107.0,1075.0,1107.0,2880,2011-11-28
1075.0,1099.0,1075.0,1083.0,20540,2011-12-05
1059.0,1123.0,1043.0,1059.0,24720,2011-12-12
1059.0,1125.0,1051.0,1125.0,12960,2011-12-19
1125.0,1286.0,1125.0,1286.0,60,2011-12-26
1222.0,1275.0,1222.0,1275.0,30,2012-01-03
1275.0,1275.0,1222.0,1265.0,200,2012-01-09
1286.0,1415.0,1286.0,1286.0,110,2012-01-16
1350.0,1404.0,1340.0,1340.0,890,2012-01-30
1350.0,1468.0,1318.0,1383.0,12810,2012-02-06
1318.0,1383.0,1318.0,1329.0,17060,2012-02-13
1329.0,1350.0,1308.0,1340.0,19910,2012-02-20
1393.0,1393.0,1318.0,1361.0,42600,2012-02-27
1361.0,1393.0,1286.0,1383.0,64070,2012-03-05
1383.0,1383.0,1308.0,1361.0,17560,2012-03-12
1308.0,1361.0,1286.0,1350.0,129580,2012-03-19
1350.0,1608.0,1350.0,1543.0,518970,2012-03-26
1500.0,1543.0,1468.0,1500.0,140140,2012-04-03
1543.0,1547.0,1435.0,1484.0,157780,2012-04-09
1497.0,1522.0,1459.0,1459.0,117230,2012-04-16
1472.0,1597.0,1447.0,1572.0,132580,2012-04-23
1572.0,1634.0,1534.0,1634.0,131800,2012-05-02
1709.0,1958.0,1709.0,1909.0,338880,2012-05-07
1909.0,1909.0,1659.0,1672.0,226920,2012-05-14
1734.0,1796.0,1622.0,1709.0,78440,2012-05-21
1721.0,1721.0,1634.0,1696.0,63030,2012-05-28
1622.0,1784.0,1572.0,1709.0,63850,2012-06-04
1709.0,1771.0,1659.0,1746.0,50430,2012-06-11
1746.0,1759.0,1647.0,1647.0,5770,2012-06-18
1672.0,1672.0,1572.0,1572.0,28000,2012-06-25
1622.0,1622.0,1459.0,1572.0,48000,2012-07-02
1647.0,1647.0,1447.0,1559.0,15400,2012-07-09
1622.0,1709.0,1559.0,1684.0,8340,2012-07-16
1734.0,1746.0,1584.0,1597.0,16930,2012-07-23
1672.0,1684.0,1534.0,1559.0,22010,2012-07-30
1634.0,1721.0,1572.0,1622.0,24920,2012-08-06
1672.0,1672.0,1559.0,1622.0,7440,2012-08-13
1584.0,1584.0,1435.0,1497.0,54150,2012-08-20
1547.0,1622.0,1472.0,1472.0,68080,2012-08-27
1435.0,1559.0,1422.0,1497.0,26200,2012-09-04
1484.0,1522.0,1435.0,1522.0,33370,2012-09-10
1547.0,1547.0,1447.0,1484.0,13410,2012-09-17
1459.0,1597.0,1397.0,1397.0,7140,2012-09-24
1422.0,1534.0,1422.0,1534.0,7310,2012-10-01
1534.0,1609.0,1509.0,1509.0,710,2012-10-08
1584.0,1622.0,1497.0,1572.0,8620,2012-10-15
1522.0,1559.0,1484.0,1547.0,7690,2012-10-22
1547.0,1622.0,1447.0,1622.0,6280,2012-10-29
1634.0,1634.0,1497.0,1572.0,57700,2012-11-05
1572.0,1696.0,1534.0,1622.0,24470,2012-11-12
1559.0,1689.0,1559.0,1662.0,9250,2012-11-19
1662.0,1716.0,1608.0,1689.0,10150,2012-11-26
1689.0,1743.0,1676.0,1716.0,2230,2012-12-03
1689.0,1716.0,1622.0,1635.0,29560,2012-12-10
1635.0,1689.0,1608.0,1676.0,15120,2012-12-17
1622.0,1716.0,1595.0,1716.0,15790,2012-12-24
1716.0,1797.0,1676.0,1797.0,14510,2013-01-02
1797.0,1851.0,1757.0,1851.0,67070,2013-01-07
1878.0,1892.0,1770.0,1892.0,10740,2013-01-14
1892.0,2081.0,1797.0,2081.0,195210,2013-01-21
2162.0,2162.0,1959.0,2013.0,101800,2013-01-28
2000.0,2243.0,1946.0,2162.0,50620,2013-02-04
2297.0,2297.0,2122.0,2149.0,208340,2013-02-18
2230.0,2230.0,2135.0,2162.0,89220,2013-02-25
2230.0,2297.0,2135.0,2297.0,82350,2013-03-04
2324.0,2703.0,2297.0,2554.0,290000,2013-03-11
2649.0,3392.0,2635.0,3027.0,801140,2013-03-18
2905.0,3270.0,2892.0,3243.0,333910,2013-03-25
3243.0,3243.0,2838.0,3027.0,167100,2013-04-01
3067.0,3676.0,3027.0,3270.0,420470,2013-04-08
3270.0,3284.0,2878.0,3000.0,214570,2013-04-15
3203.0,3919.0,3203.0,3811.0,500770,2013-04-22
3784.0,4067.0,3716.0,4067.0,202750,2013-05-02
4189.0,4463.0,4003.0,4045.0,324570,2013-05-06
4045.0,4185.0,3766.0,4101.0,238780,2013-05-13
4185.0,4463.0,4045.0,4185.0,237690,2013-05-20
4059.0,4533.0,4045.0,4185.0,306690,2013-05-27
4282.0,4310.0,3892.0,3892.0,313760,2013-06-03
3641.0,3961.0,3627.0,3822.0,193210,2013-06-10
3878.0,4045.0,3654.0,3947.0,112790,2013-06-17
3906.0,3947.0,3627.0,3780.0,105100,2013-06-24
3766.0,3989.0,3668.0,3794.0,144810,2013-07-01
3766.0,3906.0,3696.0,3906.0,80530,2013-07-08
3794.0,3906.0,3766.0,3878.0,58990,2013-07-15
