open,high,low,close,volume,tradingDate
10607.0,14032.0,10607.0,14032.0,16100,2013-12-24
15416.0,15784.0,14120.0,14889.0,87400,2013-12-30
14098.0,14244.0,12876.0,13440.0,39700,2014-01-02
12385.0,15294.0,12300.0,13505.0,70800,2014-01-06
13505.0,16097.0,13610.0,14494.0,72910,2014-01-13
13308.0,14362.0,13155.0,14230.0,54000,2014-01-20
14230.0,14230.0,14230.0,14230.0,0,2014-01-27
14230.0,14230.0,13728.0,13835.0,12500,2014-02-06
13703.0,13905.0,13068.0,13637.0,64900,2014-02-10
13835.0,19200.0,13631.0,18051.0,258078,2014-02-17
17919.0,22990.0,18493.0,19171.0,314150,2014-02-24
19105.0,19420.0,18469.0,19171.0,47400,2014-03-03
19105.0,19363.0,18195.0,18446.0,83110,2014-03-10
18446.0,18429.0,17588.0,18117.0,39450,2014-03-17
18117.0,18719.0,14664.0,18183.0,102540,2014-03-24
17788.0,18594.0,16856.0,16997.0,36750,2014-03-31
16997.0,17634.0,16657.0,17129.0,17900,2014-04-07
17129.0,17997.0,16464.0,17458.0,98200,2014-04-14
16997.0,17990.0,16370.0,17853.0,54300,2014-04-21
17788.0,18041.0,17843.0,17985.0,5300,2014-04-28
17788.0,18009.0,15574.0,17458.0,112788,2014-05-05
16141.0,17575.0,15456.0,17575.0,52900,2014-05-12
16857.0,18474.0,15572.0,17862.0,22608,2014-05-19
17862.0,18484.0,17414.0,17503.0,25400,2014-05-26
17503.0,17575.0,17257.0,17431.0,21800,2014-06-02
17431.0,20903.0,17143.0,18435.0,32100,2014-06-09
18651.0,18737.0,17540.0,17933.0,38000,2014-06-16
17431.0,19928.0,17474.0,18507.0,15400,2014-06-23
17933.0,18664.0,17933.0,18651.0,23100,2014-06-30
18435.0,20851.0,18344.0,19655.0,63700,2014-07-07
19368.0,22474.0,19426.0,22237.0,183306,2014-07-14
24461.0,29203.0,24461.0,27976.0,1500980,2014-07-21
27259.0,32408.0,26911.0,31563.0,990238,2014-07-28
31563.0,36649.0,31962.0,32997.0,1263830,2014-08-04
32997.0,34514.0,31549.0,33141.0,1343748,2014-08-11
33141.0,35356.0,32430.0,34217.0,1944423,2014-08-18
34504.0,43000.0,34219.0,42323.0,2197691,2014-08-25
42323.0,47158.0,38331.0,45120.0,1063070,2014-09-03
45192.0,52901.0,42115.0,51576.0,1842330,2014-09-08
51648.0,52897.0,44651.0,47344.0,1820810,2014-09-15
47201.0,47459.0,39985.0,41534.0,1508286,2014-09-22
41605.0,45063.0,40527.0,41605.0,1212744,2014-09-29
41462.0,43031.0,41274.0,41964.0,668700,2014-10-06
41964.0,43192.0,39932.0,40888.0,996400,2014-10-13
40888.0,40893.0,37960.0,39597.0,592210,2014-10-20
39453.0,38533.0,36431.0,37660.0,763000,2014-10-27
38019.0,39842.0,37342.0,38951.0,523700,2014-11-03
39166.0,44552.0,38907.0,43757.0,821370,2014-11-10
43757.0,43990.0,38212.0,39095.0,705940,2014-11-17
38449.0,39807.0,36684.0,37301.0,672200,2014-11-24
37301.0,38098.0,35990.0,37301.0,397020,2014-12-01
37301.0,36896.0,26903.0,27976.0,1392480,2014-12-08
27259.0,29203.0,24713.0,27761.0,719300,2014-12-15
27833.0,30654.0,26664.0,29267.0,642500,2014-12-22
29267.0,33040.0,27673.0,31563.0,339400,2014-12-29
32280.0,31454.0,26688.0,30774.0,475800,2015-01-05
30845.0,30640.0,28898.0,29698.0,329600,2015-01-12
30128.0,30226.0,26970.0,27402.0,638520,2015-01-19
27617.0,27557.0,26152.0,26326.0,226900,2015-01-26
26398.0,27063.0,26035.0,26541.0,132556,2015-02-02
26541.0,28044.0,26259.0,26685.0,169600,2015-02-09
26685.0,27981.0,26516.0,27546.0,88336,2015-02-24
27474.0,28375.0,26805.0,27402.0,384842,2015-03-02
27259.0,29054.0,22018.0,24963.0,6408460,2015-03-09
24461.0,25990.0,23343.0,25394.0,4283920,2015-03-16
25681.0,25803.0,22234.0,23815.0,1759980,2015-03-23
24031.0,24307.0,22642.0,24031.0,1346030,2015-03-30
23672.0,25456.0,23520.0,25107.0,1301500,2015-04-06
25107.0,26804.0,25032.0,26470.0,2217160,2015-04-13
26183.0,28498.0,26209.0,27833.0,2740690,2015-04-20
28119.0,28473.0,27032.0,27546.0,424400,2015-04-27
27761.0,26926.0,24193.0,26541.0,2598350,2015-05-04
26541.0,27175.0,26458.0,26613.0,1643420,2015-05-11
26541.0,30711.0,26018.0,29339.0,2532405,2015-05-18
29339.0,30545.0,27949.0,28263.0,1692185,2015-05-25
28263.0,30131.0,27606.0,29411.0,1971660,2015-06-01
29554.0,32778.0,29384.0,32352.0,2827080,2015-06-08
32280.0,32582.0,30490.0,31778.0,1267133,2015-06-15
31927.0,32299.0,30729.0,31175.0,1563130,2015-06-22
30800.0,31253.0,27702.0,30950.0,1167050,2015-06-29
30725.0,32835.0,28676.0,29222.0,1514600,2015-07-06
28771.0,29583.0,27637.0,27870.0,912220,2015-07-13
28171.0,28214.0,25751.0,27720.0,902003,2015-07-20
27570.0,29687.0,27375.0,28171.0,691200,2015-07-27
28171.0,28522.0,27658.0,27870.0,518190,2015-08-03
27870.0,28042.0,26961.0,27344.0,539105,2015-08-10
27119.0,26989.0,22640.0,22912.0,613715,2015-08-17
22536.0,24302.0,18646.0,23889.0,1303290,2015-08-24
24414.0,24033.0,21852.0,22161.0,419420,2015-08-31
22236.0,23135.0,21831.0,22311.0,574020,2015-09-07
22311.0,22756.0,21515.0,22386.0,470400,2015-09-14
22311.0,22725.0,22058.0,22236.0,472400,2015-09-21
22461.0,22935.0,21628.0,22461.0,630100,2015-09-28
22762.0,26029.0,23075.0,25541.0,1907960,2015-10-05
26292.0,28040.0,24540.0,27044.0,1577470,2015-10-12
27119.0,28590.0,27121.0,27945.0,1994664,2015-10-19
27945.0,28775.0,27249.0,28246.0,1769130,2015-10-26
28471.0,28196.0,26736.0,26969.0,1485230,2015-11-02
26969.0,26803.0,25495.0,25692.0,964550,2015-11-09
25616.0,27036.0,25187.0,26668.0,830180,2015-11-16
26668.0,26596.0,25554.0,25692.0,580110,2015-11-23
25391.0,25530.0,24365.0,24940.0,455000,2015-11-30
24790.0,24870.0,23125.0,23288.0,403700,2015-12-07
23288.0,23127.0,21276.0,21410.0,681426,2015-12-14
21334.0,22983.0,20046.0,21635.0,1200300,2015-12-21
21410.0,21382.0,20474.0,21034.0,365000,2015-12-28
21184.0,21256.0,19262.0,19982.0,677116,2016-01-04
19381.0,19767.0,17815.0,18705.0,346716,2016-01-11
18029.0,17842.0,13714.0,14348.0,1198920,2016-01-18
15024.0,18347.0,15062.0,17654.0,924100,2016-01-25
17804.0,17926.0,15308.0,16001.0,348100,2016-02-01
15775.0,17549.0,15682.0,17128.0,450700,2016-02-15
17053.0,17623.0,16463.0,16752.0,433600,2016-02-22
16827.0,17996.0,16587.0,17353.0,462420,2016-02-29
