open,high,low,close,volume,tradingDate
35456.0,35456.0,26286.0,28089.0,61500,2007-08-10
28120.0,28120.0,22313.0,24147.0,205600,2007-08-13
24147.0,24147.0,22924.0,23382.0,163500,2007-08-20
23535.0,23535.0,22924.0,23077.0,136500,2007-08-27
23230.0,23535.0,23230.0,23230.0,78300,2007-09-04
23230.0,25425.0,23230.0,24574.0,211500,2007-09-10
25064.0,24785.0,23418.0,24452.0,208600,2007-09-17
25064.0,30901.0,24422.0,30535.0,479800,2007-09-24
33347.0,36838.0,31788.0,33897.0,748700,2007-10-01
32032.0,36373.0,29954.0,34997.0,649500,2007-10-08
34600.0,36022.0,33316.0,34508.0,758300,2007-10-15
34233.0,34876.0,32401.0,32705.0,479300,2007-10-22
32705.0,33106.0,29826.0,31177.0,405600,2007-10-29
31788.0,31692.0,27509.0,28212.0,310900,2007-11-05
28212.0,28682.0,23204.0,26439.0,256600,2007-11-12
26592.0,27010.0,24329.0,24819.0,472900,2007-11-19
24788.0,25553.0,24665.0,24880.0,572600,2007-11-26
25064.0,27298.0,24909.0,25736.0,821700,2007-12-03
26561.0,26497.0,24147.0,24422.0,604500,2007-12-10
25064.0,25282.0,23472.0,23963.0,530500,2007-12-17
24299.0,24695.0,23563.0,24422.0,485100,2007-12-24
24452.0,24452.0,23626.0,23749.0,165100,2008-01-02
23841.0,23893.0,21471.0,22282.0,534300,2008-01-07
22313.0,23405.0,19731.0,21549.0,696000,2008-01-14
21396.0,21733.0,19359.0,20234.0,544000,2008-01-21
20479.0,24517.0,19898.0,22588.0,823500,2008-01-28
22771.0,22613.0,20876.0,21090.0,309900,2008-02-12
19592.0,20784.0,16219.0,16964.0,1088400,2008-02-18
16505.0,18535.0,15569.0,16811.0,1085400,2008-02-25
16505.0,16333.0,13171.0,15527.0,1370600,2008-03-03
17055.0,17590.0,15224.0,16628.0,2147400,2008-03-10
16444.0,16473.0,13361.0,13754.0,1353500,2008-03-17
14060.0,13958.0,10296.0,12654.0,1202100,2008-03-24
12899.0,13877.0,12899.0,13877.0,83200,2008-03-31
14274.0,14828.0,13569.0,13632.0,1179300,2008-04-07
12899.0,13645.0,12685.0,13021.0,739100,2008-04-16
