open,high,low,close,volume,tradingDate
3100.0,3200.0,3000.0,3100.0,309400,2015-06-15
3100.0,3300.0,3100.0,3100.0,947610,2015-06-16
3100.0,3200.0,3000.0,3000.0,272000,2015-06-17
3000.0,3200.0,3000.0,3100.0,290600,2015-06-18
3200.0,3200.0,3000.0,3100.0,359800,2015-06-19
3100.0,3200.0,3000.0,3200.0,286200,2015-06-22
3200.0,3200.0,3000.0,3100.0,359932,2015-06-23
3100.0,3100.0,2900.0,3000.0,239937,2015-06-24
3000.0,3100.0,2900.0,3000.0,275600,2015-06-25
2900.0,3000.0,2800.0,2800.0,314900,2015-06-26
2800.0,2900.0,2700.0,2700.0,566937,2015-06-29
2700.0,2800.0,2700.0,2700.0,238500,2015-06-30
2700.0,2800.0,2700.0,2800.0,123300,2015-07-01
2800.0,2800.0,2700.0,2800.0,121900,2015-07-02
2800.0,2900.0,2700.0,2800.0,168630,2015-07-03
2800.0,2900.0,2700.0,2900.0,302800,2015-07-06
2900.0,2900.0,2700.0,2800.0,439600,2015-07-07
2800.0,2800.0,2700.0,2700.0,192300,2015-07-08
2700.0,2800.0,2700.0,2700.0,168400,2015-07-09
2700.0,2800.0,2600.0,2800.0,120900,2015-07-10
2800.0,2800.0,2700.0,2700.0,57300,2015-07-13
2700.0,2800.0,2700.0,2800.0,89300,2015-07-14
2700.0,2800.0,2600.0,2800.0,331000,2015-07-15
2700.0,2800.0,2600.0,2800.0,120010,2015-07-16
2700.0,2800.0,2700.0,2700.0,27300,2015-07-17
2600.0,2700.0,2600.0,2600.0,183100,2015-07-20
2600.0,2700.0,2600.0,2700.0,77700,2015-07-21
2600.0,2700.0,2600.0,2600.0,66200,2015-07-22
2600.0,2700.0,2600.0,2600.0,95700,2015-07-23
2600.0,2700.0,2600.0,2700.0,190400,2015-07-24
2700.0,2700.0,2600.0,2600.0,194100,2015-07-27
2500.0,2600.0,2500.0,2600.0,64000,2015-07-28
2500.0,2600.0,2500.0,2500.0,282500,2015-07-29
2500.0,2500.0,2400.0,2500.0,149500,2015-07-30
2500.0,2500.0,2400.0,2500.0,52600,2015-07-31
2400.0,2500.0,2300.0,2400.0,235300,2015-08-03
2400.0,2500.0,2300.0,2500.0,95300,2015-08-04
2500.0,2500.0,2400.0,2500.0,58900,2015-08-05
2500.0,2500.0,2400.0,2500.0,159400,2015-08-06
2400.0,2500.0,2400.0,2500.0,38900,2015-08-07
2500.0,2500.0,2400.0,2400.0,85700,2015-08-10
2400.0,2500.0,2400.0,2400.0,131100,2015-08-11
2400.0,2500.0,2300.0,2300.0,81000,2015-08-12
2300.0,2400.0,2200.0,2200.0,127200,2015-08-13
2300.0,2300.0,2200.0,2200.0,81400,2015-08-14
2200.0,2300.0,2200.0,2300.0,56800,2015-08-17
2300.0,2300.0,2200.0,2300.0,101300,2015-08-18
2300.0,2300.0,2200.0,2300.0,79300,2015-08-19
2300.0,2300.0,2200.0,2200.0,152400,2015-08-20
2300.0,2300.0,2000.0,2100.0,170100,2015-08-21
2000.0,2000.0,1900.0,1900.0,209500,2015-08-24
1800.0,1900.0,1800.0,1800.0,350200,2015-08-25
1800.0,1900.0,1800.0,1900.0,80700,2015-08-26
2000.0,2000.0,1900.0,2000.0,66517,2015-08-27
2200.0,2200.0,2100.0,2200.0,477000,2015-08-28
2300.0,2300.0,2000.0,2200.0,86800,2015-08-31
2000.0,2200.0,2000.0,2100.0,29300,2015-09-01
2000.0,2100.0,1900.0,2000.0,185000,2015-09-03
2000.0,2100.0,2000.0,2000.0,80400,2015-09-04
2000.0,2100.0,2000.0,2000.0,135100,2015-09-07
1900.0,2100.0,1900.0,2100.0,59100,2015-09-08
2000.0,2200.0,2000.0,2000.0,103000,2015-09-09
2100.0,2100.0,2000.0,2000.0,109300,2015-09-10
2000.0,2100.0,1900.0,2000.0,72500,2015-09-11
2000.0,2000.0,1800.0,1900.0,272200,2015-09-14
1900.0,1900.0,1900.0,1900.0,33800,2015-09-15
1900.0,2000.0,1900.0,1900.0,40600,2015-09-16
1900.0,2000.0,1900.0,1900.0,49400,2015-09-17
2000.0,2000.0,1900.0,2000.0,37700,2015-09-18
2000.0,2000.0,1900.0,1900.0,25500,2015-09-21
1900.0,2000.0,1900.0,2000.0,53900,2015-09-22
2000.0,2000.0,1900.0,2000.0,77900,2015-09-23
2000.0,2100.0,2000.0,2000.0,102900,2015-09-24
2000.0,2100.0,1900.0,2100.0,49300,2015-09-25
2000.0,2000.0,1900.0,2000.0,33700,2015-09-28
2000.0,2000.0,1900.0,1900.0,110400,2015-09-29
1900.0,2000.0,1900.0,2000.0,168300,2015-09-30
1900.0,1900.0,1800.0,1800.0,174700,2015-10-01
1900.0,1900.0,1800.0,1900.0,110800,2015-10-02
1900.0,1900.0,1800.0,1900.0,394200,2015-10-05
1900.0,2000.0,1900.0,2000.0,135200,2015-10-06
1900.0,1900.0,1800.0,1900.0,163900,2015-10-07
1900.0,1900.0,1800.0,1900.0,152700,2015-10-08
1900.0,2000.0,1800.0,1900.0,243900,2015-10-09
1900.0,2000.0,1800.0,1900.0,44510,2015-10-12
1800.0,1900.0,1800.0,1900.0,173420,2015-10-13
1800.0,1900.0,1800.0,1800.0,35800,2015-10-14
1900.0,1900.0,1700.0,1800.0,310700,2015-10-15
1800.0,1900.0,1700.0,1800.0,129500,2015-10-16
1900.0,1900.0,1700.0,1700.0,45800,2015-10-19
1800.0,1800.0,1700.0,1700.0,148200,2015-10-20
1800.0,1800.0,1700.0,1800.0,67600,2015-10-21
1800.0,1900.0,1700.0,1900.0,146600,2015-10-22
1900.0,1900.0,1800.0,1800.0,101300,2015-10-23
1700.0,1800.0,1700.0,1700.0,36640,2015-10-26
1800.0,1800.0,1700.0,1800.0,63200,2015-10-27
1900.0,1900.0,1700.0,1800.0,4700,2015-10-28
1900.0,1900.0,1700.0,1800.0,68600,2015-10-29
1900.0,1900.0,1700.0,1800.0,35400,2015-10-30
1800.0,1800.0,1700.0,1700.0,225600,2015-11-02
1800.0,1800.0,1600.0,1700.0,237800,2015-11-03
1800.0,1800.0,1600.0,1700.0,54010,2015-11-04
1700.0,1800.0,1600.0,1800.0,242410,2015-11-05
1700.0,1800.0,1700.0,1700.0,186540,2015-11-06
1700.0,1800.0,1700.0,1700.0,133830,2015-11-09
1700.0,1800.0,1700.0,1700.0,33312,2015-11-10
1700.0,1700.0,1700.0,1700.0,150250,2015-11-11
1700.0,1800.0,1600.0,1700.0,82410,2015-11-12
1700.0,1700.0,1600.0,1700.0,57010,2015-11-13
1700.0,1700.0,1700.0,1700.0,21610,2015-11-16
1700.0,1700.0,1600.0,1700.0,23800,2015-11-17
1700.0,1700.0,1600.0,1700.0,11400,2015-11-18
1700.0,1800.0,1600.0,1700.0,79800,2015-11-19
1600.0,1800.0,1600.0,1800.0,166910,2015-11-20
1800.0,1800.0,1700.0,1700.0,90800,2015-11-23
1800.0,1800.0,1700.0,1800.0,225000,2015-11-24
1800.0,1900.0,1800.0,1900.0,333000,2015-11-25
2000.0,2000.0,2000.0,2000.0,265500,2015-11-26
2200.0,2200.0,2000.0,2000.0,829717,2015-11-27
2000.0,2000.0,1800.0,1800.0,275900,2015-11-30
