open,high,low,close,volume,tradingDate
23681.0,27790.0,22209.0,24060.0,477700,2007-09-20
24628.0,27039.0,23909.0,26712.0,1026100,2007-09-24
28910.0,36071.0,27211.0,32225.0,1762700,2007-10-01
31429.0,33343.0,29347.0,31666.0,1112900,2007-10-08
31675.0,33153.0,30501.0,31240.0,1604100,2007-10-15
31543.0,33494.0,29933.0,30558.0,1511900,2007-10-22
30918.0,31600.0,27754.0,29838.0,981800,2007-10-29
29175.0,29364.0,26333.0,26826.0,922300,2007-11-05
26522.0,29251.0,23870.0,27242.0,1003900,2007-11-12
27242.0,27242.0,25386.0,26144.0,705200,2007-11-19
26144.0,26712.0,25765.0,25916.0,496700,2007-11-26
25765.0,26333.0,25007.0,25367.0,494700,2007-12-03
26564.0,27298.0,23491.0,23700.0,476200,2007-12-10
23870.0,24458.0,22165.0,23207.0,485800,2007-12-17
23491.0,23263.0,22298.0,22980.0,497500,2007-12-24
22980.0,22997.0,21579.0,21786.0,238700,2008-01-02
21900.0,21920.0,18725.0,19134.0,715100,2008-01-07
19229.0,19564.0,16649.0,18490.0,1016600,2008-01-14
18187.0,18748.0,16063.0,16823.0,891500,2008-01-21
16861.0,19684.0,16369.0,18547.0,1320500,2008-01-28
18945.0,18709.0,17531.0,17808.0,670400,2008-02-12
16671.0,17429.0,13656.0,14114.0,1697700,2008-02-18
14019.0,14834.0,12964.0,13375.0,1511700,2008-02-25
13451.0,13167.0,10456.0,12409.0,1406400,2008-03-03
13640.0,13467.0,11937.0,12731.0,2813700,2008-03-10
12125.0,12184.0,9985.0,10420.0,2597400,2008-03-17
10609.0,10504.0,8161.0,9340.0,1442100,2008-03-24
9510.0,10268.0,9510.0,10268.0,36800,2008-03-31
10571.0,10972.0,9681.0,9681.0,1392700,2008-04-07
9397.0,9858.0,8962.0,9093.0,830200,2008-04-16
9074.0,9093.0,8069.0,8241.0,1338900,2008-04-21
8184.0,8543.0,8185.0,8336.0,539200,2008-04-28
8222.0,8468.0,7275.0,7275.0,842000,2008-05-05
7066.0,7066.0,6215.0,6290.0,435600,2008-05-12
6176.0,6403.0,5513.0,5513.0,94000,2008-05-19
5361.0,7850.0,4774.0,4774.0,503700,2008-05-26
4641.0,4641.0,4149.0,4149.0,31000,2008-06-02
4035.0,4168.0,3899.0,4168.0,874900,2008-06-09
4281.0,4395.0,4111.0,4111.0,1773200,2008-06-16
3959.0,4927.0,4013.0,4850.0,2589300,2008-06-23
4963.0,5759.0,4963.0,5759.0,238600,2008-06-30
5987.0,6839.0,5585.0,6839.0,3029400,2008-07-07
7104.0,8279.0,7104.0,8279.0,407900,2008-07-14
8601.0,8451.0,7510.0,7957.0,5452100,2008-07-21
8033.0,9246.0,7785.0,9131.0,3821700,2008-07-28
9093.0,9279.0,8056.0,8563.0,3345500,2008-08-04
8715.0,9681.0,8620.0,9681.0,2633900,2008-08-11
10344.0,10859.0,9285.0,10041.0,4133000,2008-08-18
10761.0,12570.0,10171.0,11556.0,4498000,2008-08-25
11537.0,12083.0,10401.0,10514.0,1416100,2008-09-03
10230.0,10289.0,8525.0,8525.0,1547800,2008-09-08
8146.0,9191.0,6856.0,7635.0,1376300,2008-09-15
7938.0,9775.0,7699.0,9756.0,3153500,2008-09-22
10401.0,10516.0,9260.0,9624.0,3325200,2008-09-29
9586.0,9983.0,7673.0,7748.0,3524800,2008-10-06
7729.0,9208.0,7656.0,8411.0,1941600,2008-10-13
9037.0,9058.0,7256.0,7332.0,1632100,2008-10-20
6877.0,7938.0,6802.0,7919.0,2309100,2008-10-27
7919.0,9360.0,7426.0,8677.0,3470600,2008-11-03
9283.0,9264.0,7942.0,8866.0,2514100,2008-11-10
8904.0,9703.0,8450.0,8991.0,2733500,2008-11-17
9134.0,9390.0,7993.0,8849.0,2315000,2008-11-24
9134.0,9163.0,8420.0,8620.0,1611600,2008-12-01
8420.0,9049.0,8164.0,9020.0,1715100,2008-12-08
9077.0,9529.0,8535.0,8963.0,1864500,2008-12-15
