open,high,low,close,volume,tradingDate
4600.0,4800.0,4500.0,4700.0,155690,2015-07-02
4400.0,4700.0,4400.0,4600.0,111550,2015-07-03
4700.0,4700.0,4300.0,4500.0,189390,2015-07-06
4200.0,4300.0,4200.0,4200.0,107330,2015-07-07
4000.0,4400.0,4000.0,4400.0,104610,2015-07-08
4500.0,4600.0,4300.0,4500.0,21610,2015-07-09
4300.0,4400.0,4200.0,4400.0,84680,2015-07-10
4500.0,4500.0,4100.0,4100.0,187570,2015-07-13
4000.0,4200.0,4000.0,4200.0,75840,2015-07-14
4000.0,4200.0,4000.0,4000.0,152560,2015-07-15
4000.0,4000.0,3800.0,4000.0,90800,2015-07-16
3900.0,4100.0,3900.0,4100.0,34060,2015-07-17
3900.0,4000.0,3900.0,4000.0,94180,2015-07-20
4000.0,4000.0,3800.0,4000.0,193080,2015-07-21
3900.0,3900.0,3800.0,3900.0,135990,2015-07-22
3800.0,3900.0,3700.0,3900.0,125220,2015-07-23
3800.0,3900.0,3700.0,3700.0,152670,2015-07-24
3700.0,3800.0,3700.0,3700.0,75830,2015-07-27
3700.0,3800.0,3700.0,3800.0,31650,2015-07-28
3700.0,3800.0,3600.0,3700.0,200650,2015-07-29
3700.0,3700.0,3600.0,3600.0,26800,2015-07-30
3700.0,3700.0,3600.0,3700.0,23120,2015-07-31
3700.0,3900.0,3500.0,3700.0,132530,2015-08-03
3700.0,3700.0,3500.0,3600.0,74640,2015-08-04
3600.0,3700.0,3600.0,3700.0,19960,2015-08-05
3600.0,3600.0,3500.0,3500.0,118210,2015-08-06
3500.0,3500.0,3500.0,3500.0,15500,2015-08-07
3400.0,3500.0,3400.0,3500.0,30850,2015-08-10
3500.0,3500.0,3400.0,3500.0,53330,2015-08-11
3500.0,3600.0,3400.0,3400.0,54160,2015-08-12
3400.0,3400.0,3300.0,3400.0,92590,2015-08-13
3500.0,3500.0,3400.0,3400.0,48370,2015-08-14
3400.0,3400.0,3300.0,3300.0,32590,2015-08-17
3300.0,3500.0,3300.0,3400.0,27100,2015-08-18
3500.0,3600.0,3500.0,3500.0,13320,2015-08-19
3600.0,3600.0,3300.0,3400.0,51220,2015-08-20
3300.0,3400.0,3200.0,3400.0,99910,2015-08-21
3500.0,3500.0,3200.0,3300.0,365220,2015-08-24
3100.0,3400.0,3100.0,3400.0,75300,2015-08-25
3300.0,3500.0,3300.0,3500.0,35530,2015-08-26
3500.0,3600.0,3400.0,3500.0,11290,2015-08-27
3600.0,3600.0,3500.0,3600.0,25850,2015-08-28
3500.0,3600.0,3400.0,3600.0,13020,2015-08-31
3600.0,3600.0,3500.0,3600.0,38750,2015-09-01
3500.0,3600.0,3500.0,3600.0,27970,2015-09-03
3500.0,3500.0,3500.0,3500.0,23050,2015-09-04
3700.0,3700.0,3400.0,3600.0,17220,2015-09-07
3500.0,3500.0,3500.0,3500.0,5020,2015-09-08
3600.0,3600.0,3400.0,3500.0,13010,2015-09-09
3500.0,3500.0,3500.0,3500.0,16000,2015-09-10
3500.0,3500.0,3400.0,3400.0,25000,2015-09-11
3400.0,3400.0,3400.0,3400.0,15500,2015-09-14
3400.0,3600.0,3400.0,3600.0,8580,2015-09-15
3500.0,3600.0,3500.0,3500.0,7910,2015-09-16
3500.0,3600.0,3500.0,3600.0,2110,2015-09-17
3500.0,3500.0,3500.0,3500.0,20030,2015-09-18
3300.0,3600.0,3300.0,3600.0,43080,2015-09-21
3500.0,3500.0,3500.0,3500.0,500,2015-09-22
3400.0,3400.0,3400.0,3400.0,10520,2015-09-23
3400.0,3400.0,3400.0,3400.0,16250,2015-09-24
3600.0,3600.0,3500.0,3500.0,4010,2015-09-25
3400.0,3500.0,3400.0,3400.0,2250,2015-09-28
3400.0,3400.0,3400.0,3400.0,3450,2015-09-29
3400.0,3400.0,3400.0,3400.0,43330,2015-09-30
3300.0,3400.0,3300.0,3400.0,170,2015-10-01
3400.0,3400.0,3400.0,3400.0,0,2015-10-02
