open,high,low,close,volume,tradingDate
9703.0,9781.0,9234.0,9234.0,852250,2015-06-11
9234.0,9547.0,9234.0,9312.0,528570,2015-06-12
9312.0,9468.0,9234.0,9312.0,505660,2015-06-15
9234.0,9234.0,8764.0,8921.0,816460,2015-06-16
8764.0,8842.0,8529.0,8686.0,374580,2015-06-17
8686.0,8921.0,8686.0,8764.0,243650,2015-06-18
8921.0,8921.0,8529.0,8608.0,215440,2015-06-19
8608.0,8686.0,8373.0,8451.0,257090,2015-06-22
8451.0,8608.0,8451.0,8529.0,151410,2015-06-23
8529.0,8529.0,8373.0,8373.0,243400,2015-06-24
8373.0,8373.0,8060.0,8060.0,303520,2015-06-25
8216.0,8373.0,8060.0,8060.0,286560,2015-06-26
7982.0,8138.0,7982.0,8060.0,297210,2015-06-29
7982.0,8216.0,7903.0,7982.0,253830,2015-06-30
7982.0,7982.0,7747.0,7903.0,382560,2015-07-01
7903.0,8060.0,7825.0,7903.0,492940,2015-07-02
8138.0,8451.0,8060.0,8451.0,963700,2015-07-03
8608.0,8999.0,8608.0,8764.0,530120,2015-07-06
8608.0,8764.0,8529.0,8529.0,360110,2015-07-07
8529.0,8608.0,8138.0,8608.0,485250,2015-07-08
8608.0,8608.0,8295.0,8608.0,346780,2015-07-09
8608.0,8608.0,8295.0,8451.0,229660,2015-07-10
8373.0,8451.0,8295.0,8373.0,372560,2015-07-13
8295.0,8451.0,8295.0,8373.0,233680,2015-07-14
8295.0,8373.0,8216.0,8216.0,263530,2015-07-15
8295.0,8373.0,8060.0,8060.0,215750,2015-07-16
8216.0,8216.0,8060.0,8060.0,141320,2015-07-17
8216.0,8216.0,7903.0,7982.0,103270,2015-07-20
8138.0,8138.0,7903.0,7903.0,166310,2015-07-21
7825.0,8295.0,7825.0,8216.0,263920,2015-07-22
8216.0,8451.0,8216.0,8295.0,300010,2015-07-23
8295.0,8373.0,8216.0,8295.0,141600,2015-07-24
8295.0,8529.0,8295.0,8529.0,243820,2015-07-27
8529.0,9077.0,8295.0,9077.0,905750,2015-07-28
9234.0,9234.0,8921.0,8921.0,429040,2015-07-29
8921.0,9077.0,8842.0,8921.0,144250,2015-07-30
8764.0,9155.0,8764.0,8764.0,200830,2015-07-31
8608.0,8999.0,8529.0,8764.0,444780,2015-08-03
8842.0,9312.0,8842.0,9234.0,829520,2015-08-04
9234.0,9390.0,9155.0,9390.0,457140,2015-08-05
9312.0,9312.0,9077.0,9077.0,214960,2015-08-06
9155.0,9312.0,9077.0,9234.0,504580,2015-08-07
9234.0,9703.0,9234.0,9625.0,857620,2015-08-10
9625.0,9781.0,9547.0,9547.0,519090,2015-08-11
9468.0,9703.0,9390.0,9625.0,589720,2015-08-12
9625.0,9625.0,9312.0,9390.0,635910,2015-08-13
9390.0,9390.0,9234.0,9234.0,579950,2015-08-14
9155.0,9390.0,9077.0,9077.0,346830,2015-08-17
9234.0,9390.0,9077.0,9312.0,362050,2015-08-18
9234.0,9390.0,9155.0,9390.0,339210,2015-08-19
9390.0,9390.0,9155.0,9234.0,228180,2015-08-20
9077.0,9077.0,8608.0,9077.0,722740,2015-08-21
8764.0,8764.0,8451.0,8451.0,281310,2015-08-24
7903.0,8373.0,7903.0,7903.0,942240,2015-08-25
7903.0,8373.0,7903.0,8373.0,474240,2015-08-26
8529.0,8608.0,8451.0,8529.0,310720,2015-08-27
8529.0,8686.0,8295.0,8608.0,325980,2015-08-28
8451.0,8608.0,8373.0,8373.0,209610,2015-08-31
8373.0,8529.0,8295.0,8373.0,190810,2015-09-01
8373.0,8529.0,8373.0,8373.0,110900,2015-09-03
8451.0,8608.0,8451.0,8529.0,130010,2015-09-04
8216.0,8529.0,8216.0,8373.0,49730,2015-09-07
8216.0,8529.0,8216.0,8529.0,154560,2015-09-08
8608.0,9077.0,8529.0,9077.0,962190,2015-09-09
9234.0,9547.0,8921.0,9155.0,1057340,2015-09-10
9234.0,9547.0,9155.0,9155.0,493250,2015-09-11
9155.0,9390.0,9077.0,9390.0,672630,2015-09-14
9312.0,9547.0,9155.0,9547.0,648900,2015-09-15
9547.0,9547.0,9312.0,9312.0,98280,2015-09-16
9312.0,9390.0,8921.0,8921.0,383080,2015-09-17
8999.0,9155.0,8999.0,8999.0,470620,2015-09-18
8999.0,9234.0,8921.0,9155.0,137310,2015-09-21
9234.0,9390.0,9155.0,9234.0,188540,2015-09-22
9234.0,9312.0,9077.0,9234.0,295270,2015-09-23
9312.0,9390.0,9155.0,9155.0,301590,2015-09-24
9155.0,9390.0,8921.0,9390.0,434150,2015-09-25
9234.0,9312.0,9155.0,9155.0,395470,2015-09-28
9155.0,9155.0,8999.0,8999.0,190670,2015-09-29
9234.0,9234.0,9077.0,9155.0,201640,2015-09-30
9390.0,9390.0,9077.0,9234.0,616890,2015-10-01
9312.0,9547.0,9312.0,9312.0,1155560,2015-10-02
9827.0,10014.0,9733.0,10014.0,712320,2015-10-05
10482.0,10482.0,9921.0,10201.0,611320,2015-10-06
10108.0,10201.0,9921.0,10014.0,659280,2015-10-07
9921.0,10108.0,9827.0,10014.0,518530,2015-10-08
10014.0,10014.0,9733.0,9827.0,454120,2015-10-09
9733.0,10014.0,9733.0,9921.0,242230,2015-10-12
9827.0,9921.0,9827.0,9921.0,123080,2015-10-13
9733.0,10295.0,9733.0,10295.0,1415230,2015-10-14
10482.0,10856.0,10388.0,10856.0,1022990,2015-10-15
10856.0,10856.0,10388.0,10482.0,680550,2015-10-16
10388.0,10763.0,10388.0,10576.0,602030,2015-10-19
10669.0,10669.0,10295.0,10388.0,478220,2015-10-20
10482.0,10763.0,10388.0,10576.0,681660,2015-10-21
10576.0,10763.0,10576.0,10763.0,657050,2015-10-22
10856.0,10950.0,10669.0,10763.0,707400,2015-10-23
10856.0,10856.0,10295.0,10295.0,585410,2015-10-26
10295.0,10482.0,10108.0,10108.0,542370,2015-10-27
10108.0,10108.0,9640.0,9640.0,1088340,2015-10-28
9640.0,9921.0,9640.0,9733.0,480290,2015-10-29
9733.0,9827.0,9640.0,9733.0,218650,2015-10-30
9827.0,9827.0,9453.0,9453.0,559510,2015-11-02
9546.0,9921.0,9546.0,9827.0,399860,2015-11-03
9921.0,9921.0,9733.0,9827.0,478350,2015-11-04
9827.0,10482.0,9640.0,10482.0,1166210,2015-11-05
10669.0,11044.0,10482.0,10856.0,2597330,2015-11-06
10950.0,11044.0,10669.0,10856.0,1728020,2015-11-09
10856.0,10950.0,10669.0,10856.0,2360590,2015-11-10
10856.0,10856.0,10482.0,10482.0,1680950,2015-11-11
10576.0,10576.0,10108.0,10201.0,639570,2015-11-12
10201.0,10388.0,9921.0,9921.0,767180,2015-11-13
9921.0,10295.0,9921.0,10014.0,504390,2015-11-16
10201.0,10295.0,9921.0,10201.0,686350,2015-11-17
10201.0,10295.0,10014.0,10201.0,340920,2015-11-18
10201.0,10201.0,9921.0,10108.0,665740,2015-11-19
10201.0,10669.0,10108.0,10669.0,873840,2015-11-20
10763.0,10856.0,10295.0,10295.0,574660,2015-11-23
10295.0,10388.0,10014.0,10295.0,446980,2015-11-24
