open,high,low,close,volume,tradingDate
6472.0,6777.0,6417.0,6617.0,474986,2015-07-15
6545.0,6579.0,6434.0,6472.0,172300,2015-07-16
6545.0,6833.0,6610.0,6690.0,246414,2015-07-17
6617.0,6652.0,6363.0,6472.0,329100,2015-07-20
6472.0,6496.0,6351.0,6399.0,146330,2015-07-21
6326.0,6332.0,6187.0,6254.0,374100,2015-07-22
6254.0,6238.0,5951.0,6036.0,481510,2015-07-23
6108.0,6145.0,5999.0,6036.0,230000,2015-07-24
6036.0,6023.0,5880.0,5963.0,291120,2015-07-27
5963.0,5904.0,5760.0,5817.0,323100,2015-07-28
5817.0,5883.0,5740.0,5817.0,215740,2015-07-29
5817.0,6490.0,5900.0,6254.0,480418,2015-07-30
6326.0,6177.0,5964.0,6108.0,290600,2015-07-31
6036.0,6103.0,5887.0,5963.0,282800,2015-08-03
6036.0,6017.0,5874.0,5963.0,165018,2015-08-04
6108.0,6389.0,6095.0,6254.0,370063,2015-08-05
6326.0,6362.0,6218.0,6254.0,286600,2015-08-06
6254.0,6309.0,6163.0,6254.0,129350,2015-08-07
6181.0,6238.0,6023.0,6108.0,211200,2015-08-10
6108.0,6184.0,5969.0,6108.0,464500,2015-08-11
5817.0,6290.0,5920.0,6181.0,143700,2015-08-12
6108.0,6090.0,5803.0,5963.0,337549,2015-08-13
5963.0,6075.0,5858.0,6036.0,814600,2015-08-14
6181.0,6315.0,6022.0,6108.0,175700,2015-08-17
6108.0,6105.0,5887.0,5963.0,110980,2015-08-18
5963.0,5939.0,5724.0,5817.0,244900,2015-08-19
5890.0,5878.0,5806.0,5817.0,152700,2015-08-20
5817.0,5735.0,5161.0,5308.0,772500,2015-08-21
5236.0,5175.0,4744.0,4799.0,745900,2015-08-24
4363.0,4668.0,4243.0,4363.0,1005460,2015-08-25
3927.0,5036.0,4120.0,4799.0,719475,2015-08-26
4945.0,5021.0,4877.0,4945.0,731711,2015-08-27
5017.0,4959.0,4815.0,4872.0,365655,2015-08-28
4872.0,4924.0,4572.0,4727.0,235016,2015-08-31
4727.0,4929.0,4712.0,4799.0,300200,2015-09-01
4799.0,4762.0,4407.0,4581.0,476900,2015-09-03
4581.0,4808.0,4586.0,4654.0,333500,2015-09-04
4654.0,4758.0,4614.0,4654.0,666400,2015-09-07
4654.0,5057.0,4691.0,4872.0,813200,2015-09-08
4945.0,5462.0,5013.0,5236.0,1347770,2015-09-09
5236.0,5756.0,5100.0,5526.0,1810660,2015-09-10
5599.0,5546.0,5195.0,5381.0,1132825,2015-09-11
5381.0,5455.0,5168.0,5308.0,1553500,2015-09-14
5308.0,5360.0,5215.0,5308.0,307716,2015-09-15
5381.0,5420.0,5203.0,5308.0,308800,2015-09-16
5308.0,5248.0,5176.0,5236.0,509470,2015-09-17
5381.0,5521.0,5374.0,5454.0,348500,2015-09-18
5454.0,5649.0,5426.0,5526.0,295716,2015-09-21
5526.0,5509.0,5436.0,5454.0,394600,2015-09-22
5381.0,6468.0,5758.0,5963.0,3562657,2015-09-23
5963.0,6225.0,5936.0,6036.0,895880,2015-09-24
5454.0,6012.0,5433.0,5890.0,343700,2015-09-25
5890.0,5937.0,5507.0,5672.0,815410,2015-09-28
5817.0,5852.0,5486.0,5599.0,1030800,2015-09-29
5672.0,5592.0,5449.0,5526.0,861500,2015-09-30
5599.0,5574.0,5284.0,5381.0,532400,2015-10-01
5454.0,5366.0,5223.0,5308.0,680230,2015-10-02
5381.0,5476.0,5262.0,5381.0,692000,2015-10-05
5599.0,5639.0,5492.0,5526.0,814506,2015-10-06
5526.0,5703.0,5487.0,5599.0,1347529,2015-10-07
5672.0,5737.0,5590.0,5672.0,936200,2015-10-08
5672.0,5683.0,5537.0,5599.0,587300,2015-10-09
5599.0,5570.0,5426.0,5454.0,519500,2015-10-12
5454.0,5529.0,5384.0,5454.0,367000,2015-10-13
5454.0,5532.0,5386.0,5454.0,715700,2015-10-14
5454.0,5528.0,5382.0,5454.0,583600,2015-10-15
5454.0,5612.0,5396.0,5526.0,932600,2015-10-16
5526.0,5696.0,5477.0,5599.0,550725,2015-10-19
5599.0,5681.0,5462.0,5526.0,615515,2015-10-20
5454.0,5391.0,5032.0,5163.0,1720802,2015-10-21
5090.0,5171.0,5025.0,5090.0,745080,2015-10-22
5090.0,5176.0,5033.0,5090.0,526300,2015-10-23
5163.0,5021.0,4738.0,4872.0,557656,2015-10-26
4872.0,4937.0,4791.0,4872.0,508400,2015-10-27
4945.0,4858.0,4715.0,4799.0,379600,2015-10-28
4508.0,4872.0,4442.0,4799.0,370100,2015-10-29
4872.0,4846.0,4773.0,4799.0,263764,2015-10-30
4799.0,4908.0,4763.0,4799.0,305200,2015-11-02
4799.0,4946.0,4497.0,4799.0,445700,2015-11-03
