open,high,low,close,volume,tradingDate
56185.0,56185.0,56185.0,56185.0,3010,2016-12-06
60101.0,60101.0,60101.0,60101.0,30,2016-12-07
64273.0,64273.0,64273.0,64273.0,1000,2016-12-08
64273.0,68742.0,64273.0,68742.0,3010,2016-12-09
73552.0,73552.0,73552.0,73552.0,35690,2016-12-12
78659.0,78659.0,78659.0,78659.0,96830,2016-12-13
84150.0,84150.0,84150.0,84150.0,154380,2016-12-14
90024.0,90024.0,89386.0,90024.0,380050,2016-12-15
96324.0,96324.0,85129.0,95770.0,387520,2016-12-16
90237.0,95770.0,90237.0,90237.0,168190,2016-12-19
89811.0,90024.0,83937.0,83937.0,399710,2016-12-20
83937.0,86619.0,78745.0,85470.0,241750,2016-12-21
89343.0,89343.0,86406.0,86406.0,52460,2016-12-22
86406.0,86406.0,83895.0,85129.0,54810,2016-12-23
85561.0,85561.0,82104.0,85129.0,169870,2016-12-26
85129.0,86339.0,83444.0,85561.0,69880,2016-12-27
86339.0,86339.0,85172.0,85950.0,28530,2016-12-28
85561.0,85561.0,83401.0,85129.0,98560,2016-12-29
85561.0,85561.0,84481.0,85432.0,96740,2016-12-30
85432.0,85432.0,84654.0,85129.0,63170,2017-01-03
85129.0,85821.0,84265.0,85129.0,87490,2017-01-04
85129.0,85561.0,84697.0,85172.0,27170,2017-01-05
85518.0,90704.0,85216.0,89018.0,212390,2017-01-06
89018.0,89883.0,88586.0,88586.0,31390,2017-01-09
89407.0,89407.0,87074.0,88370.0,44540,2017-01-10
88154.0,90747.0,87290.0,90747.0,228480,2017-01-11
92043.0,92043.0,90747.0,91006.0,55290,2017-01-12
91049.0,91698.0,91006.0,91525.0,37670,2017-01-13
91179.0,91179.0,89883.0,90315.0,33890,2017-01-16
90099.0,93945.0,89926.0,93556.0,113760,2017-01-17
93037.0,97229.0,93037.0,96710.0,103480,2017-01-18
97229.0,97229.0,95068.0,96710.0,40040,2017-01-19
96365.0,97272.0,96365.0,96710.0,77940,2017-01-20
96710.0,96710.0,95284.0,95932.0,44360,2017-01-23
95068.0,96797.0,95068.0,95932.0,137100,2017-01-24
95932.0,96710.0,95068.0,96710.0,18800,2017-01-25
96753.0,96753.0,94636.0,94636.0,18560,2017-02-02
93945.0,96321.0,93513.0,93772.0,51700,2017-02-03
94852.0,94852.0,91395.0,92908.0,50070,2017-02-06
92908.0,95068.0,92043.0,93340.0,76580,2017-02-07
