open,high,low,close,volume,tradingDate
52451.0,89922.0,52451.0,79754.0,2442020,2016-12-06
79754.0,90807.0,78665.0,90283.0,1356960,2017-01-03
90323.0,92784.0,83909.0,90807.0,1268700,2017-02-02
91171.0,91574.0,79875.0,80682.0,770260,2017-03-01
80682.0,84514.0,79875.0,80642.0,547460,2017-04-03
80642.0,80642.0,75841.0,76285.0,896690,2017-05-03
76325.0,84313.0,75801.0,84030.0,721760,2017-06-01
84716.0,95810.0,82296.0,95568.0,1187760,2017-07-03
96818.0,106097.0,95608.0,101256.0,890560,2017-08-01
101256.0,116585.0,100852.0,104886.0,562970,2017-09-01
104886.0,115779.0,102869.0,115214.0,757690,2017-10-02
115214.0,139983.0,108114.0,132722.0,1081080,2017-11-01
132722.0,137563.0,100409.0,100570.0,3745560,2017-12-01
102466.0,108396.0,99564.0,100996.0,2800480,2018-01-02
100996.0,100996.0,88320.0,96171.0,1558440,2018-02-01
95271.0,101772.0,83740.0,98379.0,2892240,2018-03-01
99564.0,100178.0,86766.0,87093.0,1055240,2018-04-02
87911.0,105493.0,86807.0,98133.0,1842410,2018-05-02
99360.0,102222.0,88279.0,92204.0,1076980,2018-06-01
92000.0,94044.0,81778.0,84027.0,1621600,2018-07-02
83822.0,92409.0,79243.0,92409.0,1384500,2018-08-01
92409.0,92409.0,88729.0,90978.0,544340,2018-09-04
90896.0,92818.0,87269.0,91591.0,834320,2018-10-01
91591.0,106264.0,89780.0,103773.0,954400,2018-11-01
105848.0,111037.0,99622.0,111037.0,862160,2018-12-03
111037.0,111037.0,95886.0,96716.0,624370,2019-01-02
96716.0,103233.0,95886.0,99622.0,643740,2019-02-01
98086.0,107094.0,97505.0,103648.0,714050,2019-03-01
103939.0,104230.0,95886.0,99290.0,438440,2019-04-01
99290.0,110830.0,98916.0,110830.0,638780,2019-05-02
109377.0,118301.0,106679.0,114150.0,768100,2019-06-03
115769.0,120792.0,114150.0,115811.0,712760,2019-07-01
116807.0,118301.0,112033.0,113320.0,649740,2019-08-01
113320.0,113970.0,108751.0,110046.0,316350,2019-09-03
110046.0,110839.0,100611.0,108751.0,438530,2019-10-01
108543.0,109461.0,94349.0,94349.0,811780,2019-11-01
94349.0,99149.0,93514.0,95184.0,604460,2019-12-02
95184.0,98523.0,85164.0,88504.0,458060,2020-01-02
82325.0,88504.0,68891.0,68891.0,1521630,2020-02-03
68891.0,73569.0,47416.0,52306.0,1547660,2020-03-02
51966.0,80458.0,51286.0,69316.0,2117000,2020-04-01
69316.0,76546.0,64171.0,75015.0,1994160,2020-05-04
75015.0,80373.0,66765.0,66765.0,1340310,2020-06-01
66340.0,91855.0,66340.0,71443.0,4228880,2020-07-01
72208.0,82031.0,71443.0,81436.0,3060390,2020-08-03
82499.0,83350.0,77439.0,77949.0,2118320,2020-09-01
78672.0,83307.0,77651.0,78374.0,2295100,2020-10-01
78374.0,83562.0,74845.0,82284.0,2583170,2020-11-02
82198.0,89803.0,79577.0,83787.0,2241370,2020-12-01
85291.0,90662.0,69479.0,69479.0,3891800,2021-01-04
74335.0,82713.0,73905.0,80780.0,2534700,2021-02-01
80780.0,80998.0,74068.0,77966.0,2729800,2021-03-01
77966.0,81864.0,71252.0,72378.0,3240700,2021-04-01
72378.0,72378.0,64972.0,67354.0,4344900,2021-05-04
66358.0,74631.0,65665.0,73245.0,4325200,2021-06-01
73418.0,73635.0,66271.0,68870.0,3137900,2021-07-01
68350.0,68437.0,60554.0,64972.0,4918000,2021-08-02
64842.0,73201.0,63889.0,67744.0,4091000,2021-09-01
67787.0,71469.0,65838.0,69520.0,2861900,2021-10-01
69606.0,75757.0,66704.0,66704.0,2563700,2021-11-01
68437.0,69303.0,63326.0,65405.0,3079700,2021-12-01
65838.0,69173.0,62699.0,65244.0,3278900,2022-01-04
65595.0,75555.0,65595.0,74502.0,2784000,2022-02-07
74502.0,74816.0,66626.0,70389.0,2979700,2022-03-01
71053.0,80306.0,66848.0,71762.0,5084700,2022-04-01
70744.0,74994.0,67246.0,67955.0,3378000,2022-05-04
67556.0,71806.0,65962.0,68442.0,2960700,2022-06-01
68929.0,81678.0,66405.0,79686.0,2114700,2022-07-01
80572.0,87610.0,79155.0,83183.0,3740900,2022-08-01
83183.0,87566.0,77473.0,81900.0,2728116,2022-09-05
80129.0,89868.0,80129.0,82032.0,3257166,2022-10-03
82032.0,86725.0,74108.0,79686.0,4032859,2022-11-01
79243.0,80129.0,74959.0,74959.0,4768710,2022-12-01
76845.0,87579.0,75543.0,84884.0,2016349,2023-01-03
84884.0,89376.0,83088.0,84435.0,1562787,2023-02-01
83537.0,88488.0,82845.0,83387.0,3415052,2023-03-01
83071.0,83296.0,74041.0,77653.0,3656544,2023-04-03
77653.0,77653.0,69978.0,71332.0,2228094,2023-05-04
70610.0,74516.0,69958.0,70004.0,3100659,2023-06-01
70186.0,73741.0,68363.0,71462.0,3574801,2023-07-03
72511.0,74060.0,68363.0,72009.0,6029302,2023-08-01
72465.0,80213.0,65993.0,66084.0,9377078,2023-09-05
66814.0,66814.0,51683.0,51683.0,9729856,2023-10-02
51956.0,60889.0,50042.0,59248.0,16126299,2023-11-01
59248.0,60251.0,55876.0,57425.0,12246218,2023-12-01
58245.0,58610.0,52558.0,52558.0,15359824,2024-01-02
52652.0,55639.0,52092.0,54612.0,17879627,2024-02-01
54892.0,58160.0,52372.0,52932.0,29311670,2024-03-01
52932.0,53305.0,48544.0,50785.0,15668811,2024-04-01
50971.0,57226.0,50878.0,54425.0,26370258,2024-05-02
55079.0,64788.0,54799.0,56012.0,33398010,2024-06-03
56573.0,57973.0,51638.0,53472.0,17362282,2024-07-01
53858.0,56464.0,50190.0,55499.0,19948488,2024-08-01
55209.0,56754.0,53086.0,55789.0,12938716,2024-09-04
55982.0,56175.0,53183.0,53279.0,10530011,2024-10-01
53665.0,55402.0,52796.0,54148.0,9190937,2024-11-01
54244.0,56464.0,53858.0,55500.0,13505547,2024-12-02
55800.0,55800.0,53200.0,53800.0,6991718,2025-01-02
53600.0,53800.0,51000.0,51500.0,11905959,2025-02-03
52000.0,52100.0,51500.0,51800.0,1797415,2025-03-03
