open,high,low,close,volume,tradingDate
20839.0,22909.0,20839.0,21900.0,721000,2015-04-16
23978.0,24045.0,20104.0,21900.0,725000,2015-04-20
20371.0,21306.0,20238.0,21200.0,53400,2015-04-27
20438.0,20906.0,18368.0,20000.0,150300,2015-05-04
20104.0,20505.0,17366.0,18200.0,87200,2015-05-11
18034.0,18434.0,17432.0,17900.0,59300,2015-05-18
17833.0,19303.0,16765.0,19000.0,62700,2015-05-25
19236.0,19303.0,17766.0,19100.0,135800,2015-06-01
18368.0,18635.0,17366.0,18100.0,130800,2015-06-08
17432.0,18167.0,17366.0,18000.0,109800,2015-06-15
17900.0,18301.0,17366.0,18000.0,77200,2015-06-22
17833.0,18635.0,15963.0,18500.0,72700,2015-06-29
17366.0,18434.0,16698.0,17700.0,72800,2015-07-06
17967.0,20572.0,17366.0,18800.0,125000,2015-07-13
20037.0,21306.0,16698.0,20000.0,82500,2015-07-20
19637.0,21240.0,18702.0,20000.0,184200,2015-07-27
18368.0,19837.0,17499.0,18700.0,14900,2015-08-03
18702.0,19637.0,17766.0,18600.0,110200,2015-08-10
17700.0,19303.0,17700.0,18400.0,90400,2015-08-17
18501.0,19369.0,18034.0,18300.0,30800,2015-08-24
18702.0,20037.0,18100.0,18900.0,1800,2015-08-31
19369.0,19904.0,18368.0,18600.0,40300,2015-09-07
18768.0,19637.0,18702.0,18800.0,63300,2015-09-14
18768.0,20037.0,18768.0,19300.0,58900,2015-09-21
19369.0,19837.0,19035.0,19600.0,29400,2015-09-28
19637.0,21306.0,19369.0,20400.0,79400,2015-10-05
19703.0,22041.0,19369.0,19900.0,111000,2015-10-12
20305.0,25915.0,20037.0,24000.0,232300,2015-10-19
24379.0,25314.0,23043.0,24400.0,221200,2015-10-26
24579.0,24579.0,22375.0,23200.0,175700,2015-11-02
22041.0,23711.0,22041.0,23300.0,255450,2015-11-09
23577.0,23577.0,20705.0,21500.0,146200,2015-11-16
21907.0,22241.0,20037.0,21200.0,112100,2015-11-23
21173.0,22041.0,21173.0,21600.0,71100,2015-11-30
21574.0,22041.0,21373.0,21900.0,94300,2015-12-07
21774.0,21907.0,20037.0,21700.0,123700,2015-12-14
21907.0,21907.0,20037.0,21600.0,104600,2015-12-21
21841.0,21841.0,20371.0,20600.0,28700,2015-12-28
21907.0,21907.0,20305.0,20400.0,90600,2016-01-04
20171.0,20705.0,19369.0,20000.0,17000,2016-01-11
19369.0,19369.0,19035.0,19100.0,10400,2016-01-18
19035.0,20238.0,18702.0,19000.0,16200,2016-01-25
20238.0,20972.0,18902.0,19400.0,58300,2016-02-01
19369.0,20638.0,18702.0,19400.0,41400,2016-02-15
19971.0,19971.0,18835.0,19400.0,41400,2016-02-22
19369.0,19971.0,17165.0,19200.0,89300,2016-02-29
19503.0,19904.0,19102.0,19700.0,33500,2016-03-07
19102.0,19436.0,18835.0,19300.0,19730,2016-03-14
18835.0,23711.0,18034.0,23200.0,132030,2016-03-21
24045.0,24045.0,16163.0,19400.0,88400,2016-03-28
19703.0,19837.0,18368.0,18700.0,26000,2016-04-04
18902.0,19369.0,18568.0,18600.0,24300,2016-04-11
18100.0,18902.0,17700.0,18400.0,15300,2016-04-19
18368.0,19035.0,17366.0,18700.0,30500,2016-04-25
18702.0,18702.0,17766.0,18000.0,25300,2016-05-04
