open,high,low,close,volume,tradingDate
2700.0,2800.0,2600.0,2700.0,92500,2015-07-13
2700.0,2700.0,2400.0,2600.0,483000,2015-07-14
2600.0,2600.0,2300.0,2500.0,236950,2015-07-15
2500.0,2500.0,2400.0,2400.0,191000,2015-07-16
2500.0,2600.0,2500.0,2500.0,414506,2015-07-17
2500.0,2500.0,2400.0,2400.0,158500,2015-07-20
2400.0,2500.0,2400.0,2400.0,102000,2015-07-21
2400.0,2500.0,2300.0,2400.0,107800,2015-07-22
2400.0,2500.0,2400.0,2500.0,230310,2015-07-23
2500.0,2500.0,2400.0,2400.0,24058,2015-07-24
2400.0,2500.0,2400.0,2500.0,41800,2015-07-27
2500.0,2500.0,2400.0,2400.0,83300,2015-07-28
2500.0,2500.0,2400.0,2500.0,183900,2015-07-29
2500.0,2800.0,2500.0,2700.0,649200,2015-07-30
2800.0,3100.0,2700.0,2900.0,479700,2015-07-31
2800.0,2800.0,2600.0,2700.0,215322,2015-08-03
2600.0,2700.0,2600.0,2600.0,86900,2015-08-04
2600.0,2800.0,2600.0,2600.0,167514,2015-08-05
2700.0,2800.0,2600.0,2700.0,387826,2015-08-06
2700.0,2700.0,2600.0,2600.0,45620,2015-08-07
2600.0,2700.0,2600.0,2600.0,287200,2015-08-10
2800.0,2800.0,2600.0,2600.0,443000,2015-08-11
2600.0,2600.0,2500.0,2600.0,57505,2015-08-12
2600.0,2600.0,2500.0,2500.0,125100,2015-08-13
2500.0,2500.0,2400.0,2500.0,120630,2015-08-14
2500.0,2500.0,2400.0,2400.0,75620,2015-08-17
2400.0,2500.0,2400.0,2400.0,27920,2015-08-18
2400.0,2400.0,2300.0,2300.0,108800,2015-08-19
2400.0,2400.0,2200.0,2300.0,56200,2015-08-20
2300.0,2300.0,2100.0,2200.0,223305,2015-08-21
2100.0,2200.0,1900.0,2000.0,222200,2015-08-24
2000.0,2100.0,2000.0,2000.0,197200,2015-08-25
2100.0,2300.0,2100.0,2200.0,253010,2015-08-26
2200.0,2300.0,2200.0,2200.0,420206,2015-08-27
2200.0,2400.0,2200.0,2300.0,390100,2015-08-28
2400.0,2400.0,2200.0,2200.0,232900,2015-08-31
2200.0,2200.0,2100.0,2200.0,133900,2015-09-01
2200.0,2200.0,2100.0,2200.0,244000,2015-09-03
2200.0,2300.0,2100.0,2200.0,133520,2015-09-04
2200.0,2200.0,2100.0,2200.0,99100,2015-09-07
2200.0,2300.0,2100.0,2200.0,208300,2015-09-08
2200.0,2200.0,2200.0,2200.0,76700,2015-09-09
2100.0,2300.0,2100.0,2200.0,90550,2015-09-10
2200.0,2200.0,2100.0,2200.0,25500,2015-09-11
2200.0,2200.0,2100.0,2100.0,237000,2015-09-14
2100.0,2200.0,2100.0,2100.0,8500,2015-09-15
2100.0,2200.0,2100.0,2100.0,70500,2015-09-16
2200.0,2200.0,2100.0,2100.0,116310,2015-09-17
2100.0,2200.0,2100.0,2100.0,37100,2015-09-18
2100.0,2100.0,2000.0,2100.0,28840,2015-09-21
2100.0,2100.0,2100.0,2100.0,79710,2015-09-22
2100.0,2100.0,2100.0,2100.0,53000,2015-09-23
2200.0,2200.0,2100.0,2100.0,71300,2015-09-24
2200.0,2200.0,2000.0,2100.0,56100,2015-09-25
2100.0,2100.0,2100.0,2100.0,27750,2015-09-28
2000.0,2100.0,2000.0,2000.0,28000,2015-09-29
2000.0,2000.0,1900.0,2000.0,92010,2015-09-30
2000.0,2100.0,2000.0,2000.0,96200,2015-10-01
2000.0,2000.0,2000.0,2000.0,36900,2015-10-02
2000.0,2100.0,1900.0,2000.0,81860,2015-10-05
2100.0,2200.0,2100.0,2100.0,138531,2015-10-06
2100.0,2100.0,2000.0,2100.0,108500,2015-10-07
2100.0,2100.0,2000.0,2100.0,41000,2015-10-08
2100.0,2200.0,2000.0,2100.0,125000,2015-10-09
2100.0,2100.0,2000.0,2100.0,107920,2015-10-12
2100.0,2100.0,2100.0,2100.0,147200,2015-10-13
2100.0,2200.0,2100.0,2100.0,32120,2015-10-14
2100.0,2200.0,2000.0,2100.0,122800,2015-10-15
2100.0,2100.0,2000.0,2100.0,157100,2015-10-16
2100.0,2100.0,2000.0,2000.0,30600,2015-10-19
2100.0,2200.0,2000.0,2100.0,176000,2015-10-20
2200.0,2200.0,2000.0,2100.0,191000,2015-10-21
