open,high,low,close,volume,tradingDate
39838.0,39838.0,33681.0,36217.0,1450800,2010-07-05
36307.0,38027.0,34406.0,36488.0,2094230,2010-07-12
36488.0,36488.0,33229.0,33953.0,867330,2010-07-19
34768.0,34768.0,32595.0,32776.0,593340,2010-07-26
33500.0,33500.0,30965.0,30965.0,483010,2010-08-02
30784.0,32142.0,26257.0,26710.0,732660,2010-08-09
27162.0,27162.0,22998.0,22998.0,216850,2010-08-16
22998.0,22998.0,20462.0,21277.0,332560,2010-08-23
22273.0,24356.0,21368.0,22816.0,51960,2010-08-30
23722.0,24899.0,22726.0,23541.0,109170,2010-09-06
22364.0,24446.0,21730.0,23360.0,106710,2010-09-13
23541.0,24899.0,22183.0,23722.0,233190,2010-09-20
23994.0,24265.0,21567.0,22323.0,600380,2010-09-27
21661.0,24120.0,21094.0,24120.0,463890,2010-10-04
24120.0,25066.0,23364.0,24026.0,543790,2010-10-11
23742.0,24404.0,21945.0,24026.0,474340,2010-10-18
23931.0,24593.0,21567.0,22512.0,428630,2010-10-25
22512.0,22796.0,21283.0,22607.0,197430,2010-11-01
22607.0,22607.0,20999.0,20999.0,88960,2010-11-08
21567.0,23648.0,20999.0,23080.0,77620,2010-11-15
22702.0,25350.0,22702.0,25350.0,174580,2010-11-22
25728.0,27526.0,24499.0,27526.0,367390,2010-11-29
28755.0,30742.0,26201.0,29796.0,833050,2010-12-06
31215.0,33107.0,30269.0,31120.0,394420,2010-12-13
31120.0,33579.0,28188.0,30742.0,650050,2010-12-20
32066.0,34998.0,30363.0,33107.0,1451320,2010-12-27
31498.0,31593.0,27147.0,27242.0,113420,2011-01-04
28377.0,28377.0,25539.0,26485.0,276680,2011-01-10
26864.0,27431.0,25445.0,26958.0,923680,2011-01-17
26958.0,26958.0,25066.0,26580.0,1209230,2011-01-24
26864.0,27053.0,25445.0,25445.0,672190,2011-02-08
25445.0,25823.0,20431.0,20431.0,581290,2011-02-14
19486.0,19486.0,17026.0,17972.0,1777540,2011-02-21
18729.0,18729.0,16269.0,16742.0,986740,2011-02-28
16175.0,17878.0,16175.0,17026.0,727150,2011-03-07
16742.0,17026.0,16269.0,17026.0,290200,2011-03-14
17215.0,17215.0,16269.0,16553.0,309520,2011-03-21
16553.0,16648.0,15513.0,15797.0,171180,2011-03-28
15324.0,15607.0,14851.0,14945.0,168580,2011-04-04
14945.0,15134.0,14567.0,14851.0,28720,2011-04-13
14756.0,14851.0,12959.0,13053.0,84650,2011-04-18
13526.0,13621.0,11445.0,11445.0,124170,2011-04-25
11067.0,11256.0,10405.0,10878.0,309250,2011-05-04
11351.0,11351.0,10499.0,10700.0,315110,2011-05-09
10700.0,10700.0,9600.0,9700.0,321680,2011-05-16
9500.0,9700.0,8500.0,8600.0,541120,2011-05-23
