open,high,low,close,volume,tradingDate
21051.0,21051.0,21051.0,21051.0,421800,2017-05-16
22498.0,22498.0,21051.0,22366.0,45330,2017-05-17
22366.0,22366.0,21051.0,22147.0,9120,2017-05-18
20612.0,20831.0,20612.0,20612.0,129870,2017-05-19
19296.0,19735.0,19187.0,19187.0,99560,2017-05-22
18025.0,18025.0,17849.0,17849.0,230970,2017-05-23
17323.0,19077.0,17323.0,19077.0,23270,2017-05-24
20349.0,20349.0,19165.0,19165.0,28490,2017-05-25
18858.0,19165.0,18200.0,18244.0,47220,2017-05-26
18244.0,18419.0,17542.0,18244.0,50040,2017-05-29
17630.0,18244.0,17586.0,18156.0,15360,2017-05-30
18200.0,18375.0,18200.0,18332.0,17350,2017-05-31
18200.0,18288.0,18025.0,18068.0,16340,2017-06-01
18814.0,18814.0,18025.0,18068.0,13830,2017-06-02
18025.0,18112.0,17542.0,17981.0,7770,2017-06-05
17630.0,17849.0,17542.0,17849.0,35700,2017-06-06
17893.0,17893.0,17586.0,17893.0,24920,2017-06-07
17586.0,17761.0,17586.0,17586.0,7550,2017-06-08
17981.0,17981.0,17542.0,17718.0,6330,2017-06-09
17718.0,17718.0,17542.0,17542.0,14610,2017-06-12
17937.0,17937.0,17542.0,17761.0,27010,2017-06-13
17542.0,18858.0,17542.0,18463.0,33130,2017-06-14
18814.0,18814.0,18332.0,18726.0,30530,2017-06-15
18639.0,19296.0,18551.0,18989.0,31930,2017-06-16
18989.0,19516.0,18989.0,19516.0,49890,2017-06-19
19735.0,20393.0,19735.0,20130.0,15370,2017-06-20
20173.0,20173.0,19647.0,19647.0,14860,2017-06-21
19954.0,19954.0,19647.0,19735.0,34930,2017-06-22
19735.0,20173.0,19406.0,19472.0,36590,2017-06-23
19428.0,19867.0,19428.0,19735.0,33950,2017-06-26
19560.0,19867.0,19516.0,19691.0,30210,2017-06-27
19472.0,19735.0,19296.0,19691.0,43400,2017-06-28
18902.0,19779.0,18902.0,19253.0,23440,2017-06-29
19340.0,19340.0,19121.0,19296.0,30990,2017-06-30
20086.0,20086.0,19384.0,19735.0,54760,2017-07-03
20422.0,20606.0,19963.0,20422.0,30310,2017-07-04
20652.0,20652.0,19780.0,20147.0,30120,2017-07-05
20147.0,20422.0,20147.0,20422.0,31140,2017-07-06
20193.0,20468.0,20193.0,20468.0,1110,2017-07-07
20377.0,20422.0,19963.0,20009.0,28590,2017-07-10
20101.0,20101.0,19780.0,19918.0,20470,2017-07-11
19918.0,20009.0,19734.0,19826.0,26490,2017-07-12
19826.0,19872.0,19046.0,19711.0,20620,2017-07-13
19963.0,19963.0,19183.0,19711.0,19180,2017-07-14
19688.0,19711.0,19505.0,19711.0,24010,2017-07-17
19711.0,19711.0,19229.0,19596.0,22010,2017-07-18
19596.0,19734.0,18357.0,19482.0,20050,2017-07-19
19482.0,19482.0,18265.0,19046.0,21140,2017-07-20
19046.0,19734.0,18633.0,19734.0,26940,2017-07-21
19642.0,19642.0,18816.0,18977.0,19990,2017-07-24
19505.0,19505.0,19137.0,19275.0,25250,2017-07-25
19275.0,19596.0,18954.0,19275.0,31030,2017-07-26
19046.0,19275.0,19046.0,19046.0,29650,2017-07-27
19046.0,19367.0,19046.0,19367.0,33950,2017-07-28
19321.0,19459.0,19069.0,19367.0,19950,2017-07-31
19459.0,19505.0,19275.0,19275.0,48950,2017-08-01
19275.0,19367.0,19183.0,19275.0,55060,2017-08-02
19275.0,19275.0,19229.0,19229.0,21600,2017-08-03
19367.0,19367.0,19092.0,19183.0,98450,2017-08-04
19160.0,19183.0,17944.0,17944.0,41840,2017-08-07
18587.0,19046.0,18587.0,18770.0,19250,2017-08-08
18747.0,18747.0,18357.0,18747.0,19920,2017-08-09
18747.0,18747.0,18357.0,18724.0,21340,2017-08-10
18724.0,18724.0,18357.0,18495.0,25560,2017-08-11
18816.0,19229.0,18495.0,18816.0,25620,2017-08-14
19229.0,19229.0,18724.0,19114.0,29540,2017-08-15
19229.0,19229.0,19114.0,19114.0,29550,2017-08-16
19114.0,19137.0,18908.0,18977.0,22580,2017-08-17
18977.0,19000.0,18931.0,18931.0,21690,2017-08-18
19229.0,19229.0,18862.0,19046.0,30570,2017-08-21
19229.0,19275.0,19023.0,19092.0,37020,2017-08-22
19229.0,19229.0,19046.0,19137.0,38880,2017-08-23
19206.0,19206.0,19137.0,19206.0,35190,2017-08-24
19252.0,19275.0,18816.0,19183.0,26190,2017-08-25
19275.0,19275.0,19092.0,19229.0,38810,2017-08-28
19137.0,19734.0,19092.0,19734.0,156560,2017-08-29
20170.0,20170.0,19734.0,19734.0,31260,2017-08-30
20032.0,20147.0,19941.0,19963.0,32370,2017-08-31
20239.0,20239.0,19596.0,20009.0,30120,2017-09-01
19275.0,19918.0,19229.0,19665.0,29750,2017-09-05
19734.0,19734.0,19275.0,19505.0,29040,2017-09-06
19321.0,19665.0,19321.0,19573.0,51000,2017-09-07
19642.0,19688.0,19596.0,19665.0,50500,2017-09-08
19665.0,19665.0,19275.0,19275.0,32690,2017-09-11
19321.0,19642.0,19275.0,19642.0,40910,2017-09-12
19642.0,19642.0,19413.0,19642.0,38850,2017-09-13
19573.0,20147.0,19573.0,20055.0,48990,2017-09-14
20101.0,21455.0,20101.0,21455.0,55840,2017-09-15
21570.0,21570.0,21294.0,21524.0,30570,2017-09-18
21524.0,21707.0,21340.0,21570.0,39740,2017-09-19
21386.0,21570.0,21111.0,21111.0,39380,2017-09-20
20790.0,21248.0,20514.0,20973.0,35980,2017-09-21
21111.0,21501.0,20881.0,20881.0,31150,2017-09-22
20996.0,21478.0,20422.0,21386.0,31520,2017-09-25
20790.0,21478.0,20790.0,21294.0,33640,2017-09-26
21547.0,21547.0,20790.0,21271.0,30170,2017-09-27
21019.0,21271.0,20927.0,21088.0,30190,2017-09-28
20973.0,21340.0,20468.0,21340.0,32460,2017-09-29
21019.0,21386.0,20881.0,21203.0,30260,2017-10-02
21203.0,21340.0,21111.0,21111.0,30810,2017-10-03
21157.0,21570.0,20652.0,21478.0,60120,2017-10-04
21478.0,21524.0,21432.0,21432.0,36980,2017-10-05
21432.0,22763.0,21432.0,22579.0,130940,2017-10-06
22579.0,22717.0,21799.0,22373.0,56540,2017-10-09
21799.0,22717.0,21799.0,22579.0,57790,2017-10-10
22579.0,22579.0,22120.0,22304.0,50290,2017-10-11
22258.0,22442.0,22075.0,22350.0,49740,2017-10-12
22166.0,22488.0,22166.0,22304.0,49770,2017-10-13
22120.0,22304.0,21983.0,21983.0,49380,2017-10-16
22029.0,22258.0,22029.0,22166.0,50740,2017-10-17
22120.0,22396.0,22029.0,22304.0,66380,2017-10-18
22166.0,22442.0,22166.0,22419.0,45090,2017-10-19
22258.0,22488.0,22258.0,22442.0,47830,2017-10-20
22304.0,22419.0,21937.0,22029.0,46890,2017-10-23
21937.0,22052.0,21799.0,21983.0,48460,2017-10-24
22029.0,22120.0,21891.0,21983.0,49370,2017-10-25
21937.0,21983.0,21799.0,21891.0,46530,2017-10-26
21891.0,22029.0,21891.0,22006.0,44990,2017-10-27
22006.0,22006.0,21432.0,21570.0,59970,2017-10-30
21753.0,21753.0,20927.0,21019.0,51210,2017-10-31
21065.0,21157.0,21019.0,21111.0,42490,2017-11-01
21111.0,21203.0,20973.0,21111.0,42130,2017-11-02
21019.0,21088.0,20652.0,20835.0,40830,2017-11-03
20835.0,20835.0,20514.0,20652.0,43730,2017-11-06
20606.0,20744.0,20514.0,20698.0,54070,2017-11-07
20606.0,21294.0,20606.0,21134.0,40030,2017-11-08
