open,high,low,close,volume,tradingDate
15508.0,16192.0,14140.0,16101.0,247200,2010-09-15
16648.0,17104.0,14094.0,14368.0,408800,2010-09-20
15189.0,15371.0,12999.0,13227.0,268200,2010-09-27
13227.0,13592.0,12087.0,13273.0,314800,2010-10-04
13273.0,13364.0,12087.0,12315.0,242200,2010-10-11
12315.0,12361.0,11084.0,11449.0,143600,2010-10-18
11859.0,13045.0,11403.0,12498.0,301400,2010-10-25
13091.0,13364.0,12042.0,12954.0,285700,2010-11-01
12771.0,13592.0,12133.0,12680.0,174200,2010-11-08
12634.0,12771.0,11768.0,12452.0,125500,2010-11-15
11950.0,12543.0,11905.0,12224.0,426900,2010-11-22
12315.0,13136.0,11722.0,12771.0,523600,2010-11-29
13136.0,13638.0,12133.0,12999.0,570700,2010-12-06
13592.0,13638.0,12178.0,12452.0,316500,2010-12-13
12999.0,12999.0,11813.0,11905.0,212700,2010-12-20
12634.0,12999.0,11859.0,11950.0,199800,2010-12-27
12361.0,12361.0,11859.0,11950.0,46200,2011-01-04
11859.0,12224.0,11677.0,12224.0,52600,2011-01-10
11950.0,12452.0,11403.0,12270.0,31700,2011-01-17
12452.0,12771.0,10947.0,11494.0,21000,2011-01-24
12224.0,12726.0,11403.0,12178.0,8500,2011-02-08
12178.0,12178.0,10719.0,10719.0,19700,2011-02-14
11221.0,11403.0,10901.0,10901.0,20600,2011-02-21
10445.0,11084.0,9077.0,10080.0,101200,2011-02-28
10491.0,10491.0,9122.0,10217.0,94000,2011-03-07
9578.0,9852.0,8621.0,9533.0,44100,2011-03-14
10126.0,10126.0,8712.0,9305.0,98100,2011-03-21
8894.0,9396.0,8666.0,8940.0,11800,2011-03-28
8940.0,8940.0,7982.0,8210.0,6600,2011-04-04
8210.0,8210.0,8210.0,8210.0,0,2011-04-13
8210.0,8210.0,6614.0,6614.0,29500,2011-04-18
6431.0,6431.0,5747.0,6431.0,49600,2011-04-25
6751.0,6751.0,6340.0,6431.0,33400,2011-05-04
6431.0,6614.0,6021.0,6158.0,11900,2011-05-09
5793.0,6158.0,5519.0,5838.0,35000,2011-05-16
5565.0,5565.0,4561.0,5245.0,17200,2011-05-23
5428.0,5747.0,4880.0,5337.0,24100,2011-05-30
5337.0,5930.0,5337.0,5382.0,16500,2011-06-06
5519.0,5701.0,5291.0,5291.0,25400,2011-06-13
5291.0,5337.0,4972.0,5291.0,20600,2011-06-20
5337.0,5337.0,4926.0,5200.0,10100,2011-06-27
5245.0,5245.0,5017.0,5245.0,11700,2011-07-04
5245.0,5245.0,5017.0,5017.0,1200,2011-07-11
5200.0,5200.0,4607.0,4607.0,14500,2011-07-18
4607.0,4835.0,4379.0,4379.0,11200,2011-07-25
4151.0,4516.0,4014.0,4424.0,1200,2011-08-01
4379.0,4379.0,3649.0,3877.0,40900,2011-08-08
3877.0,4242.0,3877.0,3877.0,15200,2011-08-15
4105.0,4424.0,4014.0,4333.0,14200,2011-08-22
4379.0,4880.0,4379.0,4880.0,1400,2011-08-29
4561.0,4789.0,4242.0,4516.0,26100,2011-09-05
4516.0,4561.0,4242.0,4379.0,40900,2011-09-12
4561.0,4561.0,4242.0,4242.0,200,2011-09-19
4105.0,4379.0,4105.0,4379.0,200,2011-09-26
4379.0,4379.0,4379.0,4379.0,0,2011-10-03
4379.0,4379.0,4105.0,4105.0,3000,2011-10-10
4105.0,4105.0,3786.0,3786.0,37600,2011-10-17
3649.0,3649.0,3102.0,3375.0,9400,2011-10-24
3512.0,3740.0,3512.0,3740.0,300,2011-10-31
3695.0,3877.0,3421.0,3512.0,197500,2011-11-07
3512.0,3512.0,3284.0,3512.0,12300,2011-11-14
3512.0,3512.0,3256.0,3362.0,12700,2011-11-21
3362.0,3362.0,3046.0,3046.0,4400,2011-11-28
3046.0,3256.0,3046.0,3256.0,100,2011-12-05
3099.0,3204.0,3099.0,3204.0,700,2011-12-12
3151.0,3151.0,2994.0,2994.0,3100,2011-12-19
2994.0,2994.0,2679.0,2731.0,1100,2011-12-26
2574.0,2574.0,2101.0,2101.0,7800,2012-01-03
2101.0,2206.0,1996.0,2153.0,10100,2012-01-09
2259.0,2574.0,2153.0,2574.0,2300,2012-01-16
2731.0,3046.0,2731.0,3046.0,1400,2012-01-30
3099.0,3151.0,2994.0,3151.0,3800,2012-02-06
3151.0,3151.0,2941.0,2941.0,300,2012-02-13
3099.0,3099.0,2784.0,2836.0,58100,2012-02-20
2836.0,3046.0,2784.0,2941.0,11500,2012-02-27
3046.0,3309.0,2889.0,2941.0,78700,2012-03-05
2941.0,2941.0,2731.0,2784.0,65300,2012-03-12
2836.0,2836.0,2521.0,2731.0,81800,2012-03-19
2731.0,2994.0,2731.0,2731.0,102000,2012-03-26
2731.0,2784.0,2574.0,2784.0,31500,2012-04-03
2731.0,3151.0,2626.0,3151.0,368800,2012-04-09
3151.0,3362.0,2994.0,2994.0,383400,2012-04-16
2994.0,3362.0,2679.0,3256.0,73100,2012-04-23
3309.0,3467.0,3151.0,3467.0,29300,2012-05-02
3467.0,4044.0,3467.0,3624.0,136000,2012-05-07
3414.0,3624.0,2994.0,3362.0,49600,2012-05-14
3151.0,3309.0,2941.0,3099.0,16700,2012-05-21
2994.0,3151.0,2731.0,2836.0,66400,2012-05-28
2679.0,2889.0,2679.0,2836.0,51800,2012-06-04
2889.0,3151.0,2731.0,3151.0,15400,2012-06-11
2941.0,3151.0,2784.0,3099.0,26300,2012-06-18
2889.0,2994.0,2626.0,2784.0,36700,2012-06-25
2626.0,2731.0,2364.0,2731.0,26300,2012-07-02
2679.0,2836.0,2574.0,2836.0,1300,2012-07-09
2784.0,2941.0,2626.0,2941.0,800,2012-07-16
2941.0,2941.0,2941.0,2941.0,0,2012-07-23
2941.0,2941.0,2941.0,2941.0,0,2012-07-30
2941.0,3099.0,2784.0,3099.0,600,2012-08-06
3099.0,3099.0,2889.0,2889.0,15100,2012-08-13
2889.0,2889.0,2731.0,2731.0,500,2012-08-20
2574.0,2731.0,2469.0,2574.0,2100,2012-08-27
2416.0,2521.0,2416.0,2521.0,200,2012-09-04
2521.0,2679.0,2521.0,2679.0,200,2012-09-10
2521.0,2521.0,2206.0,2206.0,2700,2012-09-17
2206.0,2469.0,2206.0,2469.0,300,2012-09-24
2626.0,2626.0,2048.0,2153.0,1100,2012-10-01
2206.0,2311.0,1996.0,1996.0,46500,2012-10-08
1891.0,1996.0,1733.0,1786.0,4100,2012-10-15
1733.0,1838.0,1628.0,1681.0,10200,2012-10-22
1681.0,1681.0,1681.0,1681.0,0,2012-10-29
1576.0,1681.0,1576.0,1681.0,300,2012-11-05
1576.0,1576.0,1471.0,1471.0,62200,2012-11-12
1418.0,1471.0,1418.0,1471.0,3500,2012-11-19
1471.0,1471.0,1418.0,1471.0,9100,2012-11-26
1523.0,1943.0,1523.0,1943.0,800,2012-12-03
1996.0,2153.0,1838.0,2101.0,8800,2012-12-10
1996.0,2206.0,1891.0,2153.0,40600,2012-12-17
2259.0,2469.0,2048.0,2416.0,14500,2012-12-24
2469.0,2731.0,2416.0,2626.0,16600,2013-01-02
2626.0,2679.0,2364.0,2364.0,17600,2013-01-07
2206.0,2416.0,1996.0,2311.0,5200,2013-01-14
2153.0,2311.0,1891.0,2206.0,6400,2013-01-21
1996.0,1996.0,1838.0,1891.0,15300,2013-01-28
1786.0,1996.0,1786.0,1996.0,1300,2013-02-04
2153.0,2364.0,1943.0,2153.0,6200,2013-02-18
1943.0,2101.0,1786.0,1891.0,5300,2013-02-25
1733.0,1838.0,1576.0,1786.0,2000,2013-03-04
1628.0,1786.0,1471.0,1523.0,59900,2013-03-11
1471.0,1733.0,1366.0,1471.0,8200,2013-03-18
1576.0,1576.0,1313.0,1471.0,13200,2013-03-25
1523.0,1523.0,1366.0,1418.0,51000,2013-04-01
1418.0,1943.0,1418.0,1943.0,372900,2013-04-08
2101.0,2101.0,1733.0,1786.0,159800,2013-04-15
1786.0,2311.0,1786.0,2311.0,520400,2013-04-22
2521.0,2731.0,2521.0,2731.0,213900,2013-05-02
2994.0,3887.0,2994.0,3309.0,476200,2013-05-06
3362.0,3782.0,3151.0,3572.0,304000,2013-05-13
3362.0,3677.0,3309.0,3677.0,241200,2013-05-20
3519.0,3519.0,3099.0,3309.0,211500,2013-05-27
3256.0,4412.0,3256.0,4307.0,575100,2013-06-03
4412.0,4885.0,4097.0,4675.0,954500,2013-06-10
4727.0,4727.0,3362.0,3729.0,543300,2013-06-17
3046.0,3992.0,3046.0,3729.0,325500,2013-06-24
3624.0,3834.0,3624.0,3624.0,59100,2013-07-01
3519.0,3729.0,3467.0,3677.0,29900,2013-07-08
3677.0,3729.0,3519.0,3624.0,22100,2013-07-15
3624.0,3624.0,3256.0,3572.0,84900,2013-07-22
3377.0,4340.0,3318.0,3782.0,50300,2013-07-29
3939.0,4727.0,3846.0,4570.0,257600,2013-08-05
4517.0,5667.0,4493.0,5357.0,360800,2013-08-12
5410.0,6918.0,5464.0,6776.0,306800,2013-08-19
6460.0,6850.0,5892.0,6513.0,252300,2013-08-26
6723.0,6743.0,6110.0,6198.0,87100,2013-09-03
6460.0,6487.0,5781.0,6093.0,62700,2013-09-09
6040.0,6894.0,5511.0,5830.0,92000,2013-09-16
6040.0,6352.0,5414.0,5568.0,93700,2013-09-23
5568.0,6377.0,5429.0,5515.0,96900,2013-09-30
5462.0,5950.0,5261.0,5725.0,46800,2013-10-07
5515.0,5835.0,4964.0,5410.0,53900,2013-10-14
5515.0,6695.0,5531.0,6303.0,108200,2013-10-21
6093.0,7658.0,6145.0,6881.0,338000,2013-10-28
6828.0,7828.0,7058.0,7458.0,77500,2013-11-04
