open,high,low,close,volume,tradingDate
9536.0,9656.0,9573.0,9619.0,15700,2015-06-30
9536.0,9702.0,9619.0,9619.0,6500,2015-07-01
9619.0,9619.0,9619.0,9619.0,0,2015-07-02
9701.0,9860.0,9777.0,9784.0,16583,2015-07-03
9784.0,9784.0,9784.0,9784.0,300,2015-07-06
9536.0,9804.0,9555.0,9784.0,7600,2015-07-07
9536.0,9536.0,9536.0,9536.0,633,2015-07-08
9536.0,10040.0,9784.0,9784.0,622,2015-07-09
9784.0,9784.0,9784.0,9784.0,0,2015-07-10
9536.0,9536.0,9536.0,9536.0,10300,2015-07-13
9536.0,9536.0,9536.0,9536.0,9300,2015-07-14
9536.0,9601.0,9517.0,9536.0,6392,2015-07-15
9453.0,9957.0,9701.0,9701.0,516,2015-07-16
9701.0,9701.0,9701.0,9701.0,0,2015-07-17
9453.0,9957.0,9701.0,9701.0,3700,2015-07-20
9370.0,9411.0,9328.0,9370.0,2166,2015-07-21
9619.0,9619.0,9619.0,9619.0,100,2015-07-22
9370.0,9509.0,9425.0,9453.0,3000,2015-07-23
9453.0,9499.0,9415.0,9453.0,2300,2015-07-24
9453.0,9453.0,9453.0,9453.0,0,2015-07-27
9287.0,9453.0,9370.0,9370.0,4900,2015-07-28
9453.0,9453.0,9453.0,9453.0,100,2015-07-29
9287.0,9791.0,9536.0,9536.0,500,2015-07-30
9536.0,9536.0,9536.0,9536.0,0,2015-07-31
9287.0,9791.0,9536.0,9536.0,1500,2015-08-03
9204.0,9879.0,9536.0,9536.0,433,2015-08-04
9536.0,9536.0,9536.0,9536.0,0,2015-08-05
9204.0,9371.0,9287.0,9287.0,5100,2015-08-06
9121.0,9954.0,9521.0,9536.0,6000,2015-08-07
9536.0,9536.0,9536.0,9536.0,0,2015-08-10
9536.0,9536.0,9536.0,9536.0,0,2015-08-11
9536.0,9536.0,9536.0,9536.0,0,2015-08-12
9287.0,9791.0,9536.0,9536.0,5100,2015-08-13
9536.0,9536.0,9536.0,9536.0,0,2015-08-14
9204.0,9539.0,9370.0,9370.0,5100,2015-08-17
9121.0,9625.0,9370.0,9370.0,400,2015-08-18
9370.0,9370.0,9370.0,9370.0,0,2015-08-19
9370.0,9370.0,9370.0,9370.0,0,2015-08-20
8872.0,9548.0,9204.0,9204.0,1200,2015-08-21
8706.0,8706.0,8706.0,8706.0,1000,2015-08-24
8706.0,8706.0,8706.0,8706.0,0,2015-08-25
8706.0,9211.0,8955.0,8955.0,300,2015-08-26
8375.0,9399.0,8872.0,8872.0,1100,2015-08-27
8872.0,8949.0,8866.0,8872.0,3000,2015-08-28
8955.0,8955.0,8955.0,8955.0,100,2015-08-31
8706.0,9211.0,8955.0,8955.0,2400,2015-09-01
8872.0,8872.0,8872.0,8872.0,1000,2015-09-03
8872.0,8872.0,8872.0,8872.0,0,2015-09-04
8872.0,8872.0,8872.0,8872.0,0,2015-09-07
8872.0,10179.0,9471.0,9536.0,1100,2015-09-08
8706.0,10263.0,9453.0,9453.0,200,2015-09-09
8623.0,8623.0,8623.0,8623.0,800,2015-09-10
8706.0,10084.0,9370.0,9370.0,1100,2015-09-11
8623.0,10001.0,9287.0,9287.0,400,2015-09-14
8541.0,9741.0,9121.0,9121.0,700,2015-09-15
8955.0,8955.0,8955.0,8955.0,2900,2015-09-16
8623.0,8623.0,8623.0,8623.0,1100,2015-09-17
8955.0,9122.0,9038.0,9038.0,200,2015-09-18
9038.0,9038.0,9038.0,9038.0,0,2015-09-21
9038.0,9038.0,9038.0,9038.0,0,2015-09-22
9038.0,9038.0,9038.0,9038.0,0,2015-09-23
9038.0,9038.0,9038.0,9038.0,0,2015-09-24
8706.0,9382.0,9038.0,9038.0,2900,2015-09-25
9038.0,9038.0,9038.0,9038.0,0,2015-09-28
9370.0,9370.0,9370.0,9370.0,100,2015-09-29
9370.0,9370.0,9370.0,9370.0,0,2015-09-30
9370.0,9370.0,9370.0,9370.0,0,2015-10-01
9370.0,9370.0,9370.0,9370.0,0,2015-10-02
8458.0,10197.0,9287.0,9287.0,400,2015-10-05
9038.0,9038.0,9038.0,9038.0,100,2015-10-06
9038.0,9038.0,9038.0,9038.0,0,2015-10-07
8623.0,8849.0,8682.0,8706.0,10900,2015-10-08
8541.0,9045.0,8789.0,8789.0,3200,2015-10-09
8789.0,8789.0,8789.0,8789.0,0,2015-10-12
8789.0,8961.0,8795.0,8872.0,4100,2015-10-13
8955.0,9032.0,8948.0,8955.0,1400,2015-10-14
8872.0,9038.0,8954.0,8955.0,7500,2015-10-15
8955.0,8955.0,8955.0,8955.0,100,2015-10-16
8872.0,9039.0,8955.0,8955.0,3900,2015-10-19
8789.0,9124.0,8955.0,8955.0,3000,2015-10-20
8706.0,9225.0,8798.0,8955.0,5800,2015-10-21
8955.0,8955.0,8955.0,8955.0,0,2015-10-22
8955.0,8955.0,8955.0,8955.0,0,2015-10-23
8955.0,8955.0,8955.0,8955.0,0,2015-10-26
9038.0,9542.0,9287.0,9287.0,3600,2015-10-27
9287.0,9287.0,9287.0,9287.0,0,2015-10-28
9287.0,9453.0,9369.0,9370.0,10600,2015-10-29
9370.0,9657.0,9489.0,9536.0,1900,2015-10-30
9453.0,9453.0,9453.0,9453.0,7700,2015-11-02
9121.0,9595.0,9258.0,9453.0,11100,2015-11-03
9453.0,9549.0,9466.0,9536.0,18600,2015-11-04
9453.0,9639.0,9471.0,9536.0,6300,2015-11-05
9370.0,9874.0,9619.0,9619.0,4800,2015-11-06
9701.0,9701.0,9701.0,9701.0,9600,2015-11-09
9536.0,9573.0,9490.0,9536.0,5100,2015-11-10
9536.0,9536.0,9536.0,9536.0,600,2015-11-11
9619.0,9837.0,9504.0,9701.0,7700,2015-11-12
9287.0,10411.0,9705.0,9784.0,3100,2015-11-13
9784.0,9784.0,9784.0,9784.0,0,2015-11-16
8955.0,10471.0,9666.0,9701.0,600,2015-11-17
9784.0,9784.0,9784.0,9784.0,100,2015-11-18
9784.0,9784.0,9784.0,9784.0,20,2015-11-19
9784.0,9784.0,9784.0,9784.0,0,2015-11-20
9784.0,9784.0,9784.0,9784.0,0,2015-11-23
9784.0,9784.0,9784.0,9784.0,0,2015-11-24
9784.0,9784.0,9784.0,9784.0,0,2015-11-25
8955.0,10331.0,9619.0,9619.0,1100,2015-11-26
9619.0,9619.0,9619.0,9619.0,0,2015-11-27
8872.0,10249.0,9536.0,9536.0,1500,2015-11-30
9536.0,9536.0,9536.0,9536.0,0,2015-12-01
9536.0,9536.0,9536.0,9536.0,0,2015-12-02
9536.0,9536.0,9536.0,9536.0,0,2015-12-03
9536.0,9536.0,9536.0,9536.0,0,2015-12-04
9536.0,9536.0,9536.0,9536.0,0,2015-12-07
9536.0,9536.0,9536.0,9536.0,0,2015-12-08
9536.0,9536.0,9536.0,9536.0,0,2015-12-09
9536.0,9536.0,9536.0,9536.0,0,2015-12-10
9536.0,9536.0,9536.0,9536.0,0,2015-12-11
9536.0,9536.0,9536.0,9536.0,0,2015-12-14
10448.0,10448.0,10448.0,10448.0,100,2015-12-15
10448.0,10448.0,10448.0,10448.0,0,2015-12-16
10448.0,10448.0,10448.0,10448.0,0,2015-12-17
9536.0,11412.0,10416.0,10448.0,3100,2015-12-18
9453.0,11365.0,10365.0,10365.0,1100,2015-12-21
9370.0,9370.0,9370.0,9370.0,400,2015-12-22
9370.0,9370.0,9370.0,9370.0,0,2015-12-23
9370.0,9370.0,9370.0,9370.0,0,2015-12-24
9370.0,9370.0,9370.0,9370.0,0,2015-12-25
8541.0,9303.0,8705.0,9038.0,2100,2015-12-28
8458.0,10396.0,9200.0,9370.0,2700,2015-12-29
8789.0,10297.0,9295.0,9370.0,3400,2015-12-30
10116.0,10116.0,10116.0,10116.0,100,2015-12-31
9784.0,9784.0,9784.0,9784.0,6000,2016-01-04
9121.0,9121.0,9121.0,9121.0,500,2016-01-05
9287.0,9287.0,9287.0,9287.0,1000,2016-01-06
8541.0,10876.0,9563.0,9619.0,4100,2016-01-07
8872.0,8872.0,8872.0,8872.0,2400,2016-01-08
8872.0,8872.0,8872.0,8872.0,0,2016-01-11
8872.0,9086.0,8919.0,9038.0,1400,2016-01-12
9867.0,9844.0,9099.0,9121.0,3400,2016-01-13
9121.0,9205.0,8619.0,9121.0,1700,2016-01-14
9563.0,9563.0,9563.0,9563.0,100,2016-01-15
8855.0,10328.0,9563.0,9563.0,2700,2016-01-18
9563.0,9563.0,9563.0,9563.0,0,2016-01-19
9563.0,9563.0,9563.0,9563.0,0,2016-01-20
9563.0,9563.0,9563.0,9563.0,0,2016-01-21
9563.0,9563.0,9563.0,9563.0,0,2016-01-22
9209.0,9748.0,9475.0,9475.0,2000,2016-01-25
10272.0,10272.0,10272.0,10272.0,100,2016-01-26
9298.0,12947.0,10789.0,11157.0,1220,2016-01-27
11157.0,11157.0,11157.0,11157.0,0,2016-01-28
11157.0,11157.0,11157.0,11157.0,0,2016-01-29
10095.0,10095.0,10095.0,10095.0,200,2016-02-01
10095.0,10095.0,10095.0,10095.0,0,2016-02-02
9741.0,9475.0,9216.0,9475.0,600,2016-02-03
9475.0,11136.0,10272.0,10272.0,1000,2016-02-04
10272.0,10272.0,10272.0,10272.0,0,2016-02-05
9386.0,10830.0,10070.0,10095.0,2400,2016-02-15
9298.0,9199.0,9023.0,9121.0,10500,2016-02-16
9121.0,9121.0,9121.0,9121.0,0,2016-02-17
9386.0,10108.0,9741.0,9741.0,200,2016-02-18
9298.0,9595.0,9159.0,9298.0,7500,2016-02-19
9386.0,9386.0,9386.0,9386.0,100,2016-02-22
9563.0,9563.0,9563.0,9563.0,5000,2016-02-23
9652.0,9652.0,9652.0,9652.0,300,2016-02-24
9563.0,9563.0,9563.0,9563.0,1400,2016-02-25
9563.0,9563.0,9563.0,9563.0,0,2016-02-26
9563.0,9563.0,9563.0,9563.0,0,2016-02-29
9563.0,9563.0,9563.0,9563.0,0,2016-03-01
9563.0,9921.0,9741.0,9741.0,400,2016-03-02
9386.0,9996.0,9629.0,9652.0,966,2016-03-03
9652.0,9652.0,9652.0,9652.0,0,2016-03-04
9209.0,9209.0,9209.0,9209.0,100,2016-03-07
9209.0,9209.0,9209.0,9209.0,0,2016-03-08
9209.0,9209.0,9209.0,9209.0,0,2016-03-09
9475.0,9475.0,9475.0,9475.0,100,2016-03-10
9209.0,9623.0,9351.0,9386.0,8000,2016-03-11
9475.0,9475.0,9475.0,9475.0,100,2016-03-14
9475.0,9475.0,9475.0,9475.0,0,2016-03-15
9298.0,9493.0,9314.0,9386.0,10900,2016-03-16
9209.0,9330.0,9241.0,9298.0,1400,2016-03-17
9386.0,9378.0,9290.0,9298.0,1100,2016-03-18
9386.0,9386.0,9386.0,9386.0,2100,2016-03-21
9386.0,9682.0,9415.0,9563.0,35400,2016-03-22
9563.0,9778.0,9600.0,9741.0,14200,2016-03-23
9741.0,9741.0,9741.0,9741.0,8900,2016-03-24
9741.0,9907.0,9727.0,9741.0,5500,2016-03-25
9741.0,9741.0,9741.0,9741.0,0,2016-03-28
9563.0,9921.0,9741.0,9741.0,1400,2016-03-29
9741.0,9741.0,9741.0,9741.0,0,2016-03-30
9652.0,9652.0,9652.0,9652.0,100,2016-03-31
9652.0,9563.0,9476.0,9563.0,1225,2016-04-01
9652.0,9652.0,9652.0,9652.0,400,2016-04-04
9563.0,9536.0,9271.0,9298.0,18800,2016-04-05
9298.0,9653.0,9473.0,9475.0,9100,2016-04-06
9298.0,9629.0,9449.0,9475.0,14100,2016-04-07
9298.0,9476.0,9386.0,9386.0,1400,2016-04-08
9386.0,9357.0,9269.0,9298.0,14900,2016-04-11
9386.0,10381.0,9825.0,9918.0,2100,2016-04-12
9918.0,9918.0,9918.0,9918.0,66,2016-04-13
9386.0,9386.0,9386.0,9386.0,600,2016-04-14
9475.0,9832.0,9652.0,9652.0,600,2016-04-15
9386.0,9635.0,9455.0,9475.0,20500,2016-04-19
9386.0,9657.0,9386.0,9475.0,35300,2016-04-20
9475.0,9403.0,9139.0,9209.0,15900,2016-04-21
9563.0,9563.0,9563.0,9563.0,133,2016-04-22
9563.0,9563.0,9563.0,9563.0,0,2016-04-25
9563.0,9563.0,9563.0,9563.0,2500,2016-04-26
9475.0,9734.0,9469.0,9563.0,1510,2016-04-27
9563.0,9634.0,9546.0,9563.0,10000,2016-04-28
9563.0,9785.0,9607.0,9741.0,4400,2016-04-29
9563.0,9812.0,9633.0,9741.0,3000,2016-05-04
9741.0,9789.0,9611.0,9741.0,3966,2016-05-05
9652.0,9722.0,9632.0,9652.0,11200,2016-05-06
9652.0,9651.0,9474.0,9563.0,26900,2016-05-09
9563.0,9741.0,9652.0,9652.0,61900,2016-05-10
9563.0,9563.0,9563.0,9563.0,2434,2016-05-11
9563.0,9921.0,9741.0,9741.0,3900,2016-05-12
9741.0,9741.0,9741.0,9741.0,0,2016-05-13
9741.0,9741.0,9741.0,9741.0,0,2016-05-16
9741.0,9741.0,9741.0,9741.0,0,2016-05-17
9563.0,9732.0,9643.0,9652.0,14600,2016-05-18
8766.0,10598.0,9626.0,9652.0,18700,2016-05-19
9563.0,9741.0,9652.0,9652.0,6500,2016-05-20
9652.0,9652.0,9652.0,9652.0,4300,2016-05-23
9652.0,9652.0,9652.0,9652.0,3266,2016-05-24
9563.0,10789.0,10133.0,10183.0,5633,2016-05-25
10183.0,10183.0,10183.0,10183.0,0,2016-05-26
9563.0,9563.0,9563.0,9563.0,10001,2016-05-27
8766.0,10283.0,9254.0,9741.0,11800,2016-05-30
9741.0,9741.0,9741.0,9741.0,0,2016-05-31
9741.0,9741.0,9741.0,9741.0,100,2016-06-01
9741.0,9741.0,9741.0,9741.0,0,2016-06-02
9741.0,9741.0,9741.0,9741.0,100,2016-06-03
9563.0,9563.0,9563.0,9563.0,5600,2016-06-06
9563.0,9690.0,9514.0,9563.0,6100,2016-06-07
9563.0,9842.0,9663.0,9741.0,6900,2016-06-08
9652.0,10373.0,10006.0,10006.0,1900,2016-06-09
9741.0,10279.0,10006.0,10006.0,2400,2016-06-10
10006.0,10006.0,10006.0,10006.0,0,2016-06-13
10006.0,9729.0,9385.0,9652.0,4200,2016-06-14
9829.0,9933.0,9844.0,9918.0,1200,2016-06-15
9829.0,10186.0,10006.0,10006.0,300,2016-06-16
10006.0,10006.0,10006.0,10006.0,0,2016-06-17
9741.0,9741.0,9741.0,9741.0,500,2016-06-20
9741.0,10098.0,9918.0,9918.0,1400,2016-06-21
9918.0,9918.0,9918.0,9918.0,0,2016-06-22
9741.0,10085.0,9905.0,9918.0,1400,2016-06-23
9741.0,9796.0,9707.0,9741.0,3200,2016-06-24
9741.0,9741.0,9741.0,9741.0,0,2016-06-27
9741.0,9741.0,9741.0,9741.0,0,2016-06-28
9563.0,9921.0,9741.0,9741.0,200,2016-06-29
9563.0,9563.0,9563.0,9563.0,4000,2016-06-30
9652.0,9652.0,9652.0,9652.0,2000,2016-07-01
9652.0,9652.0,9652.0,9652.0,0,2016-07-04
9563.0,10285.0,9918.0,9918.0,700,2016-07-05
9918.0,9918.0,9918.0,9918.0,0,2016-07-06
9563.0,9921.0,9741.0,9741.0,600,2016-07-07
9741.0,9741.0,9741.0,9741.0,0,2016-07-08
9741.0,9741.0,9741.0,9741.0,50,2016-07-11
9741.0,9741.0,9741.0,9741.0,0,2016-07-12
9741.0,9741.0,9741.0,9741.0,21800,2016-07-13
9741.0,9741.0,9741.0,9741.0,2200,2016-07-14
9741.0,9741.0,9741.0,9741.0,0,2016-07-15
10006.0,10006.0,10006.0,10006.0,100,2016-07-18
10006.0,10006.0,10006.0,10006.0,0,2016-07-19
9741.0,9741.0,9741.0,9741.0,1000,2016-07-20
9741.0,10306.0,9858.0,10006.0,15530,2016-07-21
10006.0,10006.0,10006.0,10006.0,60,2016-07-22
10006.0,10006.0,10006.0,10006.0,0,2016-07-25
10095.0,10017.0,9666.0,9741.0,7200,2016-07-26
9829.0,9907.0,9728.0,9741.0,1500,2016-07-27
