open,high,low,close,volume,tradingDate
13181.0,15172.0,11664.0,13600.0,148100,2016-04-25
15267.0,15552.0,15172.0,15500.0,169000,2016-04-26
17828.0,17828.0,16121.0,17700.0,363000,2016-04-27
19440.0,19440.0,16121.0,16800.0,83700,2016-04-28
16216.0,16500.0,14888.0,16000.0,139700,2016-04-29
15172.0,16121.0,14224.0,15300.0,72300,2016-05-04
14034.0,15078.0,12991.0,13300.0,238700,2016-05-05
12328.0,13276.0,12328.0,12800.0,73400,2016-05-06
12802.0,13276.0,12612.0,12700.0,28700,2016-05-09
11759.0,12802.0,11759.0,12600.0,20200,2016-05-10
12612.0,12612.0,11379.0,11800.0,24700,2016-05-11
12043.0,13371.0,12043.0,12900.0,45820,2016-05-12
12802.0,12897.0,12612.0,12800.0,15500,2016-05-13
12328.0,12802.0,12328.0,12500.0,18900,2016-05-16
12517.0,12802.0,12233.0,12500.0,52500,2016-05-17
12517.0,12802.0,12328.0,12500.0,47100,2016-05-18
12328.0,12517.0,12328.0,12300.0,30500,2016-05-19
12233.0,12328.0,12233.0,12300.0,5000,2016-05-20
12328.0,12422.0,12233.0,12300.0,25800,2016-05-23
12233.0,12328.0,12233.0,12200.0,33700,2016-05-24
12233.0,12233.0,12233.0,12200.0,20100,2016-05-25
12043.0,12233.0,11474.0,11800.0,11510,2016-05-26
11853.0,12233.0,11853.0,12000.0,6100,2016-05-27
11948.0,11948.0,11853.0,11900.0,47100,2016-05-30
11948.0,12043.0,11569.0,11900.0,50900,2016-05-31
11948.0,11948.0,11853.0,11900.0,2300,2016-06-01
11948.0,11948.0,11379.0,11500.0,25700,2016-06-02
11474.0,11853.0,11379.0,11500.0,27300,2016-06-03
11474.0,11474.0,11190.0,11300.0,41900,2016-06-06
11759.0,11759.0,11190.0,11400.0,6100,2016-06-07
11190.0,11379.0,11095.0,11200.0,19800,2016-06-08
11190.0,11284.0,11190.0,11200.0,52300,2016-06-09
11190.0,11190.0,11095.0,11100.0,15800,2016-06-10
11190.0,11190.0,10526.0,11000.0,8600,2016-06-13
10905.0,11000.0,10431.0,10600.0,15200,2016-06-14
10147.0,10431.0,10052.0,10200.0,17900,2016-06-15
9957.0,10621.0,9957.0,10300.0,8700,2016-06-16
9957.0,10336.0,9957.0,10300.0,3100,2016-06-17
10336.0,10336.0,10147.0,10300.0,5700,2016-06-20
10810.0,10810.0,10431.0,10600.0,15400,2016-06-21
10810.0,10810.0,10431.0,10600.0,9600,2016-06-22
10526.0,10526.0,9957.0,10200.0,6700,2016-06-23
10526.0,10526.0,9293.0,10000.0,39600,2016-06-24
9483.0,10336.0,9293.0,9800.0,12300,2016-06-27
9767.0,9767.0,9198.0,9600.0,8800,2016-06-28
9672.0,9767.0,9198.0,9400.0,25300,2016-06-29
9198.0,9293.0,8534.0,9200.0,30000,2016-06-30
9293.0,9483.0,9009.0,9200.0,8100,2016-07-01
9009.0,10147.0,9009.0,9700.0,8900,2016-07-04
9198.0,9198.0,9103.0,9200.0,8800,2016-07-05
9293.0,9388.0,9009.0,9300.0,25700,2016-07-06
9293.0,9388.0,9198.0,9300.0,6000,2016-07-07
9293.0,9293.0,9009.0,9200.0,26200,2016-07-08
9103.0,9103.0,8819.0,9000.0,12200,2016-07-11
8819.0,8819.0,8345.0,8500.0,13600,2016-07-12
8155.0,8629.0,8155.0,8600.0,13700,2016-07-13
8629.0,8724.0,8534.0,8600.0,15700,2016-07-14
8629.0,8629.0,8155.0,8400.0,4500,2016-07-15
8060.0,9483.0,7776.0,9400.0,30500,2016-07-18
9388.0,9957.0,9388.0,9700.0,30600,2016-07-19
10336.0,11095.0,9957.0,10800.0,32600,2016-07-20
12328.0,12422.0,11379.0,12200.0,98600,2016-07-21
12138.0,12138.0,10336.0,10700.0,25800,2016-07-22
10336.0,10621.0,9767.0,10200.0,42700,2016-07-25
10147.0,11284.0,9957.0,10700.0,8600,2016-07-26
10716.0,11095.0,9767.0,10300.0,29600,2016-07-27
10621.0,10621.0,10241.0,10500.0,4100,2016-07-28
9767.0,10431.0,9483.0,9800.0,45600,2016-07-29
9767.0,9767.0,9767.0,9800.0,2900,2016-08-01
9767.0,9862.0,9483.0,9800.0,5900,2016-08-02
9957.0,10336.0,9483.0,9500.0,11500,2016-08-03
9483.0,9483.0,8724.0,8900.0,8100,2016-08-04
8250.0,8629.0,8250.0,8300.0,7600,2016-08-05
9293.0,9578.0,9293.0,9600.0,7700,2016-08-08
10431.0,10431.0,8724.0,9900.0,9200,2016-08-09
9767.0,9767.0,8724.0,9300.0,11200,2016-08-10
9483.0,9672.0,8250.0,8700.0,33900,2016-08-11
9198.0,9483.0,9198.0,8700.0,21500,2016-08-12
8819.0,9578.0,8819.0,8800.0,2900,2016-08-15
8629.0,8819.0,8534.0,8600.0,15900,2016-08-16
8724.0,9198.0,8534.0,8700.0,22400,2016-08-17
8724.0,8724.0,8629.0,8700.0,12900,2016-08-18
8724.0,8724.0,8629.0,8700.0,14900,2016-08-19
8534.0,8534.0,8534.0,8500.0,4300,2016-08-22
9009.0,9388.0,9009.0,9100.0,2300,2016-08-23
8819.0,8819.0,8534.0,8600.0,51100,2016-08-24
8629.0,8819.0,8629.0,8700.0,2300,2016-08-25
8914.0,8914.0,8629.0,8800.0,8800,2016-08-26
8629.0,8724.0,8629.0,8600.0,4000,2016-08-29
8534.0,8819.0,8534.0,8600.0,14000,2016-08-30
8724.0,8724.0,8724.0,8700.0,1000,2016-08-31
8345.0,8629.0,8345.0,8400.0,3700,2016-09-01
8534.0,8819.0,8345.0,8500.0,52800,2016-09-05
8345.0,8724.0,8345.0,8400.0,8200,2016-09-06
8060.0,8629.0,8060.0,8300.0,39200,2016-09-07
8629.0,8724.0,8629.0,8700.0,4900,2016-09-08
8440.0,8534.0,8440.0,8500.0,2900,2016-09-09
8534.0,8629.0,8534.0,8600.0,2800,2016-09-12
8440.0,8629.0,8440.0,8500.0,4100,2016-09-13
7966.0,8534.0,7966.0,8200.0,6800,2016-09-14
8250.0,8250.0,8250.0,8300.0,3200,2016-09-15
8155.0,8534.0,8155.0,8300.0,3900,2016-09-16
8534.0,8534.0,8250.0,8400.0,1100,2016-09-19
7871.0,8250.0,7871.0,8000.0,4900,2016-09-20
8345.0,8534.0,8345.0,8400.0,600,2016-09-21
8345.0,8440.0,8345.0,8300.0,11400,2016-09-22
8155.0,8534.0,8155.0,8400.0,13300,2016-09-23
8250.0,8250.0,8250.0,8300.0,1500,2016-09-26
8155.0,8440.0,8155.0,8200.0,1600,2016-09-27
8534.0,8534.0,8534.0,8500.0,3000,2016-09-28
8345.0,8534.0,7871.0,8000.0,13100,2016-09-29
7871.0,8060.0,7871.0,7900.0,5800,2016-09-30
8060.0,8060.0,8060.0,8100.0,7200,2016-10-03
7871.0,8345.0,7776.0,8200.0,11500,2016-10-04
7966.0,8440.0,7966.0,8100.0,5700,2016-10-05
8060.0,8060.0,7966.0,8100.0,11600,2016-10-06
7966.0,7966.0,7966.0,8000.0,100,2016-10-07
7966.0,7966.0,7966.0,8000.0,0,2016-10-10
7871.0,7871.0,7871.0,7900.0,7500,2016-10-11
7776.0,7776.0,7776.0,7800.0,2000,2016-10-12
7871.0,7871.0,7871.0,7900.0,2000,2016-10-13
7586.0,8155.0,7586.0,7900.0,7000,2016-10-14
7871.0,7966.0,7871.0,7900.0,3400,2016-10-17
8250.0,8250.0,8060.0,8100.0,1100,2016-10-18
7966.0,7966.0,7966.0,8000.0,3400,2016-10-19
7586.0,7966.0,7586.0,7700.0,7100,2016-10-20
7491.0,7586.0,7491.0,7600.0,11400,2016-10-21
7397.0,8060.0,7397.0,7800.0,5200,2016-10-24
7397.0,7586.0,7397.0,7600.0,36300,2016-10-25
6828.0,7966.0,6828.0,7500.0,17900,2016-10-26
6638.0,6733.0,6638.0,6700.0,3500,2016-10-27
6259.0,7586.0,6164.0,6800.0,6300,2016-10-28
6922.0,7776.0,6922.0,7400.0,14600,2016-10-31
7681.0,7681.0,7681.0,7700.0,5000,2016-11-01
7397.0,7397.0,7017.0,7200.0,41400,2016-11-02
7017.0,7207.0,7017.0,7100.0,4300,2016-11-03
7207.0,7302.0,6448.0,6900.0,9200,2016-11-04
7397.0,7586.0,7397.0,7400.0,4500,2016-11-07
6922.0,7586.0,6733.0,6900.0,7000,2016-11-08
6922.0,7112.0,6922.0,7000.0,4000,2016-11-09
7112.0,7302.0,6922.0,7000.0,5100,2016-11-10
7112.0,7112.0,7112.0,7100.0,100,2016-11-11
6922.0,7017.0,6922.0,6900.0,8800,2016-11-14
6828.0,6828.0,6828.0,6800.0,3500,2016-11-15
7776.0,7776.0,7586.0,7600.0,300,2016-11-16
7650.0,7650.0,7650.0,7600.0,0,2016-11-17
7681.0,7681.0,7681.0,7700.0,100,2016-11-18
7966.0,7966.0,7017.0,7000.0,5100,2016-11-21
7586.0,7586.0,7586.0,7600.0,200,2016-11-22
