open,high,low,close,volume,tradingDate
37686.0,45229.0,37686.0,45229.0,71470,2008-01-18
46898.0,46898.0,37686.0,37691.0,107170,2008-01-21
38523.0,43548.0,36435.0,42719.0,71150,2008-01-28
40623.0,41042.0,38739.0,40415.0,22090,2008-02-12
38529.0,38530.0,33289.0,33290.0,12050,2008-02-18
31823.0,33502.0,28897.0,31825.0,36040,2008-02-25
29410.0,33290.0,27692.0,33290.0,92210,2008-03-03
33498.0,34755.0,30153.0,30572.0,64130,2008-03-10
29316.0,29316.0,25217.0,25217.0,22470,2008-03-17
24121.0,24121.0,20898.0,23454.0,66610,2008-03-24
23658.0,24499.0,23658.0,24499.0,69450,2008-03-31
24919.0,25124.0,23453.0,23454.0,41280,2008-04-07
23034.0,23034.0,22193.0,22195.0,2030,2008-04-16
22193.0,22193.0,20141.0,20142.0,12760,2008-04-21
19766.0,19766.0,19387.0,19390.0,3010,2008-04-28
19390.0,19390.0,17925.0,17925.0,6320,2008-05-05
17593.0,17593.0,16584.0,16585.0,12110,2008-05-12
16291.0,16291.0,15121.0,15709.0,74320,2008-05-19
15414.0,15709.0,15414.0,15709.0,401220,2008-05-26
16289.0,17550.0,15786.0,17550.0,464990,2008-06-02
17886.0,18221.0,17040.0,17368.0,321400,2008-06-09
17691.0,18019.0,16716.0,16717.0,155510,2008-06-16
16222.0,17585.0,15788.0,17149.0,162470,2008-06-23
16879.0,18564.0,16825.0,18564.0,596300,2008-06-30
19052.0,19052.0,16058.0,16059.0,365380,2008-07-07
16496.0,18453.0,16060.0,18401.0,1396240,2008-07-14
17855.0,18399.0,16387.0,16880.0,765570,2008-07-21
16387.0,18894.0,16387.0,18514.0,1100850,2008-07-28
17968.0,18238.0,16984.0,18238.0,455780,2008-08-04
18674.0,20417.0,18674.0,20417.0,1977590,2008-08-11
20416.0,21232.0,19381.0,20254.0,1148660,2008-08-18
20903.0,21669.0,19651.0,21613.0,1306400,2008-08-25
22646.0,23957.0,21883.0,23522.0,879330,2008-09-03
22373.0,23413.0,21123.0,21125.0,700250,2008-09-08
20198.0,22103.0,17151.0,18132.0,611270,2008-09-15
19000.0,21125.0,18565.0,21125.0,792860,2008-09-22
21777.0,21777.0,19163.0,19165.0,531750,2008-09-29
19163.0,19327.0,14970.0,14970.0,540940,2008-10-06
14915.0,15568.0,14262.0,15465.0,306480,2008-10-13
15244.0,15951.0,13774.0,13774.0,180990,2008-10-20
13122.0,15516.0,12467.0,15408.0,518030,2008-10-27
