open,high,low,close,volume,tradingDate
2038.0,2692.0,2001.0,2514.0,9244400,2009-04-20
2654.0,3732.0,2544.0,3577.0,29057600,2009-05-04
3929.0,6099.0,3755.0,4838.0,31269600,2009-06-01
4545.0,5644.0,4252.0,5102.0,21917500,2009-07-01
5249.0,5249.0,4413.0,4662.0,36372500,2009-08-03
4677.0,4897.0,4252.0,4603.0,41200800,2009-09-01
4589.0,5278.0,4076.0,4266.0,58388200,2009-10-01
4149.0,4384.0,3211.0,3651.0,29727600,2009-11-02
3665.0,4120.0,2917.0,3225.0,15597900,2009-12-01
3225.0,3914.0,3005.0,3152.0,14779200,2010-01-04
3152.0,3372.0,3079.0,3196.0,6018800,2010-02-01
3225.0,3299.0,2859.0,2888.0,8351000,2010-03-01
2859.0,3079.0,2771.0,2830.0,6653100,2010-04-01
2873.0,3152.0,2463.0,2771.0,9661800,2010-05-04
2786.0,3007.0,2639.0,2777.0,6359900,2010-06-01
2777.0,2865.0,2635.0,2653.0,4817900,2010-07-01
2653.0,2688.0,2087.0,2335.0,9940600,2010-08-02
2352.0,2370.0,2034.0,2069.0,7169900,2010-09-01
2069.0,2140.0,1946.0,2069.0,5770800,2010-10-01
2050.0,2107.0,1880.0,2050.0,5594100,2010-11-01
2069.0,2867.0,1956.0,2278.0,29441400,2010-12-01
2335.0,2335.0,2031.0,2126.0,6531800,2011-01-04
2126.0,2202.0,1899.0,1956.0,6441600,2011-02-08
1937.0,2031.0,1747.0,1861.0,7966300,2011-03-01
1823.0,2012.0,1785.0,1956.0,11764700,2011-04-01
1956.0,2050.0,1563.0,1725.0,15699200,2011-05-04
1705.0,1928.0,1623.0,1684.0,14553900,2011-06-01
1684.0,1705.0,1583.0,1603.0,9018900,2011-07-01
1603.0,1644.0,1339.0,1583.0,30431500,2011-08-01
1623.0,1887.0,1481.0,1502.0,26382500,2011-09-01
1502.0,1684.0,1441.0,1633.0,18356900,2011-10-03
1588.0,1610.0,1406.0,1452.0,12741800,2011-11-01
1474.0,1565.0,1202.0,1338.0,16833500,2011-12-01
1315.0,1497.0,1270.0,1452.0,6846500,2012-01-03
1474.0,2041.0,1429.0,1928.0,57752000,2012-02-01
1928.0,2722.0,1905.0,2313.0,97386400,2012-03-01
2313.0,2790.0,2291.0,2563.0,48892700,2012-04-03
2563.0,2722.0,1996.0,2245.0,44254700,2012-05-02
2365.0,2389.0,2030.0,2126.0,19684500,2012-06-01
2126.0,2150.0,1887.0,2030.0,18100700,2012-07-02
2030.0,2370.0,1734.0,2052.0,46617800,2012-08-01
2081.0,2081.0,1792.0,1850.0,18625500,2012-09-04
1850.0,1965.0,1503.0,1532.0,34160600,2012-10-01
1474.0,1590.0,1301.0,1387.0,102334400,2012-11-01
1387.0,1705.0,1358.0,1705.0,181903700,2012-12-03
1705.0,2168.0,1705.0,2052.0,382574700,2013-01-02
2052.0,2399.0,1994.0,2139.0,233844000,2013-02-01
2110.0,2168.0,1821.0,1907.0,169595300,2013-03-01
1907.0,2139.0,1821.0,1907.0,136496900,2013-04-01
1907.0,2254.0,1792.0,2139.0,182893200,2013-05-02
2139.0,2196.0,1907.0,1994.0,117562500,2013-06-03
1994.0,1994.0,1734.0,1850.0,39918603,2013-07-01
1850.0,2052.0,1753.0,1850.0,50937934,2013-08-01
1850.0,2055.0,1676.0,1965.0,115858194,2013-09-03
1965.0,2082.0,1876.0,1994.0,69486284,2013-10-01
1994.0,2110.0,1851.0,2023.0,49941113,2013-11-01
2023.0,2079.0,1911.0,1994.0,64078367,2013-12-02
1994.0,2131.0,1790.0,2081.0,62825331,2014-01-02
2081.0,2732.0,2080.0,2688.0,175257184,2014-02-06
2688.0,3565.0,2536.0,3208.0,256944257,2014-03-03
3208.0,3289.0,2586.0,2803.0,144172002,2014-04-01
2803.0,2801.0,2278.0,2630.0,159296920,2014-05-05
2601.0,2863.0,2409.0,2803.0,73626862,2014-06-02
2832.0,2980.0,2555.0,2752.0,68903615,2014-07-01
2752.0,3138.0,2690.0,2971.0,69879176,2014-08-01
2971.0,3087.0,2781.0,2877.0,98475564,2014-09-03
2877.0,2981.0,2541.0,2721.0,96757889,2014-10-01
2752.0,2828.0,2657.0,2721.0,28600977,2014-11-03
2721.0,2923.0,2349.0,2533.0,71319310,2014-12-01
2533.0,3016.0,2502.0,2814.0,99365192,2015-01-05
2814.0,2899.0,2460.0,2814.0,40388553,2015-02-02
2814.0,2880.0,2468.0,2689.0,55768860,2015-03-02
2689.0,2733.0,2389.0,2627.0,26790709,2015-04-01
2377.0,2647.0,2279.0,2502.0,72484967,2015-05-04
2502.0,2760.0,2423.0,2564.0,54208952,2015-06-01
2533.0,3064.0,2503.0,2627.0,110558585,2015-07-01
2377.0,2804.0,2073.0,2275.0,78509284,2015-08-03
2309.0,2376.0,2060.0,2242.0,28025829,2015-09-01
2275.0,2359.0,2208.0,2275.0,46604204,2015-10-01
2376.0,2345.0,2041.0,2242.0,21526115,2015-11-02
2208.0,2321.0,1883.0,2175.0,42291547,2015-12-01
2175.0,2211.0,1830.0,2175.0,38649772,2016-01-04
2175.0,2425.0,2097.0,2242.0,24518933,2016-02-01
2275.0,2344.0,2141.0,2175.0,22658378,2016-03-01
2141.0,2215.0,2076.0,2175.0,23505021,2016-04-01
2175.0,2295.0,2082.0,2108.0,58246667,2016-05-04
2141.0,2175.0,1974.0,2041.0,35402276,2016-06-01
2041.0,2176.0,1974.0,2008.0,20338189,2016-07-01
2008.0,1995.0,1740.0,1773.0,39264569,2016-08-01
1773.0,1801.0,1474.0,1539.0,69194711,2016-09-01
1539.0,1978.0,1496.0,1807.0,84909671,2016-10-03
1807.0,1926.0,1628.0,1740.0,52731668,2016-11-01
1740.0,1739.0,1434.0,1655.0,52035237,2016-12-01
1655.0,1792.0,1619.0,1727.0,29101831,2017-01-03
1727.0,1957.0,1687.0,1906.0,80750107,2017-02-02
1942.0,2260.0,1620.0,2050.0,122059045,2017-03-01
2050.0,2850.0,2025.0,2698.0,343179067,2017-04-03
2698.0,2782.0,2201.0,2590.0,297189086,2017-05-03
2626.0,2854.0,2520.0,2734.0,297050817,2017-06-01
2734.0,3100.0,2755.0,2986.0,269024452,2017-07-03
3022.0,3002.0,2734.0,2842.0,162528782,2017-08-01
2842.0,2990.0,2590.0,2878.0,141290165,2017-09-01
2878.0,3057.0,2771.0,2806.0,145090887,2017-10-02
2554.0,3455.0,2547.0,3381.0,230299641,2017-11-01
3381.0,3531.0,2979.0,3345.0,285932875,2017-12-01
3129.0,5357.0,3198.0,5027.0,508871447,2018-01-02
5027.0,5276.0,4379.0,5066.0,345066099,2018-02-01
5066.0,5400.0,4595.0,4988.0,373520250,2018-03-01
4988.0,5358.0,3996.0,4408.0,292560061,2018-04-02
4408.0,4537.0,2947.0,3596.0,191362475,2018-05-02
3596.0,3830.0,3077.0,3171.0,133101618,2018-06-01
3094.0,3280.0,2561.0,3132.0,130503835,2018-07-02
3132.0,3526.0,3003.0,3287.0,160737221,2018-08-01
3287.0,3574.0,3129.0,3519.0,169506241,2018-09-04
3558.0,3580.0,2655.0,2978.0,171933797,2018-10-01
2978.0,3023.0,2721.0,2900.0,69991424,2018-11-01
2900.0,3042.0,2631.0,2784.0,71323366,2018-12-03
2823.0,2838.0,2649.0,2784.0,71116670,2019-01-02
2746.0,3091.0,2759.0,2862.0,86322375,2019-02-01
2862.0,3232.0,2822.0,2900.0,136640139,2019-03-01
2939.0,3030.0,2608.0,2900.0,49371893,2019-04-01
2939.0,2939.0,2668.0,2707.0,75796216,2019-05-02
2746.0,2784.0,2581.0,2630.0,47825782,2019-06-03
2630.0,2699.0,2493.0,2552.0,76377899,2019-07-01
2552.0,2583.0,2319.0,2436.0,63922456,2019-08-01
2475.0,2644.0,2358.0,2552.0,45695869,2019-09-03
2552.0,2632.0,2472.0,2552.0,51747699,2019-10-01
2552.0,2669.0,2270.0,2320.0,51599210,2019-11-01
2320.0,2549.0,2282.0,2514.0,53419639,2019-12-02
2514.0,3042.0,2415.0,2900.0,105192027,2020-01-02
2823.0,4488.0,2912.0,4488.0,264392851,2020-02-03
4442.0,6171.0,4255.0,5704.0,410082620,2020-03-02
5610.0,8509.0,5610.0,7434.0,80355264,2020-04-01
7387.0,8182.0,5377.0,6546.0,126274382,2020-05-04
6546.0,7901.0,5704.0,6078.0,112367866,2020-06-01
6078.0,6265.0,4629.0,5517.0,50452108,2020-07-01
5423.0,6686.0,5377.0,6499.0,64103620,2020-08-03
6639.0,7434.0,6312.0,7200.0,75829914,2020-09-01
7200.0,7761.0,6920.0,7200.0,72138981,2020-10-01
7247.0,8182.0,7153.0,7948.0,74243300,2020-11-02
7855.0,8649.0,7761.0,7948.0,209398904,2020-12-01
7995.0,9257.0,5938.0,6826.0,661900145,2021-01-04
6779.0,7714.0,6171.0,7434.0,345794957,2021-02-01
7434.0,12062.0,7247.0,12016.0,865469602,2021-03-01
12016.0,13325.0,10800.0,12810.0,461859206,2021-04-01
12623.0,16046.0,11829.0,15634.0,508464929,2021-05-04
17177.0,17177.0,13371.0,14760.0,619038006,2021-06-01
14657.0,16714.0,11983.0,14297.0,445708906,2021-07-01
14297.0,15377.0,13886.0,14143.0,413705400,2021-08-02
14091.0,14349.0,12909.0,13680.0,280611524,2021-09-01
13783.0,15660.0,13371.0,14374.0,394188706,2021-10-01
14503.0,16200.0,14374.0,14941.0,425712100,2021-11-01
14941.0,15132.0,12716.0,14178.0,244806000,2021-12-01
14305.0,14559.0,12302.0,14305.0,222575300,2022-01-04
14496.0,15386.0,13542.0,13765.0,185460400,2022-02-07
13765.0,14305.0,13161.0,13606.0,216368900,2022-03-01
13415.0,14178.0,9378.0,10363.0,203653300,2022-04-01
10522.0,10872.0,7502.0,9410.0,209550100,2022-05-04
9441.0,9664.0,7884.0,8583.0,139492900,2022-06-01
8583.0,9696.0,8233.0,9314.0,216397000,2022-07-01
9378.0,10331.0,9314.0,9918.0,331077200,2022-08-01
9918.0,9982.0,7725.0,7916.0,162289178,2022-09-05
7916.0,7979.0,5817.0,7280.0,233361174,2022-10-03
7375.0,7598.0,5239.0,7385.0,280598577,2022-11-01
7458.0,8628.0,6990.0,7276.0,538727509,2022-12-01
7283.0,8336.0,7276.0,8043.0,294128728,2023-01-03
8116.0,8190.0,7107.0,7159.0,221027228,2023-02-01
7166.0,7934.0,7085.0,7860.0,366330844,2023-03-01
7934.0,8994.0,7824.0,8190.0,605738278,2023-04-03
8226.0,8848.0,8007.0,8592.0,406192109,2023-05-04
8592.0,9506.0,8519.0,9140.0,604087108,2023-06-01
9177.0,11131.0,9177.0,10872.0,454862429,2023-07-03
10872.0,11735.0,10139.0,10743.0,474136381,2023-08-01
10786.0,11174.0,9147.0,9578.0,444134264,2023-09-05
9578.0,9664.0,8620.0,8715.0,249588642,2023-10-02
8801.0,10225.0,8715.0,9319.0,363845211,2023-11-01
9362.0,9751.0,9147.0,9319.0,328289745,2023-12-01
9405.0,10786.0,9362.0,10009.0,914552098,2024-01-02
10009.0,10657.0,9794.0,10182.0,474322052,2024-02-01
10225.0,10398.0,9492.0,9837.0,452236094,2024-03-01
9880.0,10398.0,9362.0,9880.0,469660685,2024-04-01
9923.0,10613.0,9794.0,9837.0,634316481,2024-05-02
9923.0,10441.0,9751.0,9837.0,465083841,2024-06-03
9837.0,10484.0,9837.0,10045.0,413236161,2024-07-01
10045.0,10090.0,9234.0,9504.0,293193703,2024-08-01
9504.0,10135.0,9189.0,9910.0,283747470,2024-09-04
9955.0,10180.0,9369.0,9550.0,360287537,2024-10-01
9550.0,9685.0,9099.0,9279.0,171478001,2024-11-01
9324.0,9685.0,9144.0,9234.0,223746482,2024-12-02
9279.0,9414.0,9054.0,9279.0,136042610,2025-01-02
9369.0,10250.0,9324.0,10000.0,364427070,2025-02-03
10050.0,10100.0,9860.0,9990.0,60459563,2025-03-03
