open,high,low,close,volume,tradingDate
2362.0,3120.0,2319.0,2914.0,5967000,2009-04-20
2701.0,2931.0,2638.0,2914.0,3277400,2009-04-27
3075.0,3533.0,2975.0,3203.0,7892200,2009-05-04
3262.0,3289.0,2948.0,3152.0,5073000,2009-05-11
3245.0,3944.0,3177.0,3738.0,8108000,2009-05-18
3874.0,4325.0,3421.0,4146.0,7984400,2009-05-25
4553.0,5751.0,4352.0,5751.0,7216900,2009-06-01
6151.0,7068.0,6012.0,6796.0,10389800,2009-06-08
6711.0,6881.0,5777.0,6083.0,8605100,2009-06-15
6083.0,6083.0,4927.0,5522.0,3779800,2009-06-22
5607.0,5862.0,4927.0,5114.0,3583700,2009-06-29
5267.0,5794.0,5250.0,5760.0,5749100,2009-07-06
6117.0,6320.0,5607.0,5794.0,5892500,2009-07-13
5692.0,6066.0,5267.0,6066.0,2820800,2009-07-20
6473.0,6541.0,5675.0,5913.0,5149400,2009-07-27
6083.0,6083.0,5301.0,5352.0,7609400,2009-08-03
5318.0,5743.0,5267.0,5420.0,11296500,2009-08-10
5420.0,5590.0,5182.0,5403.0,8291500,2009-08-17
5522.0,5522.0,5115.0,5250.0,6435300,2009-08-24
5420.0,5488.0,5131.0,5199.0,6612000,2009-08-31
5216.0,5403.0,4927.0,5250.0,7080500,2009-09-07
5352.0,5590.0,5182.0,5471.0,13096900,2009-09-14
5522.0,5573.0,5267.0,5403.0,11225200,2009-09-21
5522.0,5675.0,4842.0,4978.0,9684400,2009-09-28
5012.0,5182.0,4893.0,5012.0,6932300,2009-10-05
5352.0,6117.0,5046.0,5573.0,21614200,2009-10-12
5488.0,5590.0,5233.0,5403.0,14184100,2009-10-19
5403.0,5403.0,4723.0,4944.0,11899200,2009-10-26
4808.0,5080.0,4129.0,4995.0,11253400,2009-11-02
4910.0,4927.0,4418.0,4655.0,6797900,2009-11-09
4587.0,4910.0,4570.0,4706.0,6031800,2009-11-16
4706.0,4740.0,3721.0,4010.0,4241000,2009-11-23
4078.0,4774.0,4078.0,4282.0,4424100,2009-11-30
4282.0,4282.0,3483.0,3551.0,3261700,2009-12-07
3551.0,4010.0,3381.0,3721.0,2808800,2009-12-14
3891.0,3993.0,3653.0,3891.0,4038500,2009-12-21
