open,high,low,close,volume,tradingDate
6053.0,6338.0,6053.0,6338.0,125060,2009-12-30
6645.0,6974.0,6360.0,6492.0,513880,2010-01-04
6799.0,7128.0,6163.0,6163.0,333920,2010-01-11
6141.0,6338.0,5549.0,5637.0,146690,2010-01-18
5702.0,6031.0,5373.0,5790.0,161730,2010-01-25
5878.0,6119.0,5637.0,5680.0,153880,2010-02-01
5878.0,5878.0,5483.0,5658.0,88140,2010-02-08
5702.0,5856.0,5615.0,5702.0,139820,2010-02-22
5702.0,6492.0,5702.0,6492.0,221850,2010-03-01
6777.0,7589.0,6316.0,7589.0,411760,2010-03-08
7588.0,7961.0,7216.0,7610.0,406580,2010-03-15
7983.0,8795.0,7786.0,7786.0,522970,2010-03-22
7457.0,8115.0,7281.0,7830.0,619560,2010-03-29
7851.0,7874.0,7413.0,7610.0,485350,2010-04-05
7588.0,7676.0,7194.0,7676.0,424660,2010-04-12
7698.0,8466.0,7501.0,8466.0,391640,2010-04-19
8246.0,9255.0,8246.0,9080.0,323120,2010-04-26
8948.0,8992.0,8334.0,8992.0,470370,2010-05-04
9387.0,9387.0,7929.0,8237.0,400800,2010-05-10
8261.0,8261.0,6694.0,6694.0,381170,2010-05-17
6694.0,7573.0,6694.0,7525.0,455420,2010-05-24
7525.0,7549.0,7122.0,7430.0,493770,2010-05-31
7406.0,8260.0,7288.0,8024.0,506280,2010-06-07
8024.0,9780.0,7952.0,9780.0,739000,2010-06-14
9306.0,10065.0,9021.0,9590.0,755740,2010-06-21
9590.0,9590.0,8287.0,8822.0,445030,2010-06-28
8875.0,10372.0,8768.0,10292.0,534370,2010-07-05
10292.0,10372.0,9249.0,9490.0,261580,2010-07-12
9437.0,9624.0,8849.0,9356.0,376520,2010-07-19
9624.0,9731.0,8929.0,8929.0,293250,2010-07-26
8581.0,8822.0,7886.0,8100.0,214410,2010-08-02
8153.0,8234.0,7619.0,7886.0,194520,2010-08-09
8153.0,8153.0,7325.0,7699.0,27600,2010-08-16
7351.0,8207.0,7111.0,8020.0,22380,2010-08-23
8020.0,8367.0,7672.0,7699.0,21760,2010-08-30
7752.0,8020.0,7218.0,7913.0,134550,2010-09-06
7539.0,7779.0,6844.0,7351.0,138880,2010-09-13
7592.0,7592.0,6977.0,6977.0,64140,2010-09-20
7138.0,7325.0,6897.0,7138.0,25250,2010-09-27
7432.0,7432.0,6496.0,6897.0,117650,2010-10-04
6897.0,6924.0,6683.0,6763.0,147850,2010-10-11
6763.0,6763.0,6362.0,6469.0,100640,2010-10-18
6416.0,7004.0,6149.0,6817.0,56590,2010-10-25
6817.0,7138.0,6683.0,7004.0,16500,2010-11-01
6656.0,6656.0,5480.0,5480.0,8010,2010-11-08
5213.0,5213.0,4357.0,4357.0,787700,2010-11-15
4170.0,4865.0,4170.0,4732.0,708780,2010-11-22
4732.0,5694.0,4678.0,5694.0,1268700,2010-11-29
5694.0,5961.0,4812.0,5240.0,1369000,2010-12-06
5480.0,5667.0,5079.0,5266.0,1109490,2010-12-13
5427.0,5427.0,4758.0,4839.0,417250,2010-12-20
5026.0,5079.0,4732.0,4812.0,163210,2010-12-27
4812.0,4865.0,4678.0,4705.0,66960,2011-01-04
4705.0,4732.0,4491.0,4705.0,202210,2011-01-10
4812.0,4892.0,4518.0,4785.0,309800,2011-01-17
4678.0,4758.0,4545.0,4651.0,149810,2011-01-24
4705.0,4812.0,4625.0,4678.0,51630,2011-02-08
4678.0,4865.0,4491.0,4491.0,292400,2011-02-14
4411.0,4518.0,4170.0,4438.0,498790,2011-02-21
4331.0,4464.0,4224.0,4331.0,143560,2011-02-28
4304.0,4545.0,4170.0,4411.0,84810,2011-03-07
4277.0,4678.0,4197.0,4651.0,198240,2011-03-14
4785.0,4812.0,4651.0,4732.0,142340,2011-03-21
4678.0,4758.0,4545.0,4705.0,137860,2011-03-28
4705.0,4705.0,4518.0,4518.0,50280,2011-04-04
4357.0,4625.0,4357.0,4411.0,14310,2011-04-13
4250.0,4518.0,4250.0,4438.0,76260,2011-04-18
4464.0,4491.0,4144.0,4384.0,33820,2011-04-25
4545.0,4545.0,4063.0,4197.0,7400,2011-05-04
4090.0,4411.0,4090.0,4304.0,89810,2011-05-09
4170.0,4277.0,3502.0,3502.0,69060,2011-05-16
3342.0,3555.0,2914.0,3315.0,67900,2011-05-23
3154.0,3288.0,2887.0,3288.0,27580,2011-05-30
3154.0,3395.0,3074.0,3288.0,16140,2011-06-06
3422.0,3422.0,3288.0,3288.0,50130,2011-06-13
3154.0,3342.0,3154.0,3315.0,1350,2011-06-20
3154.0,3154.0,2860.0,2994.0,14540,2011-06-27
2860.0,3021.0,2860.0,2994.0,26000,2011-07-04
2994.0,3101.0,2967.0,3048.0,36380,2011-07-11
2914.0,3101.0,2753.0,2860.0,16610,2011-07-18
2753.0,2860.0,2593.0,2673.0,6730,2011-07-25
2540.0,2673.0,2433.0,2593.0,3960,2011-08-01
2593.0,2593.0,2379.0,2540.0,8370,2011-08-08
2459.0,2753.0,2459.0,2727.0,53140,2011-08-15
2727.0,2860.0,2607.0,2731.0,55180,2011-08-22
2855.0,2918.0,2793.0,2918.0,8840,2011-08-29
2793.0,2949.0,2793.0,2855.0,27890,2011-09-05
2886.0,3135.0,2886.0,2949.0,43900,2011-09-12
2855.0,2886.0,2762.0,2762.0,3810,2011-09-19
2886.0,2886.0,2669.0,2762.0,5410,2011-09-26
2669.0,2762.0,2390.0,2669.0,75660,2011-10-03
2793.0,3042.0,2762.0,2949.0,128730,2011-10-10
2980.0,2980.0,2669.0,2762.0,201120,2011-10-17
2793.0,2886.0,2669.0,2824.0,53360,2011-10-24
2886.0,2918.0,2545.0,2607.0,88790,2011-10-31
2669.0,2669.0,2452.0,2576.0,66170,2011-11-07
2607.0,2607.0,2235.0,2235.0,85120,2011-11-14
2173.0,2359.0,2173.0,2204.0,82070,2011-11-21
2142.0,2204.0,2017.0,2204.0,98920,2011-11-28
2235.0,2266.0,2048.0,2048.0,81080,2011-12-05
1986.0,2142.0,1707.0,1707.0,61690,2011-12-12
1645.0,1738.0,1521.0,1614.0,54220,2011-12-19
1552.0,1552.0,1304.0,1428.0,32300,2011-12-26
1490.0,1645.0,1459.0,1645.0,15570,2012-01-03
1614.0,1676.0,1428.0,1428.0,77720,2012-01-09
1397.0,1738.0,1397.0,1614.0,96750,2012-01-16
1552.0,1769.0,1552.0,1707.0,181250,2012-01-30
1738.0,1862.0,1614.0,1831.0,118940,2012-02-06
1862.0,2142.0,1769.0,2142.0,94080,2012-02-13
2173.0,2328.0,2173.0,2204.0,121960,2012-02-20
2173.0,2235.0,2048.0,2142.0,58450,2012-02-27
2235.0,2297.0,2111.0,2204.0,62670,2012-03-05
2204.0,2235.0,1986.0,2111.0,106140,2012-03-12
2173.0,2235.0,2048.0,2235.0,92330,2012-03-19
2297.0,2390.0,2142.0,2142.0,224080,2012-03-26
2080.0,2142.0,2017.0,2142.0,56380,2012-04-03
2080.0,2235.0,2017.0,2142.0,95110,2012-04-09
2173.0,2328.0,2142.0,2266.0,253810,2012-04-16
2235.0,2297.0,2142.0,2266.0,109350,2012-04-23
2266.0,2328.0,2204.0,2328.0,101880,2012-05-02
2421.0,2762.0,2421.0,2638.0,441580,2012-05-07
2638.0,2638.0,2111.0,2173.0,143740,2012-05-14
2266.0,2266.0,2017.0,2111.0,146820,2012-05-21
2204.0,2204.0,2048.0,2111.0,29320,2012-05-28
2048.0,2173.0,1986.0,2048.0,29410,2012-06-04
2111.0,2111.0,1986.0,1986.0,17080,2012-06-11
1986.0,2048.0,1862.0,1862.0,35890,2012-06-18
1862.0,1862.0,1645.0,1707.0,34160,2012-06-25
1769.0,1769.0,1583.0,1707.0,41370,2012-07-02
1707.0,1707.0,1583.0,1707.0,34880,2012-07-09
1769.0,1831.0,1645.0,1831.0,51060,2012-07-16
1769.0,1800.0,1645.0,1738.0,34100,2012-07-23
1707.0,1738.0,1614.0,1738.0,46990,2012-07-30
1769.0,1769.0,1707.0,1769.0,4940,2012-08-06
1738.0,1738.0,1614.0,1676.0,6020,2012-08-13
1738.0,1738.0,1428.0,1552.0,76160,2012-08-20
1490.0,1676.0,1428.0,1676.0,132010,2012-08-27
1738.0,1738.0,1614.0,1614.0,2240,2012-09-04
1552.0,1645.0,1490.0,1645.0,39850,2012-09-10
1583.0,1621.0,1521.0,1621.0,11610,2012-09-17
1690.0,1724.0,1690.0,1690.0,5250,2012-09-24
1621.0,1690.0,1483.0,1552.0,4990,2012-10-01
1483.0,1552.0,1483.0,1552.0,9190,2012-10-08
1552.0,1621.0,1517.0,1621.0,11250,2012-10-15
1552.0,1621.0,1483.0,1483.0,8250,2012-10-22
1483.0,1483.0,1310.0,1310.0,6730,2012-10-29
1276.0,1448.0,1276.0,1379.0,13030,2012-11-05
1379.0,1379.0,1242.0,1242.0,40800,2012-11-12
1242.0,1276.0,1207.0,1242.0,12300,2012-11-19
1207.0,1242.0,1138.0,1138.0,12940,2012-11-26
1173.0,1242.0,1138.0,1242.0,390,2012-12-03
1276.0,1448.0,1276.0,1414.0,16890,2012-12-10
1483.0,1724.0,1448.0,1724.0,77210,2012-12-17
1724.0,2069.0,1724.0,2069.0,123580,2012-12-24
2035.0,2035.0,1828.0,1828.0,10720,2013-01-02
1759.0,1793.0,1655.0,1655.0,35110,2013-01-07
1586.0,1793.0,1586.0,1724.0,34800,2013-01-14
1724.0,1759.0,1621.0,1690.0,11720,2013-01-21
1759.0,1759.0,1552.0,1621.0,34320,2013-01-28
1724.0,1759.0,1586.0,1655.0,19740,2013-02-04
1724.0,1793.0,1655.0,1655.0,41470,2013-02-18
1690.0,1690.0,1483.0,1552.0,22100,2013-02-25
1552.0,1552.0,1414.0,1448.0,34200,2013-03-04
1517.0,1586.0,1483.0,1552.0,2520,2013-03-11
1448.0,1517.0,1345.0,1517.0,23780,2013-03-18
1483.0,1483.0,1379.0,1414.0,9200,2013-03-25
1448.0,1621.0,1448.0,1552.0,30840,2013-04-01
1448.0,1483.0,1379.0,1379.0,26350,2013-04-08
1414.0,1448.0,1379.0,1379.0,7230,2013-04-15
1345.0,1483.0,1310.0,1448.0,26230,2013-04-22
1448.0,1517.0,1414.0,1517.0,19890,2013-05-02
1621.0,2000.0,1621.0,1931.0,421680,2013-05-06
2035.0,2035.0,1655.0,1828.0,183590,2013-05-13
1862.0,1931.0,1621.0,1621.0,137400,2013-05-20
1621.0,1724.0,1586.0,1690.0,110320,2013-05-27
1655.0,2000.0,1621.0,2000.0,199250,2013-06-03
2104.0,2104.0,1862.0,1862.0,102490,2013-06-10
1793.0,2035.0,1793.0,1966.0,69260,2013-06-17
1931.0,1966.0,1793.0,1828.0,50330,2013-06-24
1897.0,2000.0,1793.0,1897.0,72730,2013-07-01
1828.0,1862.0,1690.0,1724.0,28980,2013-07-08
1759.0,1793.0,1690.0,1724.0,31850,2013-07-15
1690.0,1690.0,1552.0,1621.0,40870,2013-07-22
1586.0,1655.0,1552.0,1552.0,25920,2013-07-29
1621.0,1621.0,1414.0,1414.0,43570,2013-08-05
1345.0,1379.0,1138.0,1207.0,415710,2013-08-12
1207.0,1276.0,1138.0,1173.0,457450,2013-08-19
1173.0,1379.0,1138.0,1242.0,775190,2013-08-26
1207.0,1379.0,1173.0,1379.0,281640,2013-09-03
1379.0,1448.0,1276.0,1310.0,280920,2013-09-09
1276.0,1345.0,1242.0,1310.0,126190,2013-09-16
1276.0,1414.0,1242.0,1414.0,410800,2013-09-23
