open,high,low,close,volume,tradingDate
3388.0,4085.0,3387.0,4085.0,118770,2006-12-25
4288.0,4937.0,4288.0,4744.0,343630,2007-01-02
4742.0,4792.0,4414.0,4453.0,312150,2007-01-08
4646.0,4646.0,4152.0,4162.0,217800,2007-01-15
4346.0,4985.0,4017.0,4558.0,519420,2007-01-22
4781.0,5615.0,4742.0,5615.0,780760,2007-01-29
5420.0,5421.0,4937.0,5179.0,431770,2007-02-05
5178.0,5469.0,5130.0,5372.0,155000,2007-02-12
5615.0,6728.0,5615.0,6728.0,473580,2007-02-26
7017.0,7646.0,6728.0,7114.0,562180,2007-03-05
7017.0,7017.0,6146.0,6437.0,293050,2007-03-12
6728.0,6728.0,6001.0,6292.0,249130,2007-03-19
6001.0,6243.0,5468.0,5807.0,263820,2007-03-26
5710.0,5711.0,5323.0,5372.0,178210,2007-04-02
5324.0,5324.0,4744.0,4744.0,199520,2007-04-09
4840.0,5179.0,4742.0,4839.0,304340,2007-04-16
4647.0,5082.0,4646.0,5082.0,157310,2007-04-23
5081.0,5081.0,4742.0,4839.0,57330,2007-05-02
5033.0,5227.0,4839.0,5082.0,179140,2007-05-07
5275.0,5566.0,5226.0,5566.0,337540,2007-05-14
5710.0,6243.0,5613.0,6243.0,410510,2007-05-21
6484.0,6485.0,6147.0,6195.0,726620,2007-05-28
6049.0,6050.0,5759.0,6001.0,379590,2007-06-04
6098.0,6354.0,5788.0,6102.0,308450,2007-06-11
6102.0,6103.0,5864.0,5977.0,181240,2007-06-18
5977.0,5977.0,5411.0,5411.0,87610,2007-06-25
5347.0,5662.0,4907.0,5662.0,157930,2007-07-02
5662.0,6040.0,5662.0,5965.0,262560,2007-07-09
6040.0,6040.0,5499.0,5726.0,206990,2007-07-16
5914.0,5915.0,5412.0,5437.0,113380,2007-07-23
5247.0,5411.0,4995.0,5159.0,147360,2007-07-30
5033.0,5184.0,5033.0,5134.0,126980,2007-08-06
5033.0,6091.0,4907.0,4933.0,96650,2007-08-13
4932.0,5285.0,4907.0,5223.0,200940,2007-08-20
5222.0,5474.0,5160.0,5348.0,177760,2007-08-27
5600.0,5662.0,5286.0,5348.0,102790,2007-09-04
5410.0,5423.0,5285.0,5285.0,117530,2007-09-10
