open,high,low,close,volume,tradingDate
15713.0,15713.0,15713.0,15713.0,320,2015-06-23
15314.0,15959.0,15551.0,15646.0,500,2015-06-24
15314.0,16190.0,15711.0,15780.0,700,2015-06-25
15314.0,15865.0,15396.0,15780.0,1100,2015-06-26
15247.0,16421.0,15734.0,15846.0,1700,2015-06-29
15979.0,16546.0,15788.0,15846.0,3500,2015-06-30
15247.0,15863.0,15524.0,15580.0,700,2015-07-01
15247.0,15247.0,15247.0,15247.0,1000,2015-07-02
15247.0,16613.0,15852.0,15979.0,3890,2015-07-03
16579.0,16609.0,15608.0,15780.0,768,2015-07-06
15780.0,17027.0,15980.0,16179.0,1343,2015-07-07
16179.0,16179.0,16179.0,16179.0,2000,2015-07-08
16179.0,16179.0,16179.0,16179.0,0,2015-07-09
16179.0,16179.0,16179.0,16179.0,0,2015-07-10
15447.0,16530.0,15979.0,15979.0,1100,2015-07-13
15314.0,16469.0,15160.0,15846.0,2600,2015-07-14
15846.0,15846.0,15846.0,15846.0,54,2015-07-15
15314.0,15314.0,15314.0,15314.0,600,2015-07-16
15846.0,16235.0,15689.0,15780.0,700,2015-07-17
15314.0,16215.0,15736.0,15780.0,1100,2015-07-20
15780.0,15780.0,15780.0,15780.0,0,2015-07-21
15780.0,15780.0,15780.0,15780.0,0,2015-07-22
15180.0,15985.0,15176.0,15780.0,8800,2015-07-23
14648.0,16457.0,15341.0,15713.0,346,2015-07-24
15780.0,16210.0,14914.0,15314.0,600,2015-07-27
16645.0,16645.0,16645.0,16645.0,100,2015-07-28
15314.0,16239.0,15627.0,15913.0,500,2015-07-29
14648.0,16730.0,15596.0,15713.0,4900,2015-07-30
15713.0,16655.0,16109.0,16246.0,400,2015-07-31
14981.0,16780.0,15731.0,15979.0,2200,2015-08-03
15979.0,15979.0,15979.0,15979.0,0,2015-08-04
15314.0,16820.0,15855.0,16246.0,300,2015-08-05
16246.0,16246.0,16246.0,16246.0,102,2015-08-06
14648.0,16773.0,15185.0,16179.0,1000,2015-08-07
14648.0,16394.0,15347.0,15646.0,700,2015-08-10
15646.0,16676.0,16060.0,16246.0,700,2015-08-11
16246.0,16246.0,16246.0,16246.0,0,2015-08-12
16246.0,16246.0,16246.0,16246.0,0,2015-08-13
16246.0,16246.0,16246.0,16246.0,0,2015-08-14
16246.0,16246.0,16246.0,16246.0,0,2015-08-17
14981.0,16559.0,15589.0,15913.0,400,2015-08-18
15913.0,15913.0,15913.0,15913.0,0,2015-08-19
15913.0,15913.0,15913.0,15913.0,0,2015-08-20
14448.0,16241.0,14933.0,15713.0,700,2015-08-21
14848.0,16348.0,15580.0,15580.0,600,2015-08-24
15846.0,15846.0,15846.0,15846.0,100,2015-08-25
15846.0,15846.0,15846.0,15846.0,0,2015-08-26
15314.0,18728.0,16631.0,17244.0,4000,2015-08-27
15580.0,15580.0,15580.0,15580.0,200,2015-08-28
15580.0,16195.0,15790.0,15979.0,500,2015-08-31
15979.0,15979.0,15979.0,15979.0,0,2015-09-01
14448.0,15329.0,14089.0,14381.0,3100,2015-09-03
15314.0,15871.0,15534.0,15646.0,300,2015-09-04
14182.0,17100.0,15426.0,15646.0,3300,2015-09-07
15646.0,15646.0,15646.0,15646.0,0,2015-09-08
14115.0,16676.0,15173.0,15513.0,5000,2015-09-09
14182.0,16382.0,15023.0,15247.0,2410,2015-09-10
15979.0,15447.0,14932.0,15447.0,300,2015-09-11
13982.0,16021.0,14622.0,15247.0,1400,2015-09-14
15780.0,16872.0,14950.0,15247.0,1200,2015-09-15
13782.0,16326.0,14822.0,15180.0,1200,2015-09-16
15513.0,16416.0,14514.0,14914.0,2200,2015-09-17
14914.0,15516.0,15111.0,15314.0,200,2015-09-18
13982.0,15573.0,14327.0,14581.0,4200,2015-09-21
14581.0,17408.0,14651.0,15979.0,1600,2015-09-22
14448.0,15255.0,14710.0,14914.0,300,2015-09-23
15247.0,15047.0,14850.0,15047.0,500,2015-09-24
13982.0,16514.0,14735.0,15380.0,3200,2015-09-25
15314.0,16115.0,15443.0,15846.0,300,2015-09-28
15646.0,16071.0,15466.0,15780.0,5865,2015-09-29
14448.0,16321.0,14757.0,15913.0,2135,2015-09-30
15580.0,15580.0,15580.0,15580.0,300,2015-10-01
15979.0,16227.0,15619.0,15646.0,3200,2015-10-02
15646.0,15646.0,15646.0,15646.0,0,2015-10-05
14182.0,16240.0,15034.0,15247.0,600,2015-10-06
15646.0,15841.0,15302.0,15314.0,4700,2015-10-07
15314.0,15314.0,15314.0,15314.0,0,2015-10-08
15447.0,15447.0,15447.0,15447.0,700,2015-10-09
15447.0,16929.0,15323.0,15447.0,1600,2015-10-12
15447.0,15447.0,15447.0,15447.0,0,2015-10-13
15979.0,15314.0,14676.0,15314.0,200,2015-10-14
15580.0,15580.0,15580.0,15580.0,100,2015-10-15
15314.0,15805.0,15535.0,15580.0,600,2015-10-16
15247.0,15247.0,15247.0,15247.0,400,2015-10-19
15247.0,15247.0,15247.0,15247.0,0,2015-10-20
15580.0,15114.0,14662.0,15114.0,300,2015-10-21
15314.0,15614.0,15413.0,15513.0,200,2015-10-22
15314.0,15830.0,15493.0,15580.0,6300,2015-10-23
15580.0,15580.0,15580.0,15580.0,0,2015-10-26
15580.0,15580.0,15580.0,15580.0,0,2015-10-27
15380.0,16415.0,15800.0,15979.0,800,2015-10-28
15580.0,18902.0,17012.0,17311.0,4600,2015-10-29
15646.0,18289.0,16460.0,16579.0,45297,2015-10-30
17244.0,17244.0,17244.0,17244.0,100,2015-11-02
15580.0,16920.0,16160.0,16312.0,500,2015-11-03
16312.0,17000.0,14506.0,15314.0,2663,2015-11-04
16645.0,17211.0,15628.0,15913.0,1400,2015-11-05
15846.0,16046.0,15913.0,15979.0,241,2015-11-06
15979.0,15979.0,15979.0,15979.0,1,2015-11-09
14648.0,15857.0,15037.0,15447.0,200,2015-11-10
15314.0,17546.0,16142.0,16645.0,1800,2015-11-11
16645.0,16645.0,16645.0,16645.0,0,2015-11-12
16645.0,16645.0,16645.0,16645.0,0,2015-11-13
16246.0,17349.0,15138.0,16246.0,1500,2015-11-16
15979.0,16364.0,16162.0,16179.0,1200,2015-11-17
15314.0,15839.0,15568.0,15580.0,2300,2015-11-18
15846.0,15901.0,15239.0,15314.0,1600,2015-11-19
15646.0,16576.0,15581.0,15913.0,600,2015-11-20
16312.0,16930.0,15409.0,15646.0,2100,2015-11-23
15646.0,15665.0,14195.0,14781.0,1700,2015-11-24
15913.0,16137.0,14989.0,15314.0,1500,2015-11-25
14981.0,15833.0,15210.0,15247.0,6269,2015-11-26
15247.0,15863.0,15524.0,15580.0,600,2015-11-27
15646.0,17321.0,15243.0,16579.0,4713,2015-11-30
16579.0,16579.0,16579.0,16579.0,0,2015-12-01
16579.0,16579.0,16579.0,16579.0,55,2015-12-02
15180.0,16566.0,15803.0,15913.0,1200,2015-12-03
15913.0,15913.0,15913.0,15913.0,0,2015-12-04
15846.0,17058.0,16305.0,16579.0,300,2015-12-07
16579.0,16579.0,16579.0,16579.0,0,2015-12-08
16579.0,16579.0,16579.0,16579.0,0,2015-12-09
16579.0,16579.0,16579.0,16579.0,10,2015-12-10
16579.0,16579.0,16579.0,16579.0,0,2015-12-11
16579.0,16579.0,16579.0,16579.0,0,2015-12-14
14981.0,17798.0,16278.0,16379.0,3900,2015-12-15
16379.0,16379.0,16379.0,16379.0,0,2015-12-16
16379.0,16379.0,16379.0,16379.0,0,2015-12-17
16379.0,16379.0,16379.0,16379.0,0,2015-12-18
16379.0,16379.0,16379.0,16379.0,0,2015-12-21
15314.0,16510.0,15692.0,16113.0,700,2015-12-22
16113.0,16113.0,16113.0,16113.0,0,2015-12-23
15979.0,15979.0,15979.0,15979.0,200,2015-12-24
14648.0,16312.0,15336.0,15580.0,400,2015-12-25
15780.0,16381.0,15977.0,16179.0,300,2015-12-28
16179.0,16179.0,16179.0,16179.0,0,2015-12-29
15979.0,17063.0,16380.0,16645.0,800,2015-12-30
16246.0,19421.0,17551.0,17977.0,5900,2015-12-31
17977.0,17977.0,17977.0,17977.0,0,2016-01-04
17977.0,17977.0,17977.0,17977.0,0,2016-01-05
17977.0,17977.0,17977.0,17977.0,0,2016-01-06
17977.0,17977.0,17977.0,17977.0,0,2016-01-07
17977.0,17977.0,17977.0,17977.0,0,2016-01-08
17977.0,17977.0,17977.0,17977.0,0,2016-01-11
17977.0,17977.0,17977.0,17977.0,0,2016-01-12
17977.0,17977.0,17977.0,17977.0,10,2016-01-13
16246.0,17691.0,16598.0,16645.0,5200,2016-01-14
17311.0,17168.0,14923.0,15979.0,300,2016-01-15
15314.0,15314.0,15314.0,15314.0,400,2016-01-18
16179.0,17403.0,16075.0,16512.0,800,2016-01-19
16645.0,17675.0,16995.0,17244.0,500,2016-01-20
15646.0,18849.0,17030.0,17244.0,1900,2016-01-21
17244.0,17244.0,17244.0,17244.0,0,2016-01-22
17977.0,17977.0,17977.0,17977.0,100,2016-01-25
16179.0,18458.0,16990.0,17244.0,1400,2016-01-26
17244.0,17244.0,17244.0,17244.0,0,2016-01-27
15780.0,18334.0,16693.0,16912.0,1800,2016-01-28
16912.0,16912.0,16912.0,16912.0,100,2016-01-29
16778.0,19113.0,16949.0,17444.0,2800,2016-02-01
17444.0,17444.0,17444.0,17444.0,0,2016-02-02
17444.0,17444.0,17444.0,17444.0,0,2016-02-03
17444.0,17444.0,17444.0,17444.0,0,2016-02-04
17444.0,17444.0,17444.0,17444.0,0,2016-02-05
17444.0,17444.0,17444.0,17444.0,10,2016-02-15
