open,high,low,close,volume,tradingDate
5200.0,5200.0,4800.0,4800.0,50300,2015-07-14
4800.0,4800.0,4500.0,4700.0,76300,2015-07-15
4600.0,4600.0,4600.0,4600.0,21800,2015-07-16
4600.0,4600.0,4500.0,4600.0,24000,2015-07-17
4400.0,4700.0,4400.0,4600.0,43000,2015-07-20
4500.0,4700.0,4500.0,4600.0,34000,2015-07-21
4500.0,4600.0,4500.0,4500.0,14100,2015-07-22
4500.0,4600.0,4300.0,4400.0,10100,2015-07-23
4200.0,4400.0,4000.0,4200.0,10100,2015-07-24
4400.0,4400.0,3800.0,3800.0,27600,2015-07-27
3800.0,3900.0,3500.0,3500.0,90100,2015-07-28
3600.0,3600.0,3200.0,3200.0,104000,2015-07-29
3400.0,3500.0,3400.0,3500.0,34800,2015-07-30
3800.0,3800.0,3800.0,3800.0,32400,2015-07-31
4100.0,4100.0,3600.0,3900.0,419900,2015-08-03
3800.0,3900.0,3600.0,3700.0,87500,2015-08-04
3500.0,3800.0,3500.0,3700.0,48400,2015-08-05
3700.0,3700.0,3500.0,3600.0,362600,2015-08-06
3600.0,3700.0,3400.0,3600.0,26400,2015-08-07
3700.0,3700.0,3400.0,3600.0,8800,2015-08-10
3500.0,3600.0,3500.0,3600.0,1600,2015-08-11
3400.0,3500.0,3300.0,3500.0,31200,2015-08-12
3300.0,3300.0,3200.0,3200.0,41100,2015-08-13
3200.0,3200.0,2900.0,3100.0,32800,2015-08-14
3200.0,3400.0,3000.0,3200.0,23400,2015-08-17
2900.0,3100.0,2900.0,3100.0,49200,2015-08-18
3000.0,3100.0,2800.0,2800.0,42400,2015-08-19
2900.0,2900.0,2700.0,2700.0,19000,2015-08-20
2700.0,2700.0,2500.0,2700.0,15100,2015-08-21
2500.0,2800.0,2500.0,2500.0,23600,2015-08-24
2400.0,2700.0,2400.0,2700.0,102700,2015-08-25
2800.0,2900.0,2800.0,2900.0,32600,2015-08-26
3000.0,3100.0,3000.0,3100.0,59800,2015-08-27
3300.0,3300.0,2900.0,2900.0,51700,2015-08-28
2900.0,2900.0,2800.0,2900.0,40500,2015-08-31
2800.0,3100.0,2700.0,3100.0,154600,2015-09-01
3300.0,3400.0,3200.0,3300.0,147300,2015-09-03
3200.0,3200.0,3000.0,3000.0,46500,2015-09-04
2800.0,2900.0,2800.0,2800.0,13500,2015-09-07
2700.0,2800.0,2700.0,2800.0,38500,2015-09-08
2800.0,2800.0,2700.0,2800.0,45900,2015-09-09
2700.0,2700.0,2700.0,2700.0,13100,2015-09-10
2700.0,2800.0,2700.0,2700.0,31900,2015-09-11
2700.0,2700.0,2500.0,2500.0,137300,2015-09-14
2600.0,2600.0,2300.0,2300.0,56400,2015-09-15
2300.0,2400.0,2300.0,2400.0,19700,2015-09-16
2500.0,2600.0,2500.0,2600.0,615000,2015-09-17
2800.0,2800.0,2800.0,2800.0,463600,2015-09-18
2800.0,2900.0,2600.0,2600.0,143500,2015-09-21
2600.0,2700.0,2400.0,2500.0,276000,2015-09-22
2500.0,2700.0,2500.0,2600.0,162400,2015-09-23
2600.0,2800.0,2600.0,2600.0,97000,2015-09-24
2600.0,2800.0,2600.0,2800.0,230900,2015-09-25
2900.0,3000.0,2800.0,2800.0,153100,2015-09-28
2900.0,2900.0,2600.0,2600.0,142000,2015-09-29
2600.0,2700.0,2500.0,2600.0,77300,2015-09-30
2600.0,2600.0,2600.0,2600.0,105900,2015-10-01
2600.0,2600.0,2500.0,2600.0,150700,2015-10-02
2600.0,2600.0,2600.0,2600.0,28700,2015-10-05
2500.0,2700.0,2500.0,2600.0,290800,2015-10-06
2700.0,2800.0,2600.0,2600.0,117200,2015-10-07
2700.0,2800.0,2700.0,2800.0,670000,2015-10-08
3000.0,3000.0,2800.0,2900.0,207600,2015-10-09
2900.0,3000.0,2900.0,2900.0,137800,2015-10-12
2800.0,2900.0,2800.0,2900.0,149300,2015-10-13
2800.0,2900.0,2700.0,2800.0,144500,2015-10-14
2800.0,2800.0,2700.0,2700.0,78100,2015-10-15
2700.0,2700.0,2600.0,2700.0,95300,2015-10-16
2600.0,2600.0,2500.0,2600.0,204200,2015-10-19
2600.0,2700.0,2600.0,2700.0,21400,2015-10-20
2600.0,2600.0,2500.0,2500.0,28200,2015-10-21
2500.0,2600.0,2400.0,2500.0,61700,2015-10-22
2600.0,2600.0,2500.0,2600.0,19600,2015-10-23
2500.0,2600.0,2400.0,2400.0,42000,2015-10-26
2400.0,2400.0,2300.0,2400.0,69800,2015-10-27
2400.0,2400.0,2300.0,2400.0,35300,2015-10-28
2400.0,2600.0,2400.0,2600.0,26900,2015-10-29
2600.0,2700.0,2500.0,2600.0,161700,2015-10-30
2600.0,2700.0,2400.0,2400.0,42200,2015-11-02
2400.0,2500.0,2300.0,2500.0,29700,2015-11-03
2500.0,2500.0,2300.0,2400.0,42900,2015-11-04
2400.0,2600.0,2400.0,2500.0,152100,2015-11-05
2400.0,2500.0,2300.0,2400.0,118400,2015-11-06
2400.0,2400.0,2200.0,2400.0,153500,2015-11-09
2400.0,2600.0,2300.0,2600.0,568700,2015-11-10
2600.0,2800.0,2600.0,2800.0,527000,2015-11-11
2800.0,3000.0,2700.0,2900.0,565500,2015-11-12
2800.0,2900.0,2700.0,2700.0,865000,2015-11-13
2600.0,2800.0,2500.0,2800.0,1057100,2015-11-16
2800.0,2900.0,2700.0,2700.0,572900,2015-11-17
2700.0,2800.0,2500.0,2800.0,689700,2015-11-18
2600.0,2700.0,2600.0,2600.0,491800,2015-11-19
2500.0,2800.0,2400.0,2700.0,880400,2015-11-20
2600.0,2700.0,2600.0,2700.0,866200,2015-11-23
2600.0,2700.0,2500.0,2700.0,643400,2015-11-24
2600.0,2800.0,2500.0,2700.0,985900,2015-11-25
2700.0,2900.0,2600.0,2900.0,1681900,2015-11-26
3000.0,3000.0,2800.0,3000.0,803100,2015-11-27
2800.0,3000.0,2700.0,2900.0,462100,2015-11-30
2900.0,3000.0,2800.0,2900.0,969400,2015-12-01
2900.0,3000.0,2900.0,3000.0,855100,2015-12-02
2900.0,3000.0,2800.0,2800.0,558400,2015-12-03
2800.0,2800.0,2600.0,2600.0,724600,2015-12-04
2500.0,2600.0,2500.0,2500.0,557600,2015-12-07
2600.0,2600.0,2500.0,2500.0,123000,2015-12-08
2500.0,2600.0,2300.0,2400.0,368900,2015-12-09
2400.0,2500.0,2300.0,2300.0,142500,2015-12-10
2300.0,2400.0,2300.0,2400.0,239600,2015-12-11
2400.0,2400.0,2300.0,2400.0,260200,2015-12-14
