open,high,low,close,volume,tradingDate
2100.0,2100.0,2100.0,2100.0,7800,2015-07-07
2100.0,2100.0,2100.0,2100.0,500,2015-07-08
2100.0,2100.0,2100.0,2100.0,33900,2015-07-09
2100.0,2100.0,2100.0,2100.0,9300,2015-07-10
2100.0,2100.0,2100.0,2100.0,2100,2015-07-13
2100.0,2200.0,2000.0,2100.0,12700,2015-07-14
2100.0,2100.0,2100.0,2100.0,11600,2015-07-15
2100.0,2100.0,2100.0,2100.0,12000,2015-07-16
2100.0,2100.0,2100.0,2100.0,3100,2015-07-17
2000.0,2200.0,2000.0,2200.0,4500,2015-07-20
2100.0,2200.0,2100.0,2200.0,2100,2015-07-21
2100.0,2200.0,2100.0,2100.0,3100,2015-07-22
2100.0,2100.0,2000.0,2100.0,2221,2015-07-23
2100.0,2100.0,2100.0,2100.0,19600,2015-07-24
2100.0,2300.0,2100.0,2300.0,14100,2015-07-27
2300.0,2500.0,2200.0,2400.0,6600,2015-07-28
2400.0,2600.0,2200.0,2600.0,7724,2015-07-29
2400.0,2600.0,2400.0,2600.0,10100,2015-07-30
2600.0,2600.0,2600.0,2600.0,0,2015-07-31
2400.0,2400.0,2400.0,2400.0,100,2015-08-03
2200.0,2200.0,2200.0,2200.0,800,2015-08-04
2300.0,2300.0,2000.0,2200.0,24000,2015-08-05
2100.0,2300.0,2100.0,2300.0,18000,2015-08-06
2300.0,2300.0,2300.0,2300.0,0,2015-08-07
2300.0,2300.0,2300.0,2300.0,0,2015-08-10
2100.0,2200.0,2100.0,2100.0,21000,2015-08-11
2100.0,2200.0,2100.0,2200.0,4100,2015-08-12
2000.0,2100.0,2000.0,2100.0,8600,2015-08-13
2100.0,2100.0,2100.0,2100.0,0,2015-08-14
2000.0,2000.0,2000.0,2000.0,7200,2015-08-17
2000.0,2000.0,2000.0,2000.0,0,2015-08-18
2100.0,2100.0,2100.0,2100.0,100,2015-08-19
2100.0,2100.0,2100.0,2100.0,0,2015-08-20
2100.0,2200.0,2100.0,2200.0,800,2015-08-21
2000.0,2000.0,2000.0,2000.0,600,2015-08-24
2000.0,2000.0,2000.0,2000.0,0,2015-08-25
2000.0,2000.0,2000.0,2000.0,0,2015-08-26
2100.0,2100.0,1900.0,1900.0,9000,2015-08-27
2000.0,2000.0,2000.0,2000.0,2100,2015-08-28
2000.0,2000.0,2000.0,2000.0,0,2015-08-31
2100.0,2100.0,2100.0,2100.0,200,2015-09-01
2100.0,2100.0,2100.0,2100.0,0,2015-09-03
2100.0,2100.0,2100.0,2100.0,0,2015-09-04
2100.0,2100.0,2100.0,2100.0,0,2015-09-07
2100.0,2100.0,2100.0,2100.0,0,2015-09-08
1900.0,1900.0,1900.0,1900.0,7400,2015-09-09
1800.0,2000.0,1800.0,2000.0,5300,2015-09-10
1900.0,2000.0,1900.0,2000.0,1100,2015-09-11
2000.0,2000.0,1900.0,2000.0,14100,2015-09-14
2000.0,2100.0,2000.0,2000.0,27000,2015-09-15
2000.0,2000.0,1900.0,1900.0,27600,2015-09-16
2000.0,2000.0,2000.0,2000.0,500,2015-09-17
2000.0,2100.0,2000.0,2000.0,20100,2015-09-18
2000.0,2000.0,2000.0,2000.0,100,2015-09-21
2000.0,2000.0,2000.0,2000.0,4000,2015-09-22
2000.0,2000.0,2000.0,2000.0,4000,2015-09-23
2000.0,2000.0,2000.0,2000.0,0,2015-09-24
2000.0,2000.0,2000.0,2000.0,1000,2015-09-25
2000.0,2000.0,2000.0,2000.0,0,2015-09-28
2100.0,2100.0,2100.0,2100.0,1000,2015-09-29
2000.0,2000.0,1900.0,1900.0,11100,2015-09-30
2000.0,2000.0,2000.0,2000.0,6500,2015-10-01
2000.0,2200.0,2000.0,2200.0,8100,2015-10-02
2100.0,2100.0,2000.0,2000.0,1600,2015-10-05
2000.0,2100.0,2000.0,2100.0,1900,2015-10-06
2000.0,2000.0,2000.0,2000.0,400,2015-10-07
2000.0,2100.0,2000.0,2100.0,400,2015-10-08
2000.0,2000.0,2000.0,2000.0,100,2015-10-09
2000.0,2000.0,2000.0,2000.0,20300,2015-10-12
2000.0,2000.0,2000.0,2000.0,14300,2015-10-13
2000.0,2000.0,2000.0,2000.0,21200,2015-10-14
2000.0,2000.0,2000.0,2000.0,6800,2015-10-15
2100.0,2100.0,2100.0,2100.0,100,2015-10-16
2000.0,2000.0,2000.0,2000.0,10000,2015-10-19
2000.0,2000.0,2000.0,2000.0,0,2015-10-20
2000.0,2000.0,2000.0,2000.0,13000,2015-10-21
2000.0,2000.0,2000.0,2000.0,14700,2015-10-22
2000.0,2000.0,2000.0,2000.0,7400,2015-10-23
2000.0,2000.0,2000.0,2000.0,1000,2015-10-26
2100.0,2100.0,2100.0,2100.0,10000,2015-10-27
2100.0,2100.0,2100.0,2100.0,0,2015-10-28
2200.0,2200.0,2200.0,2200.0,100,2015-10-29
2200.0,2200.0,2200.0,2200.0,1000,2015-10-30
2000.0,2000.0,2000.0,2000.0,100,2015-11-02
2000.0,2000.0,2000.0,2000.0,0,2015-11-03
2000.0,2000.0,2000.0,2000.0,0,2015-11-04
2000.0,2000.0,2000.0,2000.0,1600,2015-11-05
2200.0,2200.0,2000.0,2000.0,2200,2015-11-06
2000.0,2000.0,2000.0,2000.0,3100,2015-11-09
2000.0,2000.0,2000.0,2000.0,1500,2015-11-10
2000.0,2000.0,2000.0,2000.0,3000,2015-11-11
2000.0,2000.0,2000.0,2000.0,0,2015-11-12
2000.0,2000.0,2000.0,2000.0,6100,2015-11-13
2000.0,2000.0,2000.0,2000.0,600,2015-11-16
2000.0,2000.0,2000.0,2000.0,0,2015-11-17
2000.0,2000.0,2000.0,2000.0,9200,2015-11-18
2000.0,2000.0,1900.0,1900.0,6000,2015-11-19
2000.0,2000.0,2000.0,2000.0,300,2015-11-20
2100.0,2200.0,2000.0,2100.0,1200,2015-11-23
2000.0,2000.0,2000.0,2000.0,300,2015-11-24
2000.0,2100.0,2000.0,2100.0,3000,2015-11-25
2200.0,2200.0,2200.0,2200.0,100,2015-11-26
2200.0,2400.0,2200.0,2400.0,3000,2015-11-27
2400.0,2400.0,2400.0,2400.0,0,2015-11-30
2400.0,2400.0,2400.0,2400.0,0,2015-12-01
2200.0,2500.0,2200.0,2500.0,5400,2015-12-02
2300.0,2300.0,2300.0,2300.0,100,2015-12-03
2200.0,2500.0,2200.0,2500.0,5300,2015-12-04
2300.0,2300.0,2300.0,2300.0,100,2015-12-07
2300.0,2300.0,2300.0,2300.0,0,2015-12-08
2100.0,2100.0,2100.0,2100.0,100,2015-12-09
2300.0,2300.0,2000.0,2000.0,200,2015-12-10
2000.0,2000.0,2000.0,2000.0,0,2015-12-11
2000.0,2000.0,2000.0,2000.0,0,2015-12-14
2200.0,2200.0,2200.0,2200.0,100,2015-12-15
2200.0,2200.0,2200.0,2200.0,0,2015-12-16
2200.0,2200.0,2200.0,2200.0,0,2015-12-17
2200.0,2200.0,2200.0,2200.0,0,2015-12-18
2200.0,2200.0,2200.0,2200.0,0,2015-12-21
2200.0,2200.0,2200.0,2200.0,0,2015-12-22
2300.0,2300.0,2300.0,2300.0,100,2015-12-23
2300.0,2300.0,2300.0,2300.0,0,2015-12-24
2100.0,2400.0,2100.0,2400.0,2700,2015-12-25
2400.0,2400.0,2400.0,2400.0,0,2015-12-28
2400.0,2400.0,2400.0,2400.0,0,2015-12-29
2400.0,2400.0,2400.0,2400.0,0,2015-12-30
2400.0,2400.0,2400.0,2400.0,0,2015-12-31
2400.0,2400.0,2400.0,2400.0,0,2016-01-04
2400.0,2400.0,2400.0,2400.0,0,2016-01-05
2500.0,2500.0,2500.0,2500.0,100,2016-01-06
2500.0,2500.0,2500.0,2500.0,0,2016-01-07
2500.0,2500.0,2500.0,2500.0,0,2016-01-08
2500.0,2500.0,2500.0,2500.0,0,2016-01-11
2300.0,2500.0,2300.0,2500.0,1200,2016-01-12
2500.0,2600.0,2500.0,2600.0,400,2016-01-13
2600.0,2600.0,2600.0,2600.0,0,2016-01-14
2600.0,2600.0,2600.0,2600.0,100,2016-01-15
2600.0,2600.0,2600.0,2600.0,0,2016-01-18
2600.0,2600.0,2600.0,2600.0,0,2016-01-19
2600.0,2600.0,2600.0,2600.0,0,2016-01-20
2600.0,2600.0,2600.0,2600.0,0,2016-01-21
2600.0,2600.0,2600.0,2600.0,0,2016-01-22
2400.0,2700.0,2400.0,2700.0,1000,2016-01-25
2700.0,2700.0,2700.0,2700.0,0,2016-01-26
2700.0,2700.0,2700.0,2700.0,0,2016-01-27
2700.0,2700.0,2700.0,2700.0,0,2016-01-28
2700.0,2700.0,2700.0,2700.0,0,2016-01-29
2700.0,2700.0,2700.0,2700.0,0,2016-02-01
2700.0,2700.0,2700.0,2700.0,0,2016-02-02
2700.0,2700.0,2700.0,2700.0,0,2016-02-03
2700.0,2700.0,2700.0,2700.0,0,2016-02-04
2700.0,2700.0,2700.0,2700.0,0,2016-02-05
2700.0,2700.0,2700.0,2700.0,0,2016-02-15
2700.0,2700.0,2700.0,2700.0,0,2016-02-16
2800.0,2800.0,2800.0,2800.0,500,2016-02-17
2800.0,2800.0,2800.0,2800.0,0,2016-02-18
2800.0,2800.0,2800.0,2800.0,0,2016-02-19
2800.0,2800.0,2800.0,2800.0,0,2016-02-22
2600.0,2600.0,2600.0,2600.0,300,2016-02-23
2400.0,2600.0,2400.0,2600.0,1000,2016-02-24
2400.0,2400.0,2400.0,2400.0,300,2016-02-25
2200.0,2200.0,2200.0,2200.0,1800,2016-02-26
2200.0,2200.0,2200.0,2200.0,0,2016-02-29
2000.0,2000.0,2000.0,2000.0,1500,2016-03-01
2100.0,2100.0,2000.0,2000.0,700,2016-03-02
2000.0,2200.0,2000.0,2200.0,300,2016-03-03
2000.0,2000.0,2000.0,2000.0,2310,2016-03-04
2000.0,2000.0,2000.0,2000.0,6000,2016-03-07
2000.0,2000.0,2000.0,2000.0,8500,2016-03-08
2100.0,2200.0,2100.0,2200.0,12000,2016-03-09
2200.0,2200.0,2200.0,2200.0,0,2016-03-10
2100.0,2100.0,2100.0,2100.0,1000,2016-03-11
2000.0,2100.0,2000.0,2000.0,28100,2016-03-14
2000.0,2000.0,2000.0,2000.0,5000,2016-03-15
2000.0,2000.0,2000.0,2000.0,600,2016-03-16
2000.0,2000.0,2000.0,2000.0,5300,2016-03-17
2000.0,2000.0,2000.0,2000.0,9400,2016-03-18
2000.0,2000.0,2000.0,2000.0,6400,2016-03-21
2000.0,2000.0,2000.0,2000.0,23600,2016-03-22
2000.0,2000.0,2000.0,2000.0,0,2016-03-23
2000.0,2000.0,2000.0,2000.0,3100,2016-03-24
2000.0,2000.0,2000.0,2000.0,3700,2016-03-25
2000.0,2000.0,2000.0,2000.0,6000,2016-03-28
2000.0,2000.0,2000.0,2000.0,500,2016-03-29
2200.0,2200.0,2000.0,2200.0,3800,2016-03-30
2200.0,2200.0,2200.0,2200.0,500,2016-03-31
2100.0,2100.0,2100.0,2100.0,500,2016-04-01
2100.0,2100.0,2100.0,2100.0,0,2016-04-04
2000.0,2000.0,2000.0,2000.0,26300,2016-04-05
1900.0,1900.0,1900.0,1900.0,4900,2016-04-06
1900.0,1900.0,1800.0,1800.0,4000,2016-04-07
1800.0,1800.0,1700.0,1700.0,7200,2016-04-08
1800.0,1800.0,1800.0,1800.0,35700,2016-04-11
1900.0,1900.0,1900.0,1900.0,12200,2016-04-12
2000.0,2000.0,1800.0,2000.0,1800,2016-04-13
1800.0,2000.0,1800.0,2000.0,23400,2016-04-14
1800.0,1900.0,1800.0,1900.0,23500,2016-04-15
1900.0,1900.0,1900.0,1900.0,0,2016-04-19
1800.0,1800.0,1800.0,1800.0,600,2016-04-20
1800.0,1900.0,1800.0,1900.0,600,2016-04-21
1800.0,1800.0,1800.0,1800.0,35000,2016-04-22
1700.0,1700.0,1700.0,1700.0,22300,2016-04-25
1600.0,1700.0,1600.0,1600.0,10300,2016-04-26
1500.0,1600.0,1500.0,1600.0,49100,2016-04-27
1600.0,1600.0,1600.0,1600.0,5000,2016-04-28
1500.0,1700.0,1500.0,1700.0,77500,2016-04-29
1600.0,1600.0,1600.0,1600.0,14600,2016-05-04
1500.0,1600.0,1500.0,1500.0,57100,2016-05-05
1500.0,1500.0,1400.0,1400.0,10100,2016-05-06
1400.0,1400.0,1400.0,1400.0,38100,2016-05-09
1400.0,1400.0,1400.0,1400.0,5600,2016-05-10
1300.0,1400.0,1300.0,1300.0,77100,2016-05-11
1300.0,1400.0,1300.0,1400.0,12400,2016-05-12
1400.0,1400.0,1400.0,1400.0,0,2016-05-13
1400.0,1400.0,1300.0,1300.0,300,2016-05-16
1400.0,1400.0,1300.0,1400.0,1563,2016-05-17
1300.0,1500.0,1300.0,1500.0,14600,2016-05-18
1500.0,1500.0,1500.0,1500.0,0,2016-05-26
1600.0,1600.0,1500.0,1600.0,13000,2016-05-27
1569.0,1569.0,1569.0,1600.0,0,2016-05-30
