open,high,low,close,volume,tradingDate
5757.0,16447.0,4.0,6373.0,3351700,2006-12-15
6497.0,9663.0,6250.0,9005.0,7719900,2007-01-02
9046.0,10238.0,7812.0,9087.0,4019200,2007-02-01
9268.0,11377.0,8635.0,9745.0,8922200,2007-03-01
9663.0,9868.0,8635.0,9000.0,4890200,2007-04-02
9087.0,10466.0,8488.0,10125.0,7200000,2007-05-02
10062.0,10293.0,8818.0,8888.0,3738700,2007-06-01
8674.0,9830.0,7806.0,8905.0,5432400,2007-07-02
8905.0,9252.0,8732.0,9183.0,4461900,2007-08-01
9252.0,11756.0,9252.0,11756.0,6632900,2007-09-04
12721.0,17347.0,12028.0,15324.0,13424020,2007-10-01
15786.0,16075.0,13820.0,15092.0,12721640,2007-11-01
15266.0,15786.0,14225.0,14572.0,9119260,2007-12-03
14485.0,14659.0,11449.0,12230.0,11789740,2008-01-02
12317.0,12403.0,7676.0,7676.0,11127330,2008-02-01
7329.0,7633.0,4771.0,4901.0,18694000,2008-03-03
4944.0,5248.0,4250.0,4250.0,14910170,2008-04-01
4172.0,4172.0,3078.0,3078.0,1952520,2008-05-05
3023.0,3023.0,2459.0,2914.0,10903010,2008-06-02
2996.0,4462.0,2996.0,3734.0,14460220,2008-07-01
3624.0,6101.0,3242.0,6101.0,13329950,2008-08-01
6374.0,7194.0,4690.0,4917.0,16921510,2008-09-03
4917.0,5008.0,2513.0,2896.0,14824190,2008-10-01
3032.0,3643.0,2562.0,2685.0,14591290,2008-11-03
2817.0,3062.0,2393.0,2713.0,15216680,2008-12-01
2713.0,3109.0,2694.0,2770.0,8231740,2009-01-02
2704.0,2779.0,1912.0,2016.0,8580520,2009-02-02
1997.0,2732.0,1931.0,2591.0,24982370,2009-03-02
2713.0,4418.0,2675.0,3580.0,39705730,2009-04-01
3759.0,6076.0,3759.0,5558.0,68925140,2009-05-04
5746.0,7725.0,5605.0,6029.0,61537720,2009-06-01
5746.0,6406.0,4946.0,6217.0,47050940,2009-07-01
6123.0,7207.0,6123.0,7207.0,56708930,2009-08-03
7207.0,8384.0,6736.0,7819.0,64039450,2009-09-01
7772.0,10362.0,7159.0,9044.0,81498740,2009-10-01
8620.0,8714.0,6830.0,7348.0,53279700,2009-11-02
7678.0,8153.0,5982.0,8058.0,39103550,2009-12-01
8344.0,9250.0,7629.0,7867.0,36560060,2010-01-04
7915.0,8343.0,7819.0,8201.0,13979420,2010-02-01
8153.0,9097.0,8105.0,8239.0,53395510,2010-03-01
8201.0,8792.0,8010.0,8315.0,30495250,2010-04-01
8411.0,8525.0,6650.0,7249.0,52862010,2010-05-04
7210.0,7268.0,6572.0,6650.0,25908800,2010-06-01
6630.0,6959.0,6282.0,6340.0,20684390,2010-07-01
6302.0,6340.0,4813.0,5413.0,25570070,2010-08-02
5413.0,5896.0,5142.0,5200.0,26312980,2010-09-01
5219.0,5277.0,4639.0,4775.0,15536140,2010-10-01
4775.0,4949.0,4175.0,4775.0,30986970,2010-11-01
4813.0,6495.0,4717.0,6186.0,94101500,2010-12-01
6282.0,6321.0,5471.0,5760.0,36200240,2011-01-04
5760.0,6031.0,4523.0,4717.0,32379000,2011-02-08
4639.0,4968.0,4059.0,4349.0,49280460,2011-03-01
4349.0,4427.0,3673.0,3963.0,23106710,2011-04-01
3963.0,4040.0,2938.0,3170.0,31956780,2011-05-04
3132.0,4195.0,3132.0,3421.0,57543540,2011-06-01
3421.0,3576.0,3286.0,3364.0,18599780,2011-07-01
3364.0,4181.0,3112.0,4140.0,40558020,2011-08-01
4119.0,4486.0,3936.0,3977.0,40634940,2011-09-01
3936.0,3977.0,3467.0,3773.0,17621220,2011-10-03
3732.0,3813.0,3242.0,3283.0,14402230,2011-11-01
3344.0,3630.0,2651.0,2794.0,19170400,2011-12-01
2794.0,3202.0,2447.0,3079.0,15942970,2012-01-03
3079.0,3773.0,3018.0,3569.0,37037580,2012-02-01
3589.0,4303.0,3487.0,3752.0,54845550,2012-03-01
3752.0,4813.0,3752.0,4690.0,53096400,2012-04-03
4711.0,5098.0,4119.0,4405.0,48067710,2012-05-02
4446.0,4629.0,4119.0,4242.0,35503920,2012-06-01
4283.0,4548.0,3813.0,4201.0,29181200,2012-07-02
4181.0,4384.0,3569.0,3834.0,32837810,2012-08-01
3813.0,3915.0,3304.0,3324.0,22524020,2012-09-04
3324.0,3548.0,3120.0,3222.0,21016010,2012-10-01
3242.0,3308.0,3039.0,3090.0,16725870,2012-11-01
3112.0,3569.0,3068.0,3547.0,27230880,2012-12-03
3591.0,4222.0,3525.0,4048.0,60367960,2013-01-02
4026.0,4352.0,3721.0,3939.0,27229310,2013-02-01
3939.0,3982.0,3678.0,3808.0,20242570,2013-03-01
3765.0,4178.0,3656.0,3721.0,25883910,2013-04-01
3721.0,4287.0,3678.0,4135.0,28903520,2013-05-02
4135.0,4222.0,3721.0,3830.0,26826280,2013-06-03
3808.0,3982.0,3757.0,3803.0,18365640,2013-07-01
3780.0,4011.0,3711.0,3757.0,17044130,2013-08-01
3757.0,3849.0,3619.0,3826.0,12290520,2013-09-03
3849.0,3965.0,3757.0,3803.0,22828480,2013-10-01
3803.0,4149.0,3780.0,4011.0,30327020,2013-11-01
4034.0,4218.0,3988.0,4149.0,31427600,2013-12-02
4172.0,5302.0,4103.0,5302.0,71000180,2014-01-02
5232.0,6224.0,5209.0,5947.0,89457570,2014-02-06
5947.0,6961.0,5578.0,6869.0,96230130,2014-03-03
6800.0,7215.0,5947.0,6154.0,74794550,2014-04-01
6154.0,6201.0,4541.0,5555.0,71435550,2014-05-05
5555.0,6085.0,5163.0,5970.0,68335560,2014-06-02
5993.0,6316.0,5763.0,5855.0,62962280,2014-07-01
5832.0,6754.0,5740.0,6685.0,66354220,2014-08-01
6777.0,7494.0,6316.0,7375.0,110259500,2014-09-03
7422.0,7733.0,6730.0,7422.0,114429890,2014-10-01
7494.0,7518.0,6969.0,7208.0,80973210,2014-11-03
7208.0,7399.0,5919.0,6563.0,92780660,2014-12-01
6539.0,6683.0,6253.0,6277.0,35981840,2015-01-05
6253.0,6611.0,6038.0,6516.0,19711470,2015-02-02
6516.0,6759.0,5728.0,5785.0,35932490,2015-03-02
5814.0,6186.0,5585.0,5900.0,24321140,2015-04-01
5900.0,6387.0,5470.0,6129.0,41242300,2015-05-04
6101.0,7246.0,6072.0,6960.0,105505300,2015-06-01
7046.0,8220.0,6960.0,7790.0,135631820,2015-07-01
7704.0,8317.0,7089.0,8160.0,106662340,2015-08-03
8191.0,8223.0,7278.0,7404.0,58643310,2015-09-01
7435.0,7876.0,7309.0,7561.0,57709820,2015-10-01
7530.0,7656.0,7120.0,7152.0,34507370,2015-11-02
7215.0,7467.0,6868.0,6994.0,51145510,2015-12-01
6994.0,7026.0,5860.0,6458.0,44513430,2016-01-04
6490.0,7246.0,6301.0,7089.0,42892570,2016-02-01
7089.0,7372.0,6584.0,6647.0,57183180,2016-03-01
6647.0,7057.0,6584.0,6742.0,39786790,2016-04-01
6774.0,6837.0,6301.0,6774.0,29096940,2016-05-04
6742.0,7026.0,6112.0,6553.0,35747390,2016-06-01
6553.0,7782.0,6490.0,7215.0,73296290,2016-07-01
7246.0,7246.0,6647.0,6742.0,33998380,2016-08-01
6774.0,7104.0,6521.0,7026.0,35415670,2016-09-01
7057.0,7246.0,6844.0,6943.0,29852610,2016-10-03
6926.0,6959.0,6333.0,6563.0,20614230,2016-11-01
6662.0,6662.0,6102.0,6465.0,26910090,2016-12-01
6465.0,6844.0,6448.0,6662.0,19255810,2017-01-03
6728.0,7240.0,6679.0,6992.0,29515730,2017-02-02
6992.0,7965.0,6811.0,7866.0,64474380,2017-03-01
7850.0,8064.0,7190.0,7223.0,50792440,2017-04-03
7256.0,8905.0,7223.0,8180.0,105729540,2017-05-03
8229.0,9285.0,8163.0,9120.0,81424740,2017-06-01
9235.0,9565.0,8130.0,8674.0,86577820,2017-07-03
8724.0,8839.0,7866.0,8262.0,74207710,2017-08-01
8262.0,8592.0,8114.0,8262.0,42080560,2017-09-01
8262.0,8667.0,7757.0,7757.0,59835950,2017-10-02
7757.0,9439.0,7517.0,9233.0,77836010,2017-11-01
9250.0,10074.0,8530.0,9885.0,103826570,2017-12-01
9920.0,12734.0,9817.0,11705.0,166436820,2018-01-02
12014.0,12666.0,10263.0,12666.0,89116550,2018-02-01
12666.0,14348.0,12134.0,13387.0,144054650,2018-03-01
13558.0,15240.0,11773.0,12357.0,115325400,2018-04-02
12460.0,12631.0,9422.0,10984.0,105889810,2018-05-02
10984.0,11979.0,9679.0,9782.0,100659080,2018-06-01
9611.0,10091.0,8650.0,9920.0,95036590,2018-07-02
9920.0,11070.0,9714.0,10847.0,83148680,2018-08-01
10744.0,11602.0,10366.0,11499.0,70259870,2018-09-04
11499.0,11784.0,9377.0,10138.0,71626950,2018-10-01
10173.0,10333.0,9660.0,10085.0,36679860,2018-11-01
10297.0,10616.0,9130.0,9430.0,35013500,2018-12-03
9448.0,9519.0,8811.0,9236.0,29972570,2019-01-02
9165.0,10191.0,9165.0,9873.0,35157780,2019-02-01
9873.0,10474.0,9413.0,9625.0,29115440,2019-03-01
9696.0,9926.0,8847.0,9130.0,21257580,2019-04-01
9147.0,9307.0,8652.0,8793.0,34550890,2019-05-02
8740.0,8988.0,8652.0,8776.0,18803660,2019-06-03
8864.0,9165.0,8103.0,8210.0,29244700,2019-07-01
8210.0,8298.0,7343.0,7608.0,30806490,2019-08-01
7555.0,8280.0,7290.0,8139.0,37592680,2019-09-03
8103.0,8428.0,7633.0,7892.0,39061910,2019-10-01
7873.0,8243.0,7300.0,7319.0,37027780,2019-11-01
7319.0,7393.0,6672.0,6672.0,24174900,2019-12-02
6691.0,7208.0,6376.0,6543.0,29194740,2020-01-02
6210.0,6635.0,5840.0,5877.0,37634940,2020-02-03
5933.0,6265.0,4103.0,4288.0,64250140,2020-03-02
4288.0,5917.0,4288.0,5574.0,71489370,2020-04-01
5531.0,6667.0,5403.0,6346.0,94086450,2020-05-04
6389.0,7010.0,6131.0,6346.0,130697990,2020-06-01
6410.0,7297.0,6043.0,6180.0,120791420,2020-07-01
6157.0,7024.0,6157.0,6796.0,86105190,2020-08-03
6773.0,7822.0,6750.0,7731.0,132317410,2020-09-01
7799.0,8529.0,7503.0,7799.0,126973300,2020-10-01
7799.0,8939.0,7708.0,8780.0,118094460,2020-11-02
8575.0,15256.0,8575.0,15097.0,268375240,2020-12-01
15735.0,16989.0,11858.0,13135.0,269595500,2021-01-04
13090.0,15712.0,11722.0,15142.0,209958400,2021-02-01
15325.0,16191.0,13409.0,14481.0,240235900,2021-03-01
14504.0,16830.0,14207.0,14869.0,283118300,2021-04-01
14504.0,20296.0,14412.0,20250.0,304313600,2021-05-04
20524.0,25940.0,19612.0,25568.0,329786300,2021-06-01
26033.0,27428.0,22686.0,25382.0,300351100,2021-07-01
25150.0,29566.0,25103.0,28729.0,345748000,2021-08-02
28497.0,30739.0,27006.0,27583.0,205029500,2021-09-01
27278.0,28601.0,25683.0,27481.0,209569100,2021-10-01
27549.0,39153.0,27481.0,37931.0,532441300,2021-11-01
37660.0,38135.0,32571.0,35149.0,403577000,2021-12-01
35624.0,36574.0,27753.0,30569.0,255765600,2022-01-04
31213.0,31824.0,29415.0,31010.0,133745100,2022-02-07
31213.0,32706.0,28364.0,28499.0,228022600,2022-03-01
28499.0,30806.0,21273.0,22765.0,187217000,2022-04-01
22765.0,22935.0,16998.0,20119.0,366507700,2022-05-04
20017.0,20492.0,12248.0,14121.0,349933100,2022-06-01
14008.0,16487.0,13482.0,16036.0,387525700,2022-07-01
16036.0,19529.0,16036.0,18027.0,477078300,2022-08-01
18102.0,18252.0,13745.0,14872.0,332902760,2022-09-05
14722.0,14759.0,10741.0,12243.0,366485346,2022-10-03
12468.0,14572.0,9802.0,14459.0,477829125,2022-11-01
14647.0,16412.0,12769.0,13295.0,506673517,2022-12-01
13370.0,16299.0,13370.0,16224.0,243189195,2023-01-03
16299.0,16412.0,13633.0,13708.0,270249232,2023-02-01
13745.0,16299.0,13633.0,16149.0,397345651,2023-03-01
16524.0,17426.0,15548.0,16186.0,402553924,2023-04-03
16036.0,17726.0,15999.0,17388.0,374017143,2023-05-04
17426.0,21040.0,17313.0,20142.0,452454674,2023-06-01
20337.0,23577.0,19947.0,23148.0,376939430,2023-07-03
23187.0,26466.0,21586.0,26075.0,611657094,2023-08-01
26232.0,28886.0,23655.0,24826.0,598145259,2023-09-05
24826.0,26622.0,20025.0,20103.0,560256726,2023-10-02
20103.0,25919.0,20103.0,24436.0,521336374,2023-11-01
24748.0,26544.0,24397.0,25607.0,392417689,2023-12-01
25763.0,27442.0,25217.0,26856.0,483552220,2024-01-02
26895.0,29432.0,26583.0,28886.0,367342604,2024-02-01
29198.0,30642.0,27793.0,30057.0,569101084,2024-03-01
30057.0,30603.0,25802.0,27481.0,387698586,2024-04-01
27481.0,29159.0,26778.0,27090.0,325684722,2024-05-02
27325.0,29042.0,26232.0,26505.0,265630353,2024-06-03
26583.0,27481.0,24748.0,24826.0,214221176,2024-07-01
25060.0,26778.0,23109.0,26310.0,305191027,2024-08-01
25880.0,28150.0,24865.0,27900.0,278515317,2024-09-04
28000.0,28350.0,26200.0,26600.0,251182520,2024-10-01
26500.0,26700.0,23750.0,24550.0,249797407,2024-11-01
24600.0,26900.0,23650.0,26050.0,328509761,2024-12-02
26050.0,26350.0,23500.0,25250.0,200259063,2025-01-02
24850.0,26800.0,24650.0,26300.0,321046709,2025-02-03
26300.0,26800.0,26100.0,26100.0,77304362,2025-03-03
