open,high,low,close,volume,tradingDate
12546.0,13350.0,10375.0,10375.0,9630700,2006-07-12
9892.0,10777.0,9410.0,10536.0,8300460,2006-08-01
10696.0,11742.0,10696.0,11340.0,5816170,2006-09-01
11340.0,12064.0,10439.0,10527.0,6590690,2006-10-02
10704.0,12562.0,10704.0,11324.0,9123380,2006-11-01
11324.0,13447.0,11235.0,12739.0,13674550,2006-12-01
13005.0,17693.0,12651.0,17339.0,17128750,2007-01-02
17339.0,19816.0,16809.0,19109.0,10116210,2007-02-01
19993.0,29902.0,19463.0,26186.0,20300000,2007-03-01
25124.0,26186.0,23709.0,24771.0,11072540,2007-04-02
24771.0,30079.0,24240.0,28486.0,18677760,2007-05-02
28132.0,28132.0,22421.0,22421.0,19140530,2007-06-01
22421.0,22421.0,18514.0,18514.0,11963950,2007-07-02
18684.0,22591.0,17155.0,18175.0,15852690,2007-08-01
18514.0,24459.0,18344.0,23780.0,28207290,2007-09-04
23950.0,25308.0,22761.0,22930.0,38517790,2007-10-01
23610.0,23780.0,20722.0,23270.0,26472730,2007-11-01
23610.0,24119.0,21572.0,22251.0,21018460,2007-12-03
22081.0,22251.0,19533.0,21911.0,22309430,2008-01-02
21911.0,22081.0,17325.0,17495.0,19863990,2008-02-01
17325.0,17495.0,11720.0,12603.0,32561430,2008-03-03
12705.0,13724.0,11380.0,11380.0,18556230,2008-04-01
11176.0,11380.0,8323.0,8323.0,2161810,2008-05-05
8187.0,8187.0,6624.0,7440.0,25089010,2008-06-02
7610.0,10327.0,7474.0,9220.0,48084070,2008-07-01
8946.0,13361.0,8477.0,12072.0,64979920,2008-08-01
12658.0,12892.0,9024.0,9298.0,57238040,2008-09-03
9376.0,9767.0,7149.0,8517.0,50035830,2008-10-01
8751.0,9923.0,7462.0,7852.0,60648440,2008-11-03
7813.0,8126.0,6915.0,7188.0,41127450,2008-12-01
7071.0,7423.0,6680.0,6837.0,8542340,2009-01-02
6680.0,6837.0,5079.0,5782.0,19727500,2009-02-02
5782.0,7032.0,5508.0,6329.0,52907550,2009-03-02
6485.0,9571.0,6329.0,8204.0,116382540,2009-04-01
8595.0,11095.0,8595.0,10353.0,147387710,2009-05-04
10626.0,16095.0,10509.0,13634.0,183558750,2009-06-01
13165.0,14689.0,12150.0,14220.0,126304880,2009-07-01
14064.0,15588.0,13986.0,15275.0,118203250,2009-08-03
15158.0,17194.0,14650.0,16119.0,147223740,2009-09-01
16119.0,17047.0,14703.0,15142.0,109472130,2009-10-01
14409.0,14654.0,10746.0,12407.0,70599510,2009-11-02
12993.0,13188.0,10697.0,11772.0,82014060,2009-12-01
11772.0,12944.0,10746.0,10844.0,51294190,2010-01-04
10941.0,11967.0,10795.0,11479.0,21829600,2010-02-01
11723.0,11869.0,10599.0,10599.0,53128420,2010-03-01
10599.0,10990.0,10306.0,10648.0,36447400,2010-04-01
10844.0,11479.0,9965.0,10062.0,50339000,2010-05-04
10013.0,10648.0,9818.0,10160.0,45698250,2010-06-01
10160.0,10341.0,9927.0,10105.0,42975910,2010-07-01
10105.0,10105.0,9041.0,9632.0,29151350,2010-08-02
9573.0,10046.0,9159.0,9868.0,20074260,2010-09-01
9750.0,10046.0,8982.0,9455.0,26487360,2010-10-01
9396.0,9455.0,8155.0,8687.0,32107630,2010-11-01
8687.0,10459.0,8509.0,9573.0,86092920,2010-12-01
9455.0,9573.0,9041.0,9337.0,27389580,2011-01-04
9277.0,9573.0,8214.0,8509.0,18512370,2011-02-08
8450.0,8627.0,8096.0,8273.0,25615770,2011-03-01
8273.0,8273.0,7564.0,7623.0,23461630,2011-04-01
7623.0,7682.0,6855.0,6914.0,21138050,2011-05-04
