open,high,low,close,volume,tradingDate
9740.0,9740.0,9740.0,,0,2011-04-29
9740.0,9740.0,9740.0,0.0,0,2011-05-04
9740.0,9740.0,9740.0,0.0,0,2011-05-09
9740.0,9740.0,9740.0,0.0,0,2011-05-16
9740.0,9740.0,9740.0,0.0,0,2011-05-23
9740.0,9740.0,9740.0,0.0,0,2011-05-30
9740.0,9740.0,9740.0,0.0,0,2011-06-06
9740.0,9740.0,9740.0,0.0,0,2011-06-13
9740.0,9740.0,9740.0,0.0,0,2011-06-20
9740.0,9740.0,9740.0,0.0,0,2011-06-27
9740.0,9740.0,9740.0,0.0,0,2011-07-04
9740.0,9740.0,9578.0,0.0,0,2011-07-11
9578.0,9578.0,9578.0,0.0,0,2011-07-18
9578.0,9578.0,9578.0,0.0,0,2011-07-25
9578.0,9578.0,9578.0,0.0,0,2011-08-01
9578.0,9578.0,9578.0,0.0,0,2011-08-08
9578.0,9578.0,9578.0,0.0,0,2011-08-15
9578.0,9578.0,9578.0,0.0,0,2011-08-22
9578.0,9578.0,9578.0,0.0,0,2011-08-29
9578.0,9578.0,9578.0,0.0,0,2011-09-05
9578.0,9578.0,9578.0,0.0,0,2011-09-12
9578.0,9578.0,9578.0,0.0,0,2011-09-19
9578.0,9578.0,9578.0,0.0,0,2011-09-26
9578.0,9578.0,9578.0,0.0,0,2011-10-03
9578.0,9578.0,9578.0,0.0,0,2011-10-10
9578.0,9578.0,9578.0,0.0,0,2011-10-17
9578.0,9578.0,9578.0,0.0,0,2011-10-24
9578.0,9578.0,9578.0,0.0,0,2011-10-31
9578.0,9578.0,9578.0,0.0,0,2011-11-07
9578.0,9578.0,9578.0,0.0,0,2011-11-14
9578.0,9578.0,2669.0,2669.0,100,2011-11-21
2410.0,2410.0,2410.0,2410.0,100,2011-11-28
2410.0,2410.0,2410.0,2410.0,0,2011-12-05
2410.0,2410.0,2187.0,2187.0,100,2011-12-12
2187.0,2187.0,2002.0,2002.0,100,2011-12-19
2002.0,2002.0,1816.0,1816.0,100,2011-12-26
1816.0,1816.0,1668.0,1668.0,100,2012-01-03
