open,high,low,close,volume,tradingDate
5982.0,7161.0,6225.0,6762.0,3250,2016-03-23
6814.0,6814.0,6814.0,6814.0,100,2016-03-24
6242.0,6497.0,5997.0,6372.0,800,2016-03-25
6762.0,7075.0,6838.0,6996.0,3000,2016-03-28
6996.0,7948.0,7008.0,7256.0,4000,2016-03-29
6580.0,7243.0,6499.0,7022.0,4400,2016-03-30
7152.0,6866.0,6591.0,6866.0,400,2016-03-31
6892.0,6892.0,6892.0,6892.0,1500,2016-04-01
6892.0,6788.0,6685.0,6788.0,900,2016-04-04
6892.0,7606.0,7199.0,7282.0,3200,2016-04-05
6892.0,7183.0,6702.0,7022.0,3300,2016-04-06
6918.0,7107.0,7001.0,7022.0,1900,2016-04-07
7464.0,7330.0,7127.0,7282.0,2300,2016-04-08
7282.0,7282.0,7282.0,7282.0,0,2016-04-11
7438.0,7542.0,7464.0,7490.0,700,2016-04-12
7412.0,7704.0,7519.0,7594.0,2500,2016-04-13
7152.0,7703.0,7406.0,7412.0,3200,2016-04-14
7282.0,7282.0,7282.0,7282.0,2000,2016-04-15
7412.0,7875.0,7474.0,7672.0,8500,2016-04-19
7672.0,7656.0,7553.0,7646.0,7000,2016-04-20
7776.0,8003.0,7818.0,7880.0,5900,2016-04-21
8660.0,8630.0,7620.0,8322.0,15650,2016-04-22
8582.0,8383.0,8002.0,8192.0,400,2016-04-25
8322.0,8743.0,8288.0,8478.0,3600,2016-04-26
8192.0,8248.0,7698.0,7828.0,13900,2016-04-27
7672.0,8198.0,7677.0,7828.0,4900,2016-04-28
7828.0,8830.0,8030.0,8608.0,7000,2016-04-29
9444.0,9444.0,9444.0,9444.0,1500,2016-05-04
9303.0,9482.0,9307.0,9444.0,8150,2016-05-05
9479.0,9402.0,9228.0,9303.0,600,2016-05-06
8952.0,8890.0,8715.0,8777.0,1700,2016-05-09
8426.0,8426.0,8426.0,8426.0,1000,2016-05-10
8426.0,8484.0,8449.0,8461.0,1500,2016-05-11
8426.0,8426.0,8426.0,8426.0,2100,2016-05-12
8426.0,8207.0,7865.0,8074.0,3100,2016-05-13
8426.0,8537.0,7399.0,7758.0,5500,2016-05-16
8426.0,8484.0,8344.0,8390.0,10300,2016-05-17
8426.0,8827.0,8543.0,8601.0,3900,2016-05-18
8601.0,8908.0,8730.0,8777.0,3400,2016-05-19
9268.0,9692.0,9304.0,9654.0,36200,2016-05-20
10532.0,10598.0,10527.0,10567.0,20000,2016-05-23
10707.0,10879.0,10201.0,10532.0,9700,2016-05-24
10040.0,10673.0,9976.0,10532.0,19400,2016-05-25
10075.0,10595.0,10136.0,10532.0,5500,2016-05-26
10497.0,10694.0,10302.0,10532.0,3000,2016-05-27
10497.0,10429.0,10045.0,10216.0,3800,2016-05-30
10040.0,10041.0,9971.0,10005.0,6700,2016-05-31
10005.0,9595.0,9059.0,9479.0,8600,2016-06-01
9830.0,9708.0,9361.0,9479.0,6900,2016-06-02
9479.0,10076.0,9716.0,9830.0,3800,2016-06-03
9584.0,10132.0,9770.0,9830.0,9300,2016-06-06
9830.0,9888.0,9818.0,9830.0,4800,2016-06-07
9830.0,10006.0,9796.0,9970.0,14800,2016-06-08
