open,high,low,close,volume,tradingDate
3697.0,3751.0,3692.0,3697.0,1323,2015-07-03
3697.0,3941.0,3704.0,3726.0,9202,2015-07-06
3726.0,3726.0,3726.0,3726.0,0,2015-07-07
3668.0,3797.0,3708.0,3726.0,800,2015-07-08
3639.0,3610.0,3581.0,3610.0,3202,2015-07-09
3610.0,3610.0,3610.0,3610.0,493,2015-07-10
3610.0,3732.0,3643.0,3668.0,770,2015-07-13
3580.0,3640.0,3581.0,3610.0,3500,2015-07-14
3580.0,3583.0,3496.0,3551.0,8400,2015-07-15
3493.0,3622.0,3533.0,3551.0,1460,2015-07-16
3464.0,3693.0,3544.0,3551.0,2214,2015-07-17
3610.0,3724.0,3514.0,3551.0,4000,2015-07-20
3406.0,3669.0,3487.0,3522.0,3139,2015-07-21
3377.0,3673.0,3461.0,3493.0,12645,2015-07-22
3493.0,3493.0,3493.0,3493.0,160,2015-07-23
3348.0,3585.0,3464.0,3464.0,200,2015-07-24
3464.0,3457.0,3428.0,3435.0,400,2015-07-27
3348.0,3583.0,3463.0,3464.0,16600,2015-07-28
3464.0,3464.0,3464.0,3464.0,30,2015-07-29
3464.0,3464.0,3464.0,3464.0,0,2015-07-30
3348.0,3843.0,3474.0,3580.0,9075,2015-07-31
3580.0,3580.0,3580.0,3580.0,0,2015-08-03
3580.0,3580.0,3580.0,3580.0,0,2015-08-04
3493.0,3666.0,3455.0,3551.0,900,2015-08-05
3551.0,3551.0,3551.0,3551.0,0,2015-08-06
3551.0,3551.0,3551.0,3551.0,0,2015-08-07
3318.0,3491.0,3402.0,3406.0,2100,2015-08-10
3377.0,3377.0,3289.0,3318.0,8800,2015-08-11
3493.0,3318.0,3153.0,3318.0,200,2015-08-12
3260.0,3487.0,3366.0,3377.0,4100,2015-08-13
3260.0,3397.0,3278.0,3318.0,8000,2015-08-14
3318.0,3318.0,3318.0,3318.0,0,2015-08-17
3435.0,3434.0,3318.0,3318.0,12100,2015-08-18
3318.0,3334.0,3217.0,3289.0,13200,2015-08-19
3202.0,3345.0,3138.0,3202.0,24100,2015-08-20
3348.0,3438.0,3258.0,3260.0,15400,2015-08-21
3435.0,3620.0,3221.0,3260.0,12820,2015-08-24
3348.0,3502.0,3197.0,3202.0,9200,2015-08-25
3173.0,3281.0,3221.0,3231.0,600,2015-08-26
