open,high,low,close,volume,tradingDate
8621.0,8681.0,8472.0,8621.0,14860,2015-07-03
8770.0,8770.0,8621.0,8740.0,50,2015-07-06
8621.0,8621.0,8621.0,8621.0,1000,2015-07-07
8681.0,8681.0,8472.0,8472.0,3720,2015-07-08
8472.0,8472.0,8472.0,8472.0,10850,2015-07-09
8472.0,8621.0,8472.0,8621.0,5070,2015-07-10
8621.0,8621.0,8532.0,8532.0,580,2015-07-13
8502.0,8532.0,8502.0,8532.0,1110,2015-07-14
8532.0,8532.0,8383.0,8383.0,6350,2015-07-15
8383.0,8383.0,8324.0,8324.0,5950,2015-07-16
8383.0,8562.0,8383.0,8562.0,1020,2015-07-17
8413.0,8472.0,8324.0,8324.0,7380,2015-07-20
8324.0,8443.0,8116.0,8443.0,13480,2015-07-21
8532.0,8532.0,8532.0,8532.0,10,2015-07-22
8413.0,8413.0,8383.0,8383.0,120,2015-07-23
8383.0,8383.0,8383.0,8383.0,80,2015-07-24
8324.0,8383.0,8324.0,8383.0,7100,2015-07-27
8383.0,8413.0,8354.0,8354.0,6020,2015-07-28
8324.0,8324.0,8324.0,8324.0,1000,2015-07-29
8354.0,8354.0,8354.0,8354.0,30,2015-07-30
8472.0,8472.0,8472.0,8472.0,100,2015-07-31
8472.0,8472.0,8354.0,8354.0,700,2015-08-03
8443.0,8591.0,8443.0,8591.0,2500,2015-08-04
8532.0,8621.0,8532.0,8621.0,8000,2015-08-05
8621.0,8621.0,8324.0,8562.0,4260,2015-08-06
8562.0,8562.0,8562.0,8562.0,0,2015-08-07
8472.0,8472.0,8472.0,8472.0,450,2015-08-10
8472.0,8472.0,8472.0,8472.0,240,2015-08-11
8383.0,8681.0,8354.0,8681.0,4720,2015-08-12
8681.0,8681.0,8681.0,8681.0,0,2015-08-13
8681.0,8681.0,8681.0,8681.0,0,2015-08-14
8681.0,8681.0,8681.0,8681.0,0,2015-08-17
8264.0,8472.0,8264.0,8472.0,10010,2015-08-18
8264.0,8264.0,8145.0,8145.0,2940,2015-08-19
8145.0,8145.0,8027.0,8056.0,5320,2015-08-20
8027.0,8027.0,7997.0,8027.0,11210,2015-08-21
7878.0,7878.0,7551.0,7551.0,6710,2015-08-24
7402.0,7432.0,7283.0,7432.0,67490,2015-08-25
7432.0,7729.0,7432.0,7729.0,14100,2015-08-26
7729.0,7878.0,7581.0,7581.0,2300,2015-08-27
7729.0,7729.0,7670.0,7729.0,6810,2015-08-28
7729.0,7729.0,7670.0,7670.0,4250,2015-08-31
7670.0,7670.0,7670.0,7670.0,1760,2015-09-01
7670.0,7729.0,7670.0,7729.0,15310,2015-09-03
7729.0,7878.0,7729.0,7878.0,3150,2015-09-04
7789.0,7789.0,7759.0,7759.0,19800,2015-09-07
7729.0,8027.0,7729.0,7818.0,10600,2015-09-08
7997.0,8027.0,7997.0,8027.0,1750,2015-09-09
8027.0,8086.0,8027.0,8086.0,1510,2015-09-10
7818.0,8027.0,7818.0,8027.0,360,2015-09-11
8027.0,8027.0,8027.0,8027.0,190,2015-09-14
8027.0,8027.0,8027.0,8027.0,0,2015-09-15
8027.0,8027.0,8027.0,8027.0,0,2015-09-16
7967.0,7997.0,7937.0,7997.0,2000,2015-09-17
7878.0,7908.0,7878.0,7908.0,9530,2015-09-18
8027.0,8027.0,8027.0,8027.0,100,2015-09-21
8027.0,8027.0,8027.0,8027.0,0,2015-09-22
7967.0,7967.0,7967.0,7967.0,110,2015-09-23
7878.0,7878.0,7729.0,7729.0,2600,2015-09-24
7729.0,7848.0,7729.0,7759.0,1990,2015-09-25
7759.0,7848.0,7759.0,7848.0,14300,2015-09-28
7789.0,7878.0,7729.0,7878.0,9180,2015-09-29
7908.0,7908.0,7908.0,7908.0,3760,2015-09-30
7908.0,7908.0,7759.0,7908.0,1780,2015-10-01
7878.0,7908.0,7878.0,7878.0,20100,2015-10-02
7908.0,8324.0,7878.0,8056.0,11450,2015-10-05
8562.0,8562.0,8175.0,8175.0,46550,2015-10-06
8145.0,8294.0,8145.0,8264.0,18000,2015-10-07
8264.0,8294.0,8086.0,8235.0,11570,2015-10-08
8145.0,8264.0,8116.0,8205.0,19230,2015-10-09
8205.0,8205.0,8175.0,8205.0,10020,2015-10-12
