open,high,low,close,volume,tradingDate
5684.0,5624.0,5264.0,5320.0,31900,2015-12-22
5320.0,5320.0,5320.0,5320.0,17000,2015-12-23
5320.0,5550.0,5411.0,5457.0,109000,2015-12-24
5320.0,5412.0,5321.0,5411.0,54300,2015-12-25
5411.0,5502.0,5456.0,5457.0,54300,2015-12-28
5457.0,5465.0,5419.0,5457.0,27500,2015-12-29
5502.0,5800.0,5614.0,5684.0,72600,2015-12-30
5684.0,6523.0,5952.0,6230.0,165900,2015-12-31
5684.0,6677.0,5878.0,6457.0,98100,2016-01-04
6457.0,7096.0,6575.0,6821.0,195500,2016-01-05
6821.0,6897.0,6805.0,6866.0,189100,2016-01-06
6775.0,7105.0,6780.0,6957.0,186100,2016-01-07
6775.0,7231.0,6906.0,7094.0,193400,2016-01-08
7094.0,7236.0,7144.0,7184.0,230900,2016-01-11
7184.0,7059.0,6925.0,7048.0,138400,2016-01-12
7003.0,7074.0,6846.0,7003.0,119300,2016-01-13
7003.0,7248.0,7064.0,7139.0,87400,2016-01-14
7139.0,7297.0,7116.0,7230.0,22800,2016-01-15
7048.0,7074.0,6983.0,7003.0,16300,2016-01-18
7048.0,8014.0,7350.0,7685.0,160200,2016-01-19
7685.0,7899.0,7761.0,7821.0,166300,2016-01-20
7730.0,7990.0,7671.0,7821.0,111800,2016-01-21
8139.0,8986.0,8415.0,8594.0,175300,2016-01-22
8549.0,8731.0,8549.0,8640.0,63400,2016-01-25
8503.0,8523.0,8387.0,8458.0,18600,2016-01-26
8458.0,9785.0,8966.0,9140.0,51400,2016-01-27
9140.0,9193.0,9056.0,9140.0,92100,2016-01-28
9049.0,9044.0,8954.0,9003.0,42500,2016-01-29
8958.0,8939.0,8394.0,8549.0,160300,2016-02-01
8503.0,8819.0,8311.0,8685.0,107000,2016-02-02
8640.0,8868.0,8730.0,8776.0,17000,2016-02-03
8731.0,8811.0,8765.0,8776.0,4100,2016-02-04
8685.0,8690.0,8645.0,8685.0,3200,2016-02-05
8731.0,8792.0,8654.0,8685.0,236500,2016-02-15
8640.0,9117.0,8793.0,8912.0,201800,2016-02-16
8912.0,9118.0,8981.0,9049.0,187400,2016-02-17
9049.0,9410.0,9179.0,9276.0,200900,2016-02-18
9276.0,9335.0,9244.0,9322.0,193400,2016-02-19
9322.0,9146.0,8923.0,9094.0,95200,2016-02-22
9094.0,9090.0,8864.0,8958.0,76100,2016-02-23
8912.0,9187.0,8958.0,9094.0,118300,2016-02-24
9049.0,9060.0,8879.0,8958.0,184400,2016-02-25
8912.0,9036.0,8899.0,9003.0,57500,2016-02-26
8958.0,8798.0,8530.0,8685.0,28000,2016-02-29
8640.0,8403.0,7607.0,7821.0,45500,2016-03-01
7094.0,7770.0,7258.0,7548.0,191300,2016-03-02
7275.0,7766.0,7298.0,7503.0,463400,2016-03-03
7366.0,8079.0,7515.0,7730.0,393100,2016-03-04
7776.0,7874.0,7738.0,7821.0,141700,2016-03-07
7776.0,7845.0,7754.0,7821.0,166500,2016-03-08
7776.0,8093.0,7908.0,7957.0,178600,2016-03-09
7957.0,8452.0,8127.0,8276.0,430800,2016-03-10
8185.0,8602.0,8277.0,8412.0,325700,2016-03-11
8185.0,7961.0,7607.0,7821.0,259700,2016-03-14
7821.0,7803.0,7395.0,7639.0,47600,2016-03-15
7503.0,7772.0,7452.0,7594.0,474300,2016-03-16
7639.0,7931.0,7653.0,7776.0,840500,2016-03-17
7776.0,7737.0,7556.0,7685.0,177600,2016-03-18
7685.0,7780.0,7644.0,7685.0,204400,2016-03-21
7685.0,7689.0,7599.0,7639.0,227700,2016-03-22
7639.0,8154.0,7873.0,7912.0,160200,2016-03-23
7867.0,8529.0,8008.0,8139.0,326300,2016-03-24
8230.0,8326.0,7958.0,8185.0,401900,2016-03-25
8139.0,8367.0,8047.0,8230.0,404800,2016-03-28
8230.0,8690.0,8363.0,8458.0,75900,2016-03-29
8412.0,8513.0,8103.0,8367.0,32400,2016-03-30
8276.0,8154.0,7886.0,8048.0,33000,2016-03-31
7957.0,8397.0,7977.0,8094.0,104100,2016-04-01
8185.0,9154.0,8624.0,8640.0,80000,2016-04-04
8367.0,8765.0,8152.0,8412.0,248000,2016-04-05
8185.0,9358.0,8486.0,8776.0,161000,2016-04-06
8776.0,8835.0,7819.0,8230.0,236900,2016-04-07
