open,high,low,close,volume,tradingDate
17319.0,17935.0,16096.0,16898.0,231200,2015-12-03
16851.0,16665.0,15739.0,16055.0,60700,2015-12-04
16055.0,16175.0,15609.0,15915.0,117000,2015-12-07
15915.0,16191.0,15669.0,15915.0,123500,2015-12-08
15962.0,15960.0,15586.0,15728.0,102700,2015-12-09
15728.0,16059.0,15824.0,15915.0,107700,2015-12-10
15915.0,16114.0,15926.0,16009.0,94100,2015-12-11
16009.0,16163.0,15833.0,16055.0,105600,2015-12-14
16055.0,16149.0,15867.0,16009.0,111800,2015-12-15
16009.0,16086.0,15899.0,16009.0,104800,2015-12-16
16055.0,16086.0,15947.0,16009.0,8600,2015-12-17
15915.0,16103.0,15914.0,16009.0,25400,2015-12-18
15962.0,15974.0,15739.0,15868.0,14800,2015-12-21
15681.0,15660.0,15474.0,15541.0,16400,2015-12-22
15681.0,15530.0,15252.0,15447.0,33600,2015-12-23
15447.0,15594.0,14283.0,15447.0,40500,2015-12-24
15447.0,14443.0,13349.0,14277.0,26600,2015-12-25
14979.0,14610.0,13766.0,14511.0,22100,2015-12-28
15306.0,14955.0,14410.0,14838.0,22600,2015-12-29
15213.0,15260.0,14839.0,15026.0,20600,2015-12-30
15213.0,15197.0,14963.0,15026.0,114100,2015-12-31
15026.0,14956.0,14492.0,14698.0,132900,2016-01-04
14838.0,14936.0,14419.0,14558.0,129200,2016-01-05
14604.0,14687.0,14500.0,14558.0,108800,2016-01-06
14370.0,14342.0,14064.0,14230.0,93400,2016-01-07
14230.0,14131.0,13623.0,14043.0,48400,2016-01-08
13809.0,13971.0,12897.0,13575.0,29100,2016-01-11
13106.0,13813.0,13336.0,13575.0,7500,2016-01-12
13715.0,13771.0,13536.0,13575.0,13000,2016-01-13
13575.0,13559.0,13512.0,13528.0,300,2016-01-14
13106.0,13764.0,13382.0,13481.0,13300,2016-01-15
13153.0,13572.0,13334.0,13341.0,7300,2016-01-18
13106.0,13106.0,13106.0,13106.0,100,2016-01-19
13528.0,13698.0,13271.0,13294.0,2000,2016-01-20
12404.0,13851.0,13010.0,13106.0,2100,2016-01-21
13106.0,12545.0,11873.0,12404.0,19900,2016-01-22
12404.0,12969.0,12489.0,12592.0,19500,2016-01-25
12404.0,12920.0,12200.0,12404.0,12800,2016-01-26
12592.0,13672.0,12940.0,13106.0,7900,2016-01-27
12404.0,12490.0,12443.0,12451.0,600,2016-01-28
12404.0,12671.0,12529.0,12545.0,2100,2016-01-29
12404.0,12404.0,12404.0,12404.0,700,2016-02-01
13106.0,12595.0,11965.0,12451.0,2800,2016-02-02
12966.0,12966.0,12966.0,12966.0,100,2016-02-03
12966.0,12966.0,12966.0,12966.0,0,2016-02-04
13060.0,13060.0,13060.0,13060.0,100,2016-02-05
11843.0,12988.0,11820.0,12404.0,300,2016-02-15
12826.0,12826.0,12826.0,12826.0,100,2016-02-16
12592.0,12641.0,12594.0,12638.0,5500,2016-02-17
12404.0,12404.0,12404.0,12404.0,3500,2016-02-18
12404.0,12404.0,12404.0,12404.0,0,2016-02-19
12404.0,12404.0,12404.0,12404.0,300,2016-02-22
12592.0,12507.0,12231.0,12451.0,8200,2016-02-23
12077.0,13031.0,12545.0,12545.0,700,2016-02-24
12498.0,12700.0,12513.0,12685.0,2300,2016-02-25
11468.0,14057.0,12656.0,12685.0,32100,2016-02-26
11609.0,12697.0,11705.0,12451.0,5100,2016-02-29
12498.0,12561.0,12467.0,12545.0,13900,2016-03-01
11702.0,13610.0,12488.0,12498.0,17100,2016-03-02
12170.0,12773.0,12291.0,12404.0,10100,2016-03-03
12170.0,12509.0,12319.0,12358.0,10500,2016-03-04
12358.0,12358.0,12358.0,12358.0,100,2016-03-07
12358.0,12358.0,12358.0,12358.0,0,2016-03-08
12358.0,12358.0,12358.0,12358.0,0,2016-03-09
12264.0,12928.0,12592.0,12592.0,7300,2016-03-10
12592.0,13873.0,11959.0,13200.0,22851,2016-03-11
14230.0,13887.0,12583.0,13106.0,9549,2016-03-14
13106.0,14678.0,13838.0,13855.0,9800,2016-03-15
13575.0,13131.0,12497.0,12919.0,320,2016-03-16
12170.0,14145.0,12950.0,13106.0,1435,2016-03-17
13106.0,13060.0,13013.0,13060.0,2473,2016-03-18
12872.0,13087.0,12898.0,12966.0,14149,2016-03-21
12638.0,13302.0,12966.0,12966.0,400,2016-03-22
12872.0,12867.0,12726.0,12732.0,5200,2016-03-23
12919.0,12919.0,12919.0,12919.0,100,2016-03-24
12919.0,12919.0,12919.0,12919.0,0,2016-03-25
12919.0,12919.0,12919.0,12919.0,0,2016-03-28
12217.0,13390.0,12709.0,12826.0,8800,2016-03-29
12685.0,12453.0,11860.0,12170.0,4100,2016-03-30
13341.0,13293.0,12173.0,12217.0,12600,2016-03-31
12170.0,12734.0,11775.0,12077.0,2400,2016-04-01
12592.0,12447.0,11568.0,11702.0,28300,2016-04-04
11609.0,12345.0,10403.0,11702.0,30300,2016-04-05
11702.0,11702.0,11702.0,11702.0,2000,2016-04-06
11328.0,12577.0,11936.0,11936.0,1901,2016-04-07
12123.0,12209.0,12162.0,12170.0,4800,2016-04-08
11983.0,12427.0,11847.0,12030.0,10300,2016-04-11
11702.0,11702.0,11702.0,11702.0,8000,2016-04-12
11702.0,11702.0,11702.0,11702.0,4100,2016-04-13
11375.0,11677.0,11488.0,11562.0,2700,2016-04-14
11702.0,11702.0,11702.0,11702.0,13700,2016-04-15
11468.0,12121.0,11636.0,11702.0,1102,2016-04-19
11609.0,12329.0,11589.0,11702.0,22200,2016-04-20
11936.0,11234.0,10573.0,11234.0,1200,2016-04-21
11234.0,11759.0,11325.0,11421.0,4600,2016-04-22
10438.0,11021.0,10231.0,10298.0,48400,2016-04-25
10298.0,10625.0,10389.0,10532.0,3000,2016-04-26
9596.0,9574.0,9480.0,9502.0,20100,2016-04-27
8894.0,8840.0,8514.0,8566.0,28700,2016-04-28
8519.0,8662.0,8046.0,8566.0,36000,2016-04-29
8426.0,8985.0,8439.0,8472.0,10700,2016-05-04
8004.0,9185.0,8419.0,8426.0,5300,2016-05-05
8426.0,8930.0,8236.0,8426.0,4800,2016-05-06
7958.0,9113.0,8358.0,8472.0,14300,2016-05-09
8472.0,8472.0,8472.0,8472.0,0,2016-05-10
7958.0,9110.0,8305.0,8472.0,1610,2016-05-11
8472.0,8472.0,8472.0,8472.0,63,2016-05-12
8426.0,8426.0,8426.0,8426.0,300,2016-05-13
7958.0,8921.0,8426.0,8426.0,300,2016-05-16
7723.0,8344.0,7951.0,7958.0,4600,2016-05-17
8098.0,8191.0,8049.0,8098.0,7900,2016-05-18
8098.0,8121.0,7980.0,8051.0,9600,2016-05-19
8098.0,8963.0,8204.0,8847.0,11900,2016-05-20
9362.0,9934.0,9598.0,9689.0,11000,2016-05-23
9830.0,11396.0,10543.0,10626.0,23900,2016-05-24
11234.0,11371.0,11048.0,11328.0,37500,2016-05-25
11328.0,10341.0,9090.0,10204.0,17800,2016-05-26
11141.0,10619.0,9816.0,10298.0,600,2016-05-27
10298.0,11219.0,10097.0,10111.0,26200,2016-05-30
10111.0,10111.0,10111.0,10111.0,0,2016-05-31
11094.0,10638.0,9426.0,9830.0,300,2016-06-01
9830.0,11221.0,9900.0,10345.0,500,2016-06-02
9409.0,9502.0,9455.0,9455.0,400,2016-06-03
9362.0,10321.0,9830.0,9830.0,500,2016-06-06
9830.0,9830.0,9830.0,9830.0,0,2016-06-07
8940.0,8940.0,8940.0,8940.0,100,2016-06-08
8192.0,9507.0,8176.0,8192.0,60400,2016-06-09
7911.0,7911.0,7911.0,7911.0,1500,2016-06-10
7911.0,7911.0,7911.0,7911.0,0,2016-06-13
7911.0,7911.0,7911.0,7911.0,3200,2016-06-14
8192.0,8208.0,7929.0,7958.0,3400,2016-06-15
7958.0,8449.0,8159.0,8192.0,3100,2016-06-16
8192.0,8192.0,8192.0,8192.0,0,2016-06-17
7958.0,7958.0,7958.0,7958.0,600,2016-06-20
7630.0,8495.0,8001.0,8051.0,5200,2016-06-21
8238.0,8335.0,8195.0,8238.0,4100,2016-06-22
7958.0,7843.0,7305.0,7630.0,8600,2016-06-23
7723.0,7238.0,6448.0,7021.0,29800,2016-06-24
7255.0,7296.0,7060.0,7209.0,9000,2016-06-27
7396.0,7272.0,6996.0,7115.0,5648,2016-06-28
7396.0,7971.0,7541.0,7770.0,10400,2016-06-29
7677.0,7924.0,7351.0,7489.0,14000,2016-06-30
7068.0,8344.0,7632.0,7677.0,11100,2016-07-01
7677.0,8848.0,7865.0,8426.0,28728,2016-07-04
9268.0,9268.0,9268.0,9268.0,87700,2016-07-05
10017.0,10165.0,10024.0,10158.0,78630,2016-07-06
10392.0,9717.0,8798.0,9409.0,25520,2016-07-07
9455.0,9809.0,9331.0,9596.0,18800,2016-07-08
9362.0,9559.0,8842.0,8894.0,34300,2016-07-11
8660.0,9705.0,8754.0,8987.0,23700,2016-07-12
8987.0,9461.0,8956.0,9197.0,19850,2016-07-13
9057.0,8707.0,8171.0,8566.0,1800,2016-07-14
9127.0,9345.0,8770.0,9057.0,300,2016-07-15
8495.0,9053.0,8763.0,8776.0,2200,2016-07-18
8355.0,8657.0,8241.0,8495.0,2100,2016-07-19
8495.0,8717.0,8141.0,8285.0,10200,2016-07-20
7934.0,7917.0,7567.0,7723.0,17500,2016-07-21
7021.0,7396.0,6913.0,7161.0,4300,2016-07-22
7161.0,7161.0,7161.0,7161.0,0,2016-07-25
7091.0,7162.0,7092.0,7161.0,8200,2016-07-26
6951.0,7524.0,7232.0,7232.0,1100,2016-07-27
7161.0,7161.0,7161.0,7161.0,100,2016-07-28
7161.0,7161.0,7161.0,7161.0,2800,2016-07-29
7161.0,7474.0,6741.0,6810.0,7150,2016-08-01
6530.0,6243.0,5907.0,6178.0,8000,2016-08-02
6319.0,6312.0,6242.0,6249.0,2100,2016-08-03
5968.0,6165.0,5874.0,5898.0,20200,2016-08-04
5547.0,5943.0,5377.0,5476.0,12400,2016-08-05
5476.0,5380.0,5104.0,5196.0,300,2016-08-08
4704.0,6511.0,5522.0,5547.0,10500,2016-08-09
5617.0,5563.0,5146.0,5196.0,1700,2016-08-10
5266.0,5196.0,5126.0,5196.0,2800,2016-08-11
5547.0,5774.0,5631.0,5687.0,2500,2016-08-12
6178.0,6256.0,6185.0,6249.0,2100,2016-08-15
6810.0,6810.0,6810.0,6810.0,22100,2016-08-16
6951.0,6951.0,6951.0,6951.0,3730,2016-08-17
7161.0,7404.0,7041.0,7091.0,2600,2016-08-18
7021.0,7021.0,7021.0,7021.0,7800,2016-08-19
7161.0,7202.0,6849.0,7021.0,4100,2016-08-22
6951.0,6951.0,6951.0,6951.0,1200,2016-08-23
6881.0,6905.0,6764.0,6881.0,8000,2016-08-24
6810.0,6954.0,6744.0,6881.0,7309,2016-08-25
6740.0,6866.0,6726.0,6740.0,22300,2016-08-26
6740.0,6673.0,6534.0,6600.0,6000,2016-08-29
6530.0,6800.0,6657.0,6670.0,1200,2016-08-30
6459.0,6743.0,6600.0,6600.0,600,2016-08-31
6530.0,6530.0,6530.0,6530.0,500,2016-09-01
6249.0,6520.0,6153.0,6249.0,5000,2016-09-05
5968.0,5891.0,5614.0,5687.0,3100,2016-09-06
5757.0,5859.0,5584.0,5687.0,13800,2016-09-07
5757.0,6089.0,5739.0,5827.0,12700,2016-09-08
5757.0,5632.0,5296.0,5547.0,14700,2016-09-09
5757.0,5700.0,5360.0,5617.0,32200,2016-09-12
5476.0,5465.0,5395.0,5406.0,12300,2016-09-13
5547.0,5475.0,5337.0,5406.0,10000,2016-09-14
5476.0,5429.0,5360.0,5406.0,3000,2016-09-15
5406.0,5339.0,5134.0,5266.0,21900,2016-09-16
5266.0,5473.0,5196.0,5406.0,10700,2016-09-19
5336.0,5470.0,5330.0,5406.0,10200,2016-09-20
5476.0,5725.0,5376.0,5547.0,27604,2016-09-21
5617.0,5548.0,5479.0,5547.0,5600,2016-09-22
5617.0,5613.0,5543.0,5547.0,2100,2016-09-23
5617.0,6014.0,5725.0,5827.0,16100,2016-09-26
5968.0,6479.0,5969.0,6249.0,26200,2016-09-27
6459.0,6417.0,6079.0,6319.0,13200,2016-09-28
6530.0,6530.0,6530.0,6530.0,100,2016-09-29
6319.0,6608.0,6395.0,6530.0,1050,2016-09-30
6038.0,7062.0,6134.0,6178.0,2200,2016-10-03
6178.0,6178.0,6178.0,6178.0,4200,2016-10-04
6178.0,6178.0,6178.0,6178.0,1500,2016-10-05
6178.0,6147.0,5938.0,5968.0,3100,2016-10-06
5968.0,5968.0,5968.0,5968.0,0,2016-10-07
6038.0,6038.0,6038.0,6038.0,2300,2016-10-10
5898.0,5857.0,5717.0,5827.0,2600,2016-10-11
5827.0,5827.0,5827.0,5827.0,0,2016-10-12
5827.0,5875.0,5667.0,5757.0,9300,2016-10-13
5687.0,5971.0,5827.0,5827.0,2600,2016-10-14
5757.0,5845.0,5775.0,5827.0,4200,2016-10-17
5968.0,5972.0,5832.0,5968.0,9300,2016-10-18
5898.0,5971.0,5901.0,5968.0,13700,2016-10-19
5827.0,5827.0,5827.0,5827.0,500,2016-10-20
5827.0,5827.0,5827.0,5827.0,0,2016-10-21
5898.0,5862.0,5793.0,5827.0,4050,2016-10-24
5757.0,5757.0,5757.0,5757.0,1000,2016-10-25
5687.0,5587.0,5449.0,5547.0,5900,2016-10-26
5547.0,6122.0,5827.0,5827.0,2500,2016-10-27
5827.0,6256.0,6038.0,6038.0,700,2016-10-28
6249.0,6142.0,5935.0,6038.0,200,2016-10-31
5968.0,5968.0,5968.0,5968.0,6000,2016-11-01
5968.0,5947.0,5877.0,5898.0,14100,2016-11-02
5827.0,6191.0,5831.0,6038.0,11500,2016-11-03
6249.0,6178.0,5900.0,5968.0,3500,2016-11-04
6038.0,5617.0,5225.0,5617.0,13000,2016-11-07
6108.0,6108.0,6108.0,6108.0,300,2016-11-08
6038.0,6373.0,6158.0,6249.0,53100,2016-11-09
5968.0,6411.0,6123.0,6249.0,53600,2016-11-10
6178.0,6293.0,6222.0,6249.0,3200,2016-11-11
6178.0,6213.0,6073.0,6108.0,68600,2016-11-14
6108.0,6108.0,6108.0,6108.0,50,2016-11-15
5898.0,5941.0,5871.0,5898.0,800,2016-11-16
6038.0,6038.0,6038.0,6038.0,100,2016-11-17
5757.0,6333.0,6038.0,6038.0,900,2016-11-18
6038.0,6038.0,6038.0,6038.0,200,2016-11-21
5968.0,5831.0,5694.0,5827.0,7500,2016-11-22
5827.0,5827.0,5827.0,5827.0,0,2016-11-23
5827.0,5827.0,5827.0,5827.0,0,2016-11-24
5827.0,6112.0,5968.0,5968.0,600,2016-11-25
5968.0,5968.0,5968.0,5968.0,900,2016-11-28
6038.0,5921.0,5439.0,5547.0,66900,2016-11-29
5547.0,5657.0,5227.0,5266.0,45450,2016-11-30
5266.0,5539.0,5259.0,5476.0,7300,2016-12-01
5476.0,5476.0,5476.0,5476.0,1000,2016-12-02
5266.0,5398.0,4977.0,5055.0,18400,2016-12-05
4915.0,5642.0,5266.0,5266.0,15100,2016-12-06
5406.0,5406.0,5406.0,5406.0,100,2016-12-07
5125.0,5432.0,5214.0,5266.0,800,2016-12-08
5055.0,5055.0,5055.0,5055.0,1000,2016-12-09
4915.0,5345.0,5125.0,5125.0,200,2016-12-12
4985.0,4985.0,4985.0,4985.0,5100,2016-12-13
4985.0,4985.0,4985.0,4985.0,500,2016-12-14
4915.0,5081.0,4524.0,4634.0,22200,2016-12-15
4915.0,5183.0,5039.0,5055.0,6500,2016-12-16
5266.0,5695.0,5476.0,5476.0,200,2016-12-19
5196.0,5535.0,5180.0,5476.0,21600,2016-12-20
5196.0,5624.0,5328.0,5336.0,10100,2016-12-21
5336.0,5336.0,5336.0,5336.0,0,2016-12-22
5055.0,5447.0,5229.0,5266.0,600,2016-12-23
5266.0,5266.0,5266.0,5266.0,0,2016-12-26
5266.0,5266.0,5266.0,5266.0,0,2016-12-27
5336.0,5881.0,5587.0,5617.0,1000,2016-12-28
5196.0,5196.0,5196.0,5196.0,200,2016-12-29
5266.0,5266.0,5266.0,5266.0,100,2016-12-30
5617.0,5606.0,5045.0,5055.0,5800,2017-01-03
4915.0,4704.0,4502.0,4704.0,11000,2017-01-04
